idx	label	predict	radius	correct	time
0	3	3	0.529	1	0:00:08.591588
1	8	8	0.953	1	0:00:08.067477
2	8	8	0.892	1	0:00:08.076037
3	0	0	0.953	1	0:00:08.076194
4	6	6	0.0299	1	0:00:08.078470
5	6	6	0.935	1	0:00:08.078491
6	1	1	0.63	1	0:00:08.085263
7	6	6	0.193	1	0:00:08.079624
8	3	3	0.191	1	0:00:08.083044
9	1	1	0.23	1	0:00:08.088547
10	0	0	0.953	1	0:00:08.082976
11	9	9	0.953	1	0:00:08.088204
12	5	5	0.202	1	0:00:08.085348
13	7	7	0.953	1	0:00:08.090682
14	9	9	0.953	1	0:00:08.089282
15	8	8	0.953	1	0:00:08.086952
16	5	5	0.905	1	0:00:08.089299
17	7	7	0.953	1	0:00:08.088824
18	8	8	0.953	1	0:00:08.085700
19	6	6	0.913	1	0:00:08.083575
20	7	7	0.589	1	0:00:08.087582
21	0	0	0.953	1	0:00:08.085430
22	4	0	0.617	0	0:00:08.081074
23	9	9	0.953	1	0:00:08.089568
24	5	4	0.506	0	0:00:08.086433
25	2	2	0.675	1	0:00:08.083912
26	4	-1	0.0	0	0:00:08.086058
27	0	0	0.135	1	0:00:08.085400
28	9	9	0.768	1	0:00:08.085453
29	6	6	0.953	1	0:00:08.080580
30	6	6	0.546	1	0:00:08.080000
31	5	4	0.0894	0	0:00:08.081539
32	4	4	0.44	1	0:00:08.080373
33	5	5	0.45	1	0:00:08.082143
34	9	9	0.953	1	0:00:08.080629
35	2	1	0.184	0	0:00:08.081511
36	4	4	0.438	1	0:00:08.077996
37	1	9	0.173	0	0:00:08.086292
38	9	9	0.935	1	0:00:08.081760
39	5	5	0.336	1	0:00:08.081688
40	4	4	0.953	1	0:00:08.082608
41	6	6	0.953	1	0:00:08.078904
42	5	5	0.953	1	0:00:08.079524
43	6	6	0.315	1	0:00:08.078007
44	0	0	0.161	1	0:00:08.078319
45	9	9	0.953	1	0:00:08.082821
46	3	3	0.483	1	0:00:08.079441
47	9	-1	0.0	0	0:00:08.083429
48	7	-1	0.0	0	0:00:08.076298
49	6	4	0.0962	0	0:00:08.075802
50	9	9	0.658	1	0:00:08.081270
51	8	8	0.881	1	0:00:08.081188
52	0	2	0.0991	0	0:00:08.081644
53	3	3	0.0195	1	0:00:08.084990
54	8	8	0.953	1	0:00:08.083510
55	8	8	0.953	1	0:00:08.082153
56	7	5	0.338	0	0:00:08.088991
57	7	-1	0.0	0	0:00:08.087289
58	4	3	0.222	0	0:00:08.087044
59	6	-1	0.0	0	0:00:08.088447
60	7	7	0.953	1	0:00:08.089898
61	3	5	0.0456	0	0:00:08.088899
62	6	6	0.953	1	0:00:08.095867
63	3	9	0.935	0	0:00:08.093919
64	6	6	0.676	1	0:00:08.090497
65	2	2	0.508	1	0:00:08.091613
66	1	1	0.186	1	0:00:08.094201
67	2	2	0.953	1	0:00:08.094966
68	3	3	0.5	1	0:00:08.095651
69	7	7	0.424	1	0:00:08.094655
70	2	0	0.0658	0	0:00:08.094421
71	6	6	0.746	1	0:00:08.090403
72	8	8	0.953	1	0:00:08.087801
73	8	8	0.953	1	0:00:08.087631
74	0	0	0.348	1	0:00:08.091902
75	2	2	0.953	1	0:00:08.087765
76	9	9	0.352	1	0:00:08.092828
77	3	3	0.0534	1	0:00:08.091116
78	3	3	0.839	1	0:00:08.088067
79	8	8	0.953	1	0:00:08.088462
80	8	8	0.799	1	0:00:08.086241
81	1	1	0.953	1	0:00:08.087470
82	1	1	0.953	1	0:00:08.085350
83	7	7	0.953	1	0:00:08.086499
84	2	2	0.935	1	0:00:08.085996
85	5	7	0.953	0	0:00:08.088062
86	2	2	0.683	1	0:00:08.085865
87	7	9	0.0882	0	0:00:08.083907
88	8	8	0.953	1	0:00:08.083665
89	9	9	0.881	1	0:00:08.085651
90	0	0	0.646	1	0:00:08.081096
91	3	4	0.419	0	0:00:08.077076
92	8	8	0.953	1	0:00:08.081652
93	6	6	0.892	1	0:00:08.081750
94	4	4	0.789	1	0:00:08.073820
95	6	6	0.276	1	0:00:08.080429
96	6	6	0.953	1	0:00:08.079287
97	0	0	0.504	1	0:00:08.071472
98	0	0	0.953	1	0:00:08.084048
99	7	7	0.953	1	0:00:08.079572
100	4	4	0.217	1	0:00:08.079012
101	5	-1	0.0	0	0:00:08.078224
102	6	6	0.922	1	0:00:08.079477
103	3	3	0.953	1	0:00:08.078411
104	1	1	0.953	1	0:00:08.081944
105	1	1	0.953	1	0:00:08.080421
106	3	3	0.0979	1	0:00:08.076632
107	6	6	0.953	1	0:00:08.074152
108	8	8	0.935	1	0:00:08.080638
109	7	7	0.953	1	0:00:08.077885
110	4	4	0.627	1	0:00:08.073871
111	0	0	0.953	1	0:00:08.078938
112	6	6	0.463	1	0:00:08.076936
113	2	2	0.371	1	0:00:08.074826
114	1	1	0.697	1	0:00:08.076572
115	3	3	0.192	1	0:00:08.078272
116	0	0	0.953	1	0:00:08.077510
117	4	4	0.389	1	0:00:08.077680
118	2	2	0.0188	1	0:00:08.073566
119	7	5	0.299	0	0:00:08.076732
120	8	8	0.953	1	0:00:08.074536
121	3	4	0.953	0	0:00:08.073351
122	1	1	0.953	1	0:00:08.077813
123	2	2	0.953	1	0:00:08.078453
124	8	8	0.136	1	0:00:08.075424
125	0	2	0.0255	0	0:00:08.076420
126	8	8	0.347	1	0:00:08.075629
127	3	3	0.179	1	0:00:08.079865
128	5	3	0.792	0	0:00:08.078284
129	2	2	0.194	1	0:00:08.076991
130	4	4	0.616	1	0:00:08.078277
131	1	1	0.953	1	0:00:08.084102
132	8	8	0.935	1	0:00:08.081481
133	9	9	0.953	1	0:00:08.083710
134	1	1	0.675	1	0:00:08.084826
135	2	2	0.00586	1	0:00:08.082486
136	9	9	0.953	1	0:00:08.089213
137	7	7	0.953	1	0:00:08.086685
138	2	2	0.935	1	0:00:08.086103
139	9	8	0.953	0	0:00:08.087573
140	6	6	0.686	1	0:00:08.087502
141	5	5	0.953	1	0:00:08.093673
142	6	6	0.953	1	0:00:08.092737
143	3	5	0.301	0	0:00:08.093786
144	8	8	0.953	1	0:00:08.096197
145	7	7	0.169	1	0:00:08.093343
146	6	6	0.953	1	0:00:08.091286
147	2	5	0.485	0	0:00:08.095000
148	5	5	0.693	1	0:00:08.095834
149	2	2	0.352	1	0:00:08.092083
150	8	8	0.953	1	0:00:08.093688
151	9	9	0.52	1	0:00:08.091817
152	6	6	0.167	1	0:00:08.089285
153	0	0	0.68	1	0:00:08.097633
154	0	0	0.953	1	0:00:08.089598
155	5	5	0.935	1	0:00:08.092682
156	2	2	0.656	1	0:00:08.086959
157	9	9	0.953	1	0:00:08.096990
158	5	3	0.125	0	0:00:08.093379
159	4	4	0.953	1	0:00:08.086399
160	2	2	0.785	1	0:00:08.089460
161	1	1	0.796	1	0:00:08.092649
162	6	6	0.157	1	0:00:08.090073
163	6	6	0.47	1	0:00:08.086710
164	8	0	0.741	0	0:00:08.087135
165	4	2	0.599	0	0:00:08.083947
166	8	8	0.953	1	0:00:08.080363
167	4	4	0.0645	1	0:00:08.079504
168	5	-1	0.0	0	0:00:08.086185
169	0	0	0.935	1	0:00:08.081009
170	9	9	0.953	1	0:00:08.084553
171	9	9	0.272	1	0:00:08.085273
172	9	-1	0.0	0	0:00:08.080660
173	8	8	0.677	1	0:00:08.083184
174	9	9	0.953	1	0:00:08.083162
175	9	9	0.953	1	0:00:08.084234
176	3	3	0.739	1	0:00:08.086575
177	7	7	0.892	1	0:00:08.082078
178	5	3	0.0707	0	0:00:08.078691
