epoch	time	lr	train loss	train acc	testloss	test acc
0	3.54e+02	0.1	0.667	13.8	2.56	21.4
1	3.55e+02	0.1	0.622	15.7	2.61	18.6
2	3.55e+02	0.1	0.614	17.5	2.35	25.5
3	3.55e+02	0.1	0.591	18.7	2.39	26.9
4	3.55e+02	0.1	0.576	19.7	2.47	26.6
5	3.55e+02	0.1	0.568	20.6	2.33	29.9
6	3.55e+02	0.1	0.558	21.1	2.44	28.6
7	3.55e+02	0.1	0.552	21.6	2.28	31.1
8	3.55e+02	0.1	0.548	21.8	2.35	29.3
9	3.55e+02	0.1	0.541	22.0	2.75	27.8
10	3.55e+02	0.1	0.538	22.4	2.21	33.5
11	3.55e+02	0.1	0.535	22.4	2.47	30.6
12	3.55e+02	0.1	0.534	22.5	2.3	31.9
13	3.55e+02	0.1	0.529	22.9	2.48	30.1
14	3.55e+02	0.1	0.525	23.1	2.19	33.0
15	3.54e+02	0.1	0.522	23.2	2.1	34.2
16	3.55e+02	0.1	0.525	23.3	2.31	34.0
17	3.55e+02	0.1	0.522	23.3	2.26	34.4
18	3.55e+02	0.1	0.517	23.5	2.14	35.3
19	3.55e+02	0.1	0.517	23.7	2.17	34.0
20	3.55e+02	0.1	0.518	23.6	2.48	31.4
21	3.55e+02	0.1	0.515	23.8	2.29	34.3
22	3.55e+02	0.1	0.514	23.9	2.27	35.8
23	3.55e+02	0.1	0.516	23.8	2.25	34.0
24	3.54e+02	0.1	0.512	24.1	2.18	34.4
25	3.55e+02	0.1	0.509	23.9	2.06	35.7
26	3.54e+02	0.1	0.512	23.8	2.26	33.4
27	3.55e+02	0.1	0.51	24.1	2.27	34.4
28	3.55e+02	0.1	0.51	24.2	2.31	33.1
29	3.54e+02	0.1	0.51	24.3	2.4	31.7
30	3.54e+02	0.1	0.509	24.2	2.13	36.6
31	3.54e+02	0.1	0.508	24.3	2.13	36.7
32	3.55e+02	0.1	0.506	24.5	2.22	33.9
33	3.55e+02	0.1	0.508	24.3	2.57	30.6
34	3.54e+02	0.1	0.508	24.3	2.24	35.5
35	3.55e+02	0.1	0.508	24.3	2.58	32.2
36	3.55e+02	0.1	0.505	24.5	2.28	33.8
37	3.54e+02	0.1	0.504	24.6	2.19	35.2
38	3.55e+02	0.1	0.501	24.7	1.93	37.9
39	3.55e+02	0.1	0.505	24.7	2.17	34.8
40	3.55e+02	0.1	0.502	24.8	2.6	29.9
41	3.55e+02	0.1	0.502	24.7	2.38	32.7
42	3.54e+02	0.1	0.503	24.8	2.46	32.9
43	3.53e+02	0.1	0.503	24.6	2.21	35.5
44	3.53e+02	0.1	0.501	24.6	2.28	35.0
45	3.54e+02	0.1	0.499	24.9	2.14	34.9
46	3.54e+02	0.1	0.502	24.7	2.0	38.9
47	3.54e+02	0.1	0.503	24.9	2.25	34.5
48	3.54e+02	0.1	0.501	24.8	2.29	33.9
49	3.54e+02	0.1	0.5	24.9	2.13	36.8
50	3.54e+02	0.1	0.5	24.9	2.41	32.4
51	3.54e+02	0.001	0.475	26.6	1.94	39.8
52	3.53e+02	0.01	0.472	27.2	1.94	40.1
53	3.54e+02	0.01	0.466	27.3	1.92	40.2
54	3.54e+02	0.01	0.465	27.5	1.95	40.0
55	3.54e+02	0.01	0.465	27.6	1.94	40.3
56	3.54e+02	0.01	0.463	27.6	1.89	41.4
57	3.54e+02	0.01	0.464	27.6	1.88	40.8
58	3.54e+02	0.01	0.459	27.7	1.92	41.1
59	3.54e+02	0.01	0.462	27.7	1.85	41.1
60	3.54e+02	0.01	0.462	28.0	1.88	41.4
61	3.54e+02	0.01	0.462	27.9	1.92	40.5
62	3.53e+02	0.01	0.461	27.9	1.92	40.8
63	3.54e+02	0.01	0.46	27.7	1.85	41.1
64	3.54e+02	0.01	0.461	27.9	1.87	41.4
65	3.54e+02	0.01	0.458	27.9	1.87	41.1
66	3.54e+02	0.01	0.462	28.0	1.88	41.1
67	3.54e+02	0.01	0.458	28.1	1.86	40.9
68	3.54e+02	0.01	0.459	28.0	1.84	41.7
69	3.54e+02	0.01	0.457	28.1	1.82	41.9
70	3.54e+02	0.01	0.455	28.0	1.83	41.9
71	3.54e+02	0.01	0.457	28.1	1.84	41.6
72	3.54e+02	0.01	0.457	28.1	1.84	41.6
73	3.54e+02	0.01	0.457	28.2	1.8	42.1
74	3.54e+02	0.01	0.457	28.2	1.85	41.5
75	3.55e+02	0.01	0.456	28.2	1.83	42.0
76	3.54e+02	0.01	0.454	28.3	1.9	41.3
77	3.54e+02	0.01	0.455	28.1	1.85	42.3
78	3.54e+02	0.01	0.454	28.2	1.88	42.2
79	3.54e+02	0.01	0.454	28.2	1.88	41.5
80	3.54e+02	0.01	0.455	28.3	1.9	41.2
81	3.54e+02	0.01	0.455	28.3	1.91	41.1
82	3.54e+02	0.01	0.457	28.2	1.89	41.9
83	3.54e+02	0.01	0.454	28.2	1.81	42.2
84	3.54e+02	0.01	0.454	28.3	1.82	42.2
85	3.54e+02	0.01	0.454	28.3	1.84	41.5
86	3.54e+02	0.01	0.455	28.3	1.88	41.4
87	3.54e+02	0.01	0.453	28.4	1.89	41.0
88	3.54e+02	0.01	0.454	28.5	1.87	41.8
89	3.55e+02	0.01	0.451	28.5	1.87	41.1
90	3.55e+02	0.01	0.453	28.6	1.84	42.0
91	3.55e+02	0.01	0.453	28.6	1.8	42.8
92	3.54e+02	0.01	0.453	28.3	1.79	42.5
93	3.54e+02	0.01	0.45	28.5	1.9	41.7
94	3.53e+02	0.01	0.451	28.4	1.89	41.3
95	3.54e+02	0.01	0.451	28.4	1.85	41.7
96	3.54e+02	0.01	0.453	28.3	1.84	41.1
97	3.54e+02	0.01	0.45	28.6	1.88	41.6
98	3.54e+02	0.01	0.451	28.5	1.82	42.0
99	3.53e+02	0.01	0.452	28.5	1.83	43.0
100	3.54e+02	0.01	0.451	28.6	1.88	41.7
101	3.54e+02	0.0001	0.445	29.1	1.79	43.0
102	3.54e+02	0.001	0.441	29.3	1.78	43.7
103	3.54e+02	0.001	0.439	29.5	1.78	43.8
104	3.55e+02	0.001	0.441	29.6	1.8	43.1
105	3.54e+02	0.001	0.439	29.6	1.8	43.4
106	3.54e+02	0.001	0.438	29.7	1.78	43.4
107	3.54e+02	0.001	0.44	29.7	1.76	43.4
108	3.54e+02	0.001	0.439	29.7	1.8	43.7
109	3.54e+02	0.001	0.437	29.7	1.78	44.3
110	3.54e+02	0.001	0.438	29.8	1.79	43.6
111	3.54e+02	0.001	0.437	29.8	1.76	43.6
112	3.54e+02	0.001	0.436	29.9	1.78	43.6
113	3.54e+02	0.001	0.435	29.9	1.75	44.3
114	3.54e+02	0.001	0.435	29.9	1.8	43.8
115	3.54e+02	0.001	0.436	29.9	1.75	43.9
116	3.54e+02	0.001	0.436	30.0	1.81	43.5
117	3.54e+02	0.001	0.437	29.8	1.76	43.8
118	3.54e+02	0.001	0.435	29.9	1.78	43.4
119	3.54e+02	0.001	0.437	30.0	1.75	44.4
120	3.54e+02	0.001	0.436	29.8	1.77	44.2
121	3.54e+02	0.001	0.437	29.9	1.76	43.6
122	3.54e+02	0.001	0.435	29.9	1.77	43.9
123	3.54e+02	0.001	0.434	29.9	1.77	44.1
124	3.54e+02	0.001	0.436	30.0	1.77	44.1
125	3.54e+02	0.001	0.433	30.0	1.77	44.8
126	3.54e+02	0.001	0.435	30.0	1.8	43.5
127	3.54e+02	0.001	0.433	30.0	1.76	44.1
128	3.54e+02	0.001	0.435	30.0	1.75	44.3
129	3.54e+02	0.001	0.435	30.1	1.8	43.9
130	3.54e+02	0.001	0.432	30.2	1.79	43.8
131	3.54e+02	0.001	0.434	30.1	1.77	43.7
132	3.54e+02	0.001	0.433	30.1	1.77	44.4
133	3.54e+02	0.001	0.433	30.2	1.75	44.2
134	3.54e+02	0.001	0.434	30.0	1.77	44.1
135	3.52e+02	0.001	0.435	30.1	1.76	44.1
136	3.52e+02	0.001	0.433	30.1	1.79	43.8
137	3.52e+02	0.001	0.433	30.1	1.78	44.0
138	3.52e+02	0.001	0.436	30.1	1.74	44.5
139	3.51e+02	0.001	0.433	30.2	1.77	43.9
140	3.51e+02	0.001	0.434	30.3	1.77	43.9
141	3.52e+02	0.001	0.433	30.1	1.76	44.2
142	3.51e+02	0.001	0.434	30.2	1.74	44.4
143	3.49e+02	0.001	0.433	30.1	1.76	44.4
144	3.5e+02	0.001	0.432	30.3	1.78	43.4
145	3.5e+02	0.001	0.431	30.3	1.78	43.7
146	3.52e+02	0.001	0.43	30.1	1.76	43.8
147	3.51e+02	0.001	0.433	30.2	1.74	44.9
148	3.51e+02	0.001	0.432	30.2	1.73	44.6
149	3.5e+02	0.001	0.433	30.2	1.76	44.1
