epoch	time	lr	train loss	train acc	testloss	test acc
0	21.7	0.1	4.45	3.76	4.2	4.94
1	21.3	0.1	3.95	8.44	3.94	9.66
2	21.3	0.1	3.68	12.7	3.56	15.0
3	21.4	0.1	3.47	16.6	3.56	16.8
4	21.4	0.1	3.29	19.6	3.32	19.3
5	21.4	0.1	3.15	22.5	3.31	21.2
6	21.4	0.1	3.02	25.0	3.08	25.0
7	21.5	0.1	2.9	27.3	2.99	26.9
8	21.5	0.1	2.81	29.1	2.95	27.6
9	21.5	0.1	2.72	31.2	2.87	28.7
10	21.5	0.1	2.65	32.4	2.8	30.4
11	21.7	0.1	2.6	33.7	2.76	31.1
12	21.7	0.1	2.53	34.7	2.72	32.4
13	21.7	0.1	2.48	36.1	2.74	32.5
14	21.7	0.1	2.44	36.8	2.7	32.9
15	21.8	0.1	2.39	37.7	2.59	35.2
16	21.8	0.1	2.35	38.8	2.71	33.2
17	21.7	0.1	2.31	39.8	2.49	37.8
18	21.7	0.1	2.28	40.4	2.58	36.8
19	21.7	0.1	2.25	40.9	2.56	36.1
20	21.7	0.1	2.22	41.7	2.5	36.8
21	21.8	0.1	2.19	42.3	2.38	38.8
22	21.8	0.1	2.16	43.2	2.46	38.0
23	21.7	0.1	2.14	43.3	2.44	38.7
24	21.6	0.1	2.12	43.8	2.46	38.1
25	21.8	0.1	2.1	44.6	2.38	41.1
26	21.8	0.1	2.08	44.5	2.37	40.0
27	21.8	0.1	2.06	45.1	2.37	40.5
28	21.7	0.1	2.03	45.8	2.35	41.1
29	21.7	0.1	2.01	46.4	2.38	41.0
30	21.7	0.1	2.0	46.6	2.35	41.0
31	21.7	0.1	1.98	47.1	2.33	40.8
32	21.7	0.1	1.96	47.4	2.39	41.1
33	21.7	0.1	1.95	47.5	2.32	41.9
34	21.7	0.1	1.93	48.1	2.46	40.5
35	21.8	0.1	1.92	48.3	2.42	40.4
36	21.8	0.1	1.91	48.8	2.4	40.8
37	21.7	0.1	1.89	49.1	2.35	42.0
38	21.7	0.1	1.89	49.0	2.53	39.1
39	21.7	0.1	1.87	49.6	2.28	42.3
40	21.7	0.1	1.86	49.5	2.45	40.8
41	21.7	0.1	1.84	50.2	2.23	43.1
42	21.7	0.1	1.83	50.4	2.4	42.2
43	21.7	0.1	1.82	50.8	2.33	41.0
44	21.7	0.1	1.81	50.8	2.34	41.8
45	21.8	0.1	1.8	51.5	2.34	42.3
46	21.8	0.1	1.79	51.1	2.26	43.3
47	21.7	0.1	1.78	51.4	2.28	43.0
48	21.7	0.1	1.77	51.7	2.29	42.6
