idx	label	predict	radius	correct	time
0	49	68	0.0697	0	0:00:08.583380
1	33	-1	0.0	0	0:00:08.086482
2	72	55	0.0192	0	0:00:08.093085
3	51	-1	0.0	0	0:00:08.095508
4	71	71	0.842	1	0:00:08.097857
5	92	6	0.0673	0	0:00:08.100983
6	15	-1	0.0	0	0:00:08.101337
7	14	14	0.145	1	0:00:08.109723
8	23	23	0.426	1	0:00:08.102986
9	0	53	0.317	0	0:00:08.115075
10	71	76	0.338	0	0:00:08.111297
11	75	75	0.605	1	0:00:08.115122
12	81	-1	0.0	0	0:00:08.117590
13	69	69	0.301	1	0:00:08.110816
14	40	40	0.953	1	0:00:08.112639
15	43	-1	0.0	0	0:00:08.109225
16	92	92	0.837	1	0:00:08.125704
17	97	97	0.22	1	0:00:08.123393
18	70	70	0.772	1	0:00:08.128910
19	53	53	0.505	1	0:00:08.121311
20	70	70	0.749	1	0:00:08.125142
21	49	49	0.953	1	0:00:08.115421
22	75	-1	0.0	0	0:00:08.120348
23	29	96	0.166	0	0:00:08.112340
24	21	21	0.766	1	0:00:08.114715
25	16	16	0.662	1	0:00:08.112664
26	39	39	0.953	1	0:00:08.116494
27	8	8	0.612	1	0:00:08.114190
28	8	8	0.0207	1	0:00:08.104067
29	70	22	0.037	0	0:00:08.108223
30	20	20	0.935	1	0:00:08.107756
31	61	10	0.181	0	0:00:08.105937
32	41	41	0.865	1	0:00:08.104272
33	93	73	0.365	0	0:00:08.111253
34	56	56	0.193	1	0:00:08.106390
35	73	-1	0.0	0	0:00:08.096507
36	58	58	0.0218	1	0:00:08.102461
37	11	35	0.575	0	0:00:08.097756
38	25	25	0.342	1	0:00:08.103002
39	37	37	0.148	1	0:00:08.100177
40	63	63	0.239	1	0:00:08.100073
41	24	24	0.246	1	0:00:08.100759
42	49	39	0.209	0	0:00:08.107123
43	73	-1	0.0	0	0:00:08.103898
44	56	56	0.953	1	0:00:08.108536
45	22	22	0.591	1	0:00:08.109707
46	41	-1	0.0	0	0:00:08.105732
47	58	58	0.39	1	0:00:08.106610
48	75	-1	0.0	0	0:00:08.108425
49	17	17	0.107	1	0:00:08.110902
50	4	-1	0.0	0	0:00:08.111452
51	6	6	0.595	1	0:00:08.114010
52	9	18	0.201	0	0:00:08.105743
53	57	-1	0.0	0	0:00:08.107851
54	2	2	0.00342	1	0:00:08.106891
55	32	32	0.57	1	0:00:08.110813
56	71	71	0.471	1	0:00:08.107133
57	52	52	0.439	1	0:00:08.110064
58	42	42	0.226	1	0:00:08.109650
59	69	69	0.535	1	0:00:08.111718
60	77	-1	0.0	0	0:00:08.111270
61	27	-1	0.0	0	0:00:08.108835
62	15	-1	0.0	0	0:00:08.115852
63	65	-1	0.0	0	0:00:08.106835
64	7	45	0.075	0	0:00:08.116424
