epoch	time	lr	train loss	train acc	testloss	test acc
0	3.01e+02	0.1	4.49	0.0	5.69	4.03
1	3.04e+02	0.1	4.14	0.0	4.66	6.35
2	3.04e+02	0.1	3.92	0.0	5.34	8.82
3	3.04e+02	0.1	3.69	0.0	22.4	12.5
4	3.04e+02	0.1	3.45	0.0	3.7	16.4
5	3.04e+02	0.1	3.23	0.0	4.51	19.5
6	3.04e+02	0.1	3.06	0.0	3.81	22.3
7	3.04e+02	0.1	2.9	0.0	5.5	25.4
8	3.04e+02	0.1	2.74	0.0	3.56	27.3
9	3.04e+02	0.1	2.6	0.0	3.18	27.0
10	3.04e+02	0.1	2.49	0.0	4.37	30.8
11	3.04e+02	0.1	2.4	0.0	3.2	29.7
12	3.04e+02	0.1	2.31	0.0	2.95	33.6
13	3.04e+02	0.1	2.24	0.0	2.93	32.8
14	3.04e+02	0.1	2.18	0.0	3.18	33.2
15	3.04e+02	0.1	2.12	0.0	2.9	35.5
16	3.04e+02	0.1	2.08	0.0	2.84	36.5
17	3.04e+02	0.1	2.03	0.0	2.87	37.0
18	3.04e+02	0.1	2.0	0.0	3.0	35.6
19	3.04e+02	0.1	1.96	0.0	2.96	36.1
20	3.04e+02	0.1	1.92	0.0	3.28	32.7
21	3.02e+02	0.1	1.9	0.0	2.82	37.9
22	3.02e+02	0.1	1.86	0.0	3.49	36.7
23	3.02e+02	0.1	1.83	0.0	3.19	35.9
24	3.02e+02	0.1	1.81	0.0	3.04	37.3
25	3.02e+02	0.1	1.78	0.0	2.73	39.7
26	3.02e+02	0.1	1.76	0.0	2.9	39.0
27	3.02e+02	0.1	1.73	0.0	3.16	36.9
28	3.02e+02	0.1	1.72	0.0	3.03	37.9
29	3.01e+02	0.1	1.71	0.0	2.91	39.7
30	3.02e+02	0.1	1.68	0.0	2.98	38.3
31	3.01e+02	0.1	1.67	0.0	3.0	40.1
32	3.01e+02	0.1	1.65	0.0	2.91	40.5
33	3.02e+02	0.1	1.63	0.0	2.8	41.5
34	3.02e+02	0.1	1.63	0.0	2.82	41.4
