epoch	time	lr	train loss	train acc	testloss	test acc
0	1.85e+02	0.1	4.5	0.0	4.29	3.26
1	1.86e+02	0.1	4.08	0.0	3.96	7.41
2	1.85e+02	0.1	3.83	0.0	3.69	12.4
3	1.86e+02	0.1	3.62	0.0	3.43	17.2
4	1.86e+02	0.1	3.45	0.0	3.25	20.5
5	1.86e+02	0.1	3.32	0.0	3.1	23.5
6	1.86e+02	0.1	3.21	0.0	2.96	27.4
7	1.86e+02	0.1	3.14	0.0	2.89	29.4
8	1.86e+02	0.1	3.09	0.0	3.04	29.3
9	1.87e+02	0.1	3.05	0.0	2.77	32.0
10	1.87e+02	0.1	3.01	0.0	2.78	31.9
11	1.87e+02	0.1	2.97	0.0	2.72	33.3
12	1.86e+02	0.1	2.93	0.0	2.7	34.3
13	1.86e+02	0.1	2.9	0.0	2.75	34.2
14	1.86e+02	0.1	2.87	0.0	2.63	36.5
15	1.85e+02	0.1	2.84	0.0	2.59	36.8
16	1.86e+02	0.1	2.82	0.0	2.69	36.3
17	1.85e+02	0.1	2.8	0.0	2.51	38.8
18	1.85e+02	0.1	2.77	0.0	2.5	39.3
19	1.86e+02	0.1	2.75	0.0	2.49	40.9
20	1.86e+02	0.1	2.73	0.0	2.47	39.0
21	1.86e+02	0.1	2.72	0.0	2.48	39.6
22	1.86e+02	0.1	2.7	0.0	2.51	39.4
23	1.86e+02	0.1	2.69	0.0	2.47	40.7
24	1.86e+02	0.1	2.67	0.0	2.5	39.3
25	1.86e+02	0.1	2.66	0.0	2.41	41.4
26	1.85e+02	0.1	2.65	0.0	2.46	40.8
27	1.85e+02	0.1	2.64	0.0	2.47	41.2
28	1.85e+02	0.1	2.63	0.0	2.42	41.7
29	1.85e+02	0.1	2.62	0.0	2.44	42.2
30	1.86e+02	0.1	2.61	0.0	2.39	42.6
31	1.86e+02	0.1	2.6	0.0	2.41	41.8
32	1.85e+02	0.1	2.58	0.0	2.38	42.3
33	1.86e+02	0.1	2.58	0.0	2.41	41.1
34	1.85e+02	0.1	2.57	0.0	2.39	43.4
35	1.85e+02	0.1	2.57	0.0	2.36	42.9
36	1.86e+02	0.1	2.56	0.0	2.38	42.8
37	1.85e+02	0.1	2.56	0.0	2.33	44.2
38	1.86e+02	0.1	2.54	0.0	2.38	44.0
39	1.85e+02	0.1	2.53	0.0	2.39	42.5
40	1.85e+02	0.1	2.53	0.0	2.4	43.5
41	1.85e+02	0.1	2.52	0.0	2.35	43.9
42	1.85e+02	0.1	2.52	0.0	2.37	43.7
43	1.85e+02	0.1	2.52	0.0	2.4	43.1
44	1.85e+02	0.1	2.51	0.0	2.37	43.1
45	1.85e+02	0.1	2.5	0.0	2.36	43.5
46	1.85e+02	0.1	2.5	0.0	2.36	44.8
47	1.85e+02	0.1	2.49	0.0	2.38	43.6
48	1.85e+02	0.1	2.49	0.0	2.4	42.9
49	1.85e+02	0.1	2.48	0.0	2.34	43.5
50	1.85e+02	0.1	2.48	0.0	2.38	43.0
51	1.85e+02	0.001	2.3	0.0	2.14	50.2
52	1.85e+02	0.01	2.24	0.0	2.13	50.5
53	1.85e+02	0.01	2.22	0.0	2.13	50.2
54	1.85e+02	0.01	2.2	0.0	2.13	50.8
55	1.85e+02	0.01	2.19	0.0	2.12	51.1
56	1.85e+02	0.01	2.19	0.0	2.11	50.6
57	1.85e+02	0.01	2.18	0.0	2.13	49.9
58	1.85e+02	0.01	2.17	0.0	2.13	50.6
59	1.85e+02	0.01	2.17	0.0	2.11	51.0
60	1.85e+02	0.01	2.15	0.0	2.1	50.9
61	1.85e+02	0.01	2.15	0.0	2.11	50.4
62	1.85e+02	0.01	2.14	0.0	2.12	50.3
63	1.84e+02	0.01	2.13	0.0	2.13	50.2
64	1.85e+02	0.01	2.12	0.0	2.13	50.6
65	1.84e+02	0.01	2.13	0.0	2.11	50.9
66	1.85e+02	0.01	2.11	0.0	2.13	51.2
67	1.84e+02	0.01	2.11	0.0	2.13	50.6
68	1.84e+02	0.01	2.1	0.0	2.11	50.2
69	1.85e+02	0.01	2.1	0.0	2.13	50.6
70	1.85e+02	0.01	2.1	0.0	2.12	50.5
71	1.85e+02	0.01	2.09	0.0	2.2	50.5
72	1.85e+02	0.01	2.08	0.0	2.12	50.6
73	1.85e+02	0.01	2.08	0.0	2.13	50.9
74	1.84e+02	0.01	2.09	0.0	2.17	50.7
75	1.85e+02	0.01	2.08	0.0	2.13	50.7
76	1.85e+02	0.01	2.08	0.0	2.18	50.1
77	1.85e+02	0.01	2.07	0.0	2.17	50.2
78	1.85e+02	0.01	2.07	0.0	2.13	50.6
79	1.85e+02	0.01	2.07	0.0	2.12	50.0
80	1.85e+02	0.01	2.07	0.0	2.11	50.8
81	1.85e+02	0.01	2.07	0.0	2.13	50.6
82	1.85e+02	0.01	2.06	0.0	2.1	50.6
83	1.85e+02	0.01	2.05	0.0	2.13	50.3
84	1.85e+02	0.01	2.05	0.0	2.14	50.1
85	1.85e+02	0.01	2.06	0.0	2.19	49.8
86	1.85e+02	0.01	2.05	0.0	2.13	50.6
87	1.85e+02	0.01	2.05	0.0	2.13	50.5
88	1.85e+02	0.01	2.05	0.0	2.14	50.3
89	1.85e+02	0.01	2.05	0.0	2.16	50.3
90	1.85e+02	0.01	2.05	0.0	2.15	50.7
91	1.85e+02	0.01	2.04	0.0	2.17	50.0
92	1.85e+02	0.01	2.04	0.0	2.17	49.3
93	1.85e+02	0.01	2.03	0.0	2.18	50.3
94	1.85e+02	0.01	2.03	0.0	2.17	50.0
95	1.85e+02	0.01	2.04	0.0	2.16	49.8
96	1.84e+02	0.01	2.03	0.0	2.19	50.5
97	1.85e+02	0.01	2.03	0.0	2.12	50.3
98	1.85e+02	0.01	2.03	0.0	2.15	49.9
99	1.84e+02	0.01	2.03	0.0	2.18	49.7
100	1.85e+02	0.01	2.02	0.0	2.16	49.7
101	1.85e+02	0.0001	1.95	0.0	2.21	50.6
102	1.85e+02	0.001	1.93	0.0	2.17	51.0
103	1.85e+02	0.001	1.92	0.0	2.14	51.0
104	1.85e+02	0.001	1.91	0.0	2.15	50.9
105	1.85e+02	0.001	1.91	0.0	2.19	51.4
106	1.85e+02	0.001	1.91	0.0	2.14	50.6
107	1.85e+02	0.001	1.9	0.0	2.13	51.0
108	1.85e+02	0.001	1.91	0.0	2.14	50.5
109	1.85e+02	0.001	1.9	0.0	2.11	50.6
110	1.84e+02	0.001	1.9	0.0	2.15	50.4
111	1.85e+02	0.001	1.9	0.0	2.17	51.0
