idx	label	predict	radius	correct	time
0	49	-1	0.0	0	0:00:08.449871
1	33	40	0.194	0	0:00:07.965673
2	72	40	0.382	0	0:00:08.004258
3	51	40	0.0941	0	0:00:07.990351
4	71	47	0.0856	0	0:00:07.999357
5	92	40	0.353	0	0:00:08.026123
6	15	40	0.635	0	0:00:08.033244
7	14	40	0.245	0	0:00:08.048826
8	23	23	0.229	1	0:00:08.052051
9	0	57	0.352	0	0:00:08.064964
10	71	40	0.191	0	0:00:08.068836
11	75	40	0.301	0	0:00:08.075725
12	81	81	0.418	1	0:00:08.081561
13	69	69	0.138	1	0:00:08.080474
14	40	40	0.268	1	0:00:08.090888
15	43	40	0.516	0	0:00:08.087052
16	92	92	0.435	1	0:00:08.091610
17	97	40	0.0571	0	0:00:08.095842
18	70	70	0.877	1	0:00:08.096253
19	53	53	0.0571	1	0:00:08.098591
20	70	70	0.862	1	0:00:08.101513
21	49	49	0.239	1	0:00:08.108299
22	75	75	0.0603	1	0:00:08.114438
23	29	-1	0.0	0	0:00:08.108321
24	21	21	0.525	1	0:00:08.110567
25	16	16	0.953	1	0:00:08.112055
26	39	39	0.953	1	0:00:08.113335
27	8	8	0.515	1	0:00:08.117722
28	8	40	0.0825	0	0:00:08.116676
29	70	45	0.487	0	0:00:08.120545
30	20	20	0.953	1	0:00:08.126639
31	61	-1	0.0	0	0:00:08.125794
32	41	41	0.953	1	0:00:08.129916
33	93	-1	0.0	0	0:00:08.127951
34	56	56	0.24	1	0:00:08.132761
35	73	40	0.48	0	0:00:08.132780
36	58	-1	0.0	0	0:00:08.141003
37	11	35	0.328	0	0:00:08.140674
38	25	-1	0.0	0	0:00:08.144560
39	37	81	0.346	0	0:00:08.147226
40	63	40	0.698	0	0:00:08.147586
41	24	24	0.0222	1	0:00:08.154964
42	49	39	0.221	0	0:00:08.154280
43	73	30	0.551	0	0:00:08.157744
44	56	56	0.855	1	0:00:08.163821
45	22	22	0.953	1	0:00:08.158546
46	41	-1	0.0	0	0:00:08.157832
47	58	58	0.754	1	0:00:08.157729
48	75	48	0.138	0	0:00:08.156334
49	17	69	0.0888	0	0:00:08.159545
50	4	40	0.102	0	0:00:08.157957
51	6	6	0.497	1	0:00:08.159051
52	9	18	0.433	0	0:00:08.157705
