epoch	time	lr	train loss	train acc	testloss	test acc
41	43.0	0.1	2.9	28.6	3.01	28.3
42	42.4	0.1	2.89	28.5	3.16	26.0
43	42.4	0.1	2.89	28.6	3.03	27.3
44	42.6	0.1	2.89	28.7	3.1	26.9
45	42.6	0.1	2.87	29.1	3.16	25.2
46	42.6	0.1	2.87	29.0	3.01	27.8
47	42.6	0.1	2.87	29.0	3.08	26.2
48	42.6	0.1	2.87	28.9	3.03	28.3
49	42.6	0.1	2.86	29.2	3.08	26.7
50	42.6	0.1	2.86	29.2	3.09	26.6
51	42.5	0.001	2.65	33.3	2.79	32.4
52	42.4	0.01	2.59	34.7	2.78	32.8
53	42.7	0.01	2.57	35.1	2.75	33.1
54	42.5	0.01	2.56	35.4	2.76	33.2
55	42.5	0.01	2.55	35.7	2.75	33.1
56	42.5	0.01	2.54	35.8	2.74	33.2
57	42.7	0.01	2.53	36.0	2.76	33.1
58	42.5	0.01	2.52	36.0	2.74	33.6
59	42.6	0.01	2.51	36.4	2.75	34.0
60	42.5	0.01	2.51	36.3	2.74	33.6
61	42.6	0.01	2.5	36.5	2.78	32.8
62	42.5	0.01	2.5	36.6	2.76	33.4
63	42.5	0.01	2.49	36.7	2.74	33.5
64	42.4	0.01	2.49	37.0	2.74	33.2
65	42.5	0.01	2.49	36.7	2.75	33.4
66	42.6	0.01	2.48	36.9	2.72	34.0
67	42.6	0.01	2.47	37.3	2.76	33.0
68	42.6	0.01	2.47	37.0	2.76	32.9
69	42.7	0.01	2.48	36.9	2.76	33.8
70	42.6	0.01	2.47	37.2	2.75	33.1
71	42.5	0.01	2.47	37.0	2.76	33.3
72	42.6	0.01	2.55	34.5	3.01	27.3
73	42.5	0.01	2.76	29.2	3.17	25.0
74	42.5	0.01	2.8	28.2	3.16	25.0
75	42.6	0.01	2.81	27.7	3.12	24.9
76	42.6	0.01	2.81	27.7	3.13	25.0
77	42.6	0.01	2.82	27.2	3.2	24.2
78	42.4	0.01	2.81	27.4	3.17	24.0
79	42.7	0.01	2.82	27.2	3.2	23.6
80	42.4	0.01	2.82	27.1	3.17	24.2
81	42.5	0.01	2.81	27.3	3.14	24.5
82	42.6	0.01	2.81	27.3	3.24	23.6
83	42.4	0.01	2.81	27.3	3.19	23.2
84	42.3	0.01	2.81	27.2	3.16	24.6
85	42.7	0.01	2.81	27.3	3.19	23.9
86	42.4	0.01	2.81	27.2	3.18	23.9
87	42.6	0.01	2.8	27.1	3.2	24.3
88	42.4	0.01	2.8	27.3	3.25	23.8
89	42.5	0.01	2.79	27.4	3.18	24.4
90	42.6	0.01	2.8	27.4	3.24	24.1
91	42.7	0.01	2.79	27.6	3.22	23.7
92	42.7	0.01	2.79	27.4	3.17	24.6
93	42.6	0.01	2.79	27.4	3.12	24.5
94	42.5	0.01	2.8	27.3	3.16	24.2
95	42.5	0.01	2.79	27.5	3.25	23.4
96	42.4	0.01	2.79	27.4	3.19	23.7
97	42.6	0.01	2.78	27.6	3.17	23.7
98	42.5	0.01	2.78	27.5	3.18	24.4
99	42.5	0.01	2.77	27.6	3.21	23.7
100	42.5	0.01	2.78	27.6	3.24	23.3
101	42.6	0.0001	2.7	28.8	3.14	24.7
102	42.5	0.001	2.67	29.3	3.13	25.4
103	42.5	0.001	2.67	29.5	3.12	25.5
104	42.7	0.001	2.66	29.5	3.12	25.4
105	42.5	0.001	2.66	29.8	3.13	25.3
106	42.5	0.001	2.64	29.9	3.13	25.4
107	42.4	0.001	2.64	29.9	3.15	25.4
108	42.6	0.001	2.65	29.9	3.13	25.2
109	42.5	0.001	2.64	30.1	3.13	25.6
110	42.6	0.001	2.64	30.0	3.14	25.7
111	42.6	0.001	2.64	30.2	3.14	24.8
112	42.5	0.001	2.64	30.1	3.12	24.9
113	42.6	0.001	2.64	30.1	3.14	25.2
114	42.5	0.001	2.63	30.1	3.12	25.5
115	42.3	0.001	2.63	30.3	3.13	25.6
116	42.1	0.001	2.62	30.3	3.14	25.5
117	42.3	0.001	2.62	30.5	3.15	25.5
118	42.2	0.001	2.62	30.4	3.13	25.3
119	42.1	0.001	2.62	30.5	3.15	25.1
120	42.2	0.001	2.62	30.4	3.17	24.9
121	42.2	0.001	2.62	30.4	3.16	25.1
122	42.3	0.001	2.62	30.3	3.13	25.1
123	42.2	0.001	2.61	30.5	3.14	25.2
124	42.2	0.001	2.61	30.7	3.14	25.5
125	42.3	0.001	2.61	30.6	3.15	25.2
126	42.1	0.001	2.61	30.6	3.17	25.0
127	42.2	0.001	2.61	30.6	3.15	24.7
128	42.2	0.001	2.61	30.7	3.16	25.2
129	42.3	0.001	2.6	30.7	3.17	25.6
130	42.3	0.001	2.6	30.8	3.12	25.2
131	42.3	0.001	2.6	30.7	3.16	25.2
132	42.4	0.001	2.6	30.9	3.17	24.8
133	42.3	0.001	2.6	30.8	3.16	25.2
134	42.4	0.001	2.61	30.6	3.15	25.5
135	42.2	0.001	2.59	30.9	3.17	25.2
136	42.4	0.001	2.59	31.0	3.17	25.1
137	42.5	0.001	2.6	30.8	3.19	24.8
138	42.5	0.001	2.59	31.0	3.14	25.1
139	42.4	0.001	2.59	31.0	3.17	24.8
140	42.2	0.001	2.6	31.0	3.18	24.9
141	42.4	0.001	2.59	31.0	3.15	25.4
142	42.1	0.001	2.59	31.0	3.18	24.9
143	42.2	0.001	2.59	30.9	3.15	25.0
144	42.2	0.001	2.59	31.2	3.15	25.4
145	42.3	0.001	2.59	31.1	3.17	25.5
146	42.2	0.001	2.59	31.0	3.17	25.2
147	42.3	0.001	2.58	31.2	3.16	25.4
148	42.4	0.001	2.58	31.2	3.16	25.0
149	42.4	0.001	2.58	31.3	3.16	25.0
