idx	label	predict	radius	correct	time
0	49	80	0.167	0	0:00:08.579444
1	33	80	1.91	0	0:00:08.039360
2	72	80	1.83	0	0:00:08.066674
3	51	80	1.77	0	0:00:08.099342
4	71	71	0.636	1	0:00:08.103647
5	92	80	1.74	0	0:00:08.114953
6	15	80	1.91	0	0:00:08.126916
7	14	80	1.08	0	0:00:08.148985
8	23	23	1.26	1	0:00:08.140079
9	0	80	0.0685	0	0:00:08.149420
10	71	80	1.51	0	0:00:08.144401
11	75	80	0.939	0	0:00:08.146521
12	81	58	0.0724	0	0:00:08.151083
13	69	23	0.334	0	0:00:08.146651
14	40	40	0.792	1	0:00:08.153755
15	43	80	1.91	0	0:00:08.148873
16	92	28	0.0542	0	0:00:08.156933
17	97	80	1.14	0	0:00:08.156626
18	70	70	1.61	1	0:00:08.158176
19	53	53	0.189	1	0:00:08.148825
20	70	70	1.08	1	0:00:08.158247
21	49	49	1.15	1	0:00:08.157153
22	75	75	1.83	1	0:00:08.161871
23	29	49	0.0643	0	0:00:08.150511
24	21	80	0.0569	0	0:00:08.161741
25	16	16	0.738	1	0:00:08.155356
26	39	39	1.58	1	0:00:08.152785
27	8	80	0.573	0	0:00:08.154093
28	8	80	1.77	0	0:00:08.155581
29	70	11	0.49	0	0:00:08.158830
30	20	20	1.64	1	0:00:08.158031
31	61	80	1.3	0	0:00:08.151454
32	41	41	1.91	1	0:00:08.160643
33	93	73	0.333	0	0:00:08.154508
34	56	80	0.275	0	0:00:08.156652
35	73	80	1.91	0	0:00:08.152957
36	58	58	0.375	1	0:00:08.156807
37	11	80	0.488	0	0:00:08.149665
38	25	80	0.441	0	0:00:08.163250
39	37	-1	0.0	0	0:00:08.158679
40	63	80	1.91	0	0:00:08.158255
41	24	80	0.306	0	0:00:08.160559
42	49	80	0.0339	0	0:00:08.157768
43	73	23	0.489	0	0:00:08.160641
44	56	56	1.15	1	0:00:08.163293
45	22	22	1.91	1	0:00:08.164072
46	41	80	1.26	0	0:00:08.160086
47	58	80	0.316	0	0:00:08.161279
48	75	80	1.44	0	0:00:08.166614
49	17	17	0.00677	1	0:00:08.158079
50	4	80	1.91	0	0:00:08.163058
51	6	80	0.984	0	0:00:08.153335
52	9	9	0.0549	1	0:00:08.162145
53	57	80	1.84	0	0:00:08.154159
54	2	80	1.44	0	0:00:08.147471
55	32	80	1.13	0	0:00:08.155839
56	71	71	0.183	1	0:00:08.150567
57	52	52	1.81	1	0:00:08.147688
58	42	80	1.01	0	0:00:08.147958
59	69	80	0.0102	0	0:00:08.152131
60	77	80	1.75	0	0:00:08.149355
61	27	80	1.84	0	0:00:08.146724
62	15	80	1.7	0	0:00:08.155514
63	65	80	1.91	0	0:00:08.159942
64	7	45	0.107	0	0:00:08.158485
65	35	80	1.35	0	0:00:08.165046
66	43	80	1.91	0	0:00:08.154351
67	82	80	0.927	0	0:00:08.149895
68	63	80	0.424	0	0:00:08.145601
69	92	80	1.37	0	0:00:08.151047
70	66	80	1.7	0	0:00:08.152450
71	90	80	1.66	0	0:00:08.157264
72	67	36	0.333	0	0:00:08.152571
73	91	80	0.0486	0	0:00:08.147560
74	32	80	1.33	0	0:00:08.153059
75	32	32	0.945	1	0:00:08.156150
76	82	82	1.91	1	0:00:08.150183
77	10	10	0.121	1	0:00:08.154973
78	77	80	1.44	0	0:00:08.156232
79	22	61	1.91	0	0:00:08.153095
80	71	71	0.236	1	0:00:08.150090
81	78	80	1.67	0	0:00:08.149374
82	54	54	0.244	1	0:00:08.156285
83	6	6	0.434	1	0:00:08.153626
84	29	-1	0.0	0	0:00:08.156329
85	89	80	0.182	0	0:00:08.155287
86	78	99	1.62	0	0:00:08.154065
87	33	80	1.43	0	0:00:08.158379
88	11	80	1.04	0	0:00:08.167353
89	67	30	1.07	0	0:00:08.152895
90	22	61	0.914	0	0:00:08.157082
91	18	80	1.26	0	0:00:08.153964
92	27	80	1.91	0	0:00:08.154946
93	21	21	0.249	1	0:00:08.164080
