idx	label	predict	radius	correct	time
0	49	-1	0.0	0	0:00:08.317354
1	33	-1	0.0	0	0:00:07.867224
2	72	-1	0.0	0	0:00:07.880046
3	51	-1	0.0	0	0:00:07.881501
4	71	71	1.19	1	0:00:07.903725
5	92	-1	0.0	0	0:00:07.921476
6	15	-1	0.0	0	0:00:07.934850
7	14	-1	0.0	0	0:00:07.943022
8	23	23	0.945	1	0:00:07.949398
9	0	-1	0.0	0	0:00:07.970034
10	71	-1	0.0	0	0:00:07.972296
11	75	75	0.583	1	0:00:07.975257
12	81	-1	0.0	0	0:00:07.980102
13	69	69	0.394	1	0:00:07.992381
14	40	40	0.592	1	0:00:07.998977
15	43	-1	0.0	0	0:00:08.000152
16	92	-1	0.0	0	0:00:08.006819
17	97	97	0.228	1	0:00:08.010229
18	70	70	1.31	1	0:00:08.015599
19	53	53	0.38	1	0:00:08.014173
20	70	70	1.7	1	0:00:08.016354
21	49	49	0.237	1	0:00:08.016921
22	75	75	0.139	1	0:00:08.025033
23	29	-1	0.0	0	0:00:08.019636
24	21	21	1.16	1	0:00:08.023190
25	16	16	0.922	1	0:00:08.023576
26	39	39	1.5	1	0:00:08.025605
27	8	8	1.04	1	0:00:08.025340
28	8	-1	0.0	0	0:00:08.024703
29	70	-1	0.0	0	0:00:08.026825
30	20	20	1.91	1	0:00:08.026398
31	61	61	0.00669	1	0:00:08.026150
32	41	41	1.91	1	0:00:08.027236
33	93	73	0.338	0	0:00:08.028102
34	56	56	0.986	1	0:00:08.027820
35	73	-1	0.0	0	0:00:08.026634
36	58	58	0.381	1	0:00:08.030067
37	11	11	0.103	1	0:00:08.030650
38	25	25	0.158	1	0:00:08.026886
39	37	-1	0.0	0	0:00:08.030542
40	63	-1	0.0	0	0:00:08.027890
41	24	-1	0.0	0	0:00:08.027148
42	49	5	0.265	0	0:00:08.027702
43	73	76	0.0508	0	0:00:08.026825
44	56	56	1.78	1	0:00:08.030836
45	22	22	1.91	1	0:00:08.033585
46	41	-1	0.0	0	0:00:08.029956
47	58	58	0.696	1	0:00:08.028708
48	75	21	0.543	0	0:00:08.029226
49	17	-1	0.0	0	0:00:08.027828
50	4	-1	0.0	0	0:00:08.027560
51	6	-1	0.0	0	0:00:08.027069
52	9	9	0.0747	1	0:00:08.026366
53	57	87	0.0793	0	0:00:08.028538
54	2	-1	0.0	0	0:00:08.027494
55	32	32	0.281	1	0:00:08.028398
56	71	71	1.2	1	0:00:08.025748
57	52	52	1.87	1	0:00:08.027856
58	42	42	0.109	1	0:00:08.030588
59	69	69	0.0684	1	0:00:08.027702
60	77	-1	0.0	0	0:00:08.031236
61	27	27	0.24	1	0:00:08.026963
62	15	-1	0.0	0	0:00:08.035574
63	65	-1	0.0	0	0:00:08.027957
64	7	45	0.646	0	0:00:08.031499
65	35	-1	0.0	0	0:00:08.031474
66	43	-1	0.0	0	0:00:08.028476
67	82	-1	0.0	0	0:00:08.032070
68	63	63	0.773	1	0:00:08.029791
69	92	-1	0.0	0	0:00:08.031349
70	66	-1	0.0	0	0:00:08.029812
71	90	-1	0.0	0	0:00:08.031955
72	67	-1	0.0	0	0:00:08.030519
73	91	91	0.648	1	0:00:08.031906
74	32	76	0.191	0	0:00:08.029269
75	32	32	1.11	1	0:00:08.034303
76	82	82	1.87	1	0:00:08.034222
