epoch	time	lr	train loss	train acc	testloss	test acc
0	1.16e+03	0.1	4.57	1.63	4.38	3.19
1	1.16e+03	0.1	4.38	3.78	4.19	6.57
2	1.16e+03	0.1	4.25	5.67	3.95	8.85
3	1.16e+03	0.1	4.13	7.52	3.87	10.3
4	1.16e+03	0.1	4.04	8.96	3.67	14.2
5	1.16e+03	0.1	3.98	9.98	3.6	15.1
6	1.15e+03	0.1	3.92	10.9	3.53	17.0
7	1.16e+03	0.1	3.88	11.6	3.49	17.2
8	1.15e+03	0.1	3.84	12.1	3.45	18.3
9	1.16e+03	0.1	3.81	12.7	3.41	18.9
10	1.15e+03	0.1	3.79	13.0	3.39	18.9
11	1.15e+03	0.1	3.77	13.3	3.48	16.9
12	1.16e+03	0.1	3.75	13.6	3.4	19.0
13	1.15e+03	0.1	3.74	13.9	3.39	19.2
14	1.15e+03	0.1	3.73	14.0	3.29	21.3
15	1.15e+03	0.1	3.72	14.1	3.4	19.4
16	1.15e+03	0.1	3.7	14.3	3.31	20.8
17	1.16e+03	0.1	3.69	14.4	3.25	22.2
18	1.15e+03	0.1	3.69	14.4	3.3	20.8
19	1.15e+03	0.1	3.68	14.6	3.25	22.5
20	1.15e+03	0.1	3.67	14.8	3.29	22.2
21	1.15e+03	0.1	3.67	15.1	3.26	21.3
22	1.15e+03	0.1	3.66	15.0	3.23	22.0
23	1.15e+03	0.1	3.65	15.3	3.27	21.4
24	1.15e+03	0.1	3.65	15.2	3.26	22.0
25	1.16e+03	0.1	3.64	15.3	3.36	19.9
26	1.16e+03	0.1	3.64	15.4	3.16	23.5
27	1.16e+03	0.1	3.64	15.4	3.31	21.4
28	1.16e+03	0.1	3.64	15.5	3.22	23.1
29	1.16e+03	0.1	3.63	15.5	3.33	21.3
30	1.16e+03	0.1	3.62	15.6	3.19	23.4
31	1.16e+03	0.1	3.62	15.9	3.29	20.8
32	1.15e+03	0.1	3.62	15.9	3.12	24.7
33	1.16e+03	0.1	3.61	15.9	3.15	23.6
34	1.16e+03	0.1	3.62	15.9	3.19	23.3
35	1.16e+03	0.1	3.61	15.9	3.22	22.4
36	1.16e+03	0.1	3.61	15.8	3.25	22.1
37	1.16e+03	0.1	3.61	15.9	3.27	21.4
38	1.16e+03	0.1	3.6	16.0	3.18	23.4
39	1.16e+03	0.1	3.6	15.9	3.19	23.3
40	1.16e+03	0.1	3.6	16.0	3.14	25.4
41	1.15e+03	0.1	3.6	16.0	3.09	24.6
42	1.16e+03	0.1	3.59	16.2	3.46	19.4
43	1.16e+03	0.1	3.59	16.2	3.34	20.2
44	1.16e+03	0.1	3.59	16.1	3.12	25.1
45	1.16e+03	0.1	3.59	16.2	3.16	24.1
46	1.16e+03	0.1	3.59	16.3	3.12	25.0
47	1.16e+03	0.1	3.58	16.2	3.12	23.8
48	1.16e+03	0.1	3.58	16.3	3.51	17.9
49	1.16e+03	0.1	3.58	16.4	3.35	19.8
50	1.16e+03	0.1	3.58	16.3	3.23	22.5
51	1.16e+03	0.001	3.36	20.0	2.69	34.5
52	1.16e+03	0.01	3.31	21.0	2.67	34.8
53	1.16e+03	0.01	3.28	21.4	2.66	34.3
54	1.16e+03	0.01	3.27	21.5	2.64	35.1
55	1.16e+03	0.01	3.26	21.8	2.64	34.9
56	1.16e+03	0.01	3.25	21.9	2.65	34.9
57	1.15e+03	0.01	3.24	22.2	2.64	35.2
58	1.15e+03	0.01	3.23	22.2	2.63	35.1
59	1.15e+03	0.01	3.22	22.4	2.64	35.1
60	1.15e+03	0.01	3.21	22.5	2.65	35.4
61	1.15e+03	0.01	3.21	22.6	2.62	35.1
62	1.15e+03	0.01	3.21	22.6	2.61	35.5
63	1.15e+03	0.01	3.2	22.6	2.66	34.7
64	1.15e+03	0.01	3.19	22.8	2.64	34.8
65	1.15e+03	0.01	3.19	22.8	2.65	34.8
66	1.15e+03	0.01	3.19	22.9	2.66	34.2
67	1.15e+03	0.01	3.18	23.0	2.63	34.9
68	1.15e+03	0.01	3.18	23.1	2.64	34.8
69	1.15e+03	0.01	3.17	23.1	2.63	35.4
70	1.15e+03	0.01	3.17	23.3	2.64	35.5
71	1.15e+03	0.01	3.17	23.3	2.65	35.3
72	1.15e+03	0.01	3.16	23.4	2.65	34.9
73	1.15e+03	0.01	3.16	23.3	2.66	34.3
74	1.15e+03	0.01	3.15	23.4	2.62	35.8
75	1.15e+03	0.01	3.15	23.7	2.65	35.5
76	1.15e+03	0.01	3.15	23.7	2.66	34.7
77	1.15e+03	0.01	3.14	23.7	2.64	35.4
78	1.16e+03	0.01	3.14	23.7	2.67	34.7
79	1.15e+03	0.01	3.14	23.7	2.65	34.9
80	1.15e+03	0.01	3.13	24.0	2.66	34.8
81	1.15e+03	0.01	3.13	24.0	2.66	34.5
