idx	label	predict	radius	correct	time
0	49	-1	0.0	0	0:00:08.635577
1	33	42	0.0491	0	0:00:08.146259
2	72	-1	0.0	0	0:00:08.150065
3	51	-1	0.0	0	0:00:08.155119
4	71	71	1.15	1	0:00:08.163853
5	92	-1	0.0	0	0:00:08.167158
6	15	27	0.13	0	0:00:08.167994
7	14	-1	0.0	0	0:00:08.171412
8	23	23	0.314	1	0:00:08.172694
9	0	57	0.16	0	0:00:08.177011
10	71	-1	0.0	0	0:00:08.177200
11	75	75	0.286	1	0:00:08.177508
12	81	58	0.814	0	0:00:08.178663
13	69	23	0.0753	0	0:00:08.172329
14	40	40	0.809	1	0:00:08.182130
15	43	-1	0.0	0	0:00:08.173461
16	92	28	0.0568	0	0:00:08.180024
17	97	-1	0.0	0	0:00:08.181153
18	70	70	1.39	1	0:00:08.182990
19	53	70	0.0575	0	0:00:08.182209
20	70	70	1.63	1	0:00:08.185041
21	49	49	1.37	1	0:00:08.184601
22	75	75	1.32	1	0:00:08.189497
23	29	-1	0.0	0	0:00:08.181924
24	21	21	0.948	1	0:00:08.182999
25	16	16	1.08	1	0:00:08.180841
26	39	39	1.87	1	0:00:08.186610
27	8	8	1.2	1	0:00:08.183532
28	8	-1	0.0	0	0:00:08.184490
29	70	2	0.0826	0	0:00:08.187625
30	20	20	1.64	1	0:00:08.188055
31	61	61	0.78	1	0:00:08.179203
32	41	41	1.91	1	0:00:08.187859
33	93	73	0.699	0	0:00:08.183817
34	56	56	0.858	1	0:00:08.185435
35	73	-1	0.0	0	0:00:08.178472
36	58	58	0.308	1	0:00:08.186014
37	11	11	0.294	1	0:00:08.183499
38	25	25	0.102	1	0:00:08.183753
39	37	-1	0.0	0	0:00:08.182213
40	63	63	0.156	1	0:00:08.178402
41	24	95	0.0168	0	0:00:08.180748
42	49	-1	0.0	0	0:00:08.181207
43	73	23	0.416	0	0:00:08.186168
44	56	56	1.91	1	0:00:08.185244
45	22	22	1.91	1	0:00:08.184993
46	41	-1	0.0	0	0:00:08.180205
47	58	58	0.409	1	0:00:08.178905
48	75	-1	0.0	0	0:00:08.180388
49	17	76	0.172	0	0:00:08.182871
50	4	-1	0.0	0	0:00:08.177298
51	6	15	0.483	0	0:00:08.181159
52	9	9	0.444	1	0:00:08.179863
53	57	-1	0.0	0	0:00:08.182535
54	2	35	0.0197	0	0:00:08.181846
55	32	64	0.0557	0	0:00:08.182652
