epoch	time	lr	train loss	train acc	testloss	test acc
0	1.85e+02	0.1	4.57	0.0	4.35	2.71
1	1.86e+02	0.1	4.19	0.0	3.99	7.86
2	1.85e+02	0.1	4.03	0.0	3.81	10.7
3	1.86e+02	0.1	3.94	0.0	3.7	13.3
4	1.86e+02	0.1	3.89	0.0	3.59	14.9
5	1.85e+02	0.1	3.86	0.0	3.49	17.0
6	1.85e+02	0.1	3.85	0.0	3.43	18.8
7	1.85e+02	0.1	3.85	0.0	3.43	18.8
8	1.85e+02	0.1	3.87	0.0	3.4	19.8
9	1.85e+02	0.1	3.89	0.0	3.38	20.9
10	1.84e+02	0.1	3.87	0.0	3.39	20.7
11	1.84e+02	0.1	3.85	0.0	3.33	21.4
12	1.84e+02	0.1	3.84	0.0	3.33	21.6
13	1.84e+02	0.1	3.82	0.0	3.29	22.0
14	1.84e+02	0.1	3.81	0.0	3.32	22.3
15	1.85e+02	0.1	3.8	0.0	3.24	23.3
16	1.84e+02	0.1	3.78	0.0	3.27	23.0
17	1.84e+02	0.1	3.78	0.0	3.22	24.9
18	1.84e+02	0.1	3.77	0.0	3.21	24.6
19	1.84e+02	0.1	3.76	0.0	3.29	23.4
20	1.84e+02	0.1	3.75	0.0	3.19	24.5
21	1.84e+02	0.1	3.75	0.0	3.21	24.3
22	1.84e+02	0.1	3.74	0.0	3.19	24.7
23	1.83e+02	0.1	3.73	0.0	3.18	25.5
24	1.84e+02	0.1	3.73	0.0	3.16	25.9
25	1.84e+02	0.1	3.72	0.0	3.17	25.1
26	1.84e+02	0.1	3.71	0.0	3.13	26.0
27	1.84e+02	0.1	3.71	0.0	3.12	26.3
28	1.84e+02	0.1	3.7	0.0	3.15	26.0
29	1.84e+02	0.1	3.7	0.0	3.13	26.2
30	1.84e+02	0.1	3.69	0.0	3.12	25.6
31	1.84e+02	0.1	3.69	0.0	3.14	26.6
32	1.84e+02	0.1	3.68	0.0	3.1	27.2
33	1.84e+02	0.1	3.68	0.0	3.15	25.7
34	1.84e+02	0.1	3.67	0.0	3.13	26.9
35	1.84e+02	0.1	3.67	0.0	3.11	26.1
36	1.84e+02	0.1	3.67	0.0	3.11	27.4
37	1.84e+02	0.1	3.66	0.0	3.12	26.7
38	1.84e+02	0.1	3.66	0.0	3.09	26.7
39	1.84e+02	0.1	3.66	0.0	3.04	27.7
40	1.84e+02	0.1	3.65	0.0	3.09	27.5
41	1.84e+02	0.1	3.65	0.0	3.11	26.6
42	1.84e+02	0.1	3.65	0.0	3.08	27.4
43	1.84e+02	0.1	3.64	0.0	3.1	26.4
44	1.84e+02	0.1	3.64	0.0	3.1	26.9
45	1.84e+02	0.1	3.64	0.0	3.11	27.0
46	1.84e+02	0.1	3.63	0.0	3.07	27.0
47	1.84e+02	0.1	3.63	0.0	3.11	26.0
48	1.84e+02	0.1	3.63	0.0	3.06	28.4
49	1.84e+02	0.1	3.63	0.0	3.05	28.3
50	1.84e+02	0.1	3.62	0.0	3.09	27.5
51	1.84e+02	0.001	3.52	0.0	2.91	31.7
52	1.84e+02	0.01	3.49	0.0	2.89	32.5
53	1.84e+02	0.01	3.48	0.0	2.87	32.7
54	1.84e+02	0.01	3.47	0.0	2.89	32.8
55	1.84e+02	0.01	3.47	0.0	2.87	32.1
56	1.84e+02	0.01	3.46	0.0	2.86	32.8
57	1.84e+02	0.01	3.46	0.0	2.86	32.9
58	1.84e+02	0.01	3.46	0.0	2.86	32.9
59	1.84e+02	0.01	3.45	0.0	2.86	33.1
60	1.84e+02	0.01	3.45	0.0	2.85	33.0
61	1.84e+02	0.01	3.44	0.0	2.86	33.2
62	1.84e+02	0.01	3.44	0.0	2.86	33.1
63	1.84e+02	0.01	3.44	0.0	2.85	33.3
64	1.84e+02	0.01	3.44	0.0	2.85	33.2
65	1.83e+02	0.01	3.43	0.0	2.86	33.4
66	1.84e+02	0.01	3.43	0.0	2.85	33.1
67	1.84e+02	0.01	3.43	0.0	2.84	33.6
68	1.84e+02	0.01	3.43	0.0	2.85	33.3
69	1.84e+02	0.01	3.43	0.0	2.84	33.0
70	1.84e+02	0.01	3.42	0.0	2.85	33.2
71	1.84e+02	0.01	3.42	0.0	2.84	33.3
72	1.84e+02	0.01	3.42	0.0	2.84	33.7
73	1.84e+02	0.01	3.41	0.0	2.83	33.8
74	1.83e+02	0.01	3.41	0.0	2.84	33.7
75	1.84e+02	0.01	3.41	0.0	2.84	33.3
76	1.83e+02	0.01	3.41	0.0	2.84	33.6
77	1.84e+02	0.01	3.41	0.0	2.84	33.4
78	1.83e+02	0.01	3.4	0.0	2.83	33.7
79	1.84e+02	0.01	3.4	0.0	2.82	33.3
80	1.83e+02	0.01	3.4	0.0	2.83	34.0
81	1.83e+02	0.01	3.4	0.0	2.83	33.2
82	1.83e+02	0.01	3.4	0.0	2.83	33.3
83	1.84e+02	0.01	3.39	0.0	2.84	33.4
84	1.84e+02	0.01	3.4	0.0	2.82	33.5
85	1.83e+02	0.01	3.39	0.0	2.81	34.2
86	1.83e+02	0.01	3.39	0.0	2.83	33.1
87	1.83e+02	0.01	3.39	0.0	2.83	33.4
88	1.84e+02	0.01	3.39	0.0	2.82	34.5
89	1.83e+02	0.01	3.38	0.0	2.82	33.3
90	1.83e+02	0.01	3.38	0.0	2.83	33.6
91	1.83e+02	0.01	3.38	0.0	2.83	33.6
92	1.84e+02	0.01	3.38	0.0	2.83	33.6
93	1.83e+02	0.01	3.38	0.0	2.83	33.6
94	1.83e+02	0.01	3.38	0.0	2.83	33.6
95	1.83e+02	0.01	3.37	0.0	2.84	33.8
96	1.84e+02	0.01	3.37	0.0	2.83	33.2
97	1.84e+02	0.01	3.37	0.0	2.82	33.6
98	1.83e+02	0.01	3.37	0.0	2.83	33.5
99	1.83e+02	0.01	3.37	0.0	2.84	34.1
100	1.83e+02	0.01	3.37	0.0	2.83	33.2
101	1.83e+02	0.0001	3.33	0.0	2.8	34.4
102	1.83e+02	0.001	3.31	0.0	2.8	34.4
103	1.83e+02	0.001	3.31	0.0	2.8	33.9
104	1.83e+02	0.001	3.31	0.0	2.81	34.4
105	1.83e+02	0.001	3.31	0.0	2.79	34.5
106	1.84e+02	0.001	3.3	0.0	2.79	34.9
107	1.84e+02	0.001	3.3	0.0	2.78	34.7
108	1.83e+02	0.001	3.3	0.0	2.79	34.4
109	1.83e+02	0.001	3.3	0.0	2.79	34.7
110	1.83e+02	0.001	3.3	0.0	2.77	35.0
111	1.83e+02	0.001	3.29	0.0	2.79	34.5
112	1.83e+02	0.001	3.3	0.0	2.79	34.9
113	1.84e+02	0.001	3.29	0.0	2.79	34.9
114	1.84e+02	0.001	3.29	0.0	2.78	34.7
115	1.83e+02	0.001	3.29	0.0	2.79	34.3
116	1.83e+02	0.001	3.29	0.0	2.78	34.6
117	1.83e+02	0.001	3.29	0.0	2.79	35.0
118	1.83e+02	0.001	3.29	0.0	2.79	35.0
119	1.83e+02	0.001	3.29	0.0	2.79	34.8
120	1.83e+02	0.001	3.29	0.0	2.78	35.0
121	1.83e+02	0.001	3.29	0.0	2.79	34.7
122	1.83e+02	0.001	3.28	0.0	2.79	34.6
123	1.83e+02	0.001	3.28	0.0	2.79	34.5
124	1.83e+02	0.001	3.28	0.0	2.79	34.9
125	1.83e+02	0.001	3.29	0.0	2.77	34.5
