idx	label	predict	radius	correct	time
0	49	76	0.446	0	0:00:08.574049
1	33	38	0.406	0	0:00:08.013496
2	72	-1	0.0	0	0:00:08.021574
3	51	-1	0.0	0	0:00:08.021676
4	71	71	1.3	1	0:00:08.023684
5	92	-1	0.0	0	0:00:08.026819
6	15	27	0.451	0	0:00:08.024665
7	14	-1	0.0	0	0:00:08.025193
8	23	23	0.669	1	0:00:08.020662
9	0	57	0.0277	0	0:00:08.021797
10	71	14	0.0579	0	0:00:08.019896
11	75	75	0.402	1	0:00:08.021481
12	81	58	0.667	0	0:00:08.023430
13	69	-1	0.0	0	0:00:08.020027
14	40	40	0.271	1	0:00:08.024266
15	43	38	0.0229	0	0:00:08.015811
16	92	28	0.849	0	0:00:08.019884
17	97	97	0.185	1	0:00:08.025074
18	70	70	0.889	1	0:00:08.024084
19	53	-1	0.0	0	0:00:08.023787
20	70	70	0.942	1	0:00:08.023675
21	49	49	1.24	1	0:00:08.024769
22	75	75	1.28	1	0:00:08.025890
23	29	-1	0.0	0	0:00:08.018810
24	21	21	1.78	1	0:00:08.019655
25	16	16	0.926	1	0:00:08.021183
26	39	39	1.44	1	0:00:08.020706
27	8	8	1.0	1	0:00:08.020813
28	8	11	0.25	0	0:00:08.020218
29	70	98	0.11	0	0:00:08.024786
30	20	20	1.91	1	0:00:08.027822
31	61	61	0.12	1	0:00:08.020169
32	41	41	1.91	1	0:00:08.024184
33	93	73	0.508	0	0:00:08.021451
34	56	56	1.44	1	0:00:08.021703
35	73	-1	0.0	0	0:00:08.021357
36	58	58	0.8	1	0:00:08.025421
37	11	11	0.189	1	0:00:08.021769
38	25	-1	0.0	0	0:00:08.026815
39	37	17	0.147	0	0:00:08.026173
40	63	-1	0.0	0	0:00:08.025127
41	24	76	0.388	0	0:00:08.029533
42	49	58	0.15	0	0:00:08.029405
43	73	23	0.917	0	0:00:08.024219
44	56	56	1.91	1	0:00:08.028508
45	22	22	1.91	1	0:00:08.028706
46	41	1	0.322	0	0:00:08.020885
47	58	58	0.446	1	0:00:08.023232
48	75	90	0.0937	0	0:00:08.023603
49	17	76	0.829	0	0:00:08.023875
50	4	-1	0.0	0	0:00:08.021065
51	6	15	0.424	0	0:00:08.021127
52	9	9	0.128	1	0:00:08.020728
53	57	22	0.364	0	0:00:08.023663
54	2	2	0.062	1	0:00:08.025071
55	32	32	0.0409	1	0:00:08.025911
56	71	71	0.212	1	0:00:08.021166
57	52	52	1.84	1	0:00:08.022564
58	42	63	0.571	0	0:00:08.022288
59	69	30	1.22	0	0:00:08.022112
60	77	15	0.263	0	0:00:08.025710
61	27	43	0.18	0	0:00:08.020291
62	15	-1	0.0	0	0:00:08.028744
63	65	-1	0.0	0	0:00:08.018756
64	7	45	1.05	0	0:00:08.025957
65	35	45	0.114	0	0:00:08.024724
66	43	-1	0.0	0	0:00:08.022499
