epoch	time	lr	train loss	train acc	testloss	test acc
0	39.5	0.1	7.03	1.0	7.23	1.0
1	39.5	0.1	7.2	1.0	7.21	1.0
2	39.5	0.1	7.2	1.0	7.18	1.0
3	39.5	0.1	7.18	1.0	7.2	1.0
4	39.5	0.1	7.14	1.0	7.12	1.0
5	39.5	0.1	6.98	1.0	6.98	1.0
6	39.5	0.1	6.84	1.0	7.07	1.0
7	39.5	0.1	6.75	1.0	6.84	1.0
8	39.6	0.1	6.63	1.0	6.6	1.0
9	39.6	0.1	6.54	1.0	6.72	1.0
10	39.6	0.1	6.47	1.0	6.97	1.0
11	39.5	0.1	6.39	1.0	6.93	1.0
12	39.6	0.1	6.26	1.0	6.45	1.0
13	39.6	0.1	6.13	1.0	6.49	1.0
14	39.6	0.1	5.99	1.0	6.44	1.0
15	39.6	0.1	5.87	1.0	6.53	1.0
16	39.5	0.1	5.75	1.02	6.53	1.06
17	39.6	0.1	5.62	1.18	6.1	1.44
18	39.7	0.1	5.51	1.43	6.31	1.94
19	39.7	0.1	5.4	1.81	6.01	1.72
20	39.7	0.1	5.3	2.08	6.72	2.34
21	39.6	0.1	5.22	2.28	6.26	2.44
22	39.6	0.1	5.15	2.5	6.4	2.88
23	39.5	0.1	5.07	2.84	6.14	2.9
24	39.5	0.1	5.01	3.06	5.6	4.16
25	39.6	0.1	4.94	3.43	6.91	3.29
26	39.6	0.1	4.88	3.55	5.72	3.75
27	39.5	0.1	4.82	3.87	6.35	4.02
28	39.5	0.1	4.76	4.21	6.34	3.57
29	39.6	0.1	4.71	4.5	6.31	3.95
30	39.6	0.1	4.66	4.6	5.78	4.39
31	39.6	0.1	4.61	4.93	6.93	4.0
32	39.7	0.1	4.55	5.23	6.36	4.85
33	39.6	0.1	4.5	5.45	6.29	5.23
34	39.6	0.1	4.47	5.66	6.73	4.56
35	39.6	0.1	4.42	6.12	5.67	5.59
36	39.6	0.1	4.39	6.25	5.92	5.7
37	39.6	0.1	4.35	6.19	6.36	5.71
38	39.6	0.1	4.3	6.71	6.56	5.55
