idx	label	predict	radius	correct	time
0	3	3	0.598	1	0:00:08.123816
100	4	4	0.198	1	0:00:08.119368
200	5	5	0.869	1	0:00:08.124158
300	6	6	0.953	1	0:00:08.118316
400	9	9	0.953	1	0:00:08.128805
500	4	6	0.138	0	0:00:08.122123
600	8	8	0.935	1	0:00:08.121369
700	7	7	0.953	1	0:00:08.118524
800	7	7	0.953	1	0:00:08.122669
900	2	6	0.319	0	0:00:08.116558
1000	5	5	0.953	1	0:00:08.117720
1100	7	7	0.243	1	0:00:08.119771
1200	8	8	0.825	1	0:00:08.121218
1300	4	3	0.11	0	0:00:08.111668
1400	5	5	0.0381	1	0:00:08.111962
1500	1	1	0.953	1	0:00:08.119436
1600	8	9	0.343	0	0:00:08.117759
1700	5	5	0.478	1	0:00:08.114325
1800	4	4	0.478	1	0:00:08.114082
1900	8	8	0.953	1	0:00:08.115693
2000	1	1	0.612	1	0:00:08.115479
2100	2	2	0.687	1	0:00:08.113151
2200	0	0	0.563	1	0:00:08.113328
2300	3	3	0.179	1	0:00:08.110916
2400	0	0	0.935	1	0:00:08.118779
2500	4	4	0.273	1	0:00:08.110733
2600	8	8	0.953	1	0:00:08.111353
2700	9	9	0.211	1	0:00:08.119715
2800	4	4	0.393	1	0:00:08.110167
2900	3	5	0.953	0	0:00:08.118421
3000	5	5	0.953	1	0:00:08.112894
3100	0	0	0.953	1	0:00:08.106851
3200	5	5	0.527	1	0:00:08.110681
3300	4	4	0.355	1	0:00:08.108433
3400	6	4	0.615	0	0:00:08.111843
3500	1	1	0.647	1	0:00:08.115142
3600	4	2	0.552	0	0:00:08.115391
3700	3	3	0.953	1	0:00:08.112602
3800	9	9	0.953	1	0:00:08.114442
3900	3	6	0.827	0	0:00:08.114377
4000	8	0	0.103	0	0:00:08.113686
4100	7	7	0.953	1	0:00:08.118317
4200	4	4	0.728	1	0:00:08.114812
4300	8	8	0.953	1	0:00:08.117239
4400	3	4	0.201	0	0:00:08.117041
4500	3	3	0.019	1	0:00:08.129126
4600	4	4	0.755	1	0:00:08.126835
4700	6	6	0.11	1	0:00:08.122235
4800	9	9	0.953	1	0:00:08.131392
4900	3	3	0.27	1	0:00:08.123956
5000	7	7	0.953	1	0:00:08.125901
5100	3	3	0.953	1	0:00:08.120948
5200	3	3	0.898	1	0:00:08.123864
5300	9	9	0.79	1	0:00:08.125504
5400	9	9	0.935	1	0:00:08.125581
5500	8	8	0.556	1	0:00:08.130760
5600	6	-1	0.0	0	0:00:08.124331
5700	3	5	0.0179	0	0:00:08.127930
5800	2	2	0.898	1	0:00:08.126799
5900	4	-1	0.0	0	0:00:08.127014
6000	8	8	0.589	1	0:00:08.141431
6100	1	1	0.953	1	0:00:08.131383
6200	3	3	0.811	1	0:00:08.136385
6300	1	1	0.922	1	0:00:08.132942
6400	0	0	0.6	1	0:00:08.132486
6500	7	6	0.348	0	0:00:08.127489
6600	7	7	0.953	1	0:00:08.142920
6700	6	6	0.873	1	0:00:08.132015
6800	6	6	0.25	1	0:00:08.127070
6900	3	3	0.953	1	0:00:08.132885
