idx	label	predict	radius	correct	time
0	3	3	0.701	1	0:00:08.105906
100	4	4	0.0776	1	0:00:08.103175
200	5	5	0.291	1	0:00:08.115781
300	6	6	0.886	1	0:00:08.106952
400	9	9	0.953	1	0:00:08.116815
500	4	6	0.317	0	0:00:08.111424
600	8	8	0.212	1	0:00:08.111980
700	7	7	0.756	1	0:00:08.110931
800	7	7	0.953	1	0:00:08.107551
900	2	6	0.598	0	0:00:08.107085
1000	5	5	0.953	1	0:00:08.109119
1100	7	7	0.792	1	0:00:08.120237
1200	8	8	0.478	1	0:00:08.104953
1300	4	3	0.193	0	0:00:08.097049
1400	5	5	0.583	1	0:00:08.102917
1500	1	1	0.953	1	0:00:08.111628
1600	8	9	0.0224	0	0:00:08.106035
1700	5	5	0.171	1	0:00:08.110600
1800	4	4	0.501	1	0:00:08.106691
1900	8	8	0.953	1	0:00:08.110001
2000	1	6	0.0658	0	0:00:08.114623
2100	2	2	0.873	1	0:00:08.110196
2200	0	0	0.152	1	0:00:08.113762
2300	3	3	0.232	1	0:00:08.111228
2400	0	0	0.953	1	0:00:08.112131
2500	4	-1	0.0	0	0:00:08.110870
2600	8	8	0.953	1	0:00:08.112665
2700	9	9	0.184	1	0:00:08.119097
2800	4	4	0.255	1	0:00:08.115686
2900	3	5	0.721	0	0:00:08.119421
3000	5	5	0.953	1	0:00:08.119946
3100	0	0	0.953	1	0:00:08.110325
3200	5	5	0.444	1	0:00:08.121092
3300	4	2	0.11	0	0:00:08.121330
3400	6	4	0.538	0	0:00:08.119807
3500	1	1	0.0361	1	0:00:08.123077
3600	4	2	0.922	0	0:00:08.123749
3700	3	3	0.71	1	0:00:08.124310
3800	9	9	0.709	1	0:00:08.125270
3900	3	6	0.858	0	0:00:08.122285
4000	8	0	0.504	0	0:00:08.125825
4100	7	7	0.953	1	0:00:08.129117
4200	4	4	0.254	1	0:00:08.121228
4300	8	8	0.953	1	0:00:08.126122
4400	3	4	0.00057	0	0:00:08.125647
4500	3	5	0.458	0	0:00:08.126269
4600	4	4	0.766	1	0:00:08.127447
4700	6	1	0.00186	0	0:00:08.124883
4800	9	9	0.953	1	0:00:08.127109
4900	3	3	0.525	1	0:00:08.129889
5000	7	7	0.953	1	0:00:08.131152
5100	3	3	0.953	1	0:00:08.127501
5200	3	3	0.953	1	0:00:08.125926
5300	9	1	0.348	0	0:00:08.127567
5400	9	9	0.56	1	0:00:08.124912
5500	8	8	0.444	1	0:00:08.125930
5600	6	-1	0.0	0	0:00:08.124412
5700	3	3	0.196	1	0:00:08.128836
5800	2	2	0.789	1	0:00:08.125991
5900	4	-1	0.0	0	0:00:08.121884
6000	8	9	0.249	0	0:00:08.124179
6100	1	1	0.306	1	0:00:08.125014
6200	3	2	0.263	0	0:00:08.130568
6300	1	1	0.173	1	0:00:08.125059
6400	0	0	0.54	1	0:00:08.125497
6500	7	6	0.298	0	0:00:08.122475
6600	7	7	0.953	1	0:00:08.133437
6700	6	6	0.892	1	0:00:08.125383
6800	6	6	0.162	1	0:00:08.124951
6900	3	3	0.653	1	0:00:08.125560
7000	2	8	0.0147	0	0:00:08.114380
7100	9	3	0.176	0	0:00:08.120390
7200	4	4	0.232	1	0:00:08.118093
7300	3	5	0.026	0	0:00:08.120068
7400	3	3	0.72	1	0:00:08.126191
7500	6	6	0.953	1	0:00:08.126380
7600	8	9	0.428	0	0:00:08.116399
7700	6	6	0.953	1	0:00:08.115851
7800	0	0	0.953	1	0:00:08.116181
7900	0	2	0.31	0	0:00:08.120505
8000	9	9	0.423	1	0:00:08.120423
8100	6	6	0.00686	1	0:00:08.118985
8200	3	7	0.184	0	0:00:08.118489
8300	5	-1	0.0	0	0:00:08.115626
8400	0	0	0.444	1	0:00:08.112303
8500	4	4	0.953	1	0:00:08.110068
8600	3	4	0.0634	0	0:00:08.115766
8700	3	3	0.892	1	0:00:08.112169
8800	0	0	0.953	1	0:00:08.114472
8900	2	2	0.254	1	0:00:08.107817
9000	8	8	0.953	1	0:00:08.116196
9100	9	1	0.396	0	0:00:08.114067
9200	8	8	0.953	1	0:00:08.105182
9300	5	5	0.301	1	0:00:08.110865
9400	6	6	0.953	1	0:00:08.108117
9500	9	9	0.666	1	0:00:08.109431
9600	8	8	0.449	1	0:00:08.110048
9700	0	0	0.953	1	0:00:08.106406
9800	1	1	0.953	1	0:00:08.117699
9900	8	8	0.122	1	0:00:08.107010
10000	3	3	0.953	1	0:00:08.111673
10100	4	4	0.387	1	0:00:08.100518
10200	5	5	0.898	1	0:00:08.115503
10300	6	6	0.922	1	0:00:08.103453
10400	9	9	0.953	1	0:00:08.109967
10500	4	6	0.0909	0	0:00:08.105546
10600	8	8	0.627	1	0:00:08.105593
10700	7	7	0.922	1	0:00:08.106340
10800	7	7	0.953	1	0:00:08.111591
10900	2	6	0.287	0	0:00:08.105560
11000	5	5	0.953	1	0:00:08.105482
11100	7	7	0.0562	1	0:00:08.106241
11200	8	8	0.749	1	0:00:08.107676
11300	4	3	0.361	0	0:00:08.096695
11400	5	5	0.0459	1	0:00:08.101292
11500	1	1	0.781	1	0:00:08.113231
11600	8	-1	0.0	0	0:00:08.104250
11700	5	-1	0.0	0	0:00:08.108436
11800	4	4	0.141	1	0:00:08.107125
11900	8	8	0.953	1	0:00:08.104557
12000	1	1	0.394	1	0:00:08.105347
12100	2	2	0.717	1	0:00:08.101895
12200	0	0	0.0416	1	0:00:08.101572
12300	3	3	0.00273	1	0:00:08.099126
12400	0	0	0.953	1	0:00:08.106996
12500	4	4	0.397	1	0:00:08.101279
12600	8	8	0.953	1	0:00:08.108362
