idx	label	predict	radius	correct	time
0	3	3	0.621	1	0:00:08.092141
100	4	4	0.17	1	0:00:08.091270
200	5	5	0.556	1	0:00:08.095577
300	6	6	0.953	1	0:00:08.091003
400	9	9	0.953	1	0:00:08.098189
500	4	-1	0.0	0	0:00:08.093504
600	8	8	0.953	1	0:00:08.093807
700	7	7	0.953	1	0:00:08.097582
800	7	7	0.953	1	0:00:08.100928
900	2	-1	0.0	0	0:00:08.093493
1000	5	5	0.953	1	0:00:08.099869
1100	7	8	0.34	0	0:00:08.097142
1200	8	8	0.767	1	0:00:08.099090
1300	4	4	0.596	1	0:00:08.088540
1400	5	5	0.913	1	0:00:08.096630
1500	1	1	0.935	1	0:00:08.106099
1600	8	9	0.585	0	0:00:08.112248
1700	5	5	0.818	1	0:00:08.119064
1800	4	-1	0.0	0	0:00:08.114398
1900	8	8	0.953	1	0:00:08.125169
2000	1	1	0.562	1	0:00:08.117297
2100	2	2	0.935	1	0:00:08.113647
2200	0	0	0.17	1	0:00:08.115978
2300	3	-1	0.0	0	0:00:08.120792
2400	0	0	0.953	1	0:00:08.139920
2500	4	4	0.181	1	0:00:08.126363
2600	8	8	0.953	1	0:00:08.125371
2700	9	1	0.0153	0	0:00:08.130116
2800	4	4	0.315	1	0:00:08.123960
2900	3	5	0.953	0	0:00:08.122905
3000	5	5	0.953	1	0:00:08.122932
3100	0	0	0.953	1	0:00:08.113643
3200	5	5	0.39	1	0:00:08.127279
3300	4	4	0.185	1	0:00:08.119949
3400	6	4	0.52	0	0:00:08.125337
3500	1	1	0.898	1	0:00:08.126451
3600	4	2	0.573	0	0:00:08.123110
3700	3	3	0.43	1	0:00:08.121974
3800	9	9	0.396	1	0:00:08.127871
3900	3	6	0.633	0	0:00:08.126991
4000	8	0	0.256	0	0:00:08.127821
4100	7	7	0.953	1	0:00:08.130355
4200	4	4	0.0643	1	0:00:08.121375
4300	8	8	0.935	1	0:00:08.119625
4400	3	-1	0.0	0	0:00:08.126315
4500	3	3	0.587	1	0:00:08.126863
4600	4	4	0.61	1	0:00:08.126857
4700	6	-1	0.0	0	0:00:08.129358
4800	9	9	0.953	1	0:00:08.124639
4900	3	1	0.24	0	0:00:08.129590
5000	7	7	0.953	1	0:00:08.127377
5100	3	3	0.953	1	0:00:08.120188
5200	3	3	0.682	1	0:00:08.121774
5300	9	9	0.698	1	0:00:08.126459
5400	9	9	0.593	1	0:00:08.119712
5500	8	8	0.727	1	0:00:08.118367
5600	6	0	0.0179	0	0:00:08.116029
5700	3	3	0.563	1	0:00:08.121181
5800	2	2	0.953	1	0:00:08.117598
5900	4	5	0.0429	0	0:00:08.113744
6000	8	8	0.808	1	0:00:08.114979
6100	1	1	0.869	1	0:00:08.114813
6200	3	3	0.632	1	0:00:08.122182
6300	1	1	0.69	1	0:00:08.113734
6400	0	0	0.551	1	0:00:08.117238
6500	7	0	0.621	0	0:00:08.107990
6600	7	7	0.953	1	0:00:08.117894
6700	6	6	0.531	1	0:00:08.110394
6800	6	-1	0.0	0	0:00:08.108968
6900	3	3	0.65	1	0:00:08.117113
7000	2	8	0.502	0	0:00:08.110875
7100	9	9	0.423	1	0:00:08.112879
7200	4	4	0.045	1	0:00:08.102642
7300	3	5	0.609	0	0:00:08.108146
7400	3	3	0.258	1	0:00:08.112660
7500	6	6	0.953	1	0:00:08.114604
7600	8	9	0.424	0	0:00:08.104711
7700	6	6	0.935	1	0:00:08.106517
7800	0	0	0.953	1	0:00:08.105233
7900	0	0	0.433	1	0:00:08.110817
8000	9	9	0.586	1	0:00:08.108271
8100	6	0	0.0786	0	0:00:08.118761
8200	3	0	0.169	0	0:00:08.113125
8300	5	5	0.0466	1	0:00:08.108923
8400	0	0	0.279	1	0:00:08.112036
8500	4	4	0.829	1	0:00:08.114989
8600	3	2	0.0356	0	0:00:08.117359
8700	3	3	0.459	1	0:00:08.114055
8800	0	0	0.953	1	0:00:08.116664
8900	2	2	0.792	1	0:00:08.117971
9000	8	8	0.953	1	0:00:08.121535
9100	9	1	0.145	0	0:00:08.115519
9200	8	8	0.953	1	0:00:08.108629
9300	5	5	0.386	1	0:00:08.123800
9400	6	6	0.43	1	0:00:08.115788
9500	9	9	0.953	1	0:00:08.124847
9600	8	8	0.63	1	0:00:08.120129
9700	0	0	0.953	1	0:00:08.115202
9800	1	1	0.953	1	0:00:08.125379
9900	8	8	0.696	1	0:00:08.125099
10000	3	3	0.36	1	0:00:08.124953
10100	4	5	0.162	0	0:00:08.117071
10200	5	3	0.0715	0	0:00:08.128898
10300	6	6	0.892	1	0:00:08.123577
10400	9	9	0.953	1	0:00:08.126383
10500	4	-1	0.0	0	0:00:08.122624
10600	8	8	0.935	1	0:00:08.129609
10700	7	7	0.953	1	0:00:08.126298
10800	7	7	0.953	1	0:00:08.131560
10900	2	5	0.0256	0	0:00:08.119680
11000	5	5	0.953	1	0:00:08.126896
11100	7	8	0.417	0	0:00:08.123447
11200	8	8	0.638	1	0:00:08.125327
11300	4	4	0.799	1	0:00:08.118379
11400	5	5	0.953	1	0:00:08.122768
11500	1	1	0.873	1	0:00:08.129768
11600	8	9	0.224	0	0:00:08.125191
11700	5	5	0.332	1	0:00:08.119679
11800	4	4	0.0817	1	0:00:08.122898
11900	8	8	0.953	1	0:00:08.121835
12000	1	1	0.541	1	0:00:08.120633
12100	2	2	0.953	1	0:00:08.120101
12200	0	0	0.122	1	0:00:08.118583
12300	3	8	0.06	0	0:00:08.114625
12400	0	0	0.953	1	0:00:08.123858
12500	4	4	0.0947	1	0:00:08.113022
12600	8	8	0.953	1	0:00:08.117049
12700	9	-1	0.0	0	0:00:08.122964
12800	4	0	0.0775	0	0:00:08.116275
12900	3	5	0.725	0	0:00:08.116828
