idx	label	predict	radius	correct	time
0	3	3	0.507	1	0:00:08.475076
100	4	4	0.29	1	0:00:07.920682
200	5	5	0.865	1	0:00:07.944563
300	6	6	0.953	1	0:00:07.981688
400	9	9	0.953	1	0:00:08.003487
500	4	6	0.167	0	0:00:08.004249
600	8	8	0.953	1	0:00:08.023218
700	7	7	0.953	1	0:00:08.036839
800	7	7	0.953	1	0:00:08.048532
900	2	6	0.296	0	0:00:08.058868
1000	5	5	0.953	1	0:00:08.069064
1100	7	7	0.242	1	0:00:08.077743
1200	8	8	0.823	1	0:00:08.081559
1300	4	3	0.114	0	0:00:08.076243
1400	5	5	0.0985	1	0:00:08.084915
1500	1	1	0.953	1	0:00:08.099081
1600	8	9	0.386	0	0:00:08.102925
1700	5	5	0.531	1	0:00:08.103636
1800	4	4	0.426	1	0:00:08.100250
1900	8	8	0.953	1	0:00:08.102485
2000	1	1	0.62	1	0:00:08.103849
2100	2	2	0.72	1	0:00:08.102740
2200	0	0	0.539	1	0:00:08.103664
2300	3	3	0.212	1	0:00:08.105620
2400	0	0	0.935	1	0:00:08.114072
2500	4	4	0.193	1	0:00:08.109511
2600	8	8	0.953	1	0:00:08.109924
2700	9	9	0.215	1	0:00:08.110516
2800	4	4	0.408	1	0:00:08.106314
2900	3	5	0.953	0	0:00:08.107113
3000	5	5	0.953	1	0:00:08.109747
3100	0	0	0.953	1	0:00:08.099490
3200	5	5	0.58	1	0:00:08.111951
3300	4	4	0.371	1	0:00:08.105070
3400	6	4	0.52	0	0:00:08.109606
3500	1	1	0.702	1	0:00:08.113498
3600	4	2	0.565	0	0:00:08.109243
3700	3	3	0.953	1	0:00:08.107323
3800	9	9	0.953	1	0:00:08.114056
3900	3	6	0.799	0	0:00:08.109593
4000	8	0	0.0769	0	0:00:08.112139
4100	7	7	0.953	1	0:00:08.111979
4200	4	4	0.745	1	0:00:08.112137
4300	8	8	0.953	1	0:00:08.106702
4400	3	4	0.169	0	0:00:08.112697
4500	3	3	0.0615	1	0:00:08.109656
4600	4	4	0.81	1	0:00:08.115082
4700	6	6	0.131	1	0:00:08.116060
4800	9	9	0.953	1	0:00:08.115978
4900	3	3	0.32	1	0:00:08.114452
5000	7	7	0.953	1	0:00:08.117216
5100	3	3	0.953	1	0:00:08.111773
5200	3	3	0.892	1	0:00:08.107901
5300	9	9	0.898	1	0:00:08.113505
5400	9	9	0.953	1	0:00:08.111634
5500	8	8	0.451	1	0:00:08.109510
5600	6	-1	0.0	0	0:00:08.110704
5700	3	5	0.0636	0	0:00:08.109480
5800	2	2	0.892	1	0:00:08.111980
5900	4	-1	0.0	0	0:00:08.104137
6000	8	8	0.517	1	0:00:08.106007
6100	1	1	0.953	1	0:00:08.106223
6200	3	3	0.773	1	0:00:08.108288
6300	1	1	0.953	1	0:00:08.107325
6400	0	0	0.58	1	0:00:08.109543
6500	7	6	0.326	0	0:00:08.103824
6600	7	7	0.953	1	0:00:08.118053
6700	6	6	0.953	1	0:00:08.107097
6800	6	6	0.255	1	0:00:08.104024
6900	3	3	0.953	1	0:00:08.114302
7000	2	0	0.0612	0	0:00:08.106192
7100	9	3	0.725	0	0:00:08.110194
7200	4	4	0.02	1	0:00:08.102378
7300	3	5	0.448	0	0:00:08.100863
7400	3	3	0.243	1	0:00:08.101155
7500	6	6	0.953	1	0:00:08.113336
7600	8	9	0.427	0	0:00:08.099421
7700	6	6	0.953	1	0:00:08.099094
7800	0	0	0.953	1	0:00:08.098029
7900	0	2	0.252	0	0:00:08.100410
8000	9	9	0.953	1	0:00:08.108418
8100	6	6	0.0862	1	0:00:08.103288
8200	3	-1	0.0	0	0:00:08.101864
8300	5	-1	0.0	0	0:00:08.099843
8400	0	0	0.694	1	0:00:08.100606
8500	4	4	0.953	1	0:00:08.097912
8600	3	-1	0.0	0	0:00:08.103959
8700	3	3	0.722	1	0:00:08.101470
8800	0	0	0.953	1	0:00:08.101975
8900	2	2	0.308	1	0:00:08.108618
9000	8	8	0.953	1	0:00:08.104872
9100	9	1	0.485	0	0:00:08.110337
9200	8	8	0.953	1	0:00:08.101411
9300	5	5	0.325	1	0:00:08.108300
9400	6	6	0.953	1	0:00:08.108400
9500	9	9	0.953	1	0:00:08.107997
9600	8	8	0.749	1	0:00:08.102704
9700	0	0	0.953	1	0:00:08.106447
9800	1	1	0.953	1	0:00:08.112364
9900	8	8	0.818	1	0:00:08.113404
10000	3	3	0.54	1	0:00:08.104930
10100	4	4	0.209	1	0:00:08.101331
10200	5	5	0.813	1	0:00:08.107942
10300	6	6	0.953	1	0:00:08.105940
10400	9	9	0.953	1	0:00:08.109954
10500	4	6	0.152	0	0:00:08.106647
10600	8	8	0.905	1	0:00:08.106766
10700	7	7	0.953	1	0:00:08.112956
10800	7	7	0.953	1	0:00:08.111033
10900	2	6	0.297	0	0:00:08.102036
11000	5	5	0.953	1	0:00:08.106216
11100	7	7	0.223	1	0:00:08.108052
11200	8	8	0.886	1	0:00:08.105657
11300	4	3	0.171	0	0:00:08.094183
11400	5	-1	0.0	0	0:00:08.098819
11500	1	1	0.953	1	0:00:08.109809
11600	8	9	0.336	0	0:00:08.101429
11700	5	5	0.548	1	0:00:08.104625
11800	4	4	0.315	1	0:00:08.104638
11900	8	8	0.953	1	0:00:08.104162
12000	1	1	0.623	1	0:00:08.105592
12100	2	2	0.687	1	0:00:08.102855
12200	0	0	0.622	1	0:00:08.100344
12300	3	3	0.213	1	0:00:08.102698
12400	0	0	0.922	1	0:00:08.106440
12500	4	4	0.147	1	0:00:08.100925
12600	8	8	0.953	1	0:00:08.099176
12700	9	9	0.194	1	0:00:08.108745
12800	4	4	0.424	1	0:00:08.102159
12900	3	5	0.953	0	0:00:08.105885
13000	5	5	0.953	1	0:00:08.103442
13100	0	0	0.953	1	0:00:08.095774
13200	5	5	0.495	1	0:00:08.105567
13300	4	4	0.371	1	0:00:08.102630
13400	6	4	0.537	0	0:00:08.101297
13500	1	1	0.782	1	0:00:08.105566
13600	4	2	0.531	0	0:00:08.102317
13700	3	3	0.953	1	0:00:08.102149
13800	9	9	0.953	1	0:00:08.105099
13900	3	6	0.732	0	0:00:08.103967
14000	8	-1	0.0	0	0:00:08.100611
14100	7	7	0.953	1	0:00:08.105076
14200	4	4	0.749	1	0:00:08.094536
14300	8	8	0.953	1	0:00:08.101788
14400	3	4	0.198	0	0:00:08.100965
14500	3	-1	0.0	0	0:00:08.105487
14600	4	4	0.743	1	0:00:08.106479
14700	6	6	0.177	1	0:00:08.105073
14800	9	9	0.953	1	0:00:08.111412
14900	3	3	0.296	1	0:00:08.111045
15000	7	7	0.953	1	0:00:08.108466
15100	3	3	0.953	1	0:00:08.109577
15200	3	3	0.905	1	0:00:08.103426
15300	9	9	0.862	1	0:00:08.106831
15400	9	9	0.953	1	0:00:08.104799
15500	8	8	0.482	1	0:00:08.099933
15600	6	-1	0.0	0	0:00:08.100132
15700	3	3	0.0636	1	0:00:08.102984
15800	2	2	0.847	1	0:00:08.102555
15900	4	4	0.0437	1	0:00:08.100054
16000	8	8	0.582	1	0:00:08.101773
16100	1	1	0.953	1	0:00:08.102276
16200	3	3	0.781	1	0:00:08.100578
16300	1	1	0.953	1	0:00:08.103725
16400	0	0	0.71	1	0:00:08.100212
16500	7	6	0.246	0	0:00:08.101356
16600	7	7	0.953	1	0:00:08.108255
16700	6	6	0.922	1	0:00:08.098428
16800	6	6	0.234	1	0:00:08.096161
16900	3	3	0.953	1	0:00:08.101326
17000	2	0	0.0147	0	0:00:08.093241
17100	9	3	0.761	0	0:00:08.097407
17200	4	6	0.00802	0	0:00:08.094707
17300	3	5	0.517	0	0:00:08.095062
17400	3	3	0.289	1	0:00:08.093475
17500	6	6	0.953	1	0:00:08.097117
17600	8	9	0.501	0	0:00:08.097852
17700	6	6	0.953	1	0:00:08.087604
17800	0	0	0.953	1	0:00:08.087275
17900	0	2	0.249	0	0:00:08.091721
18000	9	9	0.953	1	0:00:08.091088
18100	6	6	0.127	1	0:00:08.091678
18200	3	-1	0.0	0	0:00:08.090806
18300	5	-1	0.0	0	0:00:08.089271
18400	0	0	0.656	1	0:00:08.088340
18500	4	4	0.953	1	0:00:08.085606
18600	3	4	0.0238	0	0:00:08.091600
18700	3	3	0.682	1	0:00:08.090240
18800	0	0	0.953	1	0:00:08.091907
18900	2	2	0.253	1	0:00:08.089772
19000	8	8	0.953	1	0:00:08.097313
19100	9	1	0.511	0	0:00:08.094484
19200	8	8	0.953	1	0:00:08.089185
19300	5	5	0.186	1	0:00:08.098027
19400	6	6	0.953	1	0:00:08.091452
19500	9	9	0.953	1	0:00:08.093358
19600	8	8	0.762	1	0:00:08.091723
19700	0	0	0.953	1	0:00:08.089022
19800	1	1	0.953	1	0:00:08.098593
19900	8	8	0.922	1	0:00:08.094718
20000	3	3	0.419	1	0:00:08.092535
20100	4	4	0.317	1	0:00:08.088900
20200	5	5	0.892	1	0:00:08.096952
20300	6	6	0.953	1	0:00:08.089465
20400	9	9	0.953	1	0:00:08.096728
20500	4	6	0.206	0	0:00:08.092161
20600	8	8	0.898	1	0:00:08.093522
20700	7	7	0.953	1	0:00:08.093568
20800	7	7	0.953	1	0:00:08.096433
20900	2	6	0.243	0	0:00:08.088612
21000	5	5	0.953	1	0:00:08.095569
21100	7	7	0.192	1	0:00:08.095772
21200	8	8	0.881	1	0:00:08.093979
21300	4	3	0.302	0	0:00:08.085663
21400	5	3	0.0173	0	0:00:08.093369
21500	1	1	0.953	1	0:00:08.104238
21600	8	9	0.368	0	0:00:08.099141
21700	5	5	0.47	1	0:00:08.098548
21800	4	4	0.474	1	0:00:08.095057
21900	8	8	0.953	1	0:00:08.098063
22000	1	1	0.61	1	0:00:08.099044
22100	2	2	0.729	1	0:00:08.097860
22200	0	0	0.628	1	0:00:08.095848
22300	3	3	0.157	1	0:00:08.095747
22400	0	0	0.953	1	0:00:08.107154
22500	4	4	0.112	1	0:00:08.098607
22600	8	8	0.953	1	0:00:08.098934
22700	9	9	0.161	1	0:00:08.109647
22800	4	4	0.431	1	0:00:08.100832
22900	3	5	0.953	0	0:00:08.101821
23000	5	5	0.953	1	0:00:08.099883
23100	0	0	0.953	1	0:00:08.093729
23200	5	5	0.412	1	0:00:08.099296
23300	4	4	0.325	1	0:00:08.097063
23400	6	4	0.496	0	0:00:08.099772
23500	1	1	0.662	1	0:00:08.101285
23600	4	2	0.509	0	0:00:08.101383
23700	3	3	0.953	1	0:00:08.096906
23800	9	9	0.953	1	0:00:08.102009
23900	3	6	0.862	0	0:00:08.100358
24000	8	-1	0.0	0	0:00:08.099957
24100	7	7	0.953	1	0:00:08.103921
24200	4	4	0.792	1	0:00:08.093175
24300	8	8	0.953	1	0:00:08.097010
24400	3	4	0.121	0	0:00:08.093990
24500	3	3	0.0652	1	0:00:08.096159
24600	4	4	0.693	1	0:00:08.102374
24700	6	6	0.0907	1	0:00:08.100500
24800	9	9	0.953	1	0:00:08.100058
24900	3	3	0.364	1	0:00:08.101473
25000	7	7	0.953	1	0:00:08.101692
25100	3	3	0.953	1	0:00:08.101328
25200	3	3	0.858	1	0:00:08.097830
25300	9	9	0.922	1	0:00:08.101256
25400	9	9	0.953	1	0:00:08.096305
25500	8	8	0.506	1	0:00:08.095647
25600	6	-1	0.0	0	0:00:08.099729
25700	3	5	0.162	0	0:00:08.098027
25800	2	2	0.837	1	0:00:08.093317
25900	4	4	0.0145	1	0:00:08.087641
26000	8	8	0.455	1	0:00:08.092147
26100	1	1	0.953	1	0:00:08.098089
26200	3	3	0.752	1	0:00:08.092601
26300	1	1	0.953	1	0:00:08.094764
26400	0	0	0.714	1	0:00:08.093076
26500	7	6	0.318	0	0:00:08.092350
26600	7	7	0.953	1	0:00:08.099742
26700	6	6	0.855	1	0:00:08.096342
26800	6	6	0.31	1	0:00:08.091750
26900	3	3	0.953	1	0:00:08.098688
27000	2	0	0.149	0	0:00:08.089371
27100	9	3	0.611	0	0:00:08.095351
27200	4	6	0.0221	0	0:00:08.089666
27300	3	5	0.458	0	0:00:08.092795
27400	3	3	0.292	1	0:00:08.093573
27500	6	6	0.953	1	0:00:08.096232
27600	8	9	0.475	0	0:00:08.092505
27700	6	6	0.953	1	0:00:08.091136
27800	0	0	0.953	1	0:00:08.090490
27900	0	2	0.223	0	0:00:08.096084
28000	9	9	0.953	1	0:00:08.093019
28100	6	6	0.214	1	0:00:08.099088
28200	3	-1	0.0	0	0:00:08.093897
28300	5	-1	0.0	0	0:00:08.091825
28400	0	0	0.663	1	0:00:08.090750
28500	4	4	0.953	1	0:00:08.093045
28600	3	-1	0.0	0	0:00:08.096417
28700	3	3	0.702	1	0:00:08.095597
28800	0	0	0.953	1	0:00:08.092895
28900	2	2	0.17	1	0:00:08.091475
29000	8	8	0.953	1	0:00:08.092780
29100	9	1	0.378	0	0:00:08.093546
29200	8	8	0.953	1	0:00:08.087989
29300	5	5	0.232	1	0:00:08.092669
29400	6	6	0.953	1	0:00:08.092124
29500	9	9	0.953	1	0:00:08.095333
29600	8	8	0.776	1	0:00:08.089237
29700	0	0	0.953	1	0:00:08.090731
