idx	label	predict	radius	correct	time
0	3	3	0.54	1	0:00:08.124987
100	4	4	0.192	1	0:00:08.121880
200	5	5	0.905	1	0:00:08.129837
300	6	6	0.953	1	0:00:08.130322
400	9	9	0.953	1	0:00:08.132193
500	4	6	0.128	0	0:00:08.127036
600	8	8	0.935	1	0:00:08.128354
700	7	7	0.953	1	0:00:08.126009
800	7	7	0.953	1	0:00:08.124644
900	2	6	0.325	0	0:00:08.117333
1000	5	5	0.953	1	0:00:08.124091
1100	7	7	0.0648	1	0:00:08.124427
1200	8	8	0.835	1	0:00:08.123796
1300	4	3	0.119	0	0:00:08.115090
1400	5	5	0.0077	1	0:00:08.119724
1500	1	1	0.953	1	0:00:08.127747
1600	8	9	0.342	0	0:00:08.121225
1700	5	5	0.557	1	0:00:08.117668
1800	4	4	0.519	1	0:00:08.114502
1900	8	8	0.953	1	0:00:08.113811
2000	1	1	0.695	1	0:00:08.116924
2100	2	2	0.598	1	0:00:08.116546
2200	0	0	0.557	1	0:00:08.115216
2300	3	3	0.134	1	0:00:08.116017
2400	0	0	0.922	1	0:00:08.124475
2500	4	4	0.16	1	0:00:08.113958
2600	8	8	0.953	1	0:00:08.115426
2700	9	9	0.184	1	0:00:08.122482
2800	4	4	0.337	1	0:00:08.114179
2900	3	5	0.953	0	0:00:08.114799
3000	5	5	0.953	1	0:00:08.113515
3100	0	0	0.953	1	0:00:08.104806
3200	5	5	0.647	1	0:00:08.111660
3300	4	4	0.353	1	0:00:08.107765
3400	6	4	0.479	0	0:00:08.109255
3500	1	1	0.739	1	0:00:08.109874
3600	4	2	0.567	0	0:00:08.112447
3700	3	3	0.953	1	0:00:08.112193
3800	9	9	0.953	1	0:00:08.114327
3900	3	6	0.807	0	0:00:08.117851
4000	8	0	0.11	0	0:00:08.111389
4100	7	7	0.953	1	0:00:08.116060
4200	4	4	0.71	1	0:00:08.106105
4300	8	8	0.953	1	0:00:08.110271
4400	3	4	0.28	0	0:00:08.111477
4500	3	3	0.0314	1	0:00:08.114970
4600	4	4	0.77	1	0:00:08.119223
4700	6	6	0.242	1	0:00:08.113256
4800	9	9	0.953	1	0:00:08.116132
4900	3	3	0.317	1	0:00:08.120687
5000	7	7	0.953	1	0:00:08.121743
5100	3	3	0.953	1	0:00:08.120695
5200	3	3	0.886	1	0:00:08.119974
5300	9	9	0.798	1	0:00:08.121004
5400	9	9	0.953	1	0:00:08.119368
5500	8	8	0.486	1	0:00:08.118669
5600	6	-1	0.0	0	0:00:08.117980
5700	3	3	0.0633	1	0:00:08.120938
5800	2	2	0.898	1	0:00:08.120039
5900	4	-1	0.0	0	0:00:08.120478
6000	8	8	0.589	1	0:00:08.122890
6100	1	1	0.953	1	0:00:08.124076
6200	3	3	0.767	1	0:00:08.126029
6300	1	1	0.953	1	0:00:08.126023
6400	0	0	0.575	1	0:00:08.126269
6500	7	6	0.225	0	0:00:08.121563
6600	7	7	0.953	1	0:00:08.133114
6700	6	6	0.935	1	0:00:08.129304
6800	6	6	0.322	1	0:00:08.127037
6900	3	3	0.953	1	0:00:08.131682
7000	2	-1	0.0	0	0:00:08.126376
7100	9	3	0.629	0	0:00:08.133872
7200	4	4	0.052	1	0:00:08.129288
7300	3	5	0.509	0	0:00:08.131840
7400	3	3	0.335	1	0:00:08.131356
7500	6	6	0.953	1	0:00:08.132767
7600	8	9	0.537	0	0:00:08.129846
7700	6	6	0.953	1	0:00:08.129490
7800	0	0	0.953	1	0:00:08.126343
7900	0	2	0.315	0	0:00:08.128635
8000	9	9	0.953	1	0:00:08.129478
8100	6	6	0.146	1	0:00:08.131660
8200	3	-1	0.0	0	0:00:08.131144
8300	5	-1	0.0	0	0:00:08.127808
8400	0	0	0.735	1	0:00:08.132588
8500	4	4	0.935	1	0:00:08.123656
8600	3	-1	0.0	0	0:00:08.128331
8700	3	3	0.67	1	0:00:08.128380
8800	0	0	0.953	1	0:00:08.125241
8900	2	2	0.368	1	0:00:08.127829
9000	8	8	0.953	1	0:00:08.124400
9100	9	1	0.528	0	0:00:08.130701
9200	8	8	0.953	1	0:00:08.122075
9300	5	5	0.251	1	0:00:08.127962
9400	6	6	0.935	1	0:00:08.125977
9500	9	9	0.953	1	0:00:08.124406
9600	8	8	0.632	1	0:00:08.118376
9700	0	0	0.953	1	0:00:08.121337
9800	1	1	0.953	1	0:00:08.128582
9900	8	8	0.813	1	0:00:08.122428
10000	3	3	0.483	1	0:00:08.122210
10100	4	4	0.277	1	0:00:08.118494
10200	5	5	0.892	1	0:00:08.120746
10300	6	6	0.953	1	0:00:08.117914
10400	9	9	0.953	1	0:00:08.137040
10500	4	6	0.159	0	0:00:08.119932
10600	8	8	0.935	1	0:00:08.120054
10700	7	7	0.953	1	0:00:08.119154
