idx	label	predict	radius	correct	time
0	3	3	0.502	1	0:00:08.123321
100	4	4	0.152	1	0:00:08.119871
200	5	5	0.862	1	0:00:08.124026
300	6	6	0.953	1	0:00:08.120780
400	9	9	0.953	1	0:00:08.126037
500	4	6	0.154	0	0:00:08.120356
600	8	8	0.935	1	0:00:08.120948
700	7	7	0.953	1	0:00:08.119573
800	7	7	0.953	1	0:00:08.126667
900	2	6	0.307	0	0:00:08.115229
1000	5	5	0.953	1	0:00:08.126160
1100	7	7	0.216	1	0:00:08.123717
1200	8	8	0.905	1	0:00:08.123088
1300	4	3	0.0859	0	0:00:08.108001
1400	5	5	0.00599	1	0:00:08.112761
1500	1	1	0.953	1	0:00:08.119152
1600	8	9	0.36	0	0:00:08.120638
1700	5	5	0.548	1	0:00:08.115353
1800	4	4	0.395	1	0:00:08.113345
1900	8	8	0.953	1	0:00:08.112652
2000	1	1	0.668	1	0:00:08.116430
2100	2	2	0.697	1	0:00:08.113178
2200	0	0	0.518	1	0:00:08.111750
2300	3	3	0.157	1	0:00:08.110588
2400	0	0	0.953	1	0:00:08.112733
2500	4	4	0.0361	1	0:00:08.109600
2600	8	8	0.953	1	0:00:08.110861
2700	9	9	0.168	1	0:00:08.113117
2800	4	4	0.357	1	0:00:08.107594
2900	3	5	0.953	0	0:00:08.109116
3000	5	5	0.953	1	0:00:08.109521
3100	0	0	0.953	1	0:00:08.100514
3200	5	5	0.503	1	0:00:08.106429
3300	4	4	0.375	1	0:00:08.105876
3400	6	4	0.551	0	0:00:08.105517
3500	1	1	0.688	1	0:00:08.107403
3600	4	2	0.567	0	0:00:08.109817
3700	3	3	0.953	1	0:00:08.116154
3800	9	9	0.953	1	0:00:08.113824
3900	3	6	0.79	0	0:00:08.107408
4000	8	0	0.169	0	0:00:08.104459
4100	7	7	0.953	1	0:00:08.106779
4200	4	4	0.715	1	0:00:08.103900
4300	8	8	0.953	1	0:00:08.105863
4400	3	4	0.198	0	0:00:08.105883
4500	3	3	0.0788	1	0:00:08.109434
4600	4	4	0.784	1	0:00:08.115642
4700	6	6	0.148	1	0:00:08.109035
4800	9	9	0.953	1	0:00:08.113189
