idx	label	predict	radius	correct	time
0	3	3	0.829	1	0:00:08.124692
100	4	4	0.158	1	0:00:08.117574
200	5	5	0.905	1	0:00:08.118562
300	6	6	0.953	1	0:00:08.118293
400	9	9	0.953	1	0:00:08.123605
500	4	6	0.235	0	0:00:08.116637
600	8	8	0.935	1	0:00:08.118883
700	7	7	0.953	1	0:00:08.115483
800	7	7	0.953	1	0:00:08.117466
900	2	6	0.273	0	0:00:08.112554
1000	5	5	0.953	1	0:00:08.116221
1100	7	7	0.227	1	0:00:08.117572
1200	8	8	0.69	1	0:00:08.115251
1300	4	3	0.129	0	0:00:08.107155
1400	5	3	0.0783	0	0:00:08.112072
1500	1	1	0.953	1	0:00:08.126228
1600	8	9	0.341	0	0:00:08.116640
1700	5	5	0.249	1	0:00:08.112964
1800	4	4	0.458	1	0:00:08.113023
1900	8	8	0.953	1	0:00:08.113822
2000	1	1	0.492	1	0:00:08.115502
2100	2	2	0.668	1	0:00:08.110729
2200	0	0	0.577	1	0:00:08.110975
2300	3	3	0.0242	1	0:00:08.111987
2400	0	0	0.783	1	0:00:08.118804
2500	4	4	0.412	1	0:00:08.122562
2600	8	8	0.953	1	0:00:08.114592
2700	9	-1	0.0	0	0:00:08.122526
2800	4	4	0.194	1	0:00:08.115202
2900	3	5	0.953	0	0:00:08.121944
3000	5	5	0.953	1	0:00:08.119355
3100	0	0	0.953	1	0:00:08.114407
3200	5	5	0.488	1	0:00:08.121333
3300	4	4	0.268	1	0:00:08.122687
3400	6	4	0.783	0	0:00:08.120266
3500	1	1	0.753	1	0:00:08.123530
3600	4	2	0.41	0	0:00:08.123597
3700	3	3	0.898	1	0:00:08.119735
3800	9	9	0.953	1	0:00:08.126904
3900	3	6	0.849	0	0:00:08.124319
4000	8	0	0.17	0	0:00:08.123892
4100	7	7	0.953	1	0:00:08.130015
4200	4	4	0.658	1	0:00:08.121482
4300	8	8	0.953	1	0:00:08.124481
4400	3	4	0.146	0	0:00:08.123940
4500	3	5	0.156	0	0:00:08.125682
4600	4	4	0.827	1	0:00:08.131949
4700	6	-1	0.0	0	0:00:08.126588
4800	9	9	0.953	1	0:00:08.133441
4900	3	3	0.0226	1	0:00:08.132525
5000	7	7	0.953	1	0:00:08.132869
5100	3	3	0.953	1	0:00:08.131813
5200	3	3	0.913	1	0:00:08.128674
5300	9	9	0.736	1	0:00:08.134705
5400	9	9	0.898	1	0:00:08.129004
5500	8	8	0.628	1	0:00:08.127992
5600	6	-1	0.0	0	0:00:08.129803
5700	3	5	0.0522	0	0:00:08.129934
5800	2	2	0.922	1	0:00:08.130822
5900	4	-1	0.0	0	0:00:08.126608
6000	8	8	0.497	1	0:00:08.128124
6100	1	1	0.953	1	0:00:08.131999
6200	3	3	0.789	1	0:00:08.128074
6300	1	1	0.922	1	0:00:08.127916
6400	0	0	0.559	1	0:00:08.127943
6500	7	6	0.345	0	0:00:08.126656
6600	7	7	0.953	1	0:00:08.131925
6700	6	6	0.852	1	0:00:08.125969
6800	6	6	0.307	1	0:00:08.124837
6900	3	3	0.953	1	0:00:08.131427
7000	2	-1	0.0	0	0:00:08.123500
7100	9	3	0.682	0	0:00:08.126735
7200	4	4	0.102	1	0:00:08.119484
7300	3	5	0.456	0	0:00:08.125014
7400	3	3	0.323	1	0:00:08.125138
7500	6	6	0.953	1	0:00:08.128285
7600	8	9	0.399	0	0:00:08.123504
7700	6	6	0.953	1	0:00:08.117714
7800	0	0	0.953	1	0:00:08.116001
7900	0	-1	0.0	0	0:00:08.124009
