idx	label	predict	radius	correct	time
0	3	3	0.567	1	0:00:08.114416
100	4	4	0.199	1	0:00:08.112680
200	5	5	0.813	1	0:00:08.122282
300	6	6	0.953	1	0:00:08.115950
400	9	9	0.953	1	0:00:08.126158
500	4	6	0.118	0	0:00:08.118944
600	8	8	0.953	1	0:00:08.122696
700	7	7	0.953	1	0:00:08.127912
800	7	7	0.953	1	0:00:08.127181
900	2	6	0.299	0	0:00:08.122077
1000	5	5	0.953	1	0:00:08.124403
1100	7	7	0.246	1	0:00:08.122610
1200	8	8	0.873	1	0:00:08.125014
1300	4	3	0.101	0	0:00:08.114827
1400	5	5	0.013	1	0:00:08.117696
1500	1	1	0.953	1	0:00:08.126231
1600	8	9	0.404	0	0:00:08.123866
1700	5	5	0.553	1	0:00:08.129695
1800	4	4	0.464	1	0:00:08.124098
1900	8	8	0.953	1	0:00:08.124322
2000	1	1	0.642	1	0:00:08.125144
2100	2	2	0.707	1	0:00:08.120523
2200	0	0	0.553	1	0:00:08.122587
2300	3	3	0.148	1	0:00:08.122628
2400	0	0	0.922	1	0:00:08.129255
2500	4	4	0.227	1	0:00:08.124617
2600	8	8	0.953	1	0:00:08.125597
2700	9	9	0.162	1	0:00:08.130900
2800	4	4	0.381	1	0:00:08.125039
2900	3	5	0.953	0	0:00:08.127435
3000	5	5	0.953	1	0:00:08.127254
3100	0	0	0.953	1	0:00:08.118322
3200	5	5	0.622	1	0:00:08.131482
3300	4	4	0.351	1	0:00:08.121718
3400	6	4	0.554	0	0:00:08.123227
3500	1	1	0.657	1	0:00:08.124436
3600	4	2	0.543	0	0:00:08.121644
3700	3	3	0.953	1	0:00:08.123454
3800	9	9	0.953	1	0:00:08.123346
3900	3	6	0.811	0	0:00:08.121063
4000	8	0	0.112	0	0:00:08.122546
4100	7	7	0.953	1	0:00:08.121746
4200	4	4	0.733	1	0:00:08.117858
4300	8	8	0.953	1	0:00:08.119256
4400	3	4	0.189	0	0:00:08.118252
4500	3	3	0.0424	1	0:00:08.120987
4600	4	4	0.743	1	0:00:08.124370
4700	6	6	0.146	1	0:00:08.119003
4800	9	9	0.953	1	0:00:08.119876
4900	3	3	0.325	1	0:00:08.118053
5000	7	7	0.953	1	0:00:08.120700
5100	3	3	0.953	1	0:00:08.115665
5200	3	3	0.892	1	0:00:08.114518
5300	9	9	0.733	1	0:00:08.116399
5400	9	9	0.953	1	0:00:08.114808
5500	8	8	0.476	1	0:00:08.114598
5600	6	-1	0.0	0	0:00:08.110712
5700	3	5	0.0106	0	0:00:08.114357
5800	2	2	0.922	1	0:00:08.111457
5900	4	-1	0.0	0	0:00:08.108247
6000	8	8	0.646	1	0:00:08.111857
6100	1	1	0.935	1	0:00:08.111074
6200	3	3	0.833	1	0:00:08.114706
6300	1	1	0.935	1	0:00:08.111480
6400	0	0	0.718	1	0:00:08.110297
6500	7	6	0.29	0	0:00:08.107626
6600	7	7	0.953	1	0:00:08.113978
6700	6	6	0.953	1	0:00:08.109977
6800	6	6	0.234	1	0:00:08.107586
6900	3	3	0.953	1	0:00:08.110795
7000	2	0	0.0637	0	0:00:08.107364
7100	9	3	0.684	0	0:00:08.114672
7200	4	4	0.0449	1	0:00:08.107465
7300	3	5	0.439	0	0:00:08.105739
7400	3	3	0.307	1	0:00:08.108204
7500	6	6	0.953	1	0:00:08.108103
7600	8	9	0.427	0	0:00:08.101787
7700	6	6	0.953	1	0:00:08.103482
7800	0	0	0.953	1	0:00:08.099432
