idx	label	predict	radius	correct	time
0	3	3	0.544	1	0:00:08.092989
100	4	4	0.233	1	0:00:08.097902
200	5	5	0.831	1	0:00:08.101819
300	6	6	0.953	1	0:00:08.097228
400	9	9	0.953	1	0:00:08.109382
500	4	6	0.205	0	0:00:08.102614
600	8	8	0.953	1	0:00:08.105880
700	7	7	0.953	1	0:00:08.100556
800	7	7	0.953	1	0:00:08.104372
900	2	6	0.318	0	0:00:08.096626
1000	5	5	0.953	1	0:00:08.103179
1100	7	7	0.294	1	0:00:08.100962
1200	8	8	0.892	1	0:00:08.101872
1300	4	3	0.111	0	0:00:08.091961
1400	5	5	0.0438	1	0:00:08.093537
1500	1	1	0.953	1	0:00:08.106735
1600	8	9	0.405	0	0:00:08.100094
1700	5	5	0.523	1	0:00:08.096071
1800	4	4	0.476	1	0:00:08.095487
1900	8	8	0.953	1	0:00:08.096918
2000	1	1	0.659	1	0:00:08.102041
2100	2	2	0.714	1	0:00:08.097791
2200	0	0	0.576	1	0:00:08.097626
2300	3	3	0.193	1	0:00:08.096578
2400	0	0	0.935	1	0:00:08.103421
2500	4	4	0.186	1	0:00:08.095158
2600	8	8	0.953	1	0:00:08.098631
2700	9	9	0.153	1	0:00:08.104726
2800	4	4	0.393	1	0:00:08.095477
2900	3	5	0.953	0	0:00:08.097802
3000	5	5	0.953	1	0:00:08.100724
3100	0	0	0.953	1	0:00:08.092908
3200	5	5	0.487	1	0:00:08.099020
3300	4	4	0.424	1	0:00:08.092689
3400	6	4	0.522	0	0:00:08.100269
3500	1	1	0.743	1	0:00:08.099954
3600	4	2	0.545	0	0:00:08.098194
3700	3	3	0.953	1	0:00:08.095874
3800	9	9	0.953	1	0:00:08.103819
3900	3	6	0.785	0	0:00:08.100883
4000	8	0	0.114	0	0:00:08.096387
4100	7	7	0.953	1	0:00:08.103002
4200	4	4	0.717	1	0:00:08.092692
4300	8	8	0.953	1	0:00:08.093687
4400	3	4	0.208	0	0:00:08.095897
4500	3	3	0.0455	1	0:00:08.100850
4600	4	4	0.714	1	0:00:08.103452
4700	6	6	0.212	1	0:00:08.099384
4800	9	9	0.953	1	0:00:08.104547
4900	3	3	0.329	1	0:00:08.103415
5000	7	7	0.953	1	0:00:08.105620
5100	3	3	0.953	1	0:00:08.100789
5200	3	3	0.847	1	0:00:08.101566
5300	9	9	0.862	1	0:00:08.105935
5400	9	9	0.953	1	0:00:08.099244
5500	8	8	0.528	1	0:00:08.098065
5600	6	-1	0.0	0	0:00:08.097246
5700	3	5	0.0188	0	0:00:08.100349
5800	2	2	0.898	1	0:00:08.105208
5900	4	-1	0.0	0	0:00:08.096722
6000	8	8	0.566	1	0:00:08.104096
6100	1	1	0.953	1	0:00:08.106257
