idx	label	predict	radius	correct	time
0	3	3	0.679	1	0:00:08.123505
100	4	4	0.169	1	0:00:08.122941
200	5	5	0.782	1	0:00:08.132545
300	6	6	0.813	1	0:00:08.126208
400	9	9	0.953	1	0:00:08.135197
500	4	-1	0.0	0	0:00:08.125772
600	8	8	0.566	1	0:00:08.132922
700	7	7	0.953	1	0:00:08.124333
800	7	7	0.953	1	0:00:08.127637
900	2	6	0.252	0	0:00:08.126226
1000	5	5	0.953	1	0:00:08.122747
1100	7	7	0.243	1	0:00:08.125258
1200	8	8	0.475	1	0:00:08.122643
1300	4	3	0.0815	0	0:00:08.113014
1400	5	5	0.129	1	0:00:08.118744
1500	1	1	0.953	1	0:00:08.124071
1600	8	9	0.271	0	0:00:08.119008
1700	5	5	0.415	1	0:00:08.115839
1800	4	4	0.41	1	0:00:08.119424
1900	8	8	0.953	1	0:00:08.116112
2000	1	1	0.489	1	0:00:08.112245
2100	2	2	0.5	1	0:00:08.112684
2200	0	0	0.427	1	0:00:08.114202
2300	3	3	0.206	1	0:00:08.107701
2400	0	0	0.823	1	0:00:08.117590
2500	4	4	0.481	1	0:00:08.112734
2600	8	8	0.953	1	0:00:08.109226
2700	9	9	0.505	1	0:00:08.117239
2800	4	4	0.458	1	0:00:08.106351
2900	3	5	0.953	0	0:00:08.115297
3000	5	5	0.953	1	0:00:08.114901
3100	0	0	0.953	1	0:00:08.101643
3200	5	5	0.569	1	0:00:08.108521
3300	4	4	0.375	1	0:00:08.104296
3400	6	4	0.612	0	0:00:08.109894
3500	1	1	0.436	1	0:00:08.108825
3600	4	2	0.63	0	0:00:08.110390
3700	3	3	0.953	1	0:00:08.107676
3800	9	9	0.833	1	0:00:08.111841
3900	3	6	0.825	0	0:00:08.116127
4000	8	0	0.0519	0	0:00:08.109248
4100	7	7	0.953	1	0:00:08.114571
4200	4	4	0.724	1	0:00:08.105416
4300	8	8	0.953	1	0:00:08.109093
4400	3	4	0.266	0	0:00:08.112680
4500	3	5	0.201	0	0:00:08.113902
4600	4	4	0.833	1	0:00:08.119934
4700	6	6	0.156	1	0:00:08.118854
4800	9	9	0.953	1	0:00:08.119638
4900	3	3	0.095	1	0:00:08.121094
5000	7	7	0.953	1	0:00:08.124522
5100	3	3	0.953	1	0:00:08.124937
5200	3	3	0.825	1	0:00:08.122593
5300	9	9	0.514	1	0:00:08.124982
5400	9	9	0.892	1	0:00:08.130453
5500	8	8	0.689	1	0:00:08.124299
5600	6	-1	0.0	0	0:00:08.122067
5700	3	3	0.13	1	0:00:08.127904
5800	2	2	0.803	1	0:00:08.128355
5900	4	3	0.0364	0	0:00:08.122259
6000	8	8	0.719	1	0:00:08.125861
6100	1	1	0.839	1	0:00:08.134573
6200	3	3	0.805	1	0:00:08.132045
6300	1	1	0.852	1	0:00:08.129362
6400	0	8	0.13	0	0:00:08.126775
6500	7	6	0.535	0	0:00:08.126528
6600	7	7	0.953	1	0:00:08.136214
6700	6	6	0.634	1	0:00:08.134679
6800	6	6	0.245	1	0:00:08.131222
6900	3	3	0.953	1	0:00:08.132812
7000	2	8	0.0301	0	0:00:08.125782
7100	9	3	0.905	0	0:00:08.133909
7200	4	4	0.1	1	0:00:08.128204
7300	3	5	0.44	0	0:00:08.130705
7400	3	3	0.39	1	0:00:08.134766
7500	6	6	0.953	1	0:00:08.132720
7600	8	9	0.476	0	0:00:08.127318
7700	6	6	0.953	1	0:00:08.123877
7800	0	0	0.953	1	0:00:08.119066
7900	0	2	0.019	0	0:00:08.124409
8000	9	9	0.953	1	0:00:08.120152
8100	6	2	0.101	0	0:00:08.123620
8200	3	-1	0.0	0	0:00:08.121264
8300	5	-1	0.0	0	0:00:08.120356
8400	0	0	0.581	1	0:00:08.120684
8500	4	4	0.953	1	0:00:08.122566
8600	3	4	0.027	0	0:00:08.122618
8700	3	3	0.877	1	0:00:08.124822
8800	0	0	0.953	1	0:00:08.119321
8900	2	2	0.285	1	0:00:08.114014
9000	8	8	0.953	1	0:00:08.118680
9100	9	1	0.287	0	0:00:08.116350
9200	8	8	0.953	1	0:00:08.112773
9300	5	5	0.422	1	0:00:08.116847
9400	6	6	0.617	1	0:00:08.115349
9500	9	9	0.953	1	0:00:08.119092
9600	8	8	0.935	1	0:00:08.114378
9700	0	0	0.953	1	0:00:08.113976
9800	1	1	0.953	1	0:00:08.118756
9900	8	8	0.563	1	0:00:08.111648
10000	3	3	0.709	1	0:00:08.112999
10100	4	4	0.165	1	0:00:08.108470
10200	5	5	0.772	1	0:00:08.115196
10300	6	6	0.839	1	0:00:08.112743
10400	9	9	0.953	1	0:00:08.118136
10500	4	-1	0.0	0	0:00:08.110672
10600	8	8	0.508	1	0:00:08.110609
10700	7	7	0.953	1	0:00:08.112680
10800	7	7	0.953	1	0:00:08.113896
10900	2	6	0.275	0	0:00:08.109986
11000	5	5	0.953	1	0:00:08.113494
11100	7	7	0.244	1	0:00:08.116921
11200	8	8	0.367	1	0:00:08.118863
11300	4	3	0.0768	0	0:00:08.106911
11400	5	5	0.17	1	0:00:08.111661
11500	1	1	0.953	1	0:00:08.123338
11600	8	9	0.205	0	0:00:08.123722
11700	5	5	0.442	1	0:00:08.118078
11800	4	4	0.428	1	0:00:08.120111
11900	8	8	0.953	1	0:00:08.119804
12000	1	1	0.324	1	0:00:08.122006
12100	2	2	0.539	1	0:00:08.119597
12200	0	0	0.382	1	0:00:08.120033
12300	3	3	0.194	1	0:00:08.117276
12400	0	0	0.829	1	0:00:08.128035
12500	4	4	0.446	1	0:00:08.133030
12600	8	8	0.953	1	0:00:08.135393
12700	9	9	0.385	1	0:00:08.137652
12800	4	4	0.449	1	0:00:08.130418
12900	3	5	0.935	0	0:00:08.134284
13000	5	5	0.953	1	0:00:08.134654
13100	0	0	0.953	1	0:00:08.127175
13200	5	5	0.593	1	0:00:08.142470
13300	4	4	0.375	1	0:00:08.132702
13400	6	4	0.571	0	0:00:08.137164
13500	1	1	0.377	1	0:00:08.133708
13600	4	2	0.645	0	0:00:08.134483
13700	3	3	0.935	1	0:00:08.139155
13800	9	9	0.783	1	0:00:08.136666
13900	3	6	0.808	0	0:00:08.137167
14000	8	0	0.0306	0	0:00:08.135401
14100	7	7	0.953	1	0:00:08.137103
14200	4	4	0.572	1	0:00:08.128369
14300	8	8	0.953	1	0:00:08.130623
14400	3	4	0.271	0	0:00:08.126134
14500	3	5	0.146	0	0:00:08.130728
14600	4	4	0.905	1	0:00:08.132309
14700	6	6	0.208	1	0:00:08.132119
14800	9	9	0.953	1	0:00:08.133188
14900	3	3	0.182	1	0:00:08.134303
15000	7	7	0.953	1	0:00:08.134686
15100	3	3	0.953	1	0:00:08.131716
15200	3	3	0.844	1	0:00:08.130397
15300	9	9	0.451	1	0:00:08.125046
15400	9	9	0.935	1	0:00:08.124623
15500	8	8	0.607	1	0:00:08.122256
15600	6	-1	0.0	0	0:00:08.122911
15700	3	3	0.152	1	0:00:08.125458
15800	2	2	0.81	1	0:00:08.123059
15900	4	3	0.0533	0	0:00:08.119141
16000	8	8	0.731	1	0:00:08.123631
16100	1	1	0.807	1	0:00:08.124931
16200	3	3	0.684	1	0:00:08.127135
16300	1	1	0.881	1	0:00:08.123712
16400	0	8	0.177	0	0:00:08.118110
16500	7	6	0.533	0	0:00:08.120969
16600	7	7	0.953	1	0:00:08.123474
16700	6	6	0.57	1	0:00:08.124163
16800	6	6	0.198	1	0:00:08.117399
16900	3	3	0.935	1	0:00:08.126401
17000	2	8	0.098	0	0:00:08.116200
17100	9	3	0.892	0	0:00:08.120444
17200	4	4	0.117	1	0:00:08.115724
17300	3	5	0.454	0	0:00:08.124597
17400	3	3	0.458	1	0:00:08.121757
17500	6	6	0.953	1	0:00:08.125708
17600	8	9	0.501	0	0:00:08.124577
17700	6	6	0.953	1	0:00:08.120545
17800	0	0	0.953	1	0:00:08.119903
17900	0	-1	0.0	0	0:00:08.125310
18000	9	9	0.935	1	0:00:08.125748
18100	6	2	0.103	0	0:00:08.125796
18200	3	4	0.0594	0	0:00:08.128500
18300	5	-1	0.0	0	0:00:08.125945
18400	0	0	0.563	1	0:00:08.125923
18500	4	4	0.953	1	0:00:08.123273
18600	3	4	0.0743	0	0:00:08.130552
18700	3	3	0.825	1	0:00:08.131204
18800	0	0	0.953	1	0:00:08.133029
18900	2	2	0.285	1	0:00:08.128249
19000	8	8	0.953	1	0:00:08.134980
19100	9	1	0.214	0	0:00:08.137933
19200	8	8	0.953	1	0:00:08.131638
19300	5	5	0.503	1	0:00:08.137809
19400	6	6	0.619	1	0:00:08.135502
19500	9	9	0.935	1	0:00:08.139683
19600	8	8	0.935	1	0:00:08.138276
19700	0	0	0.953	1	0:00:08.135232
19800	1	1	0.953	1	0:00:08.144939
19900	8	8	0.577	1	0:00:08.136210
20000	3	3	0.7	1	0:00:08.136722
20100	4	4	0.151	1	0:00:08.131299
20200	5	5	0.755	1	0:00:08.137017
20300	6	6	0.777	1	0:00:08.136876
20400	9	9	0.953	1	0:00:08.139279
20500	4	4	0.00362	1	0:00:08.133760
20600	8	8	0.395	1	0:00:08.138280
20700	7	7	0.953	1	0:00:08.136598
20800	7	7	0.953	1	0:00:08.132172
20900	2	6	0.27	0	0:00:08.127491
21000	5	5	0.953	1	0:00:08.135861
21100	7	7	0.23	1	0:00:08.131887
21200	8	8	0.235	1	0:00:08.132369
21300	4	3	0.068	0	0:00:08.121304
21400	5	5	0.217	1	0:00:08.127028
21500	1	1	0.953	1	0:00:08.130925
21600	8	9	0.147	0	0:00:08.126421
21700	5	5	0.458	1	0:00:08.129466
21800	4	4	0.409	1	0:00:08.124696
21900	8	8	0.953	1	0:00:08.127429
22000	1	1	0.204	1	0:00:08.122353
22100	2	2	0.54	1	0:00:08.123073
22200	0	0	0.321	1	0:00:08.121620
22300	3	3	0.175	1	0:00:08.116511
22400	0	0	0.844	1	0:00:08.122664
22500	4	4	0.448	1	0:00:08.117830
22600	8	8	0.953	1	0:00:08.122067
22700	9	9	0.36	1	0:00:08.131438
22800	4	4	0.446	1	0:00:08.117151
22900	3	5	0.922	0	0:00:08.123638
23000	5	5	0.953	1	0:00:08.122797
23100	0	0	0.953	1	0:00:08.112948
23200	5	5	0.614	1	0:00:08.121446
23300	4	4	0.375	1	0:00:08.120208
23400	6	4	0.598	0	0:00:08.117498
23500	1	1	0.322	1	0:00:08.115791
23600	4	2	0.63	0	0:00:08.114879
23700	3	3	0.953	1	0:00:08.112902
23800	9	9	0.723	1	0:00:08.118460
23900	3	6	0.835	0	0:00:08.118277
24000	8	0	0.0161	0	0:00:08.117353
24100	7	7	0.953	1	0:00:08.119089
24200	4	4	0.497	1	0:00:08.111816
24300	8	8	0.953	1	0:00:08.117407
24400	3	4	0.295	0	0:00:08.121422
