idx	label	predict	radius	correct	time
0	3	3	0.427	1	0:00:08.125444
100	4	5	0.0148	0	0:00:08.124002
200	5	5	0.321	1	0:00:08.127366
300	6	6	0.913	1	0:00:08.127410
400	9	9	0.804	1	0:00:08.125936
500	4	3	0.0214	0	0:00:08.126114
600	8	8	0.634	1	0:00:08.127472
700	7	7	0.922	1	0:00:08.125745
800	7	7	0.953	1	0:00:08.128029
900	2	6	0.0547	0	0:00:08.124318
1000	5	5	0.953	1	0:00:08.127608
1100	7	0	0.0717	0	0:00:08.125926
1200	8	8	0.435	1	0:00:08.128188
1300	4	3	0.143	0	0:00:08.121116
1400	5	5	0.0134	1	0:00:08.124196
1500	1	1	0.61	1	0:00:08.131088
1600	8	-1	0.0	0	0:00:08.128506
1700	5	-1	0.0	0	0:00:08.128806
1800	4	4	0.439	1	0:00:08.129042
1900	8	8	0.922	1	0:00:08.126417
2000	1	1	0.713	1	0:00:08.132894
2100	2	2	0.606	1	0:00:08.133143
2200	0	0	0.225	1	0:00:08.132400
2300	3	3	0.00108	1	0:00:08.133394
2400	0	0	0.953	1	0:00:08.132075
2500	4	4	0.113	1	0:00:08.135539
2600	8	8	0.873	1	0:00:08.138069
2700	9	1	0.0335	0	0:00:08.143018
2800	4	4	0.394	1	0:00:08.139667
2900	3	7	0.0956	0	0:00:08.143865
3000	5	5	0.747	1	0:00:08.142970
3100	0	0	0.585	1	0:00:08.137470
3200	5	5	0.638	1	0:00:08.145008
3300	4	4	0.321	1	0:00:08.142142
3400	6	4	0.466	0	0:00:08.157727
3500	1	1	0.0353	1	0:00:08.160253
3600	4	2	0.481	0	0:00:08.161550
3700	3	3	0.672	1	0:00:08.158886
3800	9	9	0.695	1	0:00:08.162439
3900	3	3	0.0855	1	0:00:08.158399
4000	8	-1	0.0	0	0:00:08.161415
4100	7	7	0.953	1	0:00:08.164602
4200	4	4	0.152	1	0:00:08.158262
4300	8	8	0.623	1	0:00:08.160839
4400	3	-1	0.0	0	0:00:08.161625
4500	3	5	0.0654	0	0:00:08.163630
4600	4	4	0.538	1	0:00:08.165372
4700	6	5	0.246	0	0:00:08.163800
4800	9	9	0.953	1	0:00:08.167337
4900	3	3	0.633	1	0:00:08.165869
5000	7	7	0.953	1	0:00:08.169670
5100	3	3	0.654	1	0:00:08.164524
5200	3	3	0.522	1	0:00:08.161220
5300	9	9	0.753	1	0:00:08.167500
5400	9	9	0.729	1	0:00:08.160279
5500	8	8	0.361	1	0:00:08.161156
5600	6	6	0.143	1	0:00:08.160089
5700	3	3	0.592	1	0:00:08.161238
5800	2	2	0.542	1	0:00:08.159086
5900	4	3	0.159	0	0:00:08.154362
6000	8	8	0.474	1	0:00:08.156253
6100	1	1	0.922	1	0:00:08.156824
6200	3	3	0.0638	1	0:00:08.155577
6300	1	1	0.723	1	0:00:08.157809
6400	0	0	0.512	1	0:00:08.157046
6500	7	-1	0.0	0	0:00:08.153425
6600	7	7	0.953	1	0:00:08.156864
6700	6	6	0.816	1	0:00:08.155163
6800	6	-1	0.0	0	0:00:08.155119
6900	3	3	0.57	1	0:00:08.156230
7000	2	0	0.0372	0	0:00:08.151626
7100	9	3	0.00999	0	0:00:08.154508
7200	4	4	0.0939	1	0:00:08.149021
7300	3	-1	0.0	0	0:00:08.149646
7400	3	5	0.329	0	0:00:08.149689
7500	6	6	0.953	1	0:00:08.151554
7600	8	2	0.057	0	0:00:08.148900
7700	6	6	0.877	1	0:00:08.146936
7800	0	0	0.637	1	0:00:08.141999
7900	0	0	0.0574	1	0:00:08.147723
8000	9	9	0.706	1	0:00:08.143829
8100	6	-1	0.0	0	0:00:08.146537
8200	3	-1	0.0	0	0:00:08.145380
8300	5	-1	0.0	0	0:00:08.143356
8400	0	0	0.19	1	0:00:08.145327
8500	4	4	0.583	1	0:00:08.142737
8600	3	2	0.0234	0	0:00:08.145342
8700	3	3	0.572	1	0:00:08.144294
8800	0	0	0.935	1	0:00:08.139082
8900	2	4	0.134	0	0:00:08.145261
9000	8	8	0.953	1	0:00:08.142835
9100	9	1	0.256	0	0:00:08.141898
9200	8	8	0.855	1	0:00:08.139159
9300	5	5	0.032	1	0:00:08.147139
9400	6	6	0.953	1	0:00:08.147697
9500	9	9	0.594	1	0:00:08.142544
9600	8	8	0.393	1	0:00:08.134570
9700	0	0	0.682	1	0:00:08.135148
9800	1	1	0.953	1	0:00:08.141214
9900	8	8	0.935	1	0:00:08.138003
10000	3	3	0.468	1	0:00:08.138993
10100	4	5	0.049	0	0:00:08.138373
10200	5	5	0.305	1	0:00:08.139471
10300	6	6	0.873	1	0:00:08.141255
10400	9	9	0.835	1	0:00:08.141251
10500	4	3	0.0842	0	0:00:08.138887
10600	8	8	0.803	1	0:00:08.140826
10700	7	7	0.913	1	0:00:08.137102
10800	7	7	0.953	1	0:00:08.140183
10900	2	6	0.0623	0	0:00:08.139578
11000	5	5	0.953	1	0:00:08.139000
11100	7	0	0.0231	0	0:00:08.138508
11200	8	8	0.266	1	0:00:08.140177
11300	4	-1	0.0	0	0:00:08.135772
11400	5	5	0.0947	1	0:00:08.138631
11500	1	1	0.494	1	0:00:08.147063
11600	8	-1	0.0	0	0:00:08.142865
11700	5	5	0.0268	1	0:00:08.142500
11800	4	4	0.399	1	0:00:08.142143
11900	8	8	0.865	1	0:00:08.140918
12000	1	1	0.673	1	0:00:08.146601
12100	2	2	0.668	1	0:00:08.147538
12200	0	0	0.238	1	0:00:08.147366
12300	3	3	0.0197	1	0:00:08.147954
12400	0	0	0.953	1	0:00:08.148482
12500	4	4	0.128	1	0:00:08.151298
12600	8	8	0.779	1	0:00:08.149506
12700	9	1	0.0868	0	0:00:08.154701
12800	4	4	0.404	1	0:00:08.151942
12900	3	7	0.0299	0	0:00:08.155175
13000	5	5	0.686	1	0:00:08.155423
13100	0	0	0.557	1	0:00:08.151752
13200	5	5	0.721	1	0:00:08.158844
13300	4	4	0.346	1	0:00:08.160559
13400	6	4	0.456	0	0:00:08.157518
13500	1	9	0.011	0	0:00:08.159975
13600	4	2	0.438	0	0:00:08.161256
13700	3	3	0.588	1	0:00:08.158023
13800	9	9	0.621	1	0:00:08.163413
13900	3	3	0.0583	1	0:00:08.158973
14000	8	-1	0.0	0	0:00:08.160708
14100	7	7	0.953	1	0:00:08.163259
14200	4	4	0.1	1	0:00:08.157282
14300	8	8	0.641	1	0:00:08.161809
14400	3	3	0.00837	1	0:00:08.163952
14500	3	5	0.0646	0	0:00:08.162354
14600	4	4	0.541	1	0:00:08.167282
14700	6	5	0.281	0	0:00:08.165044
14800	9	9	0.953	1	0:00:08.167074
14900	3	3	0.612	1	0:00:08.163344
15000	7	7	0.953	1	0:00:08.164433
15100	3	3	0.577	1	0:00:08.157302
15200	3	3	0.443	1	0:00:08.154064
15300	9	9	0.728	1	0:00:08.161380
15400	9	9	0.629	1	0:00:08.167104
15500	8	8	0.374	1	0:00:08.166013
15600	6	6	0.0706	1	0:00:08.160282
15700	3	3	0.545	1	0:00:08.162498
15800	2	2	0.59	1	0:00:08.159397
15900	4	3	0.247	0	0:00:08.156001
16000	8	8	0.459	1	0:00:08.156693
16100	1	1	0.913	1	0:00:08.157435
16200	3	3	0.0502	1	0:00:08.154511
16300	1	1	0.647	1	0:00:08.160489
16400	0	0	0.451	1	0:00:08.155721
16500	7	-1	0.0	0	0:00:08.154326
16600	7	7	0.953	1	0:00:08.158758
16700	6	6	0.803	1	0:00:08.158208
16800	6	-1	0.0	0	0:00:08.155341
16900	3	3	0.494	1	0:00:08.158584
17000	2	0	0.0255	0	0:00:08.151997
17100	9	9	0.145	1	0:00:08.155648
17200	4	4	0.0866	1	0:00:08.150839
17300	3	4	0.00906	0	0:00:08.151941
17400	3	5	0.255	0	0:00:08.152893
17500	6	6	0.953	1	0:00:08.155547
17600	8	2	0.026	0	0:00:08.153462
17700	6	6	0.795	1	0:00:08.150584
17800	0	0	0.634	1	0:00:08.144482
17900	0	0	0.276	1	0:00:08.149797
18000	9	9	0.675	1	0:00:08.148557
18100	6	6	0.0862	1	0:00:08.150874
18200	3	-1	0.0	0	0:00:08.148187
18300	5	-1	0.0	0	0:00:08.145884
18400	0	0	0.248	1	0:00:08.147070
18500	4	4	0.501	1	0:00:08.145443
18600	3	2	0.0667	0	0:00:08.148123
18700	3	3	0.557	1	0:00:08.147695
18800	0	0	0.905	1	0:00:08.142136
18900	2	4	0.0874	0	0:00:08.147729
19000	8	8	0.855	1	0:00:08.146137
19100	9	1	0.281	0	0:00:08.145180
19200	8	8	0.837	1	0:00:08.140296
19300	5	5	0.116	1	0:00:08.146429
19400	6	6	0.935	1	0:00:08.146504
19500	9	9	0.525	1	0:00:08.146365
19600	8	8	0.445	1	0:00:08.138925
19700	0	0	0.639	1	0:00:08.138488
19800	1	1	0.953	1	0:00:08.145678
19900	8	8	0.953	1	0:00:08.142537
20000	3	3	0.514	1	0:00:08.143462
20100	4	5	0.0966	0	0:00:08.140873
20200	5	5	0.268	1	0:00:08.144141
20300	6	6	0.784	1	0:00:08.143797
20400	9	9	0.814	1	0:00:08.145456
20500	4	3	0.147	0	0:00:08.143385
20600	8	8	0.877	1	0:00:08.145095
20700	7	7	0.855	1	0:00:08.144156
20800	7	7	0.953	1	0:00:08.148393
20900	2	6	0.0364	0	0:00:08.148733
21000	5	5	0.922	1	0:00:08.147912
21100	7	8	0.0208	0	0:00:08.149192
21200	8	0	0.0105	0	0:00:08.150718
21300	4	4	0.174	1	0:00:08.145700
21400	5	5	0.217	1	0:00:08.147749
21500	1	1	0.406	1	0:00:08.152661
21600	8	-1	0.0	0	0:00:08.151944
21700	5	5	0.0196	1	0:00:08.153411
21800	4	4	0.307	1	0:00:08.153379
21900	8	8	0.753	1	0:00:08.150412
22000	1	1	0.625	1	0:00:08.153428
22100	2	2	0.707	1	0:00:08.155796
22200	0	0	0.234	1	0:00:08.152260
22300	3	3	0.0778	1	0:00:08.153085
22400	0	0	0.953	1	0:00:08.150614
22500	4	4	0.158	1	0:00:08.155195
22600	8	8	0.66	1	0:00:08.155905
22700	9	1	0.142	0	0:00:08.160048
22800	4	4	0.398	1	0:00:08.159942
22900	3	-1	0.0	0	0:00:08.161007
23000	5	5	0.586	1	0:00:08.158552
23100	0	0	0.536	1	0:00:08.153552
23200	5	5	0.792	1	0:00:08.160049
23300	4	4	0.338	1	0:00:08.158225
23400	6	4	0.394	0	0:00:08.161124
23500	1	9	0.0434	0	0:00:08.162306
23600	4	2	0.384	0	0:00:08.162945
23700	3	3	0.455	1	0:00:08.157167
23800	9	9	0.51	1	0:00:08.158764
23900	3	-1	0.0	0	0:00:08.162192
24000	8	-1	0.0	0	0:00:08.158412
24100	7	7	0.953	1	0:00:08.161119
24200	4	4	0.0345	1	0:00:08.152848
24300	8	8	0.673	1	0:00:08.155456
24400	3	3	0.033	1	0:00:08.153454
24500	3	5	0.0477	0	0:00:08.154708
24600	4	4	0.521	1	0:00:08.156686
24700	6	5	0.293	0	0:00:08.154078
24800	9	9	0.953	1	0:00:08.154569
24900	3	3	0.589	1	0:00:08.152506
25000	7	7	0.953	1	0:00:08.154677
25100	3	3	0.509	1	0:00:08.157650
25200	3	3	0.331	1	0:00:08.151505
25300	9	9	0.699	1	0:00:08.153095
25400	9	9	0.533	1	0:00:08.152269
25500	8	8	0.377	1	0:00:08.148596
25600	6	-1	0.0	0	0:00:08.147383
25700	3	3	0.501	1	0:00:08.148896
25800	2	2	0.663	1	0:00:08.148090
25900	4	3	0.296	0	0:00:08.145271
26000	8	8	0.406	1	0:00:08.146174
26100	1	1	0.807	1	0:00:08.149320
26200	3	3	0.0164	1	0:00:08.146371
26300	1	1	0.571	1	0:00:08.146490
26400	0	0	0.378	1	0:00:08.147073
