idx	label	predict	radius	correct	time
0	3	3	0.408	1	0:00:08.151528
100	4	5	0.0135	0	0:00:08.151040
200	5	5	0.31	1	0:00:08.155263
300	6	6	0.913	1	0:00:08.152751
400	9	9	0.703	1	0:00:08.156328
500	4	3	0.00754	0	0:00:08.152016
600	8	8	0.425	1	0:00:08.152603
700	7	7	0.886	1	0:00:08.150434
800	7	7	0.953	1	0:00:08.150626
900	2	6	0.0337	0	0:00:08.149202
1000	5	5	0.953	1	0:00:08.148777
1100	7	0	0.0628	0	0:00:08.151042
1200	8	8	0.444	1	0:00:08.145315
1300	4	3	0.352	0	0:00:08.138629
1400	5	3	0.00625	0	0:00:08.137655
1500	1	1	0.727	1	0:00:08.145856
1600	8	-1	0.0	0	0:00:08.148746
1700	5	5	0.0635	1	0:00:08.147907
1800	4	4	0.466	1	0:00:08.147048
1900	8	8	0.953	1	0:00:08.144238
2000	1	1	0.694	1	0:00:08.149775
2100	2	2	0.466	1	0:00:08.147638
2200	0	0	0.193	1	0:00:08.144152
2300	3	3	0.0117	1	0:00:08.146760
2400	0	0	0.953	1	0:00:08.144276
2500	4	4	0.16	1	0:00:08.146759
2600	8	8	0.892	1	0:00:08.143785
2700	9	1	0.0135	0	0:00:08.145455
2800	4	4	0.353	1	0:00:08.144178
2900	3	7	0.115	0	0:00:08.143728
3000	5	5	0.761	1	0:00:08.142112
3100	0	0	0.624	1	0:00:08.136301
3200	5	5	0.554	1	0:00:08.141915
3300	4	4	0.254	1	0:00:08.139533
3400	6	4	0.535	0	0:00:08.140120
3500	1	1	0.0672	1	0:00:08.141936
3600	4	2	0.498	0	0:00:08.141358
3700	3	3	0.76	1	0:00:08.136187
3800	9	9	0.614	1	0:00:08.138746
3900	3	3	0.0294	1	0:00:08.136445
4000	8	-1	0.0	0	0:00:08.138601
4100	7	7	0.953	1	0:00:08.141389
4200	4	4	0.179	1	0:00:08.135564
4300	8	8	0.637	1	0:00:08.139009
4400	3	-1	0.0	0	0:00:08.140383
4500	3	5	0.0463	0	0:00:08.140954
4600	4	4	0.527	1	0:00:08.143163
4700	6	5	0.201	0	0:00:08.141955
4800	9	9	0.953	1	0:00:08.145189
4900	3	3	0.647	1	0:00:08.146588
5000	7	7	0.953	1	0:00:08.148141
5100	3	3	0.729	1	0:00:08.146816
5200	3	3	0.678	1	0:00:08.146462
5300	9	9	0.666	1	0:00:08.149864
5400	9	9	0.752	1	0:00:08.146521
5500	8	8	0.356	1	0:00:08.147444
5600	6	6	0.132	1	0:00:08.147836
5700	3	3	0.664	1	0:00:08.150923
5800	2	2	0.546	1	0:00:08.150703
5900	4	3	0.0604	0	0:00:08.145148
6000	8	8	0.477	1	0:00:08.149108
6100	1	1	0.886	1	0:00:08.151904
6200	3	3	0.0671	1	0:00:08.150581
6300	1	1	0.676	1	0:00:08.153874
6400	0	0	0.488	1	0:00:08.152227
6500	7	-1	0.0	0	0:00:08.152783
6600	7	7	0.953	1	0:00:08.159338
6700	6	6	0.775	1	0:00:08.156295
6800	6	-1	0.0	0	0:00:08.155044
6900	3	3	0.62	1	0:00:08.160101
7000	2	0	0.0778	0	0:00:08.156545
7100	9	3	0.393	0	0:00:08.158632
7200	4	4	0.0652	1	0:00:08.159723
7300	3	5	0.038	0	0:00:08.159425
7400	3	5	0.335	0	0:00:08.159277
7500	6	6	0.953	1	0:00:08.160854
7600	8	2	0.0809	0	0:00:08.159222
7700	6	6	0.873	1	0:00:08.157893
7800	0	0	0.597	1	0:00:08.155138
7900	0	-1	0.0	0	0:00:08.159735
