idx	label	predict	radius	correct	time
0	3	3	0.213	1	0:00:08.137322
100	4	5	0.112	0	0:00:08.137686
200	5	3	0.301	0	0:00:08.140688
300	6	6	0.703	1	0:00:08.137839
400	9	9	0.839	1	0:00:08.141393
500	4	6	0.0701	0	0:00:08.136947
600	8	-1	0.0	0	0:00:08.137309
700	7	7	0.432	1	0:00:08.135872
800	7	7	0.953	1	0:00:08.138298
900	2	2	0.0145	1	0:00:08.135898
1000	5	5	0.913	1	0:00:08.135493
1100	7	0	0.0862	0	0:00:08.145933
1200	8	8	0.0614	1	0:00:08.138935
1300	4	3	0.323	0	0:00:08.134613
1400	5	5	0.208	1	0:00:08.135704
1500	1	1	0.744	1	0:00:08.140236
1600	8	-1	0.0	0	0:00:08.139689
1700	5	5	0.146	1	0:00:08.141259
1800	4	4	0.381	1	0:00:08.140490
1900	8	8	0.825	1	0:00:08.138221
2000	1	1	0.344	1	0:00:08.144457
2100	2	2	0.613	1	0:00:08.144382
2200	0	0	0.135	1	0:00:08.146128
2300	3	3	0.0321	1	0:00:08.146658
2400	0	0	0.953	1	0:00:08.144897
2500	4	4	0.0133	1	0:00:08.146982
2600	8	8	0.818	1	0:00:08.149504
2700	9	1	0.228	0	0:00:08.153958
2800	4	4	0.193	1	0:00:08.149944
2900	3	7	0.139	0	0:00:08.154092
3000	5	5	0.586	1	0:00:08.153102
3100	0	0	0.572	1	0:00:08.150603
3200	5	5	0.354	1	0:00:08.156952
3300	4	2	0.147	0	0:00:08.153947
3400	6	4	0.478	0	0:00:08.162256
3500	1	9	0.16	0	0:00:08.156557
3600	4	2	0.313	0	0:00:08.155975
3700	3	3	0.499	1	0:00:08.154295
3800	9	9	0.334	1	0:00:08.157638
3900	3	6	0.19	0	0:00:08.153851
4000	8	-1	0.0	0	0:00:08.154356
4100	7	7	0.816	1	0:00:08.156151
4200	4	4	0.14	1	0:00:08.149760
4300	8	8	0.704	1	0:00:08.154627
4400	3	-1	0.0	0	0:00:08.155821
4500	3	5	0.411	0	0:00:08.159091
4600	4	4	0.466	1	0:00:08.161582
4700	6	-1	0.0	0	0:00:08.158748
4800	9	9	0.953	1	0:00:08.162848
4900	3	3	0.869	1	0:00:08.160704
5000	7	7	0.953	1	0:00:08.164243
5100	3	3	0.722	1	0:00:08.161498
5200	3	3	0.835	1	0:00:08.159539
5300	9	9	0.0942	1	0:00:08.159139
5400	9	9	0.455	1	0:00:08.155732
5500	8	8	0.415	1	0:00:08.159007
5600	6	-1	0.0	0	0:00:08.155726
5700	3	3	0.536	1	0:00:08.159943
5800	2	2	0.547	1	0:00:08.155496
5900	4	3	0.0727	0	0:00:08.154046
6000	8	0	0.0753	0	0:00:08.155887
6100	1	1	0.566	1	0:00:08.156584
6200	3	2	0.124	0	0:00:08.153309
6300	1	1	0.0617	1	0:00:08.155590
6400	0	0	0.502	1	0:00:08.154814
