idx	label	predict	radius	correct	time
0	3	3	0.514	1	0:00:08.127998
100	4	4	0.0689	1	0:00:08.125924
200	5	5	0.26	1	0:00:08.138375
300	6	6	0.839	1	0:00:08.135756
400	9	9	0.862	1	0:00:08.134663
500	4	3	0.188	0	0:00:08.133119
600	8	8	0.716	1	0:00:08.136300
700	7	7	0.869	1	0:00:08.133727
800	7	7	0.953	1	0:00:08.143158
900	2	6	0.0923	0	0:00:08.136400
1000	5	5	0.922	1	0:00:08.135242
1100	7	0	0.2	0	0:00:08.142547
1200	8	8	0.117	1	0:00:08.147845
1300	4	4	0.171	1	0:00:08.143580
1400	5	5	0.255	1	0:00:08.143095
1500	1	1	0.472	1	0:00:08.149233
1600	8	-1	0.0	0	0:00:08.149349
1700	5	3	0.119	0	0:00:08.155258
1800	4	4	0.205	1	0:00:08.152685
1900	8	8	0.898	1	0:00:08.150755
2000	1	1	0.63	1	0:00:08.155214
2100	2	2	0.538	1	0:00:08.154906
2200	0	0	0.249	1	0:00:08.153687
2300	3	-1	0.0	0	0:00:08.155827
2400	0	0	0.953	1	0:00:08.152232
2500	4	4	0.156	1	0:00:08.156105
2600	8	8	0.583	1	0:00:08.157093
2700	9	1	0.113	0	0:00:08.161704
2800	4	4	0.235	1	0:00:08.158700
2900	3	7	0.0263	0	0:00:08.165255
3000	5	5	0.338	1	0:00:08.160719
3100	0	0	0.608	1	0:00:08.158206
3200	5	5	0.419	1	0:00:08.161226
3300	4	4	0.262	1	0:00:08.159606
3400	6	4	0.375	0	0:00:08.163113
3500	1	9	0.0778	0	0:00:08.163068
3600	4	2	0.343	0	0:00:08.164510
3700	3	3	0.334	1	0:00:08.160501
3800	9	9	0.388	1	0:00:08.162902
3900	3	3	0.0316	1	0:00:08.160345
4000	8	-1	0.0	0	0:00:08.164137
4100	7	7	0.953	1	0:00:08.165464
4200	4	4	0.102	1	0:00:08.158655
4300	8	8	0.614	1	0:00:08.161095
4400	3	5	0.1	0	0:00:08.162142
4500	3	3	0.0465	1	0:00:08.163712
4600	4	4	0.284	1	0:00:08.167361
4700	6	5	0.254	0	0:00:08.162747
4800	9	9	0.953	1	0:00:08.164010
4900	3	3	0.553	1	0:00:08.161587
5000	7	7	0.953	1	0:00:08.163160
5100	3	3	0.501	1	0:00:08.162597
5200	3	2	0.138	0	0:00:08.157182
5300	9	9	0.661	1	0:00:08.158594
5400	9	9	0.56	1	0:00:08.155524
5500	8	8	0.402	1	0:00:08.155616
5600	6	-1	0.0	0	0:00:08.154824
5700	3	3	0.318	1	0:00:08.153455
5800	2	2	0.533	1	0:00:08.157266
5900	4	3	0.177	0	0:00:08.150421
6000	8	8	0.418	1	0:00:08.150609
6100	1	1	0.823	1	0:00:08.151964
6200	3	3	0.0178	1	0:00:08.145991
6300	1	1	0.483	1	0:00:08.147712
6400	0	0	0.416	1	0:00:08.145279
6500	7	-1	0.0	0	0:00:08.144889
6600	7	7	0.953	1	0:00:08.146832
6700	6	6	0.552	1	0:00:08.145612
6800	6	-1	0.0	0	0:00:08.143870
6900	3	3	0.463	1	0:00:08.146185
7000	2	8	0.0228	0	0:00:08.139846
7100	9	9	0.153	1	0:00:08.142007
7200	4	4	0.0408	1	0:00:08.138031
7300	3	4	0.0959	0	0:00:08.138448
7400	3	5	0.204	0	0:00:08.140325
