idx	label	predict	radius	correct	time
0	3	3	0.34	1	0:00:08.507200
100	4	-1	0.0	0	0:00:07.974201
200	5	5	0.223	1	0:00:08.000765
300	6	6	0.953	1	0:00:08.005769
400	9	9	0.734	1	0:00:08.017876
500	4	6	0.00765	0	0:00:08.033602
600	8	8	0.465	1	0:00:08.046783
700	7	7	0.922	1	0:00:08.045821
800	7	7	0.953	1	0:00:08.054295
900	2	6	0.0246	0	0:00:08.055638
1000	5	5	0.953	1	0:00:08.055652
1100	7	0	0.0651	0	0:00:08.059866
1200	8	8	0.495	1	0:00:08.057162
1300	4	3	0.343	0	0:00:08.054776
1400	5	3	0.0292	0	0:00:08.058075
1500	1	1	0.694	1	0:00:08.067322
1600	8	-1	0.0	0	0:00:08.062502
1700	5	5	0.0793	1	0:00:08.062900
1800	4	4	0.417	1	0:00:08.063230
1900	8	8	0.953	1	0:00:08.061934
2000	1	1	0.715	1	0:00:08.065034
2100	2	2	0.48	1	0:00:08.064284
2200	0	0	0.174	1	0:00:08.066019
2300	3	3	0.0362	1	0:00:08.073261
2400	0	0	0.953	1	0:00:08.071464
2500	4	4	0.109	1	0:00:08.070987
2600	8	8	0.892	1	0:00:08.071877
2700	9	9	0.0618	1	0:00:08.075280
2800	4	4	0.395	1	0:00:08.073869
2900	3	7	0.157	0	0:00:08.077355
3000	5	5	0.771	1	0:00:08.078803
3100	0	0	0.583	1	0:00:08.075956
3200	5	5	0.579	1	0:00:08.085918
3300	4	4	0.244	1	0:00:08.086414
3400	6	4	0.482	0	0:00:08.102866
3500	1	1	0.136	1	0:00:08.109438
3600	4	2	0.435	0	0:00:08.116901
3700	3	3	0.747	1	0:00:08.111926
3800	9	9	0.705	1	0:00:08.117927
3900	3	3	0.116	1	0:00:08.115474
4000	8	-1	0.0	0	0:00:08.119705
4100	7	7	0.953	1	0:00:08.130053
4200	4	4	0.187	1	0:00:08.128648
4300	8	8	0.609	1	0:00:08.133163
4400	3	-1	0.0	0	0:00:08.133863
4500	3	5	0.0537	0	0:00:08.138279
4600	4	4	0.537	1	0:00:08.131799
4700	6	5	0.199	0	0:00:08.130712
4800	9	9	0.953	1	0:00:08.129749
4900	3	3	0.643	1	0:00:08.127467
5000	7	7	0.953	1	0:00:08.132908
5100	3	3	0.705	1	0:00:08.129464
5200	3	3	0.671	1	0:00:08.126123
5300	9	9	0.725	1	0:00:08.135485
5400	9	9	0.798	1	0:00:08.129614
5500	8	8	0.27	1	0:00:08.133235
5600	6	6	0.187	1	0:00:08.131577
5700	3	3	0.643	1	0:00:08.136130
5800	2	2	0.516	1	0:00:08.131549
5900	4	3	0.0291	0	0:00:08.135216
6000	8	8	0.384	1	0:00:08.135990
6100	1	1	0.953	1	0:00:08.139170
6200	3	3	0.0388	1	0:00:08.137857
6300	1	1	0.773	1	0:00:08.140103
6400	0	0	0.527	1	0:00:08.140073
6500	7	-1	0.0	0	0:00:08.137115
6600	7	7	0.935	1	0:00:08.141546
6700	6	6	0.844	1	0:00:08.140666
6800	6	-1	0.0	0	0:00:08.141371
6900	3	3	0.628	1	0:00:08.141105
7000	2	0	0.08	0	0:00:08.136642
7100	9	3	0.359	0	0:00:08.138136
7200	4	4	0.125	1	0:00:08.139598
7300	3	-1	0.0	0	0:00:08.141327
7400	3	5	0.316	0	0:00:08.141262
7500	6	6	0.953	1	0:00:08.143935
7600	8	2	0.0757	0	0:00:08.138510
7700	6	6	0.935	1	0:00:08.140277
7800	0	0	0.574	1	0:00:08.134907
7900	0	-1	0.0	0	0:00:08.140122
8000	9	9	0.737	1	0:00:08.137576
8100	6	2	0.0355	0	0:00:08.140965
8200	3	-1	0.0	0	0:00:08.141006
8300	5	-1	0.0	0	0:00:08.139465
8400	0	0	0.124	1	0:00:08.137375
8500	4	4	0.627	1	0:00:08.137717
8600	3	-1	0.0	0	0:00:08.139957
8700	3	3	0.587	1	0:00:08.141464
8800	0	0	0.935	1	0:00:08.135541
8900	2	4	0.206	0	0:00:08.139971
9000	8	8	0.953	1	0:00:08.140581
