idx	label	predict	radius	correct	time
0	3	3	0.451	1	0:00:08.145890
100	4	-1	0.0	0	0:00:08.145255
200	5	5	0.306	1	0:00:08.150117
300	6	6	0.935	1	0:00:08.148296
400	9	9	0.636	1	0:00:08.150583
500	4	-1	0.0	0	0:00:08.148726
600	8	8	0.269	1	0:00:08.148190
700	7	7	0.738	1	0:00:08.148608
800	7	7	0.953	1	0:00:08.153162
900	2	6	0.0947	0	0:00:08.151199
1000	5	5	0.935	1	0:00:08.153113
1100	7	0	0.285	0	0:00:08.150324
1200	8	8	0.283	1	0:00:08.148510
1300	4	3	0.37	0	0:00:08.143508
1400	5	-1	0.0	0	0:00:08.146243
1500	1	1	0.447	1	0:00:08.152483
1600	8	-1	0.0	0	0:00:08.147295
1700	5	-1	0.0	0	0:00:08.148271
1800	4	4	0.54	1	0:00:08.150718
1900	8	8	0.687	1	0:00:08.140968
2000	1	1	0.559	1	0:00:08.145893
2100	2	2	0.426	1	0:00:08.145624
2200	0	-1	0.0	0	0:00:08.145079
2300	3	-1	0.0	0	0:00:08.141282
2400	0	0	0.953	1	0:00:08.139130
2500	4	4	0.216	1	0:00:08.143979
2600	8	8	0.783	1	0:00:08.142908
2700	9	9	0.105	1	0:00:08.144762
2800	4	4	0.405	1	0:00:08.141005
2900	3	7	0.0617	0	0:00:08.142947
3000	5	5	0.754	1	0:00:08.141150
3100	0	0	0.634	1	0:00:08.136610
3200	5	5	0.709	1	0:00:08.145124
3300	4	4	0.155	1	0:00:08.140177
3400	6	4	0.583	0	0:00:08.141491
3500	1	-1	0.0	0	0:00:08.143780
3600	4	2	0.508	0	0:00:08.142846
3700	3	3	0.576	1	0:00:08.141005
3800	9	9	0.638	1	0:00:08.145308
3900	3	3	0.0741	1	0:00:08.141101
4000	8	-1	0.0	0	0:00:08.146416
4100	7	7	0.953	1	0:00:08.155231
4200	4	4	0.228	1	0:00:08.144400
4300	8	8	0.6	1	0:00:08.146543
4400	3	-1	0.0	0	0:00:08.147640
4500	3	3	0.115	1	0:00:08.151067
4600	4	4	0.194	1	0:00:08.153665
4700	6	5	0.209	0	0:00:08.153038
4800	9	9	0.953	1	0:00:08.153402
4900	3	3	0.658	1	0:00:08.154448
5000	7	7	0.953	1	0:00:08.155181
5100	3	3	0.632	1	0:00:08.155694
5200	3	3	0.753	1	0:00:08.151000
5300	9	9	0.291	1	0:00:08.156932
5400	9	9	0.681	1	0:00:08.153955
5500	8	8	0.234	1	0:00:08.157158
5600	6	6	0.0602	1	0:00:08.155096
5700	3	3	0.615	1	0:00:08.156834
5800	2	2	0.511	1	0:00:08.155380
5900	4	3	0.122	0	0:00:08.152538
6000	8	8	0.434	1	0:00:08.155377
6100	1	1	0.646	1	0:00:08.154954
6200	3	3	0.3	1	0:00:08.155452
6300	1	1	0.323	1	0:00:08.161538
6400	0	0	0.522	1	0:00:08.155102
6500	7	6	0.0387	0	0:00:08.152981
6600	7	7	0.953	1	0:00:08.155876
6700	6	6	0.516	1	0:00:08.155784
6800	6	-1	0.0	0	0:00:08.154979
6900	3	3	0.414	1	0:00:08.155614
7000	2	0	0.251	0	0:00:08.151157
7100	9	3	0.224	0	0:00:08.151081
7200	4	-1	0.0	0	0:00:08.148530
7300	3	5	0.261	0	0:00:08.149798
7400	3	5	0.462	0	0:00:08.150445
7500	6	6	0.953	1	0:00:08.149870
7600	8	2	0.0601	0	0:00:08.146435
7700	6	6	0.801	1	0:00:08.149377
7800	0	0	0.691	1	0:00:08.143811
7900	0	4	0.273	0	0:00:08.146699
8000	9	9	0.678	1	0:00:08.144345
8100	6	2	0.0679	0	0:00:08.149113
8200	3	6	0.181	0	0:00:08.146338
8300	5	-1	0.0	0	0:00:08.144058
8400	0	0	0.276	1	0:00:08.142247
8500	4	4	0.518	1	0:00:08.142917
8600	3	-1	0.0	0	0:00:08.143736
8700	3	3	0.583	1	0:00:08.141768
8800	0	0	0.935	1	0:00:08.139400
8900	2	4	0.161	0	0:00:08.141756
9000	8	8	0.839	1	0:00:08.142024
9100	9	1	0.308	0	0:00:08.140808
9200	8	8	0.852	1	0:00:08.136756
9300	5	5	0.0627	1	0:00:08.142819
9400	6	6	0.905	1	0:00:08.143035
9500	9	9	0.56	1	0:00:08.143784
9600	8	8	0.151	1	0:00:08.137624
9700	0	0	0.643	1	0:00:08.144204
9800	1	1	0.953	1	0:00:08.149989
9900	8	8	0.615	1	0:00:08.145730
10000	3	3	0.309	1	0:00:08.152506
10100	4	-1	0.0	0	0:00:08.146334
10200	5	5	0.241	1	0:00:08.149919
10300	6	6	0.953	1	0:00:08.150329
10400	9	9	0.684	1	0:00:08.152781
10500	4	-1	0.0	0	0:00:08.150784
10600	8	8	0.264	1	0:00:08.151944
10700	7	7	0.585	1	0:00:08.152468
10800	7	7	0.953	1	0:00:08.157691
10900	2	6	0.0594	0	0:00:08.152675
11000	5	5	0.905	1	0:00:08.154352
11100	7	0	0.26	0	0:00:08.156081
11200	8	8	0.125	1	0:00:08.155864
11300	4	3	0.353	0	0:00:08.152258
11400	5	3	0.0657	0	0:00:08.153100
11500	1	1	0.758	1	0:00:08.160789
11600	8	-1	0.0	0	0:00:08.157094
11700	5	5	0.0625	1	0:00:08.157938
11800	4	4	0.506	1	0:00:08.157604
11900	8	8	0.862	1	0:00:08.158301
12000	1	1	0.502	1	0:00:08.162097
12100	2	2	0.42	1	0:00:08.160926
12200	0	0	0.024	1	0:00:08.159745
12300	3	-1	0.0	0	0:00:08.161891
12400	0	0	0.953	1	0:00:08.158721
12500	4	4	0.109	1	0:00:08.162618
12600	8	8	0.816	1	0:00:08.162739
12700	9	1	0.0236	0	0:00:08.165488
12800	4	4	0.378	1	0:00:08.162175
12900	3	-1	0.0	0	0:00:08.164859
13000	5	5	0.635	1	0:00:08.164820
13100	0	0	0.63	1	0:00:08.158705
13200	5	5	0.575	1	0:00:08.164398
13300	4	4	0.231	1	0:00:08.160651
13400	6	4	0.359	0	0:00:08.160951
13500	1	9	0.0876	0	0:00:08.164142
13600	4	2	0.523	0	0:00:08.159810
13700	3	3	0.71	1	0:00:08.157161
13800	9	9	0.548	1	0:00:08.160393
13900	3	6	0.0504	0	0:00:08.155046
14000	8	-1	0.0	0	0:00:08.156149
14100	7	7	0.913	1	0:00:08.160489
14200	4	4	0.161	1	0:00:08.152120
14300	8	8	0.689	1	0:00:08.152677
14400	3	-1	0.0	0	0:00:08.152691
14500	3	-1	0.0	0	0:00:08.156689
14600	4	4	0.217	1	0:00:08.157799
14700	6	5	0.18	0	0:00:08.154400
14800	9	9	0.953	1	0:00:08.155211
14900	3	3	0.538	1	0:00:08.153805
15000	7	7	0.953	1	0:00:08.156928
15100	3	3	0.535	1	0:00:08.157163
15200	3	3	0.639	1	0:00:08.150891
15300	9	9	0.508	1	0:00:08.154515
15400	9	9	0.765	1	0:00:08.151103
15500	8	8	0.434	1	0:00:08.149700
15600	6	6	0.0368	1	0:00:08.147310
15700	3	3	0.352	1	0:00:08.150252
15800	2	2	0.513	1	0:00:08.147661
15900	4	3	0.0684	0	0:00:08.145591
16000	8	8	0.452	1	0:00:08.149090
16100	1	1	0.745	1	0:00:08.149198
16200	3	3	0.152	1	0:00:08.145592
16300	1	1	0.422	1	0:00:08.148339
16400	0	0	0.537	1	0:00:08.146884
16500	7	6	0.158	0	0:00:08.144282
16600	7	7	0.935	1	0:00:08.149947
16700	6	6	0.437	1	0:00:08.148882
