idx	label	predict	radius	correct	time
0	3	3	0.387	1	0:00:08.151438
100	4	5	0.00534	0	0:00:08.151764
200	5	5	0.357	1	0:00:08.157231
300	6	6	0.922	1	0:00:08.156255
400	9	9	0.735	1	0:00:08.162226
500	4	-1	0.0	0	0:00:08.154814
600	8	8	0.458	1	0:00:08.158033
700	7	7	0.922	1	0:00:08.157059
800	7	7	0.953	1	0:00:08.158043
900	2	-1	0.0	0	0:00:08.156142
1000	5	5	0.953	1	0:00:08.156651
1100	7	0	0.0871	0	0:00:08.156958
1200	8	8	0.437	1	0:00:08.156820
1300	4	3	0.188	0	0:00:08.151021
1400	5	3	0.0642	0	0:00:08.153387
1500	1	1	0.655	1	0:00:08.158966
1600	8	9	0.00836	0	0:00:08.156093
1700	5	5	0.0441	1	0:00:08.155956
1800	4	4	0.47	1	0:00:08.153967
1900	8	8	0.913	1	0:00:08.152194
2000	1	1	0.746	1	0:00:08.156323
2100	2	2	0.408	1	0:00:08.153912
2200	0	0	0.223	1	0:00:08.145501
2300	3	-1	0.0	0	0:00:08.146121
2400	0	0	0.953	1	0:00:08.145110
2500	4	4	0.0691	1	0:00:08.147321
2600	8	8	0.862	1	0:00:08.145162
2700	9	1	0.0279	0	0:00:08.148281
2800	4	4	0.298	1	0:00:08.143028
2900	3	7	0.0659	0	0:00:08.147750
3000	5	5	0.662	1	0:00:08.144760
3100	0	0	0.673	1	0:00:08.138005
3200	5	5	0.626	1	0:00:08.146401
3300	4	4	0.267	1	0:00:08.142143
3400	6	4	0.451	0	0:00:08.141444
3500	1	1	0.0822	1	0:00:08.150440
3600	4	2	0.395	0	0:00:08.151640
3700	3	3	0.727	1	0:00:08.147808
3800	9	9	0.8	1	0:00:08.152373
3900	3	3	0.0492	1	0:00:08.147896
4000	8	-1	0.0	0	0:00:08.150644
4100	7	7	0.953	1	0:00:08.151144
4200	4	4	0.2	1	0:00:08.146762
4300	8	8	0.586	1	0:00:08.146416
4400	3	-1	0.0	0	0:00:08.145733
4500	3	5	0.083	0	0:00:08.146886
4600	4	4	0.492	1	0:00:08.149404
4700	6	5	0.0731	0	0:00:08.147391
4800	9	9	0.953	1	0:00:08.147906
4900	3	3	0.567	1	0:00:08.147059
5000	7	7	0.953	1	0:00:08.148992
5100	3	3	0.749	1	0:00:08.146525
5200	3	3	0.651	1	0:00:08.144030
5300	9	9	0.642	1	0:00:08.148296
5400	9	9	0.808	1	0:00:08.146661
5500	8	8	0.288	1	0:00:08.147359
5600	6	6	0.234	1	0:00:08.145731
5700	3	3	0.598	1	0:00:08.151403
5800	2	2	0.497	1	0:00:08.148367
5900	4	3	0.0316	0	0:00:08.148104
6000	8	8	0.466	1	0:00:08.149765
6100	1	1	0.922	1	0:00:08.151891
6200	3	3	0.0385	1	0:00:08.150459
6300	1	1	0.731	1	0:00:08.153626
6400	0	0	0.529	1	0:00:08.152266
6500	7	-1	0.0	0	0:00:08.153236
6600	7	7	0.953	1	0:00:08.156286
6700	6	6	0.79	1	0:00:08.155737
6800	6	-1	0.0	0	0:00:08.156148
6900	3	3	0.576	1	0:00:08.159826
7000	2	0	0.0585	0	0:00:08.156603
7100	9	3	0.205	0	0:00:08.156722
7200	4	4	0.185	1	0:00:08.154268
7300	3	5	0.0231	0	0:00:08.155970
7400	3	5	0.403	0	0:00:08.157944
7500	6	6	0.953	1	0:00:08.158814
7600	8	2	0.0276	0	0:00:08.155884
7700	6	6	0.922	1	0:00:08.157363
7800	0	0	0.557	1	0:00:08.155136
7900	0	-1	0.0	0	0:00:08.159064
8000	9	9	0.709	1	0:00:08.155780
8100	6	-1	0.0	0	0:00:08.159240
8200	3	-1	0.0	0	0:00:08.159541
8300	5	-1	0.0	0	0:00:08.157550
8400	0	0	0.225	1	0:00:08.159381
8500	4	4	0.602	1	0:00:08.158301
8600	3	3	0.0469	1	0:00:08.160696
8700	3	3	0.569	1	0:00:08.165502
8800	0	0	0.953	1	0:00:08.149704
8900	2	4	0.154	0	0:00:08.151745
9000	8	8	0.953	1	0:00:08.158949
9100	9	1	0.285	0	0:00:08.163027
9200	8	8	0.746	1	0:00:08.159173
9300	5	-1	0.0	0	0:00:08.163960
9400	6	6	0.935	1	0:00:08.164537
9500	9	9	0.701	1	0:00:08.165879
9600	8	8	0.202	1	0:00:08.159313
9700	0	0	0.729	1	0:00:08.159010
9800	1	1	0.953	1	0:00:08.165100
9900	8	8	0.905	1	0:00:08.160804
10000	3	3	0.338	1	0:00:08.161974
10100	4	4	0.0611	1	0:00:08.162240
10200	5	5	0.354	1	0:00:08.161574
