idx	label	predict	radius	correct	time
0	3	3	0.36	1	0:00:08.145300
100	4	5	0.0274	0	0:00:08.147076
200	5	5	0.305	1	0:00:08.145954
300	6	6	0.935	1	0:00:08.146537
400	9	9	0.74	1	0:00:08.145371
500	4	-1	0.0	0	0:00:08.144050
600	8	8	0.42	1	0:00:08.144373
700	7	7	0.935	1	0:00:08.143413
800	7	7	0.953	1	0:00:08.149283
900	2	6	0.0439	0	0:00:08.145192
1000	5	5	0.953	1	0:00:08.148275
1100	7	0	0.0133	0	0:00:08.146061
1200	8	8	0.497	1	0:00:08.150698
1300	4	3	0.341	0	0:00:08.138144
1400	5	3	0.0375	0	0:00:08.138274
1500	1	1	0.71	1	0:00:08.147399
1600	8	-1	0.0	0	0:00:08.144850
1700	5	5	0.061	1	0:00:08.144230
1800	4	4	0.375	1	0:00:08.141323
1900	8	8	0.922	1	0:00:08.138302
2000	1	1	0.721	1	0:00:08.143434
2100	2	2	0.469	1	0:00:08.140571
2200	0	0	0.102	1	0:00:08.137769
2300	3	-1	0.0	0	0:00:08.140515
2400	0	0	0.953	1	0:00:08.135093
2500	4	4	0.029	1	0:00:08.137388
2600	8	8	0.913	1	0:00:08.135953
2700	9	9	0.0538	1	0:00:08.138651
2800	4	4	0.313	1	0:00:08.135515
2900	3	7	0.128	0	0:00:08.137895
3000	5	5	0.81	1	0:00:08.140540
3100	0	0	0.617	1	0:00:08.130852
3200	5	5	0.554	1	0:00:08.136703
3300	4	4	0.284	1	0:00:08.132874
3400	6	4	0.488	0	0:00:08.136053
3500	1	-1	0.0	0	0:00:08.137921
3600	4	2	0.433	0	0:00:08.130573
3700	3	3	0.759	1	0:00:08.129091
3800	9	9	0.712	1	0:00:08.132769
3900	3	3	0.109	1	0:00:08.129948
4000	8	-1	0.0	0	0:00:08.135246
4100	7	7	0.953	1	0:00:08.135659
4200	4	4	0.19	1	0:00:08.132406
4300	8	8	0.626	1	0:00:08.135210
4400	3	-1	0.0	0	0:00:08.135709
4500	3	-1	0.0	0	0:00:08.137922
4600	4	4	0.512	1	0:00:08.139431
4700	6	5	0.198	0	0:00:08.138613
4800	9	9	0.953	1	0:00:08.139687
4900	3	3	0.645	1	0:00:08.141149
5000	7	7	0.953	1	0:00:08.146058
5100	3	3	0.701	1	0:00:08.142782
5200	3	3	0.643	1	0:00:08.141303
5300	9	9	0.759	1	0:00:08.148546
5400	9	9	0.768	1	0:00:08.145983
5500	8	8	0.324	1	0:00:08.147827
5600	6	6	0.275	1	0:00:08.146708
5700	3	3	0.642	1	0:00:08.149631
5800	2	2	0.501	1	0:00:08.151909
5900	4	3	0.0635	0	0:00:08.148204
