idx	label	predict	radius	correct	time
0	3	3	0.502	1	0:00:08.145874
100	4	5	0.0562	0	0:00:08.144120
200	5	5	0.336	1	0:00:08.148529
300	6	6	0.886	1	0:00:08.146480
400	9	9	0.632	1	0:00:08.153351
500	4	3	0.0541	0	0:00:08.153439
600	8	8	0.464	1	0:00:08.155295
700	7	7	0.833	1	0:00:08.152002
800	7	7	0.953	1	0:00:08.152250
900	2	6	0.0492	0	0:00:08.149004
1000	5	5	0.922	1	0:00:08.150073
1100	7	0	0.0729	0	0:00:08.148673
1200	8	8	0.275	1	0:00:08.146218
1300	4	3	0.357	0	0:00:08.142588
1400	5	3	0.0308	0	0:00:08.144123
1500	1	1	0.833	1	0:00:08.149390
1600	8	-1	0.0	0	0:00:08.144835
1700	5	-1	0.0	0	0:00:08.144905
1800	4	4	0.436	1	0:00:08.144150
1900	8	8	0.922	1	0:00:08.140409
2000	1	1	0.609	1	0:00:08.144981
2100	2	2	0.403	1	0:00:08.144264
2200	0	0	0.209	1	0:00:08.141618
2300	3	-1	0.0	0	0:00:08.140710
2400	0	0	0.953	1	0:00:08.140491
2500	4	4	0.194	1	0:00:08.139446
2600	8	8	0.855	1	0:00:08.138946
2700	9	1	0.245	0	0:00:08.143443
2800	4	4	0.206	1	0:00:08.142552
2900	3	2	0.034	0	0:00:08.147321
3000	5	5	0.725	1	0:00:08.142783
3100	0	0	0.658	1	0:00:08.136706
3200	5	5	0.448	1	0:00:08.142866
3300	4	4	0.173	1	0:00:08.142526
3400	6	4	0.603	0	0:00:08.143101
3500	1	1	0.134	1	0:00:08.145373
3600	4	2	0.559	0	0:00:08.148400
3700	3	3	0.728	1	0:00:08.144334
3800	9	9	0.381	1	0:00:08.151906
3900	3	6	0.16	0	0:00:08.143379
4000	8	-1	0.0	0	0:00:08.147341
4100	7	7	0.953	1	0:00:08.151050
4200	4	4	0.16	1	0:00:08.144876
4300	8	8	0.651	1	0:00:08.149340
4400	3	-1	0.0	0	0:00:08.149365
4500	3	5	0.166	0	0:00:08.151801
4600	4	4	0.512	1	0:00:08.155423
4700	6	-1	0.0	0	0:00:08.153757
4800	9	9	0.953	1	0:00:08.155827
4900	3	3	0.506	1	0:00:08.155029
5000	7	7	0.953	1	0:00:08.156563
5100	3	3	0.772	1	0:00:08.157713
5200	3	3	0.704	1	0:00:08.156459
5300	9	9	0.605	1	0:00:08.158360
5400	9	9	0.684	1	0:00:08.157826
5500	8	8	0.417	1	0:00:08.157516
5600	6	6	0.0997	1	0:00:08.157601
5700	3	3	0.61	1	0:00:08.159014
5800	2	2	0.665	1	0:00:08.157582
5900	4	3	0.0585	0	0:00:08.156148
6000	8	8	0.482	1	0:00:08.157524
6100	1	1	0.913	1	0:00:08.161881
6200	3	3	0.115	1	0:00:08.156829
6300	1	1	0.552	1	0:00:08.160458
6400	0	0	0.475	1	0:00:08.159110
6500	7	6	0.00456	0	0:00:08.158185
6600	7	7	0.953	1	0:00:08.164380
6700	6	6	0.662	1	0:00:08.160851
6800	6	-1	0.0	0	0:00:08.157089
6900	3	3	0.628	1	0:00:08.161613
7000	2	0	0.0507	0	0:00:08.157676
7100	9	3	0.351	0	0:00:08.158389
7200	4	4	0.0351	1	0:00:08.155802
7300	3	5	0.16	0	0:00:08.156379
7400	3	5	0.225	0	0:00:08.156757
7500	6	6	0.953	1	0:00:08.157655
7600	8	2	0.0945	0	0:00:08.159352
7700	6	6	0.711	1	0:00:08.152059
7800	0	0	0.632	1	0:00:08.149049
7900	0	-1	0.0	0	0:00:08.155359
8000	9	9	0.619	1	0:00:08.151675
8100	6	2	0.158	0	0:00:08.154734
8200	3	6	0.038	0	0:00:08.150602
8300	5	-1	0.0	0	0:00:08.149383
8400	0	0	0.237	1	0:00:08.149206
8500	4	4	0.65	1	0:00:08.147059
8600	3	-1	0.0	0	0:00:08.148244
8700	3	3	0.636	1	0:00:08.147822
8800	0	0	0.953	1	0:00:08.144776
8900	2	4	0.0397	0	0:00:08.146352
9000	8	8	0.935	1	0:00:08.146540
9100	9	1	0.373	0	0:00:08.145943
9200	8	8	0.852	1	0:00:08.141118
9300	5	-1	0.0	0	0:00:08.147612
9400	6	6	0.572	1	0:00:08.143781
9500	9	9	0.348	1	0:00:08.145211
9600	8	8	0.301	1	0:00:08.141511
9700	0	0	0.57	1	0:00:08.143561
9800	1	1	0.953	1	0:00:08.146033
9900	8	8	0.72	1	0:00:08.144369
10000	3	3	0.552	1	0:00:08.143821
10100	4	-1	0.0	0	0:00:08.142571
10200	5	5	0.269	1	0:00:08.146943
10300	6	6	0.569	1	0:00:08.143824
10400	9	9	0.499	1	0:00:08.142744
10500	4	3	0.0245	0	0:00:08.140520
10600	8	8	0.498	1	0:00:08.143789
10700	7	7	0.637	1	0:00:08.142517
10800	7	7	0.935	1	0:00:08.145512
10900	2	6	0.0934	0	0:00:08.143852
11000	5	5	0.807	1	0:00:08.146223
11100	7	0	0.219	0	0:00:08.148163
11200	8	8	0.412	1	0:00:08.145028
11300	4	3	0.365	0	0:00:08.142217
11400	5	3	0.0271	0	0:00:08.145003
11500	1	1	0.842	1	0:00:08.155859
11600	8	-1	0.0	0	0:00:08.151335
11700	5	5	0.0466	1	0:00:08.151030
11800	4	4	0.436	1	0:00:08.148621
11900	8	8	0.922	1	0:00:08.148309
12000	1	1	0.52	1	0:00:08.159582
12100	2	2	0.374	1	0:00:08.161227
12200	0	0	0.164	1	0:00:08.160065
12300	3	3	0.0496	1	0:00:08.162835
12400	0	0	0.953	1	0:00:08.168746
12500	4	4	0.227	1	0:00:08.163787
12600	8	8	0.821	1	0:00:08.154959
12700	9	1	0.351	0	0:00:08.158291
12800	4	4	0.253	1	0:00:08.155427
12900	3	2	0.235	0	0:00:08.161621
13000	5	5	0.696	1	0:00:08.161134
13100	0	0	0.674	1	0:00:08.155185
13200	5	5	0.249	1	0:00:08.160918
13300	4	4	0.122	1	0:00:08.158131
13400	6	4	0.675	0	0:00:08.159742
13500	1	-1	0.0	0	0:00:08.159991
13600	4	2	0.593	0	0:00:08.162459
13700	3	3	0.709	1	0:00:08.158852
13800	9	9	0.273	1	0:00:08.169167
13900	3	6	0.282	0	0:00:08.158395
14000	8	-1	0.0	0	0:00:08.156091
14100	7	7	0.839	1	0:00:08.157640
14200	4	4	0.0556	1	0:00:08.151693
14300	8	8	0.69	1	0:00:08.152983
14400	3	3	0.0365	1	0:00:08.153478
14500	3	5	0.0777	0	0:00:08.156103
14600	4	4	0.532	1	0:00:08.156876
14700	6	5	0.149	0	0:00:08.159116
14800	9	9	0.953	1	0:00:08.157570
14900	3	3	0.545	1	0:00:08.150944
15000	7	7	0.953	1	0:00:08.152883
15100	3	3	0.747	1	0:00:08.151568
15200	3	3	0.726	1	0:00:08.149305
15300	9	9	0.584	1	0:00:08.149536
15400	9	9	0.648	1	0:00:08.147250
15500	8	8	0.523	1	0:00:08.146666
15600	6	6	0.0365	1	0:00:08.148927
15700	3	3	0.734	1	0:00:08.146462
15800	2	2	0.731	1	0:00:08.143458
15900	4	3	0.00244	0	0:00:08.140498
16000	8	8	0.47	1	0:00:08.142149
16100	1	1	0.768	1	0:00:08.144523
16200	3	3	0.127	1	0:00:08.141226
16300	1	1	0.39	1	0:00:08.142135
16400	0	0	0.376	1	0:00:08.141653
16500	7	-1	0.0	0	0:00:08.139708
16600	7	7	0.886	1	0:00:08.143106
16700	6	6	0.641	1	0:00:08.141178
16800	6	-1	0.0	0	0:00:08.140386
16900	3	3	0.532	1	0:00:08.141527
17000	2	-1	0.0	0	0:00:08.136899
17100	9	3	0.354	0	0:00:08.139470
17200	4	-1	0.0	0	0:00:08.135891
17300	3	4	0.0206	0	0:00:08.135458
17400	3	3	0.039	1	0:00:08.140128
17500	6	6	0.953	1	0:00:08.142751
17600	8	2	0.14	0	0:00:08.135144
17700	6	6	0.629	1	0:00:08.135982
17800	0	0	0.651	1	0:00:08.130075
17900	0	8	0.049	0	0:00:08.139529
18000	9	9	0.544	1	0:00:08.139632
18100	6	2	0.0178	0	0:00:08.142269
18200	3	6	0.0548	0	0:00:08.142291
18300	5	-1	0.0	0	0:00:08.140794
18400	0	0	0.284	1	0:00:08.139654
18500	4	4	0.573	1	0:00:08.142290
18600	3	-1	0.0	0	0:00:08.143332
18700	3	3	0.637	1	0:00:08.140923
18800	0	0	0.935	1	0:00:08.143286
18900	2	2	0.0325	1	0:00:08.141525
19000	8	8	0.898	1	0:00:08.143541
19100	9	1	0.415	0	0:00:08.146418
19200	8	8	0.862	1	0:00:08.142443
19300	5	2	0.117	0	0:00:08.147471
19400	6	6	0.653	1	0:00:08.149259
19500	9	9	0.227	1	0:00:08.149785
19600	8	8	0.319	1	0:00:08.145065
19700	0	0	0.404	1	0:00:08.149733
19800	1	1	0.953	1	0:00:08.152619
19900	8	8	0.555	1	0:00:08.146963
20000	3	3	0.482	1	0:00:08.150926
20100	4	5	0.0919	0	0:00:08.149491
20200	5	5	0.159	1	0:00:08.153359
20300	6	6	0.55	1	0:00:08.153333
20400	9	9	0.581	1	0:00:08.156108
20500	4	3	0.00364	0	0:00:08.159654
20600	8	8	0.415	1	0:00:08.155731
20700	7	7	0.718	1	0:00:08.154804
20800	7	7	0.953	1	0:00:08.154923
20900	2	6	0.141	0	0:00:08.155748
21000	5	5	0.733	1	0:00:08.155670
21100	7	0	0.149	0	0:00:08.155231
21200	8	8	0.369	1	0:00:08.154897
21300	4	3	0.358	0	0:00:08.152826
21400	5	3	0.195	0	0:00:08.154257
21500	1	1	0.792	1	0:00:08.159961
21600	8	-1	0.0	0	0:00:08.158058
21700	5	3	0.0239	0	0:00:08.161720
21800	4	4	0.439	1	0:00:08.156848
21900	8	8	0.953	1	0:00:08.155743
22000	1	1	0.433	1	0:00:08.158769
22100	2	2	0.406	1	0:00:08.157297
22200	0	0	0.13	1	0:00:08.156055
22300	3	-1	0.0	0	0:00:08.157718
22400	0	0	0.953	1	0:00:08.158771
22500	4	4	0.218	1	0:00:08.155343
22600	8	8	0.844	1	0:00:08.155894
22700	9	1	0.378	0	0:00:08.157116
22800	4	4	0.263	1	0:00:08.153541
22900	3	2	0.403	0	0:00:08.156378
23000	5	5	0.624	1	0:00:08.155514
23100	0	0	0.682	1	0:00:08.149327
23200	5	5	0.133	1	0:00:08.156553
23300	4	4	0.262	1	0:00:08.152601
23400	6	4	0.615	0	0:00:08.153211
