idx	label	predict	radius	correct	time
0	3	3	0.877	1	0:00:08.063625
100	4	4	0.04	1	0:00:08.060139
200	5	5	0.844	1	0:00:08.069573
300	6	6	0.953	1	0:00:08.061116
400	9	9	0.953	1	0:00:08.066885
500	4	6	0.448	0	0:00:08.063694
600	8	8	0.608	1	0:00:08.062640
700	7	7	0.953	1	0:00:08.063725
800	7	7	0.953	1	0:00:08.069263
900	2	6	0.408	0	0:00:08.059166
1000	5	5	0.953	1	0:00:08.062750
1100	7	8	0.0564	0	0:00:08.063868
1200	8	8	0.175	1	0:00:08.064569
1300	4	3	0.706	0	0:00:08.054245
1400	5	3	0.235	0	0:00:08.058049
1500	1	1	0.953	1	0:00:08.063817
1600	8	9	0.422	0	0:00:08.060943
1700	5	3	0.0905	0	0:00:08.060781
1800	4	4	0.113	1	0:00:08.060612
1900	8	8	0.953	1	0:00:08.064141
2000	1	1	0.679	1	0:00:08.059783
2100	2	2	0.775	1	0:00:08.059208
2200	0	0	0.191	1	0:00:08.058248
2300	3	4	0.0428	0	0:00:08.055564
2400	0	0	0.953	1	0:00:08.060750
2500	4	4	0.37	1	0:00:08.057034
2600	8	8	0.953	1	0:00:08.059060
2700	9	9	0.494	1	0:00:08.062598
2800	4	4	0.473	1	0:00:08.055859
2900	3	5	0.11	0	0:00:08.059071
3000	5	5	0.953	1	0:00:08.057980
3100	0	0	0.953	1	0:00:08.053105
3200	5	5	0.829	1	0:00:08.059570
3300	4	4	0.419	1	0:00:08.056638
3400	6	4	0.623	0	0:00:08.056638
3500	1	1	0.53	1	0:00:08.059652
3600	4	2	0.582	0	0:00:08.058378
3700	3	3	0.898	1	0:00:08.056995
3800	9	9	0.774	1	0:00:08.059296
3900	3	3	0.314	1	0:00:08.059580
4000	8	0	0.0516	0	0:00:08.061807
4100	7	7	0.953	1	0:00:08.058201
4200	4	4	0.608	1	0:00:08.054468
4300	8	8	0.953	1	0:00:08.053957
4400	3	-1	0.0	0	0:00:08.057001
4500	3	-1	0.0	0	0:00:08.057701
4600	4	7	0.459	0	0:00:08.057877
4700	6	-1	0.0	0	0:00:08.056794
4800	9	9	0.953	1	0:00:08.059492
4900	3	3	0.422	1	0:00:08.062325
5000	7	7	0.953	1	0:00:08.061220
5100	3	3	0.953	1	0:00:08.057594
5200	3	3	0.953	1	0:00:08.058640
5300	9	9	0.905	1	0:00:08.060340
5400	9	9	0.436	1	0:00:08.059272
5500	8	8	0.855	1	0:00:08.060166
5600	6	5	0.125	0	0:00:08.058273
5700	3	5	0.303	0	0:00:08.058614
5800	2	2	0.764	1	0:00:08.057614
5900	4	3	0.193	0	0:00:08.055932
6000	8	8	0.694	1	0:00:08.058556
6100	1	1	0.953	1	0:00:08.058592
6200	3	3	0.648	1	0:00:08.059157
6300	1	1	0.953	1	0:00:08.061441
6400	0	0	0.277	1	0:00:08.066111
6500	7	6	0.296	0	0:00:08.059312
6600	7	7	0.953	1	0:00:08.063159
6700	6	6	0.935	1	0:00:08.060963
6800	6	6	0.372	1	0:00:08.058852
6900	3	3	0.953	1	0:00:08.064358
7000	2	8	0.173	0	0:00:08.059607
7100	9	3	0.0323	0	0:00:08.062787
7200	4	4	0.105	1	0:00:08.058757
7300	3	5	0.266	0	0:00:08.062269
7400	3	5	0.105	0	0:00:08.063566
7500	6	6	0.953	1	0:00:08.065775
7600	8	9	0.406	0	0:00:08.061340
7700	6	6	0.953	1	0:00:08.059583
7800	0	0	0.953	1	0:00:08.061026
7900	0	8	0.558	0	0:00:08.062363
8000	9	9	0.953	1	0:00:08.064389
8100	6	2	0.485	0	0:00:08.063544
8200	3	-1	0.0	0	0:00:08.063166
8300	5	2	0.0759	0	0:00:08.059969
8400	0	0	0.44	1	0:00:08.061092
8500	4	4	0.953	1	0:00:08.061005
8600	3	3	0.452	1	0:00:08.066139
8700	3	3	0.278	1	0:00:08.062918
8800	0	0	0.953	1	0:00:08.063780
8900	2	2	0.0395	1	0:00:08.062490
9000	8	8	0.953	1	0:00:08.065717
9100	9	1	0.641	0	0:00:08.066702
9200	8	8	0.922	1	0:00:08.061563
9300	5	3	0.105	0	0:00:08.067064
9400	6	6	0.953	1	0:00:08.064303
9500	9	9	0.953	1	0:00:08.064066
9600	8	8	0.591	1	0:00:08.060903
9700	0	0	0.935	1	0:00:08.063276
9800	1	1	0.953	1	0:00:08.068967
9900	8	8	0.953	1	0:00:08.063803
10000	3	3	0.935	1	0:00:08.062488
10100	4	4	0.0457	1	0:00:08.059641
10200	5	5	0.849	1	0:00:08.062382
10300	6	6	0.953	1	0:00:08.059736
10400	9	9	0.953	1	0:00:08.064476
10500	4	6	0.375	0	0:00:08.060147
10600	8	8	0.532	1	0:00:08.060344
10700	7	7	0.953	1	0:00:08.061623
10800	7	7	0.953	1	0:00:08.063092
10900	2	6	0.387	0	0:00:08.056321
11000	5	5	0.953	1	0:00:08.060060
11100	7	8	0.0183	0	0:00:08.060770
11200	8	8	0.15	1	0:00:08.061052
11300	4	3	0.706	0	0:00:08.052845
11400	5	3	0.255	0	0:00:08.056788
11500	1	1	0.953	1	0:00:08.062737
11600	8	9	0.353	0	0:00:08.060138
11700	5	3	0.0903	0	0:00:08.060256
11800	4	4	0.0953	1	0:00:08.059715
11900	8	8	0.953	1	0:00:08.060156
12000	1	1	0.564	1	0:00:08.059190
12100	2	2	0.746	1	0:00:08.057748
12200	0	0	0.157	1	0:00:08.059114
12300	3	4	0.0818	0	0:00:08.057826
12400	0	0	0.953	1	0:00:08.062270
12500	4	4	0.49	1	0:00:08.059433
12600	8	8	0.953	1	0:00:08.059892
12700	9	9	0.512	1	0:00:08.064295
12800	4	4	0.47	1	0:00:08.059019
12900	3	5	0.0991	0	0:00:08.061594
13000	5	5	0.953	1	0:00:08.062032
13100	0	0	0.953	1	0:00:08.058629
13200	5	5	0.784	1	0:00:08.062921
13300	4	4	0.348	1	0:00:08.060274
13400	6	4	0.621	0	0:00:08.062000
13500	1	1	0.539	1	0:00:08.063156
13600	4	2	0.577	0	0:00:08.062737
13700	3	3	0.922	1	0:00:08.061417
13800	9	9	0.562	1	0:00:08.066739
