idx	label	predict	radius	correct	time
0	3	3	0.721	1	0:00:08.075183
100	4	4	0.538	1	0:00:08.071404
200	5	5	0.898	1	0:00:08.083693
300	6	6	0.825	1	0:00:08.077250
400	9	9	0.953	1	0:00:08.083507
500	4	6	0.193	0	0:00:08.079419
600	8	8	0.232	1	0:00:08.079946
700	7	7	0.953	1	0:00:08.081168
800	7	7	0.953	1	0:00:08.078894
900	2	6	0.216	0	0:00:08.075086
1000	5	5	0.953	1	0:00:08.076292
1100	7	8	0.265	0	0:00:08.077879
1200	8	8	0.061	1	0:00:08.076978
1300	4	3	0.935	0	0:00:08.069405
1400	5	3	0.366	0	0:00:08.071889
1500	1	1	0.935	1	0:00:08.077483
1600	8	9	0.211	0	0:00:08.075879
1700	5	-1	0.0	0	0:00:08.077478
1800	4	0	0.205	0	0:00:08.072860
1900	8	8	0.953	1	0:00:08.074257
2000	1	6	0.0331	0	0:00:08.078576
2100	2	2	0.585	1	0:00:08.071094
2200	0	0	0.173	1	0:00:08.073172
2300	3	-1	0.0	0	0:00:08.070899
2400	0	0	0.935	1	0:00:08.074840
2500	4	4	0.309	1	0:00:08.076890
2600	8	8	0.953	1	0:00:08.073756
2700	9	9	0.158	1	0:00:08.075653
2800	4	4	0.484	1	0:00:08.070988
2900	3	5	0.276	0	0:00:08.073782
3000	5	5	0.953	1	0:00:08.072865
3100	0	0	0.873	1	0:00:08.068118
3200	5	5	0.715	1	0:00:08.075807
3300	4	4	0.0924	1	0:00:08.070610
3400	6	4	0.742	0	0:00:08.072434
3500	1	1	0.396	1	0:00:08.075216
3600	4	2	0.596	0	0:00:08.074001
3700	3	3	0.774	1	0:00:08.073399
3800	9	9	0.289	1	0:00:08.076354
3900	3	3	0.576	1	0:00:08.076296
4000	8	4	0.0153	0	0:00:08.075895
4100	7	7	0.953	1	0:00:08.076356
4200	4	4	0.154	1	0:00:08.073089
4300	8	8	0.953	1	0:00:08.076008
4400	3	-1	0.0	0	0:00:08.075423
4500	3	3	0.000545	1	0:00:08.076203
4600	4	7	0.213	0	0:00:08.078536
4700	6	6	0.297	1	0:00:08.084287
4800	9	9	0.953	1	0:00:08.081164
4900	3	3	0.262	1	0:00:08.078234
5000	7	7	0.953	1	0:00:08.083135
5100	3	3	0.953	1	0:00:08.079506
5200	3	3	0.905	1	0:00:08.076806
5300	9	9	0.935	1	0:00:08.080249
5400	9	9	0.287	1	0:00:08.080998
5500	8	8	0.713	1	0:00:08.084604
5600	6	-1	0.0	0	0:00:08.080566
5700	3	3	0.095	1	0:00:08.080403
5800	2	2	0.468	1	0:00:08.080148
5900	4	4	0.283	1	0:00:08.078206
6000	8	8	0.719	1	0:00:08.083185
6100	1	1	0.922	1	0:00:08.083063
