idx	label	predict	radius	correct	time
0	3	3	0.869	1	0:00:08.073610
100	4	2	0.0417	0	0:00:08.070785
200	5	5	0.805	1	0:00:08.073168
300	6	6	0.953	1	0:00:08.070602
400	9	9	0.953	1	0:00:08.075163
500	4	6	0.101	0	0:00:08.073504
600	8	8	0.751	1	0:00:08.071707
700	7	7	0.953	1	0:00:08.074654
800	7	7	0.953	1	0:00:08.073036
900	2	-1	0.0	0	0:00:08.066784
1000	5	5	0.953	1	0:00:08.073063
1100	7	8	0.369	0	0:00:08.072969
1200	8	8	0.157	1	0:00:08.073582
1300	4	4	0.00599	1	0:00:08.063349
1400	5	5	0.355	1	0:00:08.072894
1500	1	1	0.881	1	0:00:08.073949
1600	8	9	0.577	0	0:00:08.071559
1700	5	3	0.195	0	0:00:08.073401
1800	4	0	0.295	0	0:00:08.067957
1900	8	8	0.953	1	0:00:08.066664
2000	1	1	0.433	1	0:00:08.066139
2100	2	2	0.922	1	0:00:08.065523
2200	0	0	0.0921	1	0:00:08.065813
2300	3	4	0.0413	0	0:00:08.061481
2400	0	0	0.953	1	0:00:08.064606
2500	4	4	0.513	1	0:00:08.064232
2600	8	8	0.953	1	0:00:08.064300
2700	9	9	0.225	1	0:00:08.069195
2800	4	4	0.303	1	0:00:08.062207
2900	3	5	0.638	0	0:00:08.069625
3000	5	5	0.953	1	0:00:08.066653
3100	0	0	0.953	1	0:00:08.058014
3200	5	5	0.886	1	0:00:08.062912
3300	4	4	0.261	1	0:00:08.060971
3400	6	4	0.248	0	0:00:08.059884
3500	1	1	0.479	1	0:00:08.062059
3600	4	2	0.57	0	0:00:08.060809
3700	3	3	0.606	1	0:00:08.061789
3800	9	9	0.762	1	0:00:08.062496
3900	3	3	0.315	1	0:00:08.061273
4000	8	0	0.252	0	0:00:08.061408
4100	7	7	0.953	1	0:00:08.065090
4200	4	4	0.768	1	0:00:08.059027
4300	8	8	0.886	1	0:00:08.060602
4400	3	3	0.0351	1	0:00:08.061572
4500	3	3	0.378	1	0:00:08.065376
4600	4	7	0.145	0	0:00:08.065695
4700	6	5	0.304	0	0:00:08.063008
4800	9	9	0.953	1	0:00:08.065008
4900	3	3	0.17	1	0:00:08.063091
5000	7	7	0.953	1	0:00:08.067140
5100	3	3	0.953	1	0:00:08.064682
5200	3	3	0.582	1	0:00:08.063158
5300	9	9	0.953	1	0:00:08.063451
5400	9	-1	0.0	0	0:00:08.062674
5500	8	8	0.953	1	0:00:08.060804
5600	6	0	0.324	0	0:00:08.059178
5700	3	3	0.213	1	0:00:08.061009
5800	2	2	0.953	1	0:00:08.059766
5900	4	3	0.0161	0	0:00:08.056166
6000	8	8	0.873	1	0:00:08.059322
6100	1	1	0.953	1	0:00:08.057809
6200	3	3	0.541	1	0:00:08.057863
6300	1	1	0.579	1	0:00:08.056621
6400	0	0	0.166	1	0:00:08.055518
6500	7	0	0.33	0	0:00:08.057043
6600	7	7	0.953	1	0:00:08.055571
6700	6	6	0.694	1	0:00:08.057068
6800	6	6	0.0909	1	0:00:08.053478
6900	3	3	0.721	1	0:00:08.055983
7000	2	0	0.194	0	0:00:08.052831
7100	9	9	0.675	1	0:00:08.054196
7200	4	3	0.626	0	0:00:08.053408
7300	3	5	0.178	0	0:00:08.057891
7400	3	3	0.488	1	0:00:08.057340
7500	6	6	0.953	1	0:00:08.060621
7600	8	9	0.215	0	0:00:08.056854
7700	6	6	0.922	1	0:00:08.056093
7800	0	0	0.935	1	0:00:08.056889
7900	0	8	0.263	0	0:00:08.059915
8000	9	9	0.881	1	0:00:08.060419
8100	6	2	0.706	0	0:00:08.061053
8200	3	0	0.455	0	0:00:08.063359
8300	5	-1	0.0	0	0:00:08.062075
8400	0	0	0.341	1	0:00:08.062073
8500	4	4	0.413	1	0:00:08.060852
8600	3	3	0.533	1	0:00:08.064577
8700	3	3	0.292	1	0:00:08.062911
8800	0	0	0.881	1	0:00:08.063532
8900	2	2	0.412	1	0:00:08.064289
9000	8	8	0.953	1	0:00:08.069267
9100	9	1	0.594	0	0:00:08.066987
9200	8	8	0.668	1	0:00:08.061790
9300	5	3	0.0228	0	0:00:08.067922
9400	6	6	0.758	1	0:00:08.070045
9500	9	9	0.953	1	0:00:08.069185
9600	8	8	0.393	1	0:00:08.066645
9700	0	0	0.953	1	0:00:08.066837
9800	1	1	0.953	1	0:00:08.074906
9900	8	8	0.935	1	0:00:08.070428
10000	3	3	0.671	1	0:00:08.069273
10100	4	5	0.0229	0	0:00:08.065975
10200	5	5	0.0249	1	0:00:08.067759
10300	6	6	0.953	1	0:00:08.065789
10400	9	9	0.953	1	0:00:08.070103
10500	4	6	0.274	0	0:00:08.073964
10600	8	8	0.58	1	0:00:08.072230
10700	7	7	0.953	1	0:00:08.071495
10800	7	7	0.953	1	0:00:08.071798
10900	2	-1	0.0	0	0:00:08.065844
11000	5	5	0.953	1	0:00:08.069803
11100	7	8	0.401	0	0:00:08.068106
11200	8	8	0.0325	1	0:00:08.069941
11300	4	4	0.277	1	0:00:08.061373
11400	5	5	0.691	1	0:00:08.067770
11500	1	1	0.762	1	0:00:08.074815
11600	8	9	0.0745	0	0:00:08.070491
11700	5	3	0.279	0	0:00:08.071835
11800	4	0	0.19	0	0:00:08.070359
11900	8	8	0.953	1	0:00:08.068264
12000	1	1	0.466	1	0:00:08.072714
12100	2	2	0.953	1	0:00:08.071806
12200	0	0	0.0864	1	0:00:08.069769
12300	3	-1	0.0	0	0:00:08.067843
12400	0	0	0.953	1	0:00:08.071056
12500	4	4	0.468	1	0:00:08.071304
12600	8	8	0.953	1	0:00:08.070219
12700	9	9	0.0858	1	0:00:08.075627
12800	4	0	0.184	0	0:00:08.069939
12900	3	5	0.349	0	0:00:08.072298
13000	5	5	0.953	1	0:00:08.073301
13100	0	0	0.774	1	0:00:08.065368
13200	5	5	0.796	1	0:00:08.071253
13300	4	3	0.551	0	0:00:08.068806
13400	6	-1	0.0	0	0:00:08.069361
13500	1	1	0.398	1	0:00:08.071827
13600	4	2	0.293	0	0:00:08.075499
13700	3	3	0.602	1	0:00:08.072844
13800	9	9	0.825	1	0:00:08.071812
13900	3	3	0.365	1	0:00:08.070112
14000	8	0	0.717	0	0:00:08.070485
14100	7	7	0.953	1	0:00:08.072855
14200	4	4	0.716	1	0:00:08.066686
14300	8	8	0.685	1	0:00:08.067721
14400	3	3	0.0404	1	0:00:08.068469
14500	3	3	0.913	1	0:00:08.070031
14600	4	7	0.104	0	0:00:08.070554
14700	6	5	0.0867	0	0:00:08.070526
14800	9	9	0.953	1	0:00:08.069670
14900	3	3	0.149	1	0:00:08.069966
15000	7	7	0.953	1	0:00:08.072762
15100	3	3	0.796	1	0:00:08.071246
15200	3	3	0.352	1	0:00:08.066780
15300	9	9	0.953	1	0:00:08.069822
15400	9	-1	0.0	0	0:00:08.073003
15500	8	8	0.953	1	0:00:08.068798
15600	6	0	0.315	0	0:00:08.070277
15700	3	3	0.196	1	0:00:08.072507
15800	2	2	0.935	1	0:00:08.069449
15900	4	-1	0.0	0	0:00:08.066514
16000	8	8	0.546	1	0:00:08.067697
16100	1	1	0.704	1	0:00:08.069431
16200	3	3	0.293	1	0:00:08.068904
16300	1	1	0.858	1	0:00:08.072516
16400	0	0	0.103	1	0:00:08.068101
16500	7	0	0.234	0	0:00:08.072771
16600	7	7	0.953	1	0:00:08.071653
16700	6	6	0.494	1	0:00:08.072439
16800	6	6	0.0695	1	0:00:08.068932
16900	3	-1	0.0	0	0:00:08.073545
17000	2	0	0.366	0	0:00:08.065458
17100	9	9	0.348	1	0:00:08.067868
17200	4	3	0.738	0	0:00:08.065405
17300	3	3	0.076	1	0:00:08.072815
17400	3	3	0.495	1	0:00:08.068826
17500	6	6	0.953	1	0:00:08.068865
17600	8	0	0.315	0	0:00:08.064779
17700	6	6	0.953	1	0:00:08.062962
17800	0	0	0.953	1	0:00:08.060012
17900	0	8	0.483	0	0:00:08.064716
18000	9	9	0.801	1	0:00:08.065925
18100	6	2	0.0596	0	0:00:08.065644
18200	3	0	0.299	0	0:00:08.069300
18300	5	5	0.294	1	0:00:08.065709
18400	0	0	0.16	1	0:00:08.064366
18500	4	4	0.0426	1	0:00:08.063108
18600	3	3	0.431	1	0:00:08.067894
18700	3	3	0.405	1	0:00:08.066227
18800	0	0	0.953	1	0:00:08.065675
18900	2	2	0.536	1	0:00:08.067310
19000	8	8	0.922	1	0:00:08.071362
19100	9	1	0.489	0	0:00:08.070752
