idx	label	predict	radius	correct	time
0	3	3	0.892	1	0:00:08.064130
100	4	4	0.0299	1	0:00:08.062353
200	5	5	0.76	1	0:00:08.066713
300	6	6	0.953	1	0:00:08.063765
400	9	9	0.953	1	0:00:08.070380
500	4	6	0.207	0	0:00:08.069810
600	8	8	0.411	1	0:00:08.068898
700	7	7	0.953	1	0:00:08.071258
800	7	7	0.953	1	0:00:08.070749
900	2	6	0.246	0	0:00:08.066517
1000	5	5	0.953	1	0:00:08.071169
1100	7	8	0.161	0	0:00:08.071011
1200	8	8	0.246	1	0:00:08.071016
1300	4	3	0.753	0	0:00:08.060964
1400	5	3	0.156	0	0:00:08.066361
1500	1	1	0.847	1	0:00:08.071547
1600	8	9	0.439	0	0:00:08.067630
1700	5	3	0.052	0	0:00:08.069657
1800	4	4	0.105	1	0:00:08.069533
1900	8	8	0.953	1	0:00:08.071042
2000	1	1	0.488	1	0:00:08.070577
2100	2	2	0.744	1	0:00:08.069285
2200	0	2	0.0827	0	0:00:08.070374
2300	3	4	0.0472	0	0:00:08.066840
2400	0	0	0.877	1	0:00:08.072978
2500	4	4	0.457	1	0:00:08.068897
2600	8	8	0.953	1	0:00:08.072171
2700	9	9	0.445	1	0:00:08.077409
2800	4	4	0.531	1	0:00:08.073458
2900	3	-1	0.0	0	0:00:08.074775
3000	5	5	0.953	1	0:00:08.073386
3100	0	0	0.953	1	0:00:08.067094
3200	5	5	0.686	1	0:00:08.074895
3300	4	4	0.253	1	0:00:08.075590
3400	6	4	0.464	0	0:00:08.077602
3500	1	1	0.447	1	0:00:08.080109
3600	4	2	0.758	0	0:00:08.080181
3700	3	3	0.905	1	0:00:08.081320
3800	9	9	0.615	1	0:00:08.082930
3900	3	3	0.478	1	0:00:08.082171
4000	8	0	0.16	0	0:00:08.078721
4100	7	7	0.953	1	0:00:08.081707
4200	4	4	0.62	1	0:00:08.076554
4300	8	8	0.953	1	0:00:08.080270
4400	3	-1	0.0	0	0:00:08.078016
4500	3	3	0.0424	1	0:00:08.082882
4600	4	7	0.837	0	0:00:08.083707
4700	6	6	0.0178	1	0:00:08.084042
4800	9	9	0.953	1	0:00:08.085533
4900	3	3	0.512	1	0:00:08.086918
5000	7	7	0.953	1	0:00:08.087378
5100	3	3	0.953	1	0:00:08.084507
5200	3	3	0.953	1	0:00:08.082305
5300	9	9	0.497	1	0:00:08.083768
5400	9	9	0.5	1	0:00:08.083343
5500	8	8	0.886	1	0:00:08.081881
5600	6	5	0.177	0	0:00:08.077460
5700	3	5	0.042	0	0:00:08.080964
5800	2	2	0.595	1	0:00:08.080328
5900	4	3	0.166	0	0:00:08.075970
6000	8	8	0.793	1	0:00:08.077765
6100	1	1	0.768	1	0:00:08.079782
6200	3	3	0.57	1	0:00:08.080272
6300	1	1	0.714	1	0:00:08.079579
6400	0	0	0.401	1	0:00:08.078325
6500	7	6	0.301	0	0:00:08.077652
6600	7	7	0.953	1	0:00:08.082503
6700	6	6	0.73	1	0:00:08.076553
6800	6	6	0.2	1	0:00:08.076732
6900	3	3	0.953	1	0:00:08.081592
7000	2	8	0.0368	0	0:00:08.072375
7100	9	3	0.0734	0	0:00:08.079306
7200	4	-1	0.0	0	0:00:08.075620
7300	3	5	0.339	0	0:00:08.078936
7400	3	5	0.48	0	0:00:08.076997
7500	6	6	0.953	1	0:00:08.081231
7600	8	9	0.433	0	0:00:08.075386
7700	6	6	0.953	1	0:00:08.073490
7800	0	0	0.953	1	0:00:08.074023
7900	0	8	0.313	0	0:00:08.076553
8000	9	9	0.953	1	0:00:08.075692
8100	6	2	0.378	0	0:00:08.076999
8200	3	6	0.196	0	0:00:08.077267
8300	5	2	0.127	0	0:00:08.076429
8400	0	0	0.301	1	0:00:08.076807
8500	4	4	0.953	1	0:00:08.073848
8600	3	3	0.441	1	0:00:08.078290
8700	3	3	0.456	1	0:00:08.076497
8800	0	0	0.953	1	0:00:08.077162
8900	2	2	0.151	1	0:00:08.076832
9000	8	8	0.953	1	0:00:08.077503
9100	9	1	0.627	0	0:00:08.076885
9200	8	8	0.905	1	0:00:08.074807
9300	5	-1	0.0	0	0:00:08.081371
9400	6	6	0.953	1	0:00:08.078746
9500	9	9	0.953	1	0:00:08.080174
9600	8	8	0.463	1	0:00:08.076629
9700	0	0	0.953	1	0:00:08.076975
9800	1	1	0.953	1	0:00:08.084294
9900	8	8	0.922	1	0:00:08.080066
10000	3	3	0.953	1	0:00:08.076997
10100	4	4	0.114	1	0:00:08.076672
10200	5	5	0.732	1	0:00:08.082716
10300	6	6	0.953	1	0:00:08.080410
