idx	label	predict	radius	correct	time
0	3	3	0.953	1	0:00:08.068331
100	4	4	0.07	1	0:00:08.063867
200	5	5	0.886	1	0:00:08.067629
300	6	6	0.953	1	0:00:08.066676
400	9	9	0.953	1	0:00:08.073221
500	4	6	0.442	0	0:00:08.067145
600	8	8	0.618	1	0:00:08.068995
700	7	7	0.953	1	0:00:08.069447
800	7	7	0.953	1	0:00:08.069309
900	2	6	0.399	0	0:00:08.064335
1000	5	5	0.953	1	0:00:08.069364
1100	7	8	0.0764	0	0:00:08.070493
1200	8	8	0.179	1	0:00:08.068886
1300	4	3	0.728	0	0:00:08.059634
1400	5	3	0.444	0	0:00:08.064250
1500	1	1	0.953	1	0:00:08.070659
1600	8	9	0.439	0	0:00:08.065157
1700	5	3	0.158	0	0:00:08.066180
1800	4	4	0.0325	1	0:00:08.070903
1900	8	8	0.953	1	0:00:08.065464
2000	1	1	0.504	1	0:00:08.064282
2100	2	2	0.7	1	0:00:08.063166
2200	0	0	0.18	1	0:00:08.064024
2300	3	4	0.179	0	0:00:08.063168
2400	0	0	0.922	1	0:00:08.068882
2500	4	4	0.494	1	0:00:08.063474
2600	8	8	0.953	1	0:00:08.064177
2700	9	9	0.415	1	0:00:08.068222
2800	4	4	0.268	1	0:00:08.063427
2900	3	5	0.248	0	0:00:08.066745
3000	5	5	0.953	1	0:00:08.065666
3100	0	0	0.953	1	0:00:08.061367
3200	5	5	0.765	1	0:00:08.066811
3300	4	4	0.348	1	0:00:08.065197
3400	6	4	0.634	0	0:00:08.063355
3500	1	1	0.54	1	0:00:08.066733
3600	4	2	0.506	0	0:00:08.066736
3700	3	3	0.898	1	0:00:08.066902
3800	9	9	0.575	1	0:00:08.067885
3900	3	3	0.223	1	0:00:08.067140
4000	8	0	0.138	0	0:00:08.066093
4100	7	7	0.953	1	0:00:08.068863
4200	4	4	0.356	1	0:00:08.063983
4300	8	8	0.953	1	0:00:08.065588
4400	3	-1	0.0	0	0:00:08.063558
4500	3	5	0.138	0	0:00:08.068007
4600	4	7	0.352	0	0:00:08.069652
4700	6	6	0.0609	1	0:00:08.068249
4800	9	9	0.953	1	0:00:08.073169
4900	3	3	0.0535	1	0:00:08.071016
5000	7	7	0.953	1	0:00:08.071291
5100	3	3	0.953	1	0:00:08.069054
5200	3	3	0.953	1	0:00:08.069346
5300	9	9	0.833	1	0:00:08.070551
5400	9	9	0.201	1	0:00:08.068571
5500	8	8	0.905	1	0:00:08.065459
5600	6	5	0.158	0	0:00:08.064753
5700	3	3	0.013	1	0:00:08.068105
5800	2	2	0.784	1	0:00:08.067102
5900	4	3	0.158	0	0:00:08.062005
6000	8	8	0.605	1	0:00:08.067473
6100	1	1	0.953	1	0:00:08.069710
6200	3	3	0.751	1	0:00:08.068683
6300	1	1	0.953	1	0:00:08.067684
6400	0	0	0.132	1	0:00:08.064105
6500	7	6	0.207	0	0:00:08.062656
6600	7	7	0.953	1	0:00:08.067231
6700	6	6	0.898	1	0:00:08.066938
6800	6	6	0.405	1	0:00:08.063763
6900	3	3	0.953	1	0:00:08.069337
7000	2	8	0.161	0	0:00:08.061068
7100	9	3	0.177	0	0:00:08.066201
7200	4	4	0.0786	1	0:00:08.065895
7300	3	5	0.23	0	0:00:08.065888
7400	3	3	0.0121	1	0:00:08.066952
7500	6	6	0.953	1	0:00:08.067858
7600	8	9	0.327	0	0:00:08.068316
7700	6	6	0.953	1	0:00:08.061594
7800	0	0	0.953	1	0:00:08.063335
7900	0	8	0.718	0	0:00:08.065140
8000	9	9	0.953	1	0:00:08.065515
8100	6	2	0.619	0	0:00:08.066567
8200	3	-1	0.0	0	0:00:08.073308
8300	5	2	0.228	0	0:00:08.064628
8400	0	0	0.354	1	0:00:08.062919
8500	4	4	0.953	1	0:00:08.060802
8600	3	3	0.256	1	0:00:08.066143
8700	3	3	0.252	1	0:00:08.066215
8800	0	0	0.953	1	0:00:08.065683
8900	2	2	0.0982	1	0:00:08.063503
9000	8	8	0.953	1	0:00:08.065419
9100	9	1	0.721	0	0:00:08.066935
9200	8	8	0.935	1	0:00:08.062537
9300	5	3	0.122	0	0:00:08.068546
9400	6	6	0.542	1	0:00:08.064710
9500	9	9	0.953	1	0:00:08.066828
9600	8	8	0.568	1	0:00:08.066103
9700	0	0	0.922	1	0:00:08.068954
9800	1	1	0.953	1	0:00:08.074260
9900	8	8	0.935	1	0:00:08.071357
10000	3	3	0.953	1	0:00:08.066695
10100	4	4	0.159	1	0:00:08.062714
10200	5	5	0.877	1	0:00:08.068885
10300	6	6	0.831	1	0:00:08.065647
10400	9	9	0.953	1	0:00:08.070847
10500	4	6	0.353	0	0:00:08.066641
10600	8	8	0.603	1	0:00:08.071419
10700	7	7	0.953	1	0:00:08.069860
10800	7	7	0.953	1	0:00:08.068056
10900	2	6	0.263	0	0:00:08.063843
11000	5	5	0.953	1	0:00:08.067493
11100	7	7	0.083	1	0:00:08.068799
11200	8	8	0.187	1	0:00:08.070204
11300	4	3	0.787	0	0:00:08.058727
