idx	label	predict	radius	correct	time
0	3	3	0.865	1	0:00:08.059055
100	4	4	0.0565	1	0:00:08.056322
200	5	5	0.835	1	0:00:08.058493
300	6	6	0.892	1	0:00:08.056468
400	9	9	0.953	1	0:00:08.063741
500	4	6	0.15	0	0:00:08.059158
600	8	-1	0.0	0	0:00:08.061067
700	7	7	0.953	1	0:00:08.062259
800	7	7	0.953	1	0:00:08.061063
900	2	6	0.365	0	0:00:08.057251
1000	5	5	0.953	1	0:00:08.062723
1100	7	8	0.0545	0	0:00:08.062368
1200	8	0	0.0306	0	0:00:08.061796
1300	4	3	0.705	0	0:00:08.053656
1400	5	3	0.102	0	0:00:08.058214
1500	1	1	0.922	1	0:00:08.064726
1600	8	9	0.344	0	0:00:08.061797
1700	5	3	0.0573	0	0:00:08.061451
1800	4	4	0.033	1	0:00:08.061192
1900	8	8	0.953	1	0:00:08.061094
2000	1	1	0.611	1	0:00:08.060061
2100	2	2	0.68	1	0:00:08.057565
2200	0	0	0.0782	1	0:00:08.060453
2300	3	4	0.142	0	0:00:08.059135
2400	0	0	0.886	1	0:00:08.063178
2500	4	4	0.48	1	0:00:08.059636
2600	8	8	0.953	1	0:00:08.062444
2700	9	9	0.622	1	0:00:08.065573
2800	4	4	0.526	1	0:00:08.059973
2900	3	5	0.055	0	0:00:08.060132
3000	5	5	0.953	1	0:00:08.062296
3100	0	0	0.953	1	0:00:08.056067
3200	5	5	0.814	1	0:00:08.061072
3300	4	4	0.374	1	0:00:08.061024
3400	6	4	0.454	0	0:00:08.057803
3500	1	1	0.345	1	0:00:08.063324
3600	4	2	0.581	0	0:00:08.062110
3700	3	3	0.935	1	0:00:08.061816
3800	9	9	0.486	1	0:00:08.066429
3900	3	3	0.259	1	0:00:08.061237
4000	8	0	0.0969	0	0:00:08.061392
4100	7	7	0.953	1	0:00:08.063587
4200	4	4	0.652	1	0:00:08.057703
4300	8	8	0.953	1	0:00:08.060056
4400	3	-1	0.0	0	0:00:08.059397
4500	3	5	0.134	0	0:00:08.062675
4600	4	7	0.389	0	0:00:08.064078
4700	6	6	0.0914	1	0:00:08.062104
4800	9	9	0.953	1	0:00:08.063324
4900	3	3	0.501	1	0:00:08.063469
5000	7	7	0.953	1	0:00:08.065533
5100	3	3	0.953	1	0:00:08.060717
5200	3	3	0.953	1	0:00:08.065353
5300	9	9	0.662	1	0:00:08.061915
5400	9	9	0.207	1	0:00:08.060684
5500	8	8	0.913	1	0:00:08.059556
5600	6	5	0.226	0	0:00:08.057870
5700	3	5	0.126	0	0:00:08.060170
5800	2	2	0.466	1	0:00:08.059942
5900	4	3	0.227	0	0:00:08.055366
6000	8	8	0.847	1	0:00:08.057731
6100	1	1	0.886	1	0:00:08.059251
6200	3	3	0.6	1	0:00:08.061767
6300	1	1	0.892	1	0:00:08.061817
6400	0	-1	0.0	0	0:00:08.059413
6500	7	6	0.386	0	0:00:08.057577
6600	7	7	0.953	1	0:00:08.062572
6700	6	6	0.73	1	0:00:08.060381
6800	6	6	0.325	1	0:00:08.057956
6900	3	3	0.953	1	0:00:08.064422
7000	2	8	0.187	0	0:00:08.057047
7100	9	-1	0.0	0	0:00:08.062577
7200	4	4	0.00579	1	0:00:08.059311
7300	3	5	0.345	0	0:00:08.061631
7400	3	5	0.164	0	0:00:08.061931
7500	6	6	0.953	1	0:00:08.065542
7600	8	9	0.437	0	0:00:08.060921
7700	6	6	0.953	1	0:00:08.058527
7800	0	0	0.935	1	0:00:08.061209
7900	0	8	0.481	0	0:00:08.062864
8000	9	9	0.935	1	0:00:08.062480
8100	6	2	0.457	0	0:00:08.063457
8200	3	6	0.0791	0	0:00:08.064167
8300	5	2	0.142	0	0:00:08.061316
8400	0	0	0.3	1	0:00:08.062273
8500	4	4	0.953	1	0:00:08.061608
8600	3	3	0.48	1	0:00:08.064974
8700	3	3	0.672	1	0:00:08.065735
8800	0	0	0.953	1	0:00:08.065101
8900	2	2	0.138	1	0:00:08.062636
9000	8	8	0.953	1	0:00:08.065013
9100	9	1	0.558	0	0:00:08.063800
9200	8	8	0.953	1	0:00:08.062238
9300	5	3	0.118	0	0:00:08.065017
9400	6	6	0.844	1	0:00:08.063883
9500	9	9	0.953	1	0:00:08.064843
9600	8	8	0.766	1	0:00:08.062409
9700	0	0	0.922	1	0:00:08.066159
9800	1	1	0.953	1	0:00:08.070499
9900	8	8	0.953	1	0:00:08.063828
10000	3	3	0.847	1	0:00:08.063649
10100	4	4	0.0747	1	0:00:08.060618
10200	5	5	0.833	1	0:00:08.065863
10300	6	6	0.905	1	0:00:08.063360
10400	9	9	0.953	1	0:00:08.071130
10500	4	-1	0.0	0	0:00:08.068195
10600	8	-1	0.0	0	0:00:08.066650
10700	7	7	0.953	1	0:00:08.069256
10800	7	7	0.953	1	0:00:08.066961
