idx	label	predict	radius	correct	time
0	3	3	0.562	1	0:00:08.058439
100	4	4	0.0922	1	0:00:08.056206
200	5	5	0.744	1	0:00:08.058854
300	6	6	0.953	1	0:00:08.058631
400	9	9	0.935	1	0:00:08.064357
500	4	4	0.0696	1	0:00:08.058316
600	8	8	0.225	1	0:00:08.063974
700	7	7	0.953	1	0:00:08.064906
800	7	7	0.953	1	0:00:08.064877
900	2	6	0.471	0	0:00:08.060040
1000	5	5	0.953	1	0:00:08.065526
1100	7	8	0.392	0	0:00:08.064610
1200	8	8	0.397	1	0:00:08.067152
1300	4	3	0.591	0	0:00:08.056493
1400	5	3	0.102	0	0:00:08.061268
1500	1	1	0.953	1	0:00:08.069067
1600	8	-1	0.0	0	0:00:08.066780
1700	5	5	0.315	1	0:00:08.068268
1800	4	4	0.317	1	0:00:08.067071
1900	8	8	0.953	1	0:00:08.069252
2000	1	1	0.483	1	0:00:08.068485
2100	2	2	0.511	1	0:00:08.068774
2200	0	0	0.049	1	0:00:08.064985
2300	3	-1	0.0	0	0:00:08.070509
2400	0	0	0.953	1	0:00:08.071489
2500	4	4	0.116	1	0:00:08.068665
2600	8	8	0.869	1	0:00:08.070888
2700	9	1	0.0727	0	0:00:08.073277
2800	4	4	0.473	1	0:00:08.070987
2900	3	5	0.302	0	0:00:08.069948
3000	5	5	0.935	1	0:00:08.068121
3100	0	0	0.819	1	0:00:08.066325
3200	5	5	0.935	1	0:00:08.068980
3300	4	4	0.0681	1	0:00:08.067544
3400	6	6	0.159	1	0:00:08.068455
3500	1	1	0.264	1	0:00:08.070339
3600	4	2	0.0604	0	0:00:08.066942
3700	3	3	0.953	1	0:00:08.065525
3800	9	9	0.764	1	0:00:08.068673
3900	3	6	0.217	0	0:00:08.067179
4000	8	-1	0.0	0	0:00:08.068511
4100	7	7	0.953	1	0:00:08.070072
4200	4	4	0.531	1	0:00:08.062020
4300	8	8	0.747	1	0:00:08.065790
4400	3	-1	0.0	0	0:00:08.062912
4500	3	3	0.201	1	0:00:08.067290
4600	4	4	0.953	1	0:00:08.073330
4700	6	5	0.168	0	0:00:08.065103
4800	9	9	0.953	1	0:00:08.067072
4900	3	3	0.57	1	0:00:08.069808
5000	7	7	0.953	1	0:00:08.067857
5100	3	3	0.953	1	0:00:08.064808
5200	3	3	0.676	1	0:00:08.063110
5300	9	9	0.877	1	0:00:08.065727
5400	9	9	0.935	1	0:00:08.073671
5500	8	8	0.627	1	0:00:08.060525
5600	6	-1	0.0	0	0:00:08.059036
5700	3	5	0.0496	0	0:00:08.065206
5800	2	2	0.833	1	0:00:08.059737
5900	4	0	0.0166	0	0:00:08.055409
6000	8	8	0.459	1	0:00:08.059097
6100	1	1	0.935	1	0:00:08.063094
6200	3	3	0.513	1	0:00:08.059498
6300	1	1	0.898	1	0:00:08.064324
6400	0	0	0.328	1	0:00:08.056268
6500	7	-1	0.0	0	0:00:08.058190
6600	7	7	0.953	1	0:00:08.060676
6700	6	6	0.953	1	0:00:08.058175
6800	6	6	0.124	1	0:00:08.056108
6900	3	3	0.881	1	0:00:08.060001
7000	2	8	0.073	0	0:00:08.053251
7100	9	-1	0.0	0	0:00:08.056972
7200	4	4	0.411	1	0:00:08.052299
7300	3	5	0.414	0	0:00:08.054173
7400	3	-1	0.0	0	0:00:08.053841
7500	6	6	0.953	1	0:00:08.054884
7600	8	9	0.346	0	0:00:08.056038
7700	6	6	0.953	1	0:00:08.051266
7800	0	0	0.922	1	0:00:08.050051
7900	0	4	0.0344	0	0:00:08.054428
8000	9	9	0.953	1	0:00:08.054828
8100	6	6	0.1	1	0:00:08.058161
8200	3	4	0.041	0	0:00:08.053065
8300	5	-1	0.0	0	0:00:08.051297
8400	0	0	0.159	1	0:00:08.053313
8500	4	4	0.935	1	0:00:08.048583
8600	3	3	0.256	1	0:00:08.055389
8700	3	3	0.136	1	0:00:08.052521
