idx	label	predict	radius	correct	time
0	3	3	0.624	1	0:00:07.995408
100	4	-1	0.0	0	0:00:07.991988
200	5	5	0.613	1	0:00:07.998421
300	6	6	0.844	1	0:00:07.993642
400	9	9	0.953	1	0:00:07.997986
500	4	6	0.23	0	0:00:07.996590
600	8	8	0.0581	1	0:00:07.996362
700	7	7	0.528	1	0:00:07.995901
800	7	7	0.953	1	0:00:07.996990
900	2	6	0.516	0	0:00:07.993719
1000	5	5	0.953	1	0:00:07.996965
1100	7	8	0.23	0	0:00:07.997967
1200	8	8	0.0377	1	0:00:08.001297
1300	4	3	0.568	0	0:00:07.991982
1400	5	5	0.22	1	0:00:07.996212
1500	1	1	0.953	1	0:00:07.998912
1600	8	-1	0.0	0	0:00:07.996574
1700	5	5	0.239	1	0:00:07.995650
1800	4	4	0.204	1	0:00:07.998577
1900	8	8	0.953	1	0:00:07.997355
2000	1	1	0.179	1	0:00:07.998488
2100	2	2	0.813	1	0:00:07.998179
2200	0	0	0.195	1	0:00:07.993658
2300	3	-1	0.0	0	0:00:07.995009
2400	0	0	0.953	1	0:00:07.997170
2500	4	-1	0.0	0	0:00:07.994233
2600	8	8	0.652	1	0:00:07.996480
2700	9	-1	0.0	0	0:00:07.999786
2800	4	4	0.182	1	0:00:07.998417
2900	3	7	0.0124	0	0:00:07.996405
3000	5	5	0.827	1	0:00:08.008507
3100	0	0	0.839	1	0:00:07.992542
3200	5	5	0.881	1	0:00:07.997801
3300	4	2	0.132	0	0:00:07.997605
3400	6	6	0.0879	1	0:00:07.996448
3500	1	9	0.135	0	0:00:07.999372
3600	4	2	0.0441	0	0:00:07.996671
3700	3	3	0.953	1	0:00:07.994982
3800	9	9	0.21	1	0:00:07.998011
3900	3	6	0.597	0	0:00:07.994275
4000	8	-1	0.0	0	0:00:07.995739
4100	7	7	0.953	1	0:00:07.996911
4200	4	4	0.272	1	0:00:07.990831
4300	8	8	0.238	1	0:00:07.999941
4400	3	6	0.024	0	0:00:07.994820
4500	3	3	0.076	1	0:00:07.997483
4600	4	4	0.935	1	0:00:07.998713
4700	6	-1	0.0	0	0:00:07.996986
4800	9	9	0.953	1	0:00:07.999924
4900	3	3	0.518	1	0:00:07.995697
5000	7	7	0.953	1	0:00:07.999437
5100	3	3	0.953	1	0:00:08.000160
5200	3	3	0.0557	1	0:00:07.998057
5300	9	9	0.193	1	0:00:07.999228
5400	9	9	0.574	1	0:00:07.997352
5500	8	8	0.606	1	0:00:07.995861
5600	6	5	0.261	0	0:00:07.996600
5700	3	3	0.367	1	0:00:07.998053
5800	2	2	0.722	1	0:00:07.998744
5900	4	0	0.153	0	0:00:07.997264
6000	8	0	0.275	0	0:00:07.997919
6100	1	1	0.266	1	0:00:07.998448
6200	3	-1	0.0	0	0:00:07.999249
6300	1	1	0.62	1	0:00:07.997576
6400	0	0	0.278	1	0:00:07.997548
6500	7	-1	0.0	0	0:00:07.998208
6600	7	7	0.953	1	0:00:08.004163
6700	6	6	0.645	1	0:00:08.001063
6800	6	2	0.0132	0	0:00:07.999308
6900	3	3	0.731	1	0:00:08.001367
7000	2	8	0.0802	0	0:00:07.997786
7100	9	9	0.194	1	0:00:07.999309
7200	4	4	0.517	1	0:00:07.996744
7300	3	5	0.0355	0	0:00:07.999474
7400	3	3	0.403	1	0:00:08.002932
7500	6	6	0.953	1	0:00:08.000045
7600	8	9	0.1	0	0:00:07.999082
7700	6	6	0.922	1	0:00:07.997020
7800	0	0	0.881	1	0:00:07.995466
7900	0	-1	0.0	0	0:00:07.996974
8000	9	9	0.724	1	0:00:07.998136
8100	6	6	0.528	1	0:00:07.997831
8200	3	4	0.112	0	0:00:07.999567
8300	5	7	0.07	0	0:00:07.995628
8400	0	0	0.34	1	0:00:07.997308
8500	4	4	0.953	1	0:00:07.996516
8600	3	3	0.505	1	0:00:08.000495
8700	3	3	0.428	1	0:00:07.997915
8800	0	0	0.842	1	0:00:08.005341
8900	2	2	0.398	1	0:00:07.999958
9000	8	8	0.953	1	0:00:07.999830
9100	9	1	0.374	0	0:00:07.998132
9200	8	8	0.2	1	0:00:07.996338
9300	5	-1	0.0	0	0:00:07.999546
9400	6	6	0.953	1	0:00:07.997442
9500	9	9	0.687	1	0:00:08.000037
9600	8	8	0.0767	1	0:00:07.997565
9700	0	0	0.898	1	0:00:07.999957
9800	1	1	0.892	1	0:00:08.002348
9900	8	8	0.677	1	0:00:07.997389
10000	3	3	0.773	1	0:00:08.001729
10100	4	4	0.261	1	0:00:07.995769
10200	5	5	0.711	1	0:00:08.001192
10300	6	6	0.935	1	0:00:07.996795
10400	9	9	0.953	1	0:00:08.003610
10500	4	4	0.148	1	0:00:07.999256
10600	8	-1	0.0	0	0:00:07.998984
10700	7	7	0.718	1	0:00:07.997273
10800	7	7	0.953	1	0:00:07.998232
10900	2	6	0.45	0	0:00:07.996202
11000	5	5	0.755	1	0:00:07.997986
11100	7	8	0.633	0	0:00:07.998879
11200	8	8	0.384	1	0:00:08.001125
11300	4	3	0.674	0	0:00:07.991828
11400	5	3	0.172	0	0:00:07.993939
11500	1	1	0.603	1	0:00:07.999599
11600	8	-1	0.0	0	0:00:07.995337
11700	5	5	0.136	1	0:00:07.996743
11800	4	4	0.365	1	0:00:07.995344
11900	8	8	0.953	1	0:00:07.997591
12000	1	1	0.214	1	0:00:07.999504
12100	2	2	0.442	1	0:00:07.995365
12200	0	0	0.0842	1	0:00:07.995759
12300	3	-1	0.0	0	0:00:07.994331
12400	0	0	0.953	1	0:00:08.005094
12500	4	4	0.241	1	0:00:07.994349
12600	8	8	0.718	1	0:00:07.996100
12700	9	9	0.0554	1	0:00:07.998719
12800	4	4	0.416	1	0:00:07.997008
12900	3	3	0.0499	1	0:00:07.997854
13000	5	5	0.833	1	0:00:07.997803
13100	0	0	0.873	1	0:00:07.993612
13200	5	5	0.953	1	0:00:07.997227
13300	4	4	0.241	1	0:00:07.994581
13400	6	6	0.112	1	0:00:07.995687
13500	1	1	0.453	1	0:00:08.001020
13600	4	2	0.185	0	0:00:07.998085
13700	3	3	0.953	1	0:00:07.996917
13800	9	9	0.311	1	0:00:08.000473
13900	3	6	0.224	0	0:00:07.996827
14000	8	0	0.0155	0	0:00:07.998120
14100	7	7	0.953	1	0:00:07.999327
14200	4	4	0.112	1	0:00:07.995720
14300	8	8	0.629	1	0:00:07.999992
14400	3	-1	0.0	0	0:00:07.997407
14500	3	3	0.263	1	0:00:08.001219
14600	4	4	0.67	1	0:00:07.999643
14700	6	5	0.0212	0	0:00:07.997825
14800	9	9	0.953	1	0:00:07.999962
14900	3	3	0.425	1	0:00:07.999995
15000	7	7	0.953	1	0:00:08.001420
15100	3	3	0.953	1	0:00:08.004403
15200	3	3	0.426	1	0:00:07.994964
15300	9	9	0.171	1	0:00:07.997565
15400	9	9	0.953	1	0:00:07.996222
15500	8	8	0.637	1	0:00:07.996529
15600	6	5	0.264	0	0:00:08.001926
15700	3	3	0.184	1	0:00:07.998739
15800	2	2	0.905	1	0:00:07.999330
15900	4	0	0.0492	0	0:00:07.995272
16000	8	8	0.193	1	0:00:07.997006
16100	1	1	0.605	1	0:00:07.998612
16200	3	3	0.325	1	0:00:07.998199
16300	1	1	0.577	1	0:00:07.998293
16400	0	0	0.222	1	0:00:08.000478
16500	7	-1	0.0	0	0:00:07.998428
16600	7	7	0.953	1	0:00:08.002904
16700	6	6	0.481	1	0:00:08.001527
16800	6	2	0.0338	0	0:00:07.997024
16900	3	3	0.566	1	0:00:08.003145
17000	2	2	0.256	1	0:00:07.994386
17100	9	9	0.139	1	0:00:07.997505
17200	4	4	0.406	1	0:00:07.999195
17300	3	5	0.436	0	0:00:07.996804
17400	3	3	0.307	1	0:00:08.001592
17500	6	6	0.953	1	0:00:07.999603
17600	8	9	0.162	0	0:00:07.998528
17700	6	6	0.892	1	0:00:08.005049
17800	0	0	0.873	1	0:00:07.996024
17900	0	0	0.222	1	0:00:08.002047
18000	9	9	0.625	1	0:00:07.999454
18100	6	2	0.183	0	0:00:08.002288
18200	3	4	0.383	0	0:00:07.999791
18300	5	3	0.112	0	0:00:07.998700
18400	0	0	0.376	1	0:00:07.997780
18500	4	4	0.862	1	0:00:07.995996
18600	3	5	0.111	0	0:00:07.999490
18700	3	3	0.409	1	0:00:07.998911
18800	0	0	0.695	1	0:00:07.999176
18900	2	2	0.259	1	0:00:07.999229
19000	8	8	0.953	1	0:00:08.000177
19100	9	1	0.326	0	0:00:07.999431
19200	8	8	0.391	1	0:00:07.997279
19300	5	2	0.0675	0	0:00:07.998301
19400	6	6	0.65	1	0:00:08.001092
19500	9	9	0.328	1	0:00:08.001032
19600	8	8	0.297	1	0:00:07.999469
19700	0	0	0.935	1	0:00:08.001018
