idx	label	predict	radius	correct	time
0	3	3	0.656	1	0:00:08.049838
100	4	4	0.192	1	0:00:08.045225
200	5	5	0.744	1	0:00:08.049504
300	6	6	0.852	1	0:00:08.046282
400	9	9	0.953	1	0:00:08.050697
500	4	4	0.331	1	0:00:08.048486
600	8	8	0.0233	1	0:00:08.049323
700	7	7	0.953	1	0:00:08.051568
800	7	7	0.953	1	0:00:08.049132
900	2	6	0.396	0	0:00:08.046992
1000	5	5	0.935	1	0:00:08.052753
1100	7	8	0.216	0	0:00:08.050920
1200	8	8	0.403	1	0:00:08.054779
1300	4	3	0.793	0	0:00:08.044181
1400	5	3	0.28	0	0:00:08.047630
1500	1	1	0.953	1	0:00:08.056796
1600	8	-1	0.0	0	0:00:08.051593
1700	5	5	0.24	1	0:00:08.052015
1800	4	4	0.145	1	0:00:08.053112
1900	8	8	0.953	1	0:00:08.055242
2000	1	1	0.239	1	0:00:08.053947
2100	2	2	0.685	1	0:00:08.054758
2200	0	2	0.0425	0	0:00:08.054438
2300	3	-1	0.0	0	0:00:08.054247
2400	0	0	0.953	1	0:00:08.057791
2500	4	4	0.145	1	0:00:08.054748
2600	8	8	0.855	1	0:00:08.056252
2700	9	1	0.354	0	0:00:08.061190
2800	4	4	0.367	1	0:00:08.054244
2900	3	5	0.233	0	0:00:08.059678
3000	5	5	0.892	1	0:00:08.061372
3100	0	0	0.571	1	0:00:08.054491
3200	5	5	0.842	1	0:00:08.060350
3300	4	2	0.0706	0	0:00:08.059715
3400	6	4	0.0471	0	0:00:08.063086
3500	1	1	0.0697	1	0:00:08.065031
3600	4	2	0.132	0	0:00:08.061867
3700	3	3	0.953	1	0:00:08.062181
3800	9	9	0.436	1	0:00:08.065009
3900	3	6	0.159	0	0:00:08.061280
4000	8	-1	0.0	0	0:00:08.062215
4100	7	7	0.953	1	0:00:08.064617
4200	4	4	0.368	1	0:00:08.062555
4300	8	8	0.627	1	0:00:08.063213
4400	3	6	0.054	0	0:00:08.064538
4500	3	3	0.231	1	0:00:08.066689
4600	4	4	0.953	1	0:00:08.066824
4700	6	6	0.0818	1	0:00:08.065987
4800	9	9	0.953	1	0:00:08.066535
4900	3	3	0.626	1	0:00:08.071509
5000	7	7	0.953	1	0:00:08.070670
5100	3	3	0.953	1	0:00:08.065723
5200	3	3	0.279	1	0:00:08.065613
5300	9	9	0.905	1	0:00:08.069402
5400	9	9	0.835	1	0:00:08.067140
5500	8	8	0.612	1	0:00:08.069670
5600	6	-1	0.0	0	0:00:08.065030
5700	3	3	0.152	1	0:00:08.067667
5800	2	2	0.749	1	0:00:08.065249
5900	4	-1	0.0	0	0:00:08.061558
6000	8	8	0.505	1	0:00:08.065274
6100	1	1	0.813	1	0:00:08.064534
6200	3	3	0.252	1	0:00:08.064135
6300	1	1	0.619	1	0:00:08.065114
6400	0	0	0.225	1	0:00:08.064806
6500	7	-1	0.0	0	0:00:08.065778
6600	7	7	0.953	1	0:00:08.067283
6700	6	6	0.844	1	0:00:08.061204
6800	6	6	0.216	1	0:00:08.062221
6900	3	3	0.593	1	0:00:08.063169
7000	2	2	0.144	1	0:00:08.057739
7100	9	5	0.0916	0	0:00:08.063545
7200	4	4	0.118	1	0:00:08.058119
7300	3	4	0.0342	0	0:00:08.058541
7400	3	-1	0.0	0	0:00:08.058380
7500	6	6	0.953	1	0:00:08.059878
7600	8	9	0.154	0	0:00:08.056772
7700	6	6	0.913	1	0:00:08.058146
7800	0	0	0.668	1	0:00:08.052669
7900	0	-1	0.0	0	0:00:08.057312
8000	9	9	0.747	1	0:00:08.060981
8100	6	2	0.0869	0	0:00:08.058900
8200	3	4	0.0868	0	0:00:08.058538
8300	5	2	0.0522	0	0:00:08.055794
8400	0	0	0.29	1	0:00:08.056489
8500	4	4	0.913	1	0:00:08.053689
8600	3	-1	0.0	0	0:00:08.059898
8700	3	3	0.117	1	0:00:08.060170
8800	0	0	0.842	1	0:00:08.056522
8900	2	2	0.112	1	0:00:08.055086
9000	8	8	0.953	1	0:00:08.057329
9100	9	1	0.263	0	0:00:08.056221
9200	8	8	0.494	1	0:00:08.054360
9300	5	5	0.0405	1	0:00:08.058168
9400	6	6	0.801	1	0:00:08.052968
9500	9	9	0.813	1	0:00:08.059056
9600	8	8	0.412	1	0:00:08.050386
9700	0	0	0.898	1	0:00:08.054167
9800	1	1	0.953	1	0:00:08.059607
9900	8	8	0.892	1	0:00:08.053448
10000	3	3	0.427	1	0:00:08.052952
10100	4	4	0.19	1	0:00:08.053784
10200	5	5	0.328	1	0:00:08.050078
10300	6	6	0.266	1	0:00:08.051498
10400	9	9	0.792	1	0:00:08.051659
10500	4	6	0.311	0	0:00:08.048584
10600	8	8	0.0263	1	0:00:08.047313
10700	7	7	0.599	1	0:00:08.048832
10800	7	7	0.827	1	0:00:08.046803
10900	2	4	0.154	0	0:00:08.041409
11000	5	5	0.619	1	0:00:08.045573
11100	7	0	0.134	0	0:00:08.046754
11200	8	8	0.53	1	0:00:08.046555
11300	4	3	0.935	0	0:00:08.040953
11400	5	3	0.207	0	0:00:08.039010
11500	1	1	0.712	1	0:00:08.045945
11600	8	6	0.0909	0	0:00:08.041702
11700	5	5	0.123	1	0:00:08.042998
11800	4	-1	0.0	0	0:00:08.046016
11900	8	8	0.953	1	0:00:08.042791
12000	1	6	0.284	0	0:00:08.042105
12100	2	2	0.565	1	0:00:08.040333
12200	0	0	0.542	1	0:00:08.039714
12300	3	3	0.0988	1	0:00:08.045540
12400	0	0	0.953	1	0:00:08.039780
12500	4	4	0.436	1	0:00:08.039305
12600	8	8	0.798	1	0:00:08.042640
12700	9	9	0.0852	1	0:00:08.041183
12800	4	4	0.503	1	0:00:08.042615
12900	3	5	0.109	0	0:00:08.037293
13000	5	5	0.489	1	0:00:08.034982
13100	0	0	0.409	1	0:00:08.034911
13200	5	5	0.711	1	0:00:08.035715
13300	4	2	0.0723	0	0:00:08.049110
13400	6	4	0.419	0	0:00:08.037671
13500	1	9	0.225	0	0:00:08.038053
13600	4	2	0.188	0	0:00:08.034502
13700	3	3	0.787	1	0:00:08.033265
13800	9	3	0.041	0	0:00:08.033789
13900	3	6	0.426	0	0:00:08.034588
14000	8	-1	0.0	0	0:00:08.032194
14100	7	7	0.953	1	0:00:08.037994
14200	4	4	0.465	1	0:00:08.030539
14300	8	8	0.593	1	0:00:08.031680
14400	3	4	0.0953	0	0:00:08.031075
14500	3	3	0.487	1	0:00:08.034193
14600	4	4	0.63	1	0:00:08.033733
14700	6	6	0.362	1	0:00:08.033520
14800	9	9	0.877	1	0:00:08.038598
14900	3	3	0.521	1	0:00:08.037702
15000	7	7	0.953	1	0:00:08.039868
15100	3	3	0.823	1	0:00:08.036213
15200	3	-1	0.0	0	0:00:08.037234
15300	9	9	0.681	1	0:00:08.039492
15400	9	9	0.602	1	0:00:08.037869
15500	8	8	0.695	1	0:00:08.037852
15600	6	5	0.0673	0	0:00:08.037203
15700	3	-1	0.0	0	0:00:08.036067
15800	2	2	0.531	1	0:00:08.035775
15900	4	4	0.342	1	0:00:08.033789
16000	8	8	0.348	1	0:00:08.039400
16100	1	1	0.018	1	0:00:08.038230
16200	3	3	0.48	1	0:00:08.038564
16300	1	1	0.248	1	0:00:08.039760
16400	0	8	0.000219	0	0:00:08.043821
16500	7	6	0.42	0	0:00:08.041564
16600	7	7	0.953	1	0:00:08.049159
16700	6	6	0.65	1	0:00:08.044811
16800	6	4	0.337	0	0:00:08.042664
16900	3	3	0.403	1	0:00:08.047380
17000	2	2	0.389	1	0:00:08.042525
17100	9	5	0.254	0	0:00:08.044760
17200	4	6	0.0313	0	0:00:08.042632
17300	3	4	0.33	0	0:00:08.045064
17400	3	3	0.544	1	0:00:08.045022
17500	6	6	0.953	1	0:00:08.044540
17600	8	-1	0.0	0	0:00:08.042567
17700	6	6	0.325	1	0:00:08.040359
17800	0	0	0.207	1	0:00:08.045101
17900	0	2	0.0869	0	0:00:08.043394
18000	9	9	0.303	1	0:00:08.041183
18100	6	2	0.367	0	0:00:08.041361
18200	3	4	0.235	0	0:00:08.045275
18300	5	-1	0.0	0	0:00:08.042764
18400	0	-1	0.0	0	0:00:08.040944
18500	4	4	0.844	1	0:00:08.037471
18600	3	-1	0.0	0	0:00:08.042875
18700	3	3	0.269	1	0:00:08.041581
18800	0	0	0.738	1	0:00:08.043589
18900	2	2	0.0785	1	0:00:08.040398
19000	8	8	0.953	1	0:00:08.040384
19100	9	1	0.136	0	0:00:08.040420
19200	8	8	0.618	1	0:00:08.037009
19300	5	4	0.0102	0	0:00:08.039099
19400	6	6	0.445	1	0:00:08.043408
19500	9	9	0.456	1	0:00:08.040060
19600	8	8	0.383	1	0:00:08.035218
19700	0	0	0.477	1	0:00:08.035594
19800	1	1	0.953	1	0:00:08.043535
19900	8	8	0.444	1	0:00:08.036227
20000	3	3	0.58	1	0:00:08.039022
20100	4	3	0.0756	0	0:00:08.034164
20200	5	5	0.508	1	0:00:08.038617
20300	6	6	0.263	1	0:00:08.036594
20400	9	9	0.567	1	0:00:08.035721
20500	4	4	0.231	1	0:00:08.034816
20600	8	3	0.155	0	0:00:08.032818
20700	7	7	0.311	1	0:00:08.033164
20800	7	7	0.704	1	0:00:08.032052
20900	2	4	0.48	0	0:00:08.031718
21000	5	5	0.595	1	0:00:08.033072
21100	7	-1	0.0	0	0:00:08.032660
21200	8	8	0.251	1	0:00:08.032250
21300	4	3	0.76	0	0:00:08.024388
21400	5	3	0.591	0	0:00:08.027611
21500	1	-1	0.0	0	0:00:08.032772
21600	8	-1	0.0	0	0:00:08.029530
21700	5	-1	0.0	0	0:00:08.031680
21800	4	-1	0.0	0	0:00:08.029638
21900	8	8	0.953	1	0:00:08.031885
22000	1	6	0.086	0	0:00:08.025801
22100	2	2	0.194	1	0:00:08.026234
22200	0	0	0.105	1	0:00:08.025458
22300	3	6	0.0174	0	0:00:08.026288
22400	0	0	0.953	1	0:00:08.030954
22500	4	2	0.195	0	0:00:08.030206
22600	8	8	0.705	1	0:00:08.027586
22700	9	3	0.278	0	0:00:08.031785
22800	4	3	0.301	0	0:00:08.026457
22900	3	5	0.127	0	0:00:08.027501
23000	5	5	0.77	1	0:00:08.027248
23100	0	0	0.0741	1	0:00:08.028071
23200	5	5	0.0609	1	0:00:08.027301
23300	4	4	0.612	1	0:00:08.027973
23400	6	4	0.0185	0	0:00:08.030715
23500	1	-1	0.0	0	0:00:08.032750
23600	4	2	0.234	0	0:00:08.026526
23700	3	3	0.344	1	0:00:08.026464
23800	9	-1	0.0	0	0:00:08.026880
23900	3	6	0.37	0	0:00:08.027418
24000	8	4	0.118	0	0:00:08.029359
24100	7	7	0.598	1	0:00:08.028465
