idx	label	predict	radius	correct	time
0	3	3	0.723	1	0:00:08.055679
100	4	4	0.184	1	0:00:08.049467
200	5	5	0.653	1	0:00:08.056657
300	6	6	0.935	1	0:00:08.056597
400	9	9	0.953	1	0:00:08.055222
500	4	4	0.252	1	0:00:08.053994
600	8	8	0.628	1	0:00:08.053609
700	7	7	0.953	1	0:00:08.055715
800	7	7	0.953	1	0:00:08.056656
900	2	6	0.0838	0	0:00:08.050200
1000	5	5	0.716	1	0:00:08.055426
1100	7	8	0.196	0	0:00:08.054839
1200	8	8	0.246	1	0:00:08.054600
1300	4	4	0.196	1	0:00:08.047280
1400	5	5	0.0264	1	0:00:08.050499
1500	1	1	0.935	1	0:00:08.055290
1600	8	-1	0.0	0	0:00:08.053100
1700	5	5	0.312	1	0:00:08.055345
1800	4	4	0.0839	1	0:00:08.053710
1900	8	8	0.953	1	0:00:08.054890
2000	1	1	0.678	1	0:00:08.053116
2100	2	2	0.839	1	0:00:08.053888
2200	0	0	0.227	1	0:00:08.052128
2300	3	-1	0.0	0	0:00:08.052818
2400	0	0	0.953	1	0:00:08.059649
2500	4	4	0.178	1	0:00:08.055629
2600	8	8	0.825	1	0:00:08.057156
2700	9	1	0.267	0	0:00:08.060393
2800	4	4	0.0933	1	0:00:08.057414
2900	3	5	0.556	0	0:00:08.060190
3000	5	5	0.225	1	0:00:08.058795
3100	0	0	0.953	1	0:00:08.053826
3200	5	5	0.837	1	0:00:08.060967
3300	4	4	0.0378	1	0:00:08.057540
3400	6	-1	0.0	0	0:00:08.057831
3500	1	1	0.205	1	0:00:08.061341
3600	4	3	0.188	0	0:00:08.059110
3700	3	3	0.953	1	0:00:08.061157
3800	9	9	0.641	1	0:00:08.063076
3900	3	6	0.206	0	0:00:08.062961
4000	8	0	0.0384	0	0:00:08.073416
4100	7	7	0.953	1	0:00:08.068165
4200	4	0	0.1	0	0:00:08.060447
4300	8	8	0.0313	1	0:00:08.062213
4400	3	-1	0.0	0	0:00:08.060424
4500	3	3	0.469	1	0:00:08.064473
4600	4	4	0.862	1	0:00:08.064579
4700	6	5	0.336	0	0:00:08.066729
4800	9	9	0.953	1	0:00:08.069093
4900	3	3	0.161	1	0:00:08.065889
5000	7	7	0.953	1	0:00:08.067640
5100	3	3	0.953	1	0:00:08.068499
5200	3	3	0.059	1	0:00:08.065874
5300	9	9	0.779	1	0:00:08.072060
5400	9	9	0.8	1	0:00:08.066092
5500	8	8	0.581	1	0:00:08.068052
5600	6	0	0.148	0	0:00:08.066480
5700	3	3	0.246	1	0:00:08.065880
5800	2	2	0.873	1	0:00:08.065637
5900	4	0	0.242	0	0:00:08.063552
