idx	label	predict	radius	correct	time
0	3	3	0.481	1	0:00:08.448687
100	4	4	0.202	1	0:00:07.942037
200	5	5	0.716	1	0:00:07.924027
300	6	6	0.953	1	0:00:07.950037
400	9	9	0.953	1	0:00:07.981263
500	4	6	0.00836	0	0:00:07.988843
600	8	8	0.296	1	0:00:08.000043
700	7	7	0.953	1	0:00:08.002524
800	7	7	0.953	1	0:00:08.009768
900	2	6	0.438	0	0:00:08.010727
1000	5	5	0.953	1	0:00:08.019086
1100	7	8	0.424	0	0:00:08.024961
1200	8	8	0.418	1	0:00:08.035408
1300	4	3	0.601	0	0:00:08.028942
1400	5	3	0.0935	0	0:00:08.030220
1500	1	1	0.953	1	0:00:08.040116
1600	8	-1	0.0	0	0:00:08.041294
1700	5	5	0.36	1	0:00:08.041060
1800	4	4	0.311	1	0:00:08.055351
1900	8	8	0.953	1	0:00:08.057549
2000	1	1	0.548	1	0:00:08.054744
2100	2	2	0.531	1	0:00:08.058385
2200	0	0	0.0505	1	0:00:08.057722
2300	3	-1	0.0	0	0:00:08.057731
2400	0	0	0.953	1	0:00:08.057632
2500	4	4	0.0397	1	0:00:08.056834
2600	8	8	0.913	1	0:00:08.060186
2700	9	1	0.0365	0	0:00:08.066984
2800	4	4	0.47	1	0:00:08.060050
2900	3	5	0.3	0	0:00:08.062783
3000	5	5	0.935	1	0:00:08.063700
3100	0	0	0.8	1	0:00:08.060558
3200	5	5	0.935	1	0:00:08.067408
3300	4	4	0.0842	1	0:00:08.065669
3400	6	6	0.112	1	0:00:08.068310
3500	1	1	0.311	1	0:00:08.070539
3600	4	2	0.0674	0	0:00:08.072941
3700	3	3	0.953	1	0:00:08.070572
3800	9	9	0.794	1	0:00:08.073441
3900	3	6	0.114	0	0:00:08.070328
4000	8	7	0.0142	0	0:00:08.070071
4100	7	7	0.953	1	0:00:08.073997
4200	4	4	0.557	1	0:00:08.070658
4300	8	8	0.778	1	0:00:08.069654
4400	3	-1	0.0	0	0:00:08.071351
4500	3	3	0.205	1	0:00:08.074146
4600	4	4	0.953	1	0:00:08.078016
4700	6	5	0.179	0	0:00:08.079105
4800	9	9	0.953	1	0:00:08.077652
4900	3	3	0.647	1	0:00:08.077936
5000	7	7	0.953	1	0:00:08.080964
5100	3	3	0.953	1	0:00:08.079488
5200	3	3	0.704	1	0:00:08.073187
5300	9	9	0.935	1	0:00:08.081729
5400	9	9	0.935	1	0:00:08.072955
5500	8	8	0.568	1	0:00:08.071383
5600	6	-1	0.0	0	0:00:08.070822
5700	3	5	0.0908	0	0:00:08.073432
5800	2	2	0.814	1	0:00:08.072057
5900	4	0	0.0115	0	0:00:08.069332
6000	8	8	0.396	1	0:00:08.072962
6100	1	1	0.953	1	0:00:08.073920
6200	3	3	0.49	1	0:00:08.071661
6300	1	1	0.922	1	0:00:08.073814
6400	0	0	0.306	1	0:00:08.074835
6500	7	-1	0.0	0	0:00:08.077631
6600	7	7	0.953	1	0:00:08.072725
6700	6	6	0.953	1	0:00:08.068853
6800	6	6	0.118	1	0:00:08.068086
6900	3	3	0.772	1	0:00:08.071167
7000	2	8	0.0331	0	0:00:08.066735
7100	9	-1	0.0	0	0:00:08.067367
7200	4	4	0.395	1	0:00:08.063539
7300	3	5	0.37	0	0:00:08.065293
7400	3	-1	0.0	0	0:00:08.064951
7500	6	6	0.953	1	0:00:08.065865
7600	8	9	0.319	0	0:00:08.061613
7700	6	6	0.953	1	0:00:08.060936
7800	0	0	0.892	1	0:00:08.057603
7900	0	4	0.0469	0	0:00:08.070399
8000	9	9	0.953	1	0:00:08.063887
8100	6	6	0.139	1	0:00:08.060765
8200	3	4	0.0332	0	0:00:08.060724
8300	5	-1	0.0	0	0:00:08.059733
8400	0	0	0.111	1	0:00:08.063531
8500	4	4	0.953	1	0:00:08.056372
8600	3	3	0.304	1	0:00:08.060565
8700	3	3	0.135	1	0:00:08.059025
8800	0	0	0.721	1	0:00:08.059181
8900	2	2	0.269	1	0:00:08.060096
9000	8	8	0.953	1	0:00:08.064501
9100	9	1	0.216	0	0:00:08.064283
9200	8	8	0.425	1	0:00:08.061960
9300	5	-1	0.0	0	0:00:08.064162
9400	6	6	0.935	1	0:00:08.063036
9500	9	9	0.935	1	0:00:08.068638
9600	8	8	0.331	1	0:00:08.062480
9700	0	0	0.935	1	0:00:08.067403
9800	1	1	0.953	1	0:00:08.071454
9900	8	8	0.953	1	0:00:08.067199
10000	3	3	0.478	1	0:00:08.067764
10100	4	4	0.16	1	0:00:08.064978
10200	5	5	0.685	1	0:00:08.071318
10300	6	6	0.953	1	0:00:08.071807
10400	9	9	0.953	1	0:00:08.075836
10500	4	6	0.0318	0	0:00:08.072861
10600	8	8	0.225	1	0:00:08.073443
10700	7	7	0.953	1	0:00:08.077037
10800	7	7	0.953	1	0:00:08.074234
10900	2	6	0.444	0	0:00:08.069085
11000	5	5	0.953	1	0:00:08.074555
11100	7	8	0.456	0	0:00:08.074509
11200	8	8	0.397	1	0:00:08.075392
11300	4	3	0.632	0	0:00:08.067201
11400	5	3	0.07	0	0:00:08.082297
11500	1	1	0.953	1	0:00:08.078408
11600	8	-1	0.0	0	0:00:08.074197
11700	5	5	0.327	1	0:00:08.080349
11800	4	4	0.231	1	0:00:08.078774
11900	8	8	0.953	1	0:00:08.076840
12000	1	1	0.494	1	0:00:08.077462
12100	2	2	0.539	1	0:00:08.078613
12200	0	0	0.138	1	0:00:08.075229
12300	3	-1	0.0	0	0:00:08.074577
12400	0	0	0.953	1	0:00:08.074546
12500	4	4	0.0443	1	0:00:08.083696
12600	8	8	0.898	1	0:00:08.079527
12700	9	-1	0.0	0	0:00:08.078773
12800	4	4	0.454	1	0:00:08.073740
12900	3	5	0.325	0	0:00:08.076094
13000	5	5	0.922	1	0:00:08.072563
13100	0	0	0.795	1	0:00:08.067301
13200	5	5	0.935	1	0:00:08.073927
13300	4	4	0.114	1	0:00:08.075815
13400	6	6	0.105	1	0:00:08.072216
13500	1	1	0.352	1	0:00:08.073394
13600	4	2	0.0427	0	0:00:08.074448
13700	3	3	0.953	1	0:00:08.071544
13800	9	9	0.862	1	0:00:08.074336
13900	3	6	0.113	0	0:00:08.070517
14000	8	7	0.0418	0	0:00:08.070714
14100	7	7	0.953	1	0:00:08.079237
14200	4	4	0.601	1	0:00:08.066833
14300	8	8	0.715	1	0:00:08.072262
14400	3	6	0.0697	0	0:00:08.068121
14500	3	3	0.147	1	0:00:08.069495
14600	4	4	0.953	1	0:00:08.070962
14700	6	5	0.114	0	0:00:08.069648
14800	9	9	0.953	1	0:00:08.074513
14900	3	3	0.625	1	0:00:08.070400
15000	7	7	0.953	1	0:00:08.074291
15100	3	3	0.953	1	0:00:08.070587
15200	3	3	0.669	1	0:00:08.065902
15300	9	9	0.869	1	0:00:08.068780
15400	9	9	0.935	1	0:00:08.065909
15500	8	8	0.623	1	0:00:08.063431
15600	6	-1	0.0	0	0:00:08.065858
15700	3	5	0.0732	0	0:00:08.065744
15800	2	2	0.788	1	0:00:08.065450
15900	4	0	0.0298	0	0:00:08.063373
16000	8	8	0.424	1	0:00:08.065105
16100	1	1	0.935	1	0:00:08.066920
16200	3	3	0.492	1	0:00:08.068224
16300	1	1	0.892	1	0:00:08.074015
16400	0	0	0.309	1	0:00:08.070766
16500	7	-1	0.0	0	0:00:08.070013
16600	7	7	0.953	1	0:00:08.073647
16700	6	6	0.935	1	0:00:08.074341
16800	6	6	0.204	1	0:00:08.072263
16900	3	3	0.831	1	0:00:08.076821
17000	2	8	0.0772	0	0:00:08.066624
17100	9	-1	0.0	0	0:00:08.076131
17200	4	4	0.332	1	0:00:08.067280
17300	3	5	0.44	0	0:00:08.073231
17400	3	-1	0.0	0	0:00:08.075058
17500	6	6	0.953	1	0:00:08.074480
17600	8	9	0.353	0	0:00:08.073325
17700	6	6	0.953	1	0:00:08.069695
17800	0	0	0.913	1	0:00:08.070646
17900	0	-1	0.0	0	0:00:08.076028
18000	9	9	0.953	1	0:00:08.074469
18100	6	6	0.218	1	0:00:08.075009
18200	3	4	0.0147	0	0:00:08.079251
18300	5	-1	0.0	0	0:00:08.074846
18400	0	0	0.227	1	0:00:08.074155
18500	4	4	0.935	1	0:00:08.077482
18600	3	3	0.201	1	0:00:08.077565
18700	3	3	0.1	1	0:00:08.074775
18800	0	0	0.652	1	0:00:08.072452
18900	2	2	0.186	1	0:00:08.077154
19000	8	8	0.953	1	0:00:08.074851
19100	9	1	0.166	0	0:00:08.072587
19200	8	8	0.507	1	0:00:08.067157
19300	5	3	0.0764	0	0:00:08.076245
19400	6	6	0.953	1	0:00:08.071975
19500	9	9	0.953	1	0:00:08.074923
19600	8	8	0.309	1	0:00:08.069478
19700	0	0	0.935	1	0:00:08.072110
19800	1	1	0.953	1	0:00:08.078679
19900	8	8	0.953	1	0:00:08.071451
20000	3	3	0.417	1	0:00:08.070805
20100	4	4	0.277	1	0:00:08.068536
20200	5	5	0.729	1	0:00:08.071559
20300	6	6	0.953	1	0:00:08.068985
20400	9	9	0.905	1	0:00:08.072539
20500	4	4	0.0225	1	0:00:08.069691
20600	8	8	0.327	1	0:00:08.070318
20700	7	7	0.953	1	0:00:08.070117
20800	7	7	0.953	1	0:00:08.067265
20900	2	6	0.403	0	0:00:08.063803
21000	5	5	0.953	1	0:00:08.067870
21100	7	8	0.434	0	0:00:08.066350
21200	8	8	0.386	1	0:00:08.068737
21300	4	3	0.664	0	0:00:08.057071
21400	5	3	0.207	0	0:00:08.059385
21500	1	1	0.922	1	0:00:08.066951
21600	8	-1	0.0	0	0:00:08.065824
21700	5	5	0.354	1	0:00:08.063377
21800	4	4	0.32	1	0:00:08.064074
