idx	label	predict	radius	correct	time
0	3	3	0.543	1	0:00:08.053270
100	4	4	0.0398	1	0:00:08.050627
200	5	5	0.609	1	0:00:08.055792
300	6	6	0.913	1	0:00:08.056147
400	9	9	0.953	1	0:00:08.059447
500	4	4	0.207	1	0:00:08.059767
600	8	8	0.215	1	0:00:08.062144
700	7	7	0.922	1	0:00:08.061007
800	7	7	0.953	1	0:00:08.062908
900	2	6	0.441	0	0:00:08.058887
1000	5	5	0.935	1	0:00:08.064770
1100	7	8	0.329	0	0:00:08.066071
1200	8	8	0.249	1	0:00:08.061790
1300	4	3	0.609	0	0:00:08.056827
1400	5	3	0.0465	0	0:00:08.058420
1500	1	1	0.865	1	0:00:08.066491
1600	8	-1	0.0	0	0:00:08.064506
1700	5	5	0.272	1	0:00:08.064918
1800	4	4	0.343	1	0:00:08.066777
1900	8	8	0.953	1	0:00:08.066153
2000	1	1	0.34	1	0:00:08.067301
2100	2	2	0.49	1	0:00:08.065461
2200	0	2	0.212	0	0:00:08.061650
2300	3	2	0.00139	0	0:00:08.061627
2400	0	0	0.953	1	0:00:08.064445
2500	4	4	0.162	1	0:00:08.065296
2600	8	8	0.728	1	0:00:08.064940
2700	9	9	0.249	1	0:00:08.069133
2800	4	4	0.46	1	0:00:08.063075
2900	3	5	0.175	0	0:00:08.065095
3000	5	5	0.922	1	0:00:08.064286
3100	0	0	0.869	1	0:00:08.058920
3200	5	5	0.869	1	0:00:08.065562
3300	4	2	0.0565	0	0:00:08.064602
3400	6	6	0.292	1	0:00:08.066294
3500	1	1	0.194	1	0:00:08.068659
3600	4	2	0.242	0	0:00:08.064210
3700	3	3	0.953	1	0:00:08.066761
3800	9	9	0.746	1	0:00:08.065621
3900	3	6	0.221	0	0:00:08.064420
4000	8	0	0.0341	0	0:00:08.063344
4100	7	7	0.953	1	0:00:08.067035
4200	4	4	0.53	1	0:00:08.057621
4300	8	8	0.712	1	0:00:08.059014
4400	3	-1	0.0	0	0:00:08.059165
4500	3	3	0.346	1	0:00:08.061123
4600	4	4	0.922	1	0:00:08.062568
4700	6	5	0.0184	0	0:00:08.061164
4800	9	9	0.953	1	0:00:08.065313
4900	3	3	0.378	1	0:00:08.063873
5000	7	7	0.953	1	0:00:08.065070
5100	3	3	0.953	1	0:00:08.062655
5200	3	3	0.736	1	0:00:08.058763
5300	9	9	0.408	1	0:00:08.062528
5400	9	9	0.751	1	0:00:08.057363
5500	8	8	0.547	1	0:00:08.060697
5600	6	-1	0.0	0	0:00:08.056321
5700	3	3	0.112	1	0:00:08.058399
5800	2	2	0.831	1	0:00:08.054184
5900	4	-1	0.0	0	0:00:08.053566
6000	8	8	0.431	1	0:00:08.056667
6100	1	1	0.78	1	0:00:08.057537
6200	3	3	0.539	1	0:00:08.056942
6300	1	1	0.526	1	0:00:08.060465
6400	0	0	0.262	1	0:00:08.057285
