idx	label	predict	radius	correct	time
0	3	3	0.505	1	0:00:08.064776
100	4	4	0.114	1	0:00:08.062304
200	5	5	0.713	1	0:00:08.068947
300	6	6	0.953	1	0:00:08.071690
400	9	9	0.953	1	0:00:08.070637
500	4	4	0.0379	1	0:00:08.069175
600	8	8	0.265	1	0:00:08.072656
700	7	7	0.953	1	0:00:08.070770
800	7	7	0.953	1	0:00:08.072214
900	2	6	0.45	0	0:00:08.067407
1000	5	5	0.913	1	0:00:08.072158
1100	7	8	0.435	0	0:00:08.073040
1200	8	8	0.348	1	0:00:08.073233
1300	4	3	0.568	0	0:00:08.064581
1400	5	3	0.074	0	0:00:08.071059
1500	1	1	0.935	1	0:00:08.076266
1600	8	-1	0.0	0	0:00:08.071448
1700	5	5	0.273	1	0:00:08.072941
1800	4	4	0.328	1	0:00:08.073854
1900	8	8	0.953	1	0:00:08.071560
2000	1	1	0.546	1	0:00:08.073581
2100	2	2	0.472	1	0:00:08.072006
2200	0	0	0.0452	1	0:00:08.075552
2300	3	-1	0.0	0	0:00:08.071399
2400	0	0	0.953	1	0:00:08.071563
2500	4	-1	0.0	0	0:00:08.068161
2600	8	8	0.849	1	0:00:08.070036
2700	9	1	0.144	0	0:00:08.083174
2800	4	4	0.434	1	0:00:08.071034
2900	3	5	0.362	0	0:00:08.071929
3000	5	5	0.913	1	0:00:08.067705
3100	0	0	0.811	1	0:00:08.061756
3200	5	5	0.953	1	0:00:08.068081
3300	4	4	0.108	1	0:00:08.065745
3400	6	6	0.176	1	0:00:08.068047
3500	1	1	0.317	1	0:00:08.067804
3600	4	-1	0.0	0	0:00:08.068102
3700	3	3	0.953	1	0:00:08.070376
3800	9	9	0.825	1	0:00:08.068009
3900	3	6	0.206	0	0:00:08.067518
4000	8	0	0.0163	0	0:00:08.067420
4100	7	7	0.953	1	0:00:08.068895
4200	4	4	0.553	1	0:00:08.060659
4300	8	8	0.656	1	0:00:08.063098
4400	3	-1	0.0	0	0:00:08.062500
4500	3	3	0.237	1	0:00:08.069094
4600	4	4	0.953	1	0:00:08.067030
4700	6	5	0.0593	0	0:00:08.065472
4800	9	9	0.953	1	0:00:08.065715
4900	3	3	0.594	1	0:00:08.065961
5000	7	7	0.953	1	0:00:08.066372
5100	3	3	0.953	1	0:00:08.063833
5200	3	3	0.678	1	0:00:08.062460
5300	9	9	0.898	1	0:00:08.065341
5400	9	9	0.953	1	0:00:08.062215
5500	8	8	0.554	1	0:00:08.069441
5600	6	-1	0.0	0	0:00:08.058963
5700	3	5	0.0533	0	0:00:08.060662
5800	2	2	0.732	1	0:00:08.056813
5900	4	-1	0.0	0	0:00:08.055250
6000	8	8	0.501	1	0:00:08.062376
6100	1	1	0.953	1	0:00:08.056626
6200	3	3	0.527	1	0:00:08.058407
6300	1	1	0.935	1	0:00:08.058310
6400	0	0	0.253	1	0:00:08.059551
6500	7	-1	0.0	0	0:00:08.058440
6600	7	7	0.953	1	0:00:08.062157
6700	6	6	0.935	1	0:00:08.059602
6800	6	6	0.19	1	0:00:08.061583
6900	3	3	0.813	1	0:00:08.062858
7000	2	8	0.0633	0	0:00:08.058799
7100	9	9	0.0274	1	0:00:08.062205
7200	4	4	0.391	1	0:00:08.057884
7300	3	5	0.384	0	0:00:08.060333
7400	3	-1	0.0	0	0:00:08.064336
7500	6	6	0.953	1	0:00:08.067169
7600	8	9	0.371	0	0:00:08.064115
7700	6	6	0.953	1	0:00:08.063260
7800	0	0	0.913	1	0:00:08.059650
7900	0	4	0.0857	0	0:00:08.067436
8000	9	9	0.935	1	0:00:08.065351
8100	6	6	0.123	1	0:00:08.068942
8200	3	4	0.0355	0	0:00:08.066053
8300	5	5	0.027	1	0:00:08.066239
8400	0	0	0.27	1	0:00:08.077653
8500	4	4	0.922	1	0:00:08.070152
8600	3	3	0.354	1	0:00:08.068552
8700	3	3	0.131	1	0:00:08.069106
8800	0	0	0.71	1	0:00:08.068380
8900	2	2	0.309	1	0:00:08.070609
9000	8	8	0.953	1	0:00:08.074299
9100	9	1	0.25	0	0:00:08.072802
9200	8	8	0.45	1	0:00:08.073820
9300	5	5	0.000281	1	0:00:08.073039
9400	6	6	0.953	1	0:00:08.072262
9500	9	9	0.953	1	0:00:08.074134
9600	8	8	0.305	1	0:00:08.071054
9700	0	0	0.935	1	0:00:08.073047
9800	1	1	0.953	1	0:00:08.076086
