idx	label	predict	radius	correct	time
0	3	3	0.488	1	0:00:08.006537
100	4	4	0.0545	1	0:00:08.000617
200	5	5	0.743	1	0:00:08.003655
300	6	6	0.953	1	0:00:08.003430
400	9	9	0.953	1	0:00:08.008344
500	4	6	0.0715	0	0:00:08.003278
600	8	8	0.256	1	0:00:08.004382
700	7	7	0.953	1	0:00:08.000953
800	7	7	0.953	1	0:00:08.008491
900	2	6	0.472	0	0:00:07.995057
1000	5	5	0.953	1	0:00:08.001716
1100	7	8	0.457	0	0:00:08.002603
1200	8	8	0.425	1	0:00:08.004131
1300	4	3	0.593	0	0:00:07.997655
1400	5	3	0.0873	0	0:00:07.998133
1500	1	1	0.953	1	0:00:08.003474
1600	8	-1	0.0	0	0:00:08.004061
1700	5	5	0.323	1	0:00:08.002499
1800	4	4	0.28	1	0:00:08.001614
1900	8	8	0.953	1	0:00:08.000952
2000	1	1	0.566	1	0:00:08.002621
2100	2	2	0.549	1	0:00:08.002293
2200	0	-1	0.0	0	0:00:08.006158
2300	3	-1	0.0	0	0:00:08.005536
2400	0	0	0.953	1	0:00:08.006003
2500	4	6	0.0622	0	0:00:08.003854
2600	8	8	0.905	1	0:00:08.005743
2700	9	1	0.0791	0	0:00:08.012602
2800	4	4	0.448	1	0:00:08.006895
2900	3	5	0.307	0	0:00:08.008039
3000	5	5	0.922	1	0:00:08.009146
3100	0	0	0.855	1	0:00:08.006066
3200	5	5	0.898	1	0:00:08.011152
3300	4	4	0.117	1	0:00:08.009231
3400	6	6	0.102	1	0:00:08.010506
3500	1	1	0.253	1	0:00:08.012793
3600	4	2	0.126	0	0:00:08.010501
3700	3	3	0.953	1	0:00:08.010856
3800	9	9	0.814	1	0:00:08.013904
3900	3	6	0.166	0	0:00:08.012528
4000	8	0	0.0626	0	0:00:08.011239
4100	7	7	0.953	1	0:00:08.016804
4200	4	4	0.539	1	0:00:08.007386
4300	8	8	0.744	1	0:00:08.008890
4400	3	-1	0.0	0	0:00:08.008035
4500	3	3	0.283	1	0:00:08.013627
4600	4	4	0.953	1	0:00:08.018202
4700	6	5	0.202	0	0:00:08.022539
4800	9	9	0.953	1	0:00:08.015402
4900	3	3	0.601	1	0:00:08.014307
5000	7	7	0.953	1	0:00:08.014307
5100	3	3	0.953	1	0:00:08.010719
5200	3	3	0.686	1	0:00:08.009642
5300	9	9	0.886	1	0:00:08.016389
5400	9	9	0.953	1	0:00:08.012098
5500	8	8	0.576	1	0:00:08.006162
5600	6	-1	0.0	0	0:00:08.006188
5700	3	5	0.0367	0	0:00:08.007158
5800	2	2	0.8	1	0:00:08.006898
5900	4	0	0.0348	0	0:00:08.000099
6000	8	8	0.365	1	0:00:08.003394
6100	1	1	0.953	1	0:00:08.006279
6200	3	3	0.546	1	0:00:08.013491
6300	1	1	0.935	1	0:00:08.006646
6400	0	0	0.27	1	0:00:08.001411
6500	7	-1	0.0	0	0:00:08.002488
6600	7	7	0.953	1	0:00:08.006025
6700	6	6	0.953	1	0:00:08.003839
6800	6	6	0.175	1	0:00:08.013643
6900	3	3	0.796	1	0:00:08.007955
7000	2	8	0.0891	0	0:00:08.001258
7100	9	9	0.038	1	0:00:08.003961
7200	4	4	0.349	1	0:00:08.000803
7300	3	5	0.376	0	0:00:08.003565
7400	3	-1	0.0	0	0:00:08.006122
7500	6	6	0.953	1	0:00:08.006432
7600	8	9	0.355	0	0:00:08.002996
7700	6	6	0.953	1	0:00:08.003806
7800	0	0	0.905	1	0:00:08.002361
7900	0	4	0.0572	0	0:00:08.014733
8000	9	9	0.913	1	0:00:08.005146
8100	6	6	0.172	1	0:00:08.008902
8200	3	4	0.0101	0	0:00:08.007273
8300	5	-1	0.0	0	0:00:08.007493
8400	0	0	0.156	1	0:00:08.011953
8500	4	4	0.953	1	0:00:08.007220
8600	3	3	0.32	1	0:00:08.011732
8700	3	3	0.0983	1	0:00:08.008018
8800	0	0	0.729	1	0:00:08.008885
