idx	label	predict	radius	correct	time
0	3	3	0.743	1	0:00:08.065313
100	4	4	0.041	1	0:00:08.060341
200	5	5	0.773	1	0:00:08.065423
300	6	6	0.953	1	0:00:08.064826
400	9	9	0.953	1	0:00:08.071713
500	4	4	0.0359	1	0:00:08.065778
600	8	8	0.157	1	0:00:08.068240
700	7	7	0.953	1	0:00:08.067682
800	7	7	0.953	1	0:00:08.068395
900	2	6	0.485	0	0:00:08.064915
1000	5	5	0.898	1	0:00:08.069079
1100	7	8	0.303	0	0:00:08.069029
1200	8	8	0.316	1	0:00:08.070718
1300	4	3	0.598	0	0:00:08.061555
1400	5	3	0.192	0	0:00:08.066699
1500	1	1	0.953	1	0:00:08.069399
1600	8	-1	0.0	0	0:00:08.067764
1700	5	5	0.243	1	0:00:08.065738
1800	4	4	0.208	1	0:00:08.066045
1900	8	8	0.953	1	0:00:08.069746
2000	1	1	0.407	1	0:00:08.067791
2100	2	2	0.459	1	0:00:08.067980
2200	0	0	0.138	1	0:00:08.066466
2300	3	-1	0.0	0	0:00:08.063874
2400	0	0	0.953	1	0:00:08.066354
2500	4	4	0.229	1	0:00:08.071924
2600	8	8	0.804	1	0:00:08.063852
2700	9	1	0.25	0	0:00:08.070021
2800	4	4	0.343	1	0:00:08.064869
2900	3	5	0.492	0	0:00:08.062710
3000	5	5	0.922	1	0:00:08.064695
3100	0	0	0.847	1	0:00:08.057788
3200	5	5	0.877	1	0:00:08.062775
3300	4	-1	0.0	0	0:00:08.061152
3400	6	6	0.158	1	0:00:08.063887
3500	1	1	0.303	1	0:00:08.065852
3600	4	2	0.0417	0	0:00:08.061961
3700	3	3	0.953	1	0:00:08.060913
3800	9	9	0.526	1	0:00:08.062669
3900	3	6	0.353	0	0:00:08.058797
4000	8	0	0.0139	0	0:00:08.060939
4100	7	7	0.953	1	0:00:08.060264
4200	4	4	0.403	1	0:00:08.056988
4300	8	8	0.68	1	0:00:08.055785
4400	3	-1	0.0	0	0:00:08.056753
4500	3	3	0.174	1	0:00:08.061222
4600	4	4	0.953	1	0:00:08.061541
4700	6	-1	0.0	0	0:00:08.058738
4800	9	9	0.953	1	0:00:08.060955
4900	3	3	0.246	1	0:00:08.057208
5000	7	7	0.953	1	0:00:08.063697
