idx	label	predict	radius	correct	time
0	3	3	0.56	1	0:00:08.019672
100	4	4	0.0972	1	0:00:08.020508
200	5	5	0.725	1	0:00:08.024072
300	6	6	0.913	1	0:00:08.024880
400	9	9	0.935	1	0:00:08.029106
500	4	4	0.0738	1	0:00:08.024891
600	8	8	0.285	1	0:00:08.027733
700	7	7	0.953	1	0:00:08.031074
800	7	7	0.953	1	0:00:08.028289
900	2	6	0.465	0	0:00:08.023028
1000	5	5	0.953	1	0:00:08.026709
1100	7	8	0.374	0	0:00:08.033485
1200	8	8	0.405	1	0:00:08.027721
1300	4	3	0.595	0	0:00:08.017055
1400	5	3	0.149	0	0:00:08.028707
1500	1	1	0.922	1	0:00:08.031033
1600	8	8	0.0432	1	0:00:08.029631
1700	5	5	0.332	1	0:00:08.026750
1800	4	4	0.296	1	0:00:08.025685
1900	8	8	0.953	1	0:00:08.026401
2000	1	1	0.476	1	0:00:08.025380
2100	2	2	0.545	1	0:00:08.022444
2200	0	0	0.0479	1	0:00:08.019809
2300	3	-1	0.0	0	0:00:08.017951
2400	0	0	0.953	1	0:00:08.022513
2500	4	4	0.089	1	0:00:08.015846
2600	8	8	0.886	1	0:00:08.021989
2700	9	1	0.121	0	0:00:08.023036
2800	4	4	0.46	1	0:00:08.018090
2900	3	5	0.337	0	0:00:08.026275
3000	5	5	0.922	1	0:00:08.020800
3100	0	0	0.852	1	0:00:08.012005
3200	5	5	0.922	1	0:00:08.018797
3300	4	4	0.0571	1	0:00:08.015720
3400	6	6	0.135	1	0:00:08.020141
3500	1	1	0.215	1	0:00:08.020274
3600	4	2	0.0539	0	0:00:08.016410
3700	3	3	0.953	1	0:00:08.014625
3800	9	9	0.821	1	0:00:08.016490
3900	3	6	0.158	0	0:00:08.012154
4000	8	-1	0.0	0	0:00:08.016479
4100	7	7	0.953	1	0:00:08.023306
4200	4	4	0.509	1	0:00:08.011072
4300	8	8	0.739	1	0:00:08.012533
4400	3	-1	0.0	0	0:00:08.010006
4500	3	3	0.126	1	0:00:08.013843
4600	4	4	0.953	1	0:00:08.018684
4700	6	5	0.183	0	0:00:08.016200
4800	9	9	0.953	1	0:00:08.018153
4900	3	3	0.63	1	0:00:08.025239
5000	7	7	0.953	1	0:00:08.022373
5100	3	3	0.953	1	0:00:08.024709
5200	3	3	0.644	1	0:00:08.019410
5300	9	9	0.823	1	0:00:08.022324
5400	9	9	0.873	1	0:00:08.022206
5500	8	8	0.552	1	0:00:08.021461
5600	6	-1	0.0	0	0:00:08.027997
5700	3	5	0.046	0	0:00:08.024974
5800	2	2	0.794	1	0:00:08.020336
5900	4	-1	0.0	0	0:00:08.019053
6000	8	8	0.491	1	0:00:08.023673
6100	1	1	0.913	1	0:00:08.029560
6200	3	3	0.546	1	0:00:08.026315
6300	1	1	0.922	1	0:00:08.025930
6400	0	0	0.449	1	0:00:08.027404
6500	7	-1	0.0	0	0:00:08.025746
6600	7	7	0.953	1	0:00:08.031372
6700	6	6	0.953	1	0:00:08.028491
6800	6	6	0.134	1	0:00:08.027768
6900	3	3	0.869	1	0:00:08.030212
7000	2	8	0.0731	0	0:00:08.024775
7100	9	9	0.0145	1	0:00:08.028741
7200	4	4	0.415	1	0:00:08.027557
7300	3	5	0.409	0	0:00:08.025351
7400	3	9	0.00923	0	0:00:08.027914
7500	6	6	0.953	1	0:00:08.030158
7600	8	9	0.33	0	0:00:08.024929
7700	6	6	0.953	1	0:00:08.024122
7800	0	0	0.953	1	0:00:08.023592
7900	0	4	0.113	0	0:00:08.025913
8000	9	9	0.905	1	0:00:08.026667
8100	6	6	0.111	1	0:00:08.026780
8200	3	4	0.0999	0	0:00:08.024299
8300	5	-1	0.0	0	0:00:08.022530
8400	0	0	0.229	1	0:00:08.019335
8500	4	4	0.935	1	0:00:08.014646
8600	3	3	0.229	1	0:00:08.019161
8700	3	3	0.117	1	0:00:08.019583
8800	0	0	0.756	1	0:00:08.018627
8900	2	2	0.167	1	0:00:08.015781
9000	8	8	0.953	1	0:00:08.021857
9100	9	1	0.244	0	0:00:08.020715
9200	8	8	0.47	1	0:00:08.015196
9300	5	3	0.0323	0	0:00:08.019010
9400	6	6	0.935	1	0:00:08.017825
9500	9	9	0.953	1	0:00:08.022373
9600	8	8	0.392	1	0:00:08.013911
9700	0	0	0.935	1	0:00:08.012186
9800	1	1	0.953	1	0:00:08.028046
9900	8	8	0.953	1	0:00:08.018000
10000	3	3	0.469	1	0:00:08.016437
10100	4	4	0.103	1	0:00:08.012374
10200	5	5	0.68	1	0:00:08.015911
10300	6	6	0.922	1	0:00:08.011355
10400	9	9	0.935	1	0:00:08.022107
10500	4	4	0.0539	1	0:00:08.012414
10600	8	8	0.257	1	0:00:08.016257
10700	7	7	0.953	1	0:00:08.016161
10800	7	7	0.953	1	0:00:08.019425
10900	2	6	0.455	0	0:00:08.011250
11000	5	5	0.953	1	0:00:08.016504
11100	7	8	0.28	0	0:00:08.014588
11200	8	8	0.411	1	0:00:08.017444
11300	4	3	0.595	0	0:00:08.005859
11400	5	3	0.0954	0	0:00:08.012307
11500	1	1	0.953	1	0:00:08.020457
11600	8	9	0.0281	0	0:00:08.017202
11700	5	5	0.232	1	0:00:08.018215
11800	4	4	0.282	1	0:00:08.020739
11900	8	8	0.953	1	0:00:08.018328
12000	1	1	0.368	1	0:00:08.021219
12100	2	2	0.44	1	0:00:08.021137
12200	0	0	0.0829	1	0:00:08.019312
12300	3	-1	0.0	0	0:00:08.019007
12400	0	0	0.953	1	0:00:08.021743
12500	4	4	0.165	1	0:00:08.021194
12600	8	8	0.898	1	0:00:08.022598
12700	9	9	0.161	1	0:00:08.024511
12800	4	4	0.417	1	0:00:08.020815
12900	3	5	0.288	0	0:00:08.021736
13000	5	5	0.905	1	0:00:08.021058
13100	0	0	0.842	1	0:00:08.013416
13200	5	5	0.922	1	0:00:08.020177
13300	4	4	0.0574	1	0:00:08.025074
13400	6	6	0.0363	1	0:00:08.022955
13500	1	1	0.211	1	0:00:08.033537
13600	4	2	0.0542	0	0:00:08.025078
13700	3	3	0.953	1	0:00:08.025914
13800	9	9	0.769	1	0:00:08.027570
13900	3	6	0.246	0	0:00:08.024181
14000	8	0	0.0265	0	0:00:08.026307
14100	7	7	0.953	1	0:00:08.031320
14200	4	4	0.554	1	0:00:08.023804
14300	8	8	0.701	1	0:00:08.026430
14400	3	-1	0.0	0	0:00:08.026567
14500	3	3	0.186	1	0:00:08.026732
14600	4	4	0.953	1	0:00:08.028389
14700	6	5	0.142	0	0:00:08.024921
14800	9	9	0.953	1	0:00:08.030925
14900	3	3	0.587	1	0:00:08.025347
15000	7	7	0.953	1	0:00:08.026716
15100	3	3	0.953	1	0:00:08.026160
15200	3	3	0.649	1	0:00:08.022538
15300	9	9	0.827	1	0:00:08.026862
15400	9	9	0.953	1	0:00:08.023489
15500	8	8	0.597	1	0:00:08.023413
15600	6	5	0.0356	0	0:00:08.023487
15700	3	5	0.0451	0	0:00:08.024340
15800	2	2	0.796	1	0:00:08.020076
15900	4	0	0.00533	0	0:00:08.019622
16000	8	8	0.404	1	0:00:08.019510
16100	1	1	0.953	1	0:00:08.022952
16200	3	3	0.612	1	0:00:08.022115
16300	1	1	0.837	1	0:00:08.022605
16400	0	0	0.375	1	0:00:08.022106
16500	7	-1	0.0	0	0:00:08.019254
16600	7	7	0.953	1	0:00:08.022222
16700	6	6	0.898	1	0:00:08.016830
16800	6	6	0.0934	1	0:00:08.015196
16900	3	3	0.78	1	0:00:08.020238
17000	2	8	0.118	0	0:00:08.012261
17100	9	9	0.0335	1	0:00:08.018601
17200	4	4	0.401	1	0:00:08.012897
17300	3	5	0.465	0	0:00:08.013072
17400	3	9	0.00501	0	0:00:08.012770
17500	6	6	0.953	1	0:00:08.016640
17600	8	9	0.392	0	0:00:08.012606
17700	6	6	0.935	1	0:00:08.011196
17800	0	0	0.847	1	0:00:08.010701
17900	0	-1	0.0	0	0:00:08.015694
18000	9	9	0.953	1	0:00:08.015935
18100	6	6	0.145	1	0:00:08.012727
18200	3	4	0.02	0	0:00:08.015189
18300	5	-1	0.0	0	0:00:08.015282
18400	0	0	0.155	1	0:00:08.015369
18500	4	4	0.922	1	0:00:08.010994
18600	3	3	0.199	1	0:00:08.021616
18700	3	3	0.204	1	0:00:08.019400
18800	0	0	0.624	1	0:00:08.016519
18900	2	2	0.165	1	0:00:08.018733
19000	8	8	0.953	1	0:00:08.023458
19100	9	1	0.218	0	0:00:08.020266
19200	8	8	0.432	1	0:00:08.016780
19300	5	-1	0.0	0	0:00:08.025445
19400	6	6	0.935	1	0:00:08.024477
19500	9	9	0.953	1	0:00:08.025599
19600	8	8	0.351	1	0:00:08.020237
19700	0	0	0.905	1	0:00:08.020567
19800	1	1	0.953	1	0:00:08.030722
19900	8	8	0.953	1	0:00:08.025853
20000	3	3	0.474	1	0:00:08.025390
20100	4	4	0.15	1	0:00:08.020024
20200	5	5	0.751	1	0:00:08.028183
20300	6	6	0.935	1	0:00:08.023153
20400	9	9	0.953	1	0:00:08.027637
20500	4	4	0.129	1	0:00:08.025740
20600	8	8	0.265	1	0:00:08.027500
20700	7	7	0.953	1	0:00:08.026803
20800	7	7	0.953	1	0:00:08.027090
20900	2	6	0.456	0	0:00:08.021755
21000	5	5	0.953	1	0:00:08.029251
21100	7	8	0.28	0	0:00:08.026276
21200	8	8	0.486	1	0:00:08.029302
21300	4	3	0.596	0	0:00:08.018169
21400	5	3	0.0853	0	0:00:08.022341
21500	1	1	0.922	1	0:00:08.031317
21600	8	9	0.052	0	0:00:08.027749
21700	5	5	0.345	1	0:00:08.027802
21800	4	4	0.241	1	0:00:08.024954
21900	8	8	0.953	1	0:00:08.024788
22000	1	1	0.433	1	0:00:08.023840
22100	2	2	0.475	1	0:00:08.022162
22200	0	0	0.0796	1	0:00:08.022203
22300	3	-1	0.0	0	0:00:08.019777
22400	0	0	0.953	1	0:00:08.025454
22500	4	4	0.175	1	0:00:08.023910
22600	8	8	0.833	1	0:00:08.021470
22700	9	1	0.00989	0	0:00:08.027181
22800	4	4	0.472	1	0:00:08.021542
22900	3	5	0.406	0	0:00:08.021317
23000	5	5	0.953	1	0:00:08.021702
23100	0	0	0.837	1	0:00:08.013751
23200	5	5	0.935	1	0:00:08.020256
23300	4	4	0.0343	1	0:00:08.017520
23400	6	6	0.102	1	0:00:08.019024
23500	1	1	0.22	1	0:00:08.022735
23600	4	2	0.0566	0	0:00:08.018895
23700	3	3	0.953	1	0:00:08.016237
23800	9	9	0.723	1	0:00:08.018538
23900	3	6	0.347	0	0:00:08.019836
24000	8	-1	0.0	0	0:00:08.017777
24100	7	7	0.953	1	0:00:08.017949
24200	4	4	0.538	1	0:00:08.009501
24300	8	8	0.731	1	0:00:08.013287
24400	3	-1	0.0	0	0:00:08.010792
24500	3	3	0.138	1	0:00:08.018396
24600	4	4	0.953	1	0:00:08.016967
24700	6	5	0.0542	0	0:00:08.015152
24800	9	9	0.953	1	0:00:08.019195
24900	3	3	0.414	1	0:00:08.016476
25000	7	7	0.953	1	0:00:08.018643
25100	3	3	0.953	1	0:00:08.018582
25200	3	3	0.564	1	0:00:08.018190
25300	9	9	0.886	1	0:00:08.022049
25400	9	9	0.935	1	0:00:08.019370
25500	8	8	0.482	1	0:00:08.018369
25600	6	-1	0.0	0	0:00:08.020666
25700	3	5	0.0251	0	0:00:08.025950
25800	2	2	0.777	1	0:00:08.016470
25900	4	-1	0.0	0	0:00:08.016107
26000	8	8	0.596	1	0:00:08.019897
26100	1	1	0.935	1	0:00:08.023835
