idx	label	predict	radius	correct	time
0	3	3	0.529	1	0:00:08.059157
100	4	4	0.0881	1	0:00:08.058175
200	5	5	0.74	1	0:00:08.061046
300	6	6	0.935	1	0:00:08.059121
400	9	9	0.935	1	0:00:08.064146
500	4	4	0.00905	1	0:00:08.064596
600	8	8	0.271	1	0:00:08.062446
700	7	7	0.953	1	0:00:08.062552
800	7	7	0.953	1	0:00:08.063617
900	2	6	0.447	0	0:00:08.058210
1000	5	5	0.953	1	0:00:08.062572
1100	7	8	0.353	0	0:00:08.063348
1200	8	8	0.438	1	0:00:08.062177
1300	4	3	0.603	0	0:00:08.057279
1400	5	3	0.118	0	0:00:08.069775
1500	1	1	0.953	1	0:00:08.068668
1600	8	8	0.000263	1	0:00:08.065558
1700	5	5	0.342	1	0:00:08.065491
1800	4	4	0.328	1	0:00:08.073019
1900	8	8	0.953	1	0:00:08.069371
2000	1	1	0.512	1	0:00:08.070885
2100	2	2	0.514	1	0:00:08.068091
2200	0	0	0.116	1	0:00:08.067787
2300	3	-1	0.0	0	0:00:08.067399
2400	0	0	0.953	1	0:00:08.069558
2500	4	4	0.0481	1	0:00:08.069463
2600	8	8	0.892	1	0:00:08.070855
2700	9	1	0.087	0	0:00:08.075082
2800	4	4	0.482	1	0:00:08.072962
2900	3	5	0.255	0	0:00:08.075040
3000	5	5	0.922	1	0:00:08.073962
3100	0	0	0.827	1	0:00:08.071334
3200	5	5	0.935	1	0:00:08.073498
3300	4	4	0.123	1	0:00:08.073775
3400	6	6	0.154	1	0:00:08.073774
3500	1	1	0.341	1	0:00:08.081001
3600	4	2	0.0531	0	0:00:08.073675
3700	3	3	0.953	1	0:00:08.073479
3800	9	9	0.855	1	0:00:08.075955
3900	3	6	0.124	0	0:00:08.073597
4000	8	-1	0.0	0	0:00:08.072820
4100	7	7	0.953	1	0:00:08.074057
4200	4	4	0.542	1	0:00:08.066722
4300	8	8	0.772	1	0:00:08.071502
4400	3	-1	0.0	0	0:00:08.068589
4500	3	3	0.203	1	0:00:08.072585
4600	4	4	0.935	1	0:00:08.072881
4700	6	5	0.112	0	0:00:08.071068
4800	9	9	0.953	1	0:00:08.072560
4900	3	3	0.657	1	0:00:08.072479
5000	7	7	0.953	1	0:00:08.075388
5100	3	3	0.953	1	0:00:08.072512
5200	3	3	0.658	1	0:00:08.070190
5300	9	9	0.922	1	0:00:08.074268
5400	9	9	0.953	1	0:00:08.073220
5500	8	8	0.607	1	0:00:08.068827
5600	6	-1	0.0	0	0:00:08.065754
5700	3	5	0.0319	0	0:00:08.067015
5800	2	2	0.742	1	0:00:08.065153
5900	4	0	0.0275	0	0:00:08.061274
6000	8	8	0.401	1	0:00:08.062777
6100	1	1	0.953	1	0:00:08.066052
