idx	label	predict	radius	correct	time
0	3	3	0.553	1	0:00:08.073184
100	4	4	0.213	1	0:00:08.066303
200	5	5	0.796	1	0:00:08.070566
300	6	6	0.953	1	0:00:08.068651
400	9	9	0.953	1	0:00:08.072757
500	4	4	0.0937	1	0:00:08.070826
600	8	8	0.354	1	0:00:08.071542
700	7	7	0.953	1	0:00:08.070608
800	7	7	0.953	1	0:00:08.070301
900	2	6	0.352	0	0:00:08.063643
1000	5	5	0.953	1	0:00:08.068224
1100	7	8	0.311	0	0:00:08.068092
1200	8	8	0.526	1	0:00:08.075920
1300	4	3	0.357	0	0:00:08.057374
1400	5	5	0.0806	1	0:00:08.062846
1500	1	1	0.935	1	0:00:08.071980
1600	8	9	0.0395	0	0:00:08.063958
1700	5	5	0.215	1	0:00:08.073421
1800	4	4	0.169	1	0:00:08.064124
1900	8	8	0.953	1	0:00:08.062041
2000	1	1	0.648	1	0:00:08.064588
2100	2	2	0.731	1	0:00:08.060902
2200	0	0	0.0687	1	0:00:08.059942
2300	3	-1	0.0	0	0:00:08.058918
2400	0	0	0.953	1	0:00:08.061184
2500	4	-1	0.0	0	0:00:08.059281
2600	8	8	0.886	1	0:00:08.062071
2700	9	1	0.0831	0	0:00:08.064969
2800	4	4	0.406	1	0:00:08.061283
2900	3	5	0.426	0	0:00:08.060001
3000	5	5	0.702	1	0:00:08.060584
3100	0	0	0.804	1	0:00:08.054722
3200	5	5	0.935	1	0:00:08.060158
3300	4	4	0.118	1	0:00:08.056345
3400	6	-1	0.0	0	0:00:08.058433
3500	1	1	0.227	1	0:00:08.060837
3600	4	3	0.0497	0	0:00:08.058844
3700	3	3	0.953	1	0:00:08.065705
3800	9	9	0.679	1	0:00:08.057630
3900	3	6	0.0812	0	0:00:08.055076
4000	8	-1	0.0	0	0:00:08.058277
4100	7	7	0.953	1	0:00:08.057669
4200	4	4	0.518	1	0:00:08.053338
4300	8	8	0.57	1	0:00:08.054734
4400	3	-1	0.0	0	0:00:08.051374
4500	3	3	0.579	1	0:00:08.055796
4600	4	4	0.935	1	0:00:08.060046
4700	6	5	0.266	0	0:00:08.054930
4800	9	9	0.953	1	0:00:08.055448
4900	3	3	0.55	1	0:00:08.056101
5000	7	7	0.953	1	0:00:08.056169
5100	3	3	0.953	1	0:00:08.055039
5200	3	3	0.478	1	0:00:08.054447
5300	9	9	0.935	1	0:00:08.057410
5400	9	9	0.922	1	0:00:08.053852
5500	8	8	0.628	1	0:00:08.051878
5600	6	-1	0.0	0	0:00:08.051134
5700	3	3	0.0909	1	0:00:08.054966
5800	2	2	0.777	1	0:00:08.053507
5900	4	0	0.0644	0	0:00:08.050173
6000	8	8	0.468	1	0:00:08.051934
6100	1	1	0.913	1	0:00:08.057730
6200	3	3	0.701	1	0:00:08.057729
6300	1	1	0.935	1	0:00:08.059440
6400	0	0	0.3	1	0:00:08.056357
6500	7	-1	0.0	0	0:00:08.057002
6600	7	7	0.953	1	0:00:08.062415
6700	6	6	0.953	1	0:00:08.057532
6800	6	6	0.0263	1	0:00:08.062132
6900	3	3	0.825	1	0:00:08.063543
7000	2	8	0.0348	0	0:00:08.059809
7100	9	9	0.241	1	0:00:08.061886
7200	4	4	0.34	1	0:00:08.059654
7300	3	5	0.356	0	0:00:08.062829
7400	3	3	0.136	1	0:00:08.066308
7500	6	6	0.953	1	0:00:08.066620
7600	8	9	0.423	0	0:00:08.063713
7700	6	6	0.953	1	0:00:08.063365
7800	0	0	0.953	1	0:00:08.061753
7900	0	-1	0.0	0	0:00:08.064686
8000	9	9	0.953	1	0:00:08.065334
8100	6	6	0.154	1	0:00:08.064230
8200	3	4	0.0249	0	0:00:08.066133
8300	5	5	0.0303	1	0:00:08.066036
8400	0	0	0.167	1	0:00:08.067188
8500	4	4	0.81	1	0:00:08.064991
8600	3	3	0.353	1	0:00:08.068247
