idx	label	predict	radius	correct	time
0	3	3	0.583	1	0:00:08.054404
100	4	-1	0.0	0	0:00:08.052912
200	5	5	0.685	1	0:00:08.059160
300	6	6	0.847	1	0:00:08.056956
400	9	9	0.953	1	0:00:08.062055
500	4	4	0.309	1	0:00:08.060056
600	8	8	0.0301	1	0:00:08.065542
700	7	7	0.886	1	0:00:08.065568
800	7	7	0.953	1	0:00:08.063086
900	2	6	0.447	0	0:00:08.063162
1000	5	5	0.858	1	0:00:08.062092
1100	7	8	0.226	0	0:00:08.062784
1200	8	8	0.166	1	0:00:08.062418
1300	4	3	0.569	0	0:00:08.056337
1400	5	5	0.0276	1	0:00:08.060100
1500	1	1	0.913	1	0:00:08.068730
1600	8	9	0.0287	0	0:00:08.063543
1700	5	5	0.331	1	0:00:08.062436
1800	4	4	0.282	1	0:00:08.064178
1900	8	8	0.953	1	0:00:08.064819
2000	1	1	0.427	1	0:00:08.068107
2100	2	2	0.363	1	0:00:08.070332
2200	0	2	0.127	0	0:00:08.069736
2300	3	-1	0.0	0	0:00:08.070403
2400	0	0	0.953	1	0:00:08.074385
2500	4	4	0.217	1	0:00:08.066765
2600	8	8	0.662	1	0:00:08.070261
2700	9	9	0.118	1	0:00:08.074819
2800	4	4	0.385	1	0:00:08.069829
2900	3	5	0.144	0	0:00:08.081265
3000	5	5	0.935	1	0:00:08.071180
3100	0	0	0.862	1	0:00:08.065551
3200	5	5	0.892	1	0:00:08.076296
3300	4	-1	0.0	0	0:00:08.071187
3400	6	6	0.268	1	0:00:08.071442
3500	1	1	0.0116	1	0:00:08.071655
3600	4	2	0.0488	0	0:00:08.074401
3700	3	3	0.953	1	0:00:08.070887
3800	9	9	0.543	1	0:00:08.072056
3900	3	6	0.326	0	0:00:08.069361
4000	8	7	0.0146	0	0:00:08.069608
4100	7	7	0.953	1	0:00:08.071556
4200	4	4	0.552	1	0:00:08.063680
4300	8	8	0.779	1	0:00:08.066941
4400	3	-1	0.0	0	0:00:08.066848
4500	3	3	0.0498	1	0:00:08.066124
4600	4	4	0.935	1	0:00:08.065933
4700	6	5	0.133	0	0:00:08.065353
4800	9	9	0.953	1	0:00:08.069797
4900	3	3	0.36	1	0:00:08.064029
5000	7	7	0.953	1	0:00:08.065377
5100	3	3	0.953	1	0:00:08.066521
5200	3	3	0.761	1	0:00:08.064563
5300	9	9	0.585	1	0:00:08.066659
5400	9	9	0.763	1	0:00:08.063266
5500	8	8	0.504	1	0:00:08.063169
5600	6	-1	0.0	0	0:00:08.061050
5700	3	3	0.00139	1	0:00:08.063037
5800	2	2	0.685	1	0:00:08.061215
5900	4	-1	0.0	0	0:00:08.059366
6000	8	8	0.418	1	0:00:08.062477
6100	1	1	0.803	1	0:00:08.063326
6200	3	3	0.546	1	0:00:08.063145
6300	1	1	0.724	1	0:00:08.063354
6400	0	0	0.162	1	0:00:08.062608
6500	7	-1	0.0	0	0:00:08.062197
6600	7	7	0.953	1	0:00:08.066969
6700	6	6	0.618	1	0:00:08.060408
6800	6	6	0.0369	1	0:00:08.057341
6900	3	3	0.898	1	0:00:08.060440
7000	2	8	0.0626	0	0:00:08.056708
7100	9	-1	0.0	0	0:00:08.057555
7200	4	4	0.384	1	0:00:08.052103
7300	3	5	0.595	0	0:00:08.056299
7400	3	3	0.000394	1	0:00:08.059703
7500	6	6	0.953	1	0:00:08.059350
7600	8	9	0.31	0	0:00:08.055830
7700	6	6	0.935	1	0:00:08.054103
7800	0	0	0.811	1	0:00:08.054069
7900	0	-1	0.0	0	0:00:08.056238
8000	9	9	0.953	1	0:00:08.055902
8100	6	2	0.175	0	0:00:08.054361
8200	3	4	0.143	0	0:00:08.058291
8300	5	-1	0.0	0	0:00:08.053752
8400	0	0	0.174	1	0:00:08.051826
8500	4	4	0.935	1	0:00:08.050047
8600	3	3	0.189	1	0:00:08.052599
8700	3	3	0.271	1	0:00:08.053092
8800	0	0	0.855	1	0:00:08.055189
8900	2	2	0.274	1	0:00:08.053298
9000	8	8	0.953	1	0:00:08.061579
9100	9	1	0.384	0	0:00:08.061464
9200	8	8	0.39	1	0:00:08.055033
9300	5	5	0.077	1	0:00:08.060120
9400	6	6	0.726	1	0:00:08.059824
9500	9	9	0.865	1	0:00:08.062495
9600	8	8	0.51	1	0:00:08.056975
9700	0	0	0.862	1	0:00:08.058924
9800	1	1	0.953	1	0:00:08.066048
9900	8	8	0.849	1	0:00:08.061098
10000	3	3	0.608	1	0:00:08.064582
10100	4	4	0.0199	1	0:00:08.060867
10200	5	5	0.704	1	0:00:08.060974
10300	6	6	0.892	1	0:00:08.060774
10400	9	9	0.953	1	0:00:08.066871
10500	4	4	0.369	1	0:00:08.061618
10600	8	-1	0.0	0	0:00:08.063270
10700	7	7	0.862	1	0:00:08.063536
10800	7	7	0.953	1	0:00:08.064497
10900	2	6	0.47	0	0:00:08.063730
11000	5	5	0.855	1	0:00:08.065745
11100	7	8	0.208	0	0:00:08.066857
11200	8	8	0.0707	1	0:00:08.070884
11300	4	3	0.549	0	0:00:08.060875
