idx	label	predict	radius	correct	time
0	3	3	0.79	1	0:00:08.048687
100	4	4	0.318	1	0:00:08.050236
200	5	5	0.953	1	0:00:08.050198
300	6	6	0.953	1	0:00:08.045816
400	9	9	0.953	1	0:00:08.050726
500	4	6	0.371	0	0:00:08.047188
600	8	8	0.325	1	0:00:08.048188
700	7	7	0.953	1	0:00:08.048976
800	7	7	0.953	1	0:00:08.046614
900	2	6	0.594	0	0:00:08.042958
1000	5	5	0.953	1	0:00:08.046252
1100	7	8	0.043	0	0:00:08.047335
1200	8	8	0.315	1	0:00:08.047156
1300	4	3	0.935	0	0:00:08.040027
1400	5	5	0.0111	1	0:00:08.042599
1500	1	1	0.935	1	0:00:08.046485
1600	8	1	0.0115	0	0:00:08.044164
1700	5	5	0.19	1	0:00:08.045221
1800	4	4	0.14	1	0:00:08.043027
1900	8	8	0.953	1	0:00:08.043911
2000	1	1	0.095	1	0:00:08.041674
2100	2	2	0.493	1	0:00:08.040872
2200	0	0	0.953	1	0:00:08.038543
2300	3	6	0.514	0	0:00:08.038982
2400	0	0	0.953	1	0:00:08.042678
2500	4	4	0.0442	1	0:00:08.040280
2600	8	8	0.953	1	0:00:08.039816
2700	9	1	0.523	0	0:00:08.043147
2800	4	4	0.1	1	0:00:08.038800
2900	3	5	0.442	0	0:00:08.041054
3000	5	5	0.953	1	0:00:08.040327
3100	0	0	0.953	1	0:00:08.033962
3200	5	5	0.935	1	0:00:08.040839
3300	4	-1	0.0	0	0:00:08.037148
3400	6	4	0.289	0	0:00:08.038877
3500	1	1	0.384	1	0:00:08.041041
3600	4	2	0.242	0	0:00:08.039832
3700	3	3	0.0489	1	0:00:08.038165
3800	9	9	0.543	1	0:00:08.040615
3900	3	6	0.335	0	0:00:08.038197
4000	8	4	0.076	0	0:00:08.037017
4100	7	7	0.953	1	0:00:08.038969
4200	4	2	0.466	0	0:00:08.035551
4300	8	8	0.953	1	0:00:08.035685
4400	3	6	0.441	0	0:00:08.037259
