idx	label	predict	radius	correct	time
0	3	3	0.801	1	0:00:08.393041
100	4	5	0.141	0	0:00:07.893845
200	5	5	0.953	1	0:00:07.916795
300	6	6	0.953	1	0:00:07.933892
400	9	9	0.953	1	0:00:07.959987
500	4	6	0.401	0	0:00:07.975399
600	8	8	0.573	1	0:00:07.987467
700	7	7	0.953	1	0:00:07.994309
800	7	7	0.953	1	0:00:08.001076
900	2	6	0.728	0	0:00:08.000946
1000	5	5	0.953	1	0:00:08.008464
1100	7	7	0.0282	1	0:00:08.023394
1200	8	8	0.57	1	0:00:08.028491
1300	4	3	0.654	0	0:00:08.022491
1400	5	5	0.42	1	0:00:08.027134
1500	1	1	0.953	1	0:00:08.034370
1600	8	9	0.0781	0	0:00:08.035380
1700	5	5	0.667	1	0:00:08.036201
1800	4	4	0.396	1	0:00:08.035965
1900	8	8	0.953	1	0:00:08.040221
2000	1	1	0.488	1	0:00:08.037639
2100	2	2	0.268	1	0:00:08.037343
2200	0	0	0.953	1	0:00:08.037270
2300	3	3	0.0409	1	0:00:08.037665
2400	0	0	0.953	1	0:00:08.041559
2500	4	6	0.291	0	0:00:08.038270
2600	8	8	0.953	1	0:00:08.042317
2700	9	9	0.127	1	0:00:08.044886
2800	4	4	0.244	1	0:00:08.040680
2900	3	5	0.253	0	0:00:08.043757
3000	5	5	0.953	1	0:00:08.043748
3100	0	0	0.953	1	0:00:08.037186
3200	5	5	0.953	1	0:00:08.044280
3300	4	4	0.231	1	0:00:08.041135
3400	6	6	0.0197	1	0:00:08.043519
3500	1	1	0.607	1	0:00:08.044796
3600	4	2	0.445	0	0:00:08.042871
3700	3	3	0.0893	1	0:00:08.043525
3800	9	9	0.935	1	0:00:08.044436
3900	3	6	0.355	0	0:00:08.042770
4000	8	9	0.0232	0	0:00:08.041089
4100	7	7	0.953	1	0:00:08.044486
4200	4	4	0.45	1	0:00:08.039317
4300	8	8	0.953	1	0:00:08.040659
4400	3	6	0.389	0	0:00:08.039071
4500	3	5	0.402	0	0:00:08.042947
4600	4	4	0.488	1	0:00:08.044608
4700	6	6	0.0164	1	0:00:08.043913
4800	9	9	0.953	1	0:00:08.044457
4900	3	-1	0.0	0	0:00:08.042206
5000	7	7	0.953	1	0:00:08.043612
5100	3	3	0.922	1	0:00:08.045465
5200	3	3	0.953	1	0:00:08.040792
5300	9	9	0.953	1	0:00:08.043196
5400	9	9	0.953	1	0:00:08.040119
5500	8	8	0.467	1	0:00:08.040284
5600	6	-1	0.0	0	0:00:08.040048
5700	3	5	0.492	0	0:00:08.043129
5800	2	2	0.8	1	0:00:08.038721
5900	4	-1	0.0	0	0:00:08.035663
6000	8	8	0.507	1	0:00:08.039195
6100	1	1	0.664	1	0:00:08.038764
6200	3	3	0.823	1	0:00:08.041404
6300	1	1	0.953	1	0:00:08.041547
6400	0	0	0.573	1	0:00:08.043830
6500	7	6	0.425	0	0:00:08.041595
6600	7	7	0.953	1	0:00:08.045555
6700	6	6	0.905	1	0:00:08.040261
6800	6	6	0.441	1	0:00:08.039369
6900	3	3	0.953	1	0:00:08.045392
7000	2	0	0.0422	0	0:00:08.038686
7100	9	2	0.239	0	0:00:08.042468
7200	4	6	0.462	0	0:00:08.037748
7300	3	4	0.204	0	0:00:08.042530
7400	3	3	0.171	1	0:00:08.041701
7500	6	6	0.953	1	0:00:08.042689
7600	8	9	0.641	0	0:00:08.039842
7700	6	6	0.953	1	0:00:08.037040
7800	0	0	0.935	1	0:00:08.036472
7900	0	2	0.189	0	0:00:08.041461
8000	9	9	0.953	1	0:00:08.039818
8100	6	2	0.881	0	0:00:08.042211
8200	3	6	0.0529	0	0:00:08.038961
8300	5	-1	0.0	0	0:00:08.036601
8400	0	0	0.513	1	0:00:08.037328
8500	4	4	0.953	1	0:00:08.034371
8600	3	5	0.622	0	0:00:08.040631
8700	3	3	0.869	1	0:00:08.039608
8800	0	0	0.953	1	0:00:08.039530
8900	2	4	0.233	0	0:00:08.040822
9000	8	8	0.953	1	0:00:08.042075
9100	9	1	0.106	0	0:00:08.041153
9200	8	8	0.73	1	0:00:08.037687
9300	5	5	0.192	1	0:00:08.040526
9400	6	6	0.953	1	0:00:08.041056
9500	9	9	0.953	1	0:00:08.043895
9600	8	8	0.665	1	0:00:08.038004
9700	0	0	0.865	1	0:00:08.038342
9800	1	1	0.953	1	0:00:08.044598
9900	8	8	0.953	1	0:00:08.038633
10000	3	3	0.789	1	0:00:08.038755
10100	4	5	0.228	0	0:00:08.037258
