idx	label	predict	radius	correct	time
0	3	3	0.774	1	0:00:08.054210
100	4	5	0.182	0	0:00:08.054158
200	5	5	0.922	1	0:00:08.060747
300	6	6	0.953	1	0:00:08.056540
400	9	9	0.953	1	0:00:08.062802
500	4	6	0.204	0	0:00:08.060772
600	8	8	0.455	1	0:00:08.061011
700	7	7	0.953	1	0:00:08.062470
800	7	7	0.953	1	0:00:08.061908
900	2	6	0.74	0	0:00:08.057597
1000	5	5	0.953	1	0:00:08.061561
1100	7	8	0.0444	0	0:00:08.062463
1200	8	8	0.289	1	0:00:08.062460
1300	4	3	0.661	0	0:00:08.057822
1400	5	5	0.298	1	0:00:08.057186
1500	1	1	0.953	1	0:00:08.063394
1600	8	9	0.0694	0	0:00:08.059844
1700	5	5	0.513	1	0:00:08.059247
1800	4	4	0.435	1	0:00:08.056878
1900	8	8	0.953	1	0:00:08.058649
2000	1	1	0.27	1	0:00:08.058668
2100	2	2	0.283	1	0:00:08.056603
2200	0	0	0.953	1	0:00:08.060622
2300	3	-1	0.0	0	0:00:08.052921
2400	0	0	0.953	1	0:00:08.058558
2500	4	6	0.0469	0	0:00:08.052676
2600	8	8	0.953	1	0:00:08.054326
2700	9	9	0.38	1	0:00:08.056434
2800	4	4	0.195	1	0:00:08.053198
2900	3	5	0.186	0	0:00:08.054320
3000	5	5	0.953	1	0:00:08.054250
3100	0	0	0.953	1	0:00:08.049756
3200	5	5	0.953	1	0:00:08.052824
3300	4	-1	0.0	0	0:00:08.049638
3400	6	6	0.167	1	0:00:08.051987
3500	1	1	0.422	1	0:00:08.052881
3600	4	2	0.707	0	0:00:08.051781
3700	3	5	0.131	0	0:00:08.049932
3800	9	9	0.784	1	0:00:08.053153
3900	3	6	0.252	0	0:00:08.048857
4000	8	9	0.0643	0	0:00:08.046870
4100	7	7	0.953	1	0:00:08.049311
4200	4	4	0.447	1	0:00:08.043269
4300	8	8	0.953	1	0:00:08.045507
4400	3	6	0.39	0	0:00:08.043643
4500	3	5	0.361	0	0:00:08.047648
4600	4	4	0.388	1	0:00:08.051284
4700	6	6	0.169	1	0:00:08.048162
4800	9	9	0.953	1	0:00:08.052320
4900	3	-1	0.0	0	0:00:08.054504
5000	7	7	0.953	1	0:00:08.053818
5100	3	3	0.953	1	0:00:08.053099
5200	3	3	0.953	1	0:00:08.050837
5300	9	9	0.816	1	0:00:08.055138
5400	9	9	0.913	1	0:00:08.055338
5500	8	8	0.561	1	0:00:08.049838
5600	6	-1	0.0	0	0:00:08.049416
5700	3	5	0.462	0	0:00:08.051667
5800	2	2	0.562	1	0:00:08.053557
5900	4	5	0.0708	0	0:00:08.049854
6000	8	8	0.627	1	0:00:08.052498
6100	1	1	0.262	1	0:00:08.054916
6200	3	3	0.742	1	0:00:08.055978
6300	1	1	0.702	1	0:00:08.056447
6400	0	0	0.354	1	0:00:08.057281
6500	7	6	0.544	0	0:00:08.055446
6600	7	7	0.953	1	0:00:08.060819
6700	6	6	0.779	1	0:00:08.056803
6800	6	6	0.31	1	0:00:08.064141
6900	3	3	0.818	1	0:00:08.061083
7000	2	0	0.232	0	0:00:08.055038
7100	9	2	0.619	0	0:00:08.059804
7200	4	6	0.445	0	0:00:08.057750
7300	3	4	0.0511	0	0:00:08.061434
7400	3	3	0.237	1	0:00:08.062742
7500	6	6	0.953	1	0:00:08.063340
7600	8	9	0.571	0	0:00:08.060566
7700	6	6	0.953	1	0:00:08.057498
7800	0	0	0.922	1	0:00:08.057974
7900	0	2	0.0236	0	0:00:08.061164
8000	9	9	0.953	1	0:00:08.059591
8100	6	2	0.704	0	0:00:08.062419
8200	3	6	0.044	0	0:00:08.068482
8300	5	-1	0.0	0	0:00:08.058971
8400	0	0	0.465	1	0:00:08.059188
8500	4	4	0.953	1	0:00:08.057050
8600	3	5	0.567	0	0:00:08.061345
8700	3	3	0.842	1	0:00:08.060041
8800	0	0	0.953	1	0:00:08.059190
8900	2	4	0.154	0	0:00:08.058025
9000	8	8	0.953	1	0:00:08.060830
9100	9	1	0.0871	0	0:00:08.059177
9200	8	8	0.74	1	0:00:08.054425
9300	5	5	0.354	1	0:00:08.059897
9400	6	6	0.953	1	0:00:08.056448
9500	9	9	0.953	1	0:00:08.058145
9600	8	8	0.475	1	0:00:08.058455
9700	0	0	0.881	1	0:00:08.056744
9800	1	1	0.953	1	0:00:08.061035
9900	8	8	0.922	1	0:00:08.055784
10000	3	3	0.886	1	0:00:08.054384
10100	4	5	0.191	0	0:00:08.050733
10200	5	5	0.913	1	0:00:08.054487
10300	6	6	0.953	1	0:00:08.050952
10400	9	9	0.953	1	0:00:08.056510
10500	4	6	0.302	0	0:00:08.051524
10600	8	8	0.589	1	0:00:08.051407
10700	7	7	0.953	1	0:00:08.050300
10800	7	7	0.953	1	0:00:08.049678
10900	2	6	0.722	0	0:00:08.046346
11000	5	5	0.953	1	0:00:08.049706
11100	7	7	0.126	1	0:00:08.049816
11200	8	8	0.2	1	0:00:08.050717
11300	4	3	0.548	0	0:00:08.042758
11400	5	5	0.269	1	0:00:08.045256
11500	1	1	0.953	1	0:00:08.049682
11600	8	9	0.112	0	0:00:08.045851
11700	5	5	0.639	1	0:00:08.046999
11800	4	4	0.355	1	0:00:08.045243
11900	8	8	0.953	1	0:00:08.048644
12000	1	1	0.229	1	0:00:08.046481
12100	2	2	0.425	1	0:00:08.046680
12200	0	0	0.953	1	0:00:08.046389
12300	3	-1	0.0	0	0:00:08.045593
12400	0	0	0.953	1	0:00:08.050710
12500	4	6	0.125	0	0:00:08.048844
12600	8	8	0.953	1	0:00:08.048790
12700	9	9	0.0373	1	0:00:08.055619
12800	4	4	0.208	1	0:00:08.050278
12900	3	5	0.407	0	0:00:08.049836
13000	5	5	0.953	1	0:00:08.050257
13100	0	0	0.953	1	0:00:08.044708
13200	5	5	0.953	1	0:00:08.051453
13300	4	4	0.042	1	0:00:08.050341
13400	6	6	0.0817	1	0:00:08.053601
13500	1	1	0.425	1	0:00:08.057767
13600	4	2	0.837	0	0:00:08.055133
13700	3	5	0.113	0	0:00:08.055667
13800	9	9	0.782	1	0:00:08.057112
13900	3	6	0.335	0	0:00:08.056045
14000	8	-1	0.0	0	0:00:08.055568
14100	7	7	0.953	1	0:00:08.058490
14200	4	4	0.43	1	0:00:08.056096
14300	8	8	0.953	1	0:00:08.057535
14400	3	6	0.329	0	0:00:08.055393
14500	3	5	0.462	0	0:00:08.060505
14600	4	4	0.734	1	0:00:08.061485
14700	6	-1	0.0	0	0:00:08.060570
14800	9	9	0.953	1	0:00:08.063954
14900	3	5	0.0132	0	0:00:08.062035
15000	7	7	0.953	1	0:00:08.063981
15100	3	3	0.953	1	0:00:08.061555
15200	3	3	0.953	1	0:00:08.061142
15300	9	9	0.953	1	0:00:08.063067
15400	9	9	0.798	1	0:00:08.062370
15500	8	8	0.521	1	0:00:08.060465
15600	6	-1	0.0	0	0:00:08.060597
15700	3	5	0.695	0	0:00:08.064100
15800	2	2	0.569	1	0:00:08.061412
15900	4	-1	0.0	0	0:00:08.058056
16000	8	8	0.568	1	0:00:08.061566
16100	1	1	0.347	1	0:00:08.062412
16200	3	3	0.892	1	0:00:08.060561
16300	1	1	0.613	1	0:00:08.061787
16400	0	0	0.0672	1	0:00:08.061196
16500	7	6	0.544	0	0:00:08.060553
16600	7	7	0.953	1	0:00:08.063131
16700	6	6	0.953	1	0:00:08.059440
16800	6	6	0.335	1	0:00:08.056825
16900	3	3	0.638	1	0:00:08.061449
17000	2	0	0.125	0	0:00:08.054972
17100	9	2	0.755	0	0:00:08.057088
17200	4	6	0.555	0	0:00:08.051806
17300	3	4	0.0485	0	0:00:08.055561
17400	3	3	0.288	1	0:00:08.054600
17500	6	6	0.953	1	0:00:08.056027
17600	8	9	0.684	0	0:00:08.050312
17700	6	6	0.953	1	0:00:08.048571
17800	0	0	0.953	1	0:00:08.048286
17900	0	2	0.466	0	0:00:08.051934
18000	9	9	0.953	1	0:00:08.052411
18100	6	2	0.77	0	0:00:08.051254
18200	3	6	0.0339	0	0:00:08.051143
18300	5	-1	0.0	0	0:00:08.049259
18400	0	0	0.454	1	0:00:08.048539
18500	4	4	0.953	1	0:00:08.045292
18600	3	5	0.537	0	0:00:08.050054
18700	3	3	0.905	1	0:00:08.048114
18800	0	0	0.953	1	0:00:08.050057
18900	2	4	0.324	0	0:00:08.046415
19000	8	8	0.953	1	0:00:08.048395
19100	9	1	0.0226	0	0:00:08.049081
19200	8	8	0.716	1	0:00:08.045724
19300	5	5	0.278	1	0:00:08.051342
19400	6	6	0.953	1	0:00:08.050356
19500	9	9	0.953	1	0:00:08.053840
19600	8	8	0.619	1	0:00:08.047745
19700	0	0	0.913	1	0:00:08.051087
19800	1	1	0.953	1	0:00:08.054898
19900	8	8	0.756	1	0:00:08.050509
20000	3	3	0.873	1	0:00:08.051286
20100	4	5	0.228	0	0:00:08.048930
20200	5	5	0.869	1	0:00:08.053830
20300	6	6	0.953	1	0:00:08.052170
20400	9	9	0.953	1	0:00:08.057620
20500	4	6	0.284	0	0:00:08.054908
20600	8	8	0.299	1	0:00:08.056681
20700	7	7	0.953	1	0:00:08.056803
20800	7	7	0.953	1	0:00:08.057080
20900	2	6	0.586	0	0:00:08.053381
21000	5	5	0.953	1	0:00:08.058001
21100	7	7	0.0547	1	0:00:08.060423
21200	8	8	0.286	1	0:00:08.059481
21300	4	3	0.587	0	0:00:08.053592
21400	5	5	0.467	1	0:00:08.056398
21500	1	1	0.953	1	0:00:08.062355
21600	8	9	0.0451	0	0:00:08.061007
21700	5	5	0.446	1	0:00:08.061439
21800	4	4	0.442	1	0:00:08.060708
21900	8	8	0.953	1	0:00:08.061276
22000	1	1	0.335	1	0:00:08.061735
22100	2	2	0.343	1	0:00:08.060463
22200	0	0	0.953	1	0:00:08.061260
22300	3	3	0.136	1	0:00:08.059300
22400	0	0	0.953	1	0:00:08.065099
22500	4	4	0.0465	1	0:00:08.062310
22600	8	8	0.953	1	0:00:08.066504
22700	9	9	0.186	1	0:00:08.067488
22800	4	4	0.144	1	0:00:08.061959
22900	3	5	0.341	0	0:00:08.064279
23000	5	5	0.953	1	0:00:08.065545
23100	0	0	0.953	1	0:00:08.058758
23200	5	5	0.935	1	0:00:08.065143
23300	4	4	0.00199	1	0:00:08.060606
23400	6	6	0.144	1	0:00:08.062003
23500	1	1	0.418	1	0:00:08.062902
23600	4	2	0.608	0	0:00:08.061471
23700	3	3	0.0821	1	0:00:08.063871
23800	9	9	0.652	1	0:00:08.061678
23900	3	6	0.293	0	0:00:08.061345
24000	8	9	0.192	0	0:00:08.059814
24100	7	7	0.953	1	0:00:08.062631
24200	4	4	0.419	1	0:00:08.056900
24300	8	8	0.953	1	0:00:08.059208
24400	3	6	0.341	0	0:00:08.054027
24500	3	5	0.413	0	0:00:08.055499
24600	4	4	0.393	1	0:00:08.057604
24700	6	-1	0.0	0	0:00:08.060356
24800	9	9	0.953	1	0:00:08.059152
24900	3	-1	0.0	0	0:00:08.055808
25000	7	7	0.953	1	0:00:08.056808
25100	3	3	0.953	1	0:00:08.055194
25200	3	3	0.953	1	0:00:08.054102
25300	9	9	0.953	1	0:00:08.055294
25400	9	9	0.913	1	0:00:08.050650
25500	8	8	0.375	1	0:00:08.050776
25600	6	-1	0.0	0	0:00:08.051678
25700	3	5	0.623	0	0:00:08.051123
25800	2	2	0.364	1	0:00:08.048645
25900	4	-1	0.0	0	0:00:08.047829
26000	8	8	0.664	1	0:00:08.049347
26100	1	1	0.271	1	0:00:08.051411
26200	3	3	0.913	1	0:00:08.050816
26300	1	1	0.524	1	0:00:08.047941
26400	0	0	0.137	1	0:00:08.050380
26500	7	6	0.622	0	0:00:08.046825
26600	7	7	0.953	1	0:00:08.051916
26700	6	6	0.922	1	0:00:08.047112
26800	6	6	0.477	1	0:00:08.043175
26900	3	3	0.715	1	0:00:08.048562
27000	2	0	0.146	0	0:00:08.045261
27100	9	2	0.552	0	0:00:08.049539
27200	4	6	0.535	0	0:00:08.044043
27300	3	4	0.209	0	0:00:08.046101
27400	3	3	0.308	1	0:00:08.046460
27500	6	6	0.953	1	0:00:08.048717
27600	8	9	0.61	0	0:00:08.044693
27700	6	6	0.953	1	0:00:08.043836
27800	0	0	0.935	1	0:00:08.041439
27900	0	2	0.187	0	0:00:08.046479
28000	9	9	0.953	1	0:00:08.048171
28100	6	2	0.799	0	0:00:08.048071
28200	3	6	0.138	0	0:00:08.047783
28300	5	-1	0.0	0	0:00:08.045404
28400	0	0	0.48	1	0:00:08.046594
28500	4	4	0.953	1	0:00:08.046497
28600	3	5	0.524	0	0:00:08.051637
28700	3	3	0.935	1	0:00:08.052381
28800	0	0	0.953	1	0:00:08.053330
28900	2	4	0.173	0	0:00:08.055145
29000	8	8	0.953	1	0:00:08.054497
29100	9	1	0.054	0	0:00:08.052157
29200	8	8	0.795	1	0:00:08.051815
29300	5	5	0.294	1	0:00:08.057181
29400	6	6	0.953	1	0:00:08.056864
29500	9	9	0.953	1	0:00:08.056710
29600	8	8	0.697	1	0:00:08.053259
29700	0	0	0.819	1	0:00:08.055476
29800	1	1	0.953	1	0:00:08.063683
29900	8	8	0.869	1	0:00:08.059135
30000	3	3	0.922	1	0:00:08.059285
30100	4	5	0.186	0	0:00:08.056551
30200	5	5	0.877	1	0:00:08.062218
30300	6	6	0.953	1	0:00:08.059164
30400	9	9	0.953	1	0:00:08.064567
30500	4	6	0.297	0	0:00:08.060220
30600	8	8	0.355	1	0:00:08.062201
30700	7	7	0.898	1	0:00:08.063813
30800	7	7	0.953	1	0:00:08.063339
30900	2	6	0.595	0	0:00:08.060591
31000	5	5	0.953	1	0:00:08.063321
31100	7	7	0.386	1	0:00:08.063859
31200	8	8	0.362	1	0:00:08.063142
31300	4	3	0.522	0	0:00:08.059839
31400	5	5	0.277	1	0:00:08.059860
31500	1	1	0.935	1	0:00:08.067961
31600	8	1	0.0778	0	0:00:08.061215
31700	5	5	0.367	1	0:00:08.063131
31800	4	4	0.164	1	0:00:08.058684
31900	8	8	0.953	1	0:00:08.057890
32000	1	1	0.179	1	0:00:08.059007
32100	2	2	0.317	1	0:00:08.061227
32200	0	0	0.953	1	0:00:08.057986
32300	3	3	0.17	1	0:00:08.056660
32400	0	0	0.898	1	0:00:08.059308
32500	4	6	0.0515	0	0:00:08.057561
32600	8	8	0.953	1	0:00:08.058615
32700	9	9	0.417	1	0:00:08.061229
32800	4	4	0.126	1	0:00:08.054647
32900	3	5	0.0287	0	0:00:08.056334
33000	5	5	0.953	1	0:00:08.056968
33100	0	0	0.953	1	0:00:08.048996
33200	5	5	0.922	1	0:00:08.056225
33300	4	4	0.348	1	0:00:08.051137
33400	6	6	0.0673	1	0:00:08.052054
33500	1	1	0.472	1	0:00:08.062408
33600	4	2	0.638	0	0:00:08.052019
33700	3	5	0.0178	0	0:00:08.051752
33800	9	9	0.801	1	0:00:08.054327
33900	3	-1	0.0	0	0:00:08.055846
34000	8	9	0.0926	0	0:00:08.052254
34100	7	7	0.953	1	0:00:08.051440
34200	4	4	0.532	1	0:00:08.044879
34300	8	8	0.953	1	0:00:08.046428
34400	3	6	0.407	0	0:00:08.044971
34500	3	5	0.28	0	0:00:08.048190
34600	4	4	0.542	1	0:00:08.050262
34700	6	6	0.165	1	0:00:08.049101
34800	9	9	0.953	1	0:00:08.052122
34900	3	6	0.0109	0	0:00:08.049128
35000	7	7	0.953	1	0:00:08.048951
35100	3	3	0.898	1	0:00:08.047465
35200	3	3	0.953	1	0:00:08.047142
35300	9	9	0.773	1	0:00:08.048020
35400	9	9	0.735	1	0:00:08.044155
35500	8	8	0.609	1	0:00:08.047382
35600	6	-1	0.0	0	0:00:08.044553
35700	3	5	0.301	0	0:00:08.048481
35800	2	2	0.0551	1	0:00:08.046406
35900	4	5	0.0744	0	0:00:08.043101
36000	8	8	0.623	1	0:00:08.049785
36100	1	1	0.195	1	0:00:08.049910
36200	3	3	0.881	1	0:00:08.049425
36300	1	1	0.58	1	0:00:08.051553
36400	0	0	0.0877	1	0:00:08.051422
36500	7	6	0.655	0	0:00:08.050656
36600	7	7	0.953	1	0:00:08.058360
36700	6	6	0.892	1	0:00:08.052473
36800	6	6	0.69	1	0:00:08.050686
36900	3	3	0.605	1	0:00:08.057352
37000	2	0	0.127	0	0:00:08.050804
37100	9	2	0.43	0	0:00:08.056114
37200	4	6	0.548	0	0:00:08.051193
37300	3	4	0.266	0	0:00:08.055749
