idx	label	predict	radius	correct	time
0	3	3	0.79	1	0:00:08.046686
100	4	5	0.222	0	0:00:08.042444
200	5	5	0.953	1	0:00:08.045783
300	6	6	0.953	1	0:00:08.043545
400	9	9	0.953	1	0:00:08.047809
500	4	6	0.393	0	0:00:08.043280
600	8	8	0.526	1	0:00:08.043710
700	7	7	0.953	1	0:00:08.043864
800	7	7	0.953	1	0:00:08.044619
900	2	6	0.743	0	0:00:08.039284
1000	5	5	0.953	1	0:00:08.041828
1100	7	8	0.0324	0	0:00:08.040984
1200	8	8	0.481	1	0:00:08.039897
1300	4	3	0.697	0	0:00:08.034155
1400	5	5	0.381	1	0:00:08.037546
1500	1	1	0.953	1	0:00:08.040639
1600	8	9	0.113	0	0:00:08.038485
1700	5	5	0.649	1	0:00:08.039933
1800	4	4	0.502	1	0:00:08.038093
1900	8	8	0.953	1	0:00:08.037010
2000	1	1	0.529	1	0:00:08.039446
2100	2	2	0.243	1	0:00:08.037889
2200	0	0	0.953	1	0:00:08.036542
2300	3	-1	0.0	0	0:00:08.037467
2400	0	0	0.953	1	0:00:08.038629
2500	4	6	0.307	0	0:00:08.034272
2600	8	8	0.953	1	0:00:08.037095
2700	9	9	0.0379	1	0:00:08.039572
2800	4	4	0.146	1	0:00:08.034527
2900	3	5	0.317	0	0:00:08.038905
3000	5	5	0.953	1	0:00:08.037418
3100	0	0	0.953	1	0:00:08.030786
3200	5	5	0.953	1	0:00:08.037272
3300	4	4	0.211	1	0:00:08.035229
3400	6	6	0.0487	1	0:00:08.035594
3500	1	1	0.685	1	0:00:08.037736
3600	4	2	0.427	0	0:00:08.038049
3700	3	3	0.0753	1	0:00:08.038066
3800	9	9	0.953	1	0:00:08.039671
3900	3	6	0.386	0	0:00:08.043375
4000	8	-1	0.0	0	0:00:08.039364
4100	7	7	0.953	1	0:00:08.043758
4200	4	4	0.464	1	0:00:08.039184
4300	8	8	0.953	1	0:00:08.040592
4400	3	6	0.398	0	0:00:08.041054
4500	3	5	0.394	0	0:00:08.045443
