idx	label	predict	radius	correct	time
0	3	3	0.798	1	0:00:08.052639
100	4	5	0.247	0	0:00:08.049938
200	5	5	0.935	1	0:00:08.052720
300	6	6	0.953	1	0:00:08.052231
400	9	9	0.953	1	0:00:08.057628
500	4	6	0.436	0	0:00:08.054019
600	8	8	0.622	1	0:00:08.056012
700	7	7	0.953	1	0:00:08.057626
800	7	7	0.953	1	0:00:08.059171
900	2	6	0.682	0	0:00:08.053432
1000	5	5	0.953	1	0:00:08.058167
1100	7	7	0.0458	1	0:00:08.058496
1200	8	8	0.594	1	0:00:08.058264
1300	4	3	0.676	0	0:00:08.050675
1400	5	5	0.414	1	0:00:08.054342
1500	1	1	0.953	1	0:00:08.060602
1600	8	9	0.114	0	0:00:08.057770
1700	5	5	0.642	1	0:00:08.057754
1800	4	4	0.384	1	0:00:08.060110
1900	8	8	0.953	1	0:00:08.056099
2000	1	1	0.507	1	0:00:08.055044
2100	2	2	0.348	1	0:00:08.055788
2200	0	0	0.953	1	0:00:08.061496
2300	3	-1	0.0	0	0:00:08.054121
2400	0	0	0.953	1	0:00:08.060196
2500	4	6	0.392	0	0:00:08.053746
2600	8	8	0.953	1	0:00:08.055572
2700	9	9	0.0833	1	0:00:08.058064
2800	4	4	0.183	1	0:00:08.054101
2900	3	5	0.334	0	0:00:08.055553
3000	5	5	0.953	1	0:00:08.053922
3100	0	0	0.953	1	0:00:08.047139
3200	5	5	0.953	1	0:00:08.053797
3300	4	4	0.245	1	0:00:08.048669
3400	6	6	0.00884	1	0:00:08.049762
3500	1	1	0.568	1	0:00:08.051137
3600	4	2	0.454	0	0:00:08.052025
3700	3	3	0.119	1	0:00:08.048942
3800	9	9	0.953	1	0:00:08.050284
3900	3	6	0.364	0	0:00:08.050792
4000	8	-1	0.0	0	0:00:08.046193
4100	7	7	0.953	1	0:00:08.050522
4200	4	4	0.448	1	0:00:08.044122
4300	8	8	0.953	1	0:00:08.043722
4400	3	6	0.43	0	0:00:08.043026
4500	3	5	0.386	0	0:00:08.044861
4600	4	4	0.455	1	0:00:08.047266
4700	6	6	0.0351	1	0:00:08.045274
4800	9	9	0.953	1	0:00:08.045845
4900	3	-1	0.0	0	0:00:08.045149
5000	7	7	0.953	1	0:00:08.046512
5100	3	3	0.953	1	0:00:08.045504
5200	3	3	0.953	1	0:00:08.042379
5300	9	9	0.953	1	0:00:08.044193
5400	9	9	0.913	1	0:00:08.042770
5500	8	8	0.588	1	0:00:08.041543
5600	6	-1	0.0	0	0:00:08.040761
5700	3	5	0.491	0	0:00:08.040302
5800	2	2	0.779	1	0:00:08.039576
5900	4	-1	0.0	0	0:00:08.037308
6000	8	8	0.596	1	0:00:08.039253
6100	1	1	0.678	1	0:00:08.040203
6200	3	3	0.835	1	0:00:08.039297
6300	1	1	0.953	1	0:00:08.039022
6400	0	0	0.565	1	0:00:08.039502
6500	7	6	0.543	0	0:00:08.037597
6600	7	7	0.953	1	0:00:08.040394
6700	6	6	0.935	1	0:00:08.037753
6800	6	6	0.395	1	0:00:08.037690
6900	3	3	0.935	1	0:00:08.043951
7000	2	-1	0.0	0	0:00:08.037205
7100	9	2	0.186	0	0:00:08.039978
7200	4	6	0.481	0	0:00:08.036615
7300	3	4	0.229	0	0:00:08.045380
7400	3	3	0.239	1	0:00:08.040741
7500	6	6	0.953	1	0:00:08.041644
7600	8	9	0.692	0	0:00:08.038446
7700	6	6	0.953	1	0:00:08.039030
7800	0	0	0.953	1	0:00:08.040059
7900	0	2	0.191	0	0:00:08.044319
8000	9	9	0.953	1	0:00:08.042395
8100	6	2	0.886	0	0:00:08.045255
8200	3	6	0.0258	0	0:00:08.045173
8300	5	-1	0.0	0	0:00:08.042978
8400	0	0	0.529	1	0:00:08.044807
8500	4	4	0.953	1	0:00:08.043644
8600	3	5	0.545	0	0:00:08.045710
8700	3	3	0.783	1	0:00:08.046172
8800	0	0	0.953	1	0:00:08.046499
8900	2	4	0.265	0	0:00:08.045186
9000	8	8	0.953	1	0:00:08.049404
9100	9	1	0.178	0	0:00:08.048946
9200	8	8	0.758	1	0:00:08.047204
9300	5	5	0.0507	1	0:00:08.051154
9400	6	6	0.953	1	0:00:08.051389
9500	9	9	0.953	1	0:00:08.054317
9600	8	8	0.668	1	0:00:08.049488
9700	0	0	0.877	1	0:00:08.050632
9800	1	1	0.953	1	0:00:08.056805
9900	8	8	0.953	1	0:00:08.054109
10000	3	3	0.722	1	0:00:08.055932
10100	4	5	0.239	0	0:00:08.051577
10200	5	5	0.953	1	0:00:08.056029
10300	6	6	0.953	1	0:00:08.054204
10400	9	9	0.953	1	0:00:08.058860
10500	4	6	0.42	0	0:00:08.055250
10600	8	8	0.473	1	0:00:08.054822
10700	7	7	0.953	1	0:00:08.056852
10800	7	7	0.953	1	0:00:08.057601
10900	2	6	0.699	0	0:00:08.054218
11000	5	5	0.953	1	0:00:08.057621
11100	7	8	0.0123	0	0:00:08.057047
11200	8	8	0.595	1	0:00:08.056860
11300	4	3	0.661	0	0:00:08.049454
11400	5	5	0.36	1	0:00:08.054956
11500	1	1	0.953	1	0:00:08.058588
11600	8	9	0.0854	0	0:00:08.055007
11700	5	5	0.624	1	0:00:08.053558
11800	4	4	0.377	1	0:00:08.052649
11900	8	8	0.953	1	0:00:08.052814
12000	1	1	0.387	1	0:00:08.053590
12100	2	2	0.27	1	0:00:08.051961
12200	0	0	0.953	1	0:00:08.050225
12300	3	6	0.00249	0	0:00:08.050564
12400	0	0	0.953	1	0:00:08.054899
12500	4	6	0.425	0	0:00:08.049936
12600	8	8	0.953	1	0:00:08.048918
12700	9	9	0.0476	1	0:00:08.053565
12800	4	4	0.0924	1	0:00:08.053519
12900	3	5	0.38	0	0:00:08.050809
13000	5	5	0.953	1	0:00:08.052526
13100	0	0	0.953	1	0:00:08.043188
13200	5	5	0.913	1	0:00:08.049416
13300	4	4	0.252	1	0:00:08.046560
13400	6	-1	0.0	0	0:00:08.046907
13500	1	1	0.631	1	0:00:08.048447
13600	4	2	0.424	0	0:00:08.046344
13700	3	3	0.117	1	0:00:08.045131
13800	9	9	0.935	1	0:00:08.048094
13900	3	6	0.357	0	0:00:08.046327
14000	8	-1	0.0	0	0:00:08.043845
14100	7	7	0.953	1	0:00:08.047689
14200	4	4	0.459	1	0:00:08.041188
14300	8	8	0.953	1	0:00:08.041682
14400	3	6	0.374	0	0:00:08.041353
14500	3	5	0.427	0	0:00:08.040854
14600	4	4	0.36	1	0:00:08.043021
14700	6	6	0.0205	1	0:00:08.041183
14800	9	9	0.953	1	0:00:08.043665
14900	3	6	0.0389	0	0:00:08.040849
15000	7	7	0.953	1	0:00:08.041034
15100	3	3	0.935	1	0:00:08.041992
15200	3	3	0.953	1	0:00:08.039928
15300	9	9	0.953	1	0:00:08.041863
15400	9	9	0.935	1	0:00:08.039897
15500	8	8	0.583	1	0:00:08.035550
15600	6	-1	0.0	0	0:00:08.033813
15700	3	5	0.51	0	0:00:08.035656
15800	2	2	0.728	1	0:00:08.034083
15900	4	-1	0.0	0	0:00:08.031390
16000	8	8	0.604	1	0:00:08.032304
16100	1	1	0.664	1	0:00:08.034554
16200	3	3	0.835	1	0:00:08.033369
16300	1	1	0.953	1	0:00:08.034356
16400	0	0	0.574	1	0:00:08.032507
16500	7	6	0.576	0	0:00:08.031173
16600	7	7	0.953	1	0:00:08.035147
16700	6	6	0.953	1	0:00:08.031679
16800	6	6	0.388	1	0:00:08.030787
16900	3	3	0.935	1	0:00:08.033869
17000	2	0	0.0259	0	0:00:08.029148
17100	9	2	0.185	0	0:00:08.032611
17200	4	6	0.453	0	0:00:08.030416
17300	3	4	0.289	0	0:00:08.030348
17400	3	3	0.221	1	0:00:08.029959
17500	6	6	0.953	1	0:00:08.030724
17600	8	9	0.647	0	0:00:08.028522
17700	6	6	0.953	1	0:00:08.024247
17800	0	0	0.953	1	0:00:08.021845
17900	0	2	0.198	0	0:00:08.026915
18000	9	9	0.953	1	0:00:08.026090
18100	6	2	0.922	0	0:00:08.025948
18200	3	-1	0.0	0	0:00:08.025208
18300	5	-1	0.0	0	0:00:08.023491
18400	0	0	0.528	1	0:00:08.025591
18500	4	4	0.953	1	0:00:08.021388
18600	3	5	0.534	0	0:00:08.025516
18700	3	3	0.761	1	0:00:08.023416
18800	0	0	0.953	1	0:00:08.022135
18900	2	4	0.25	0	0:00:08.020473
19000	8	8	0.953	1	0:00:08.022171
19100	9	1	0.0663	0	0:00:08.020959
19200	8	8	0.758	1	0:00:08.017142
19300	5	5	0.0417	1	0:00:08.026544
19400	6	6	0.953	1	0:00:08.018736
19500	9	9	0.953	1	0:00:08.019532
19600	8	8	0.571	1	0:00:08.020427
19700	0	0	0.898	1	0:00:08.017780
19800	1	1	0.953	1	0:00:08.024924
19900	8	8	0.953	1	0:00:08.020025
20000	3	3	0.739	1	0:00:08.017166
20100	4	5	0.256	0	0:00:08.012615
20200	5	5	0.935	1	0:00:08.020570
20300	6	6	0.953	1	0:00:08.021813
20400	9	9	0.953	1	0:00:08.020980
20500	4	6	0.398	0	0:00:08.017095
20600	8	8	0.469	1	0:00:08.017251
20700	7	7	0.953	1	0:00:08.019179
20800	7	7	0.953	1	0:00:08.019408
20900	2	6	0.658	0	0:00:08.016179
21000	5	5	0.953	1	0:00:08.021185
21100	7	7	0.094	1	0:00:08.023057
21200	8	8	0.548	1	0:00:08.021825
21300	4	3	0.659	0	0:00:08.015477
21400	5	5	0.412	1	0:00:08.020051
21500	1	1	0.953	1	0:00:08.025306
21600	8	9	0.138	0	0:00:08.021763
21700	5	5	0.608	1	0:00:08.022529
21800	4	4	0.356	1	0:00:08.024054
21900	8	8	0.953	1	0:00:08.024830
22000	1	1	0.405	1	0:00:08.024127
22100	2	2	0.307	1	0:00:08.026312
22200	0	0	0.953	1	0:00:08.028349
22300	3	-1	0.0	0	0:00:08.027215
22400	0	0	0.953	1	0:00:08.032350
22500	4	6	0.424	0	0:00:08.028770
22600	8	8	0.953	1	0:00:08.030734
22700	9	9	0.0608	1	0:00:08.035282
22800	4	4	0.137	1	0:00:08.029850
22900	3	5	0.304	0	0:00:08.033181
23000	5	5	0.953	1	0:00:08.033900
23100	0	0	0.953	1	0:00:08.026813
23200	5	5	0.935	1	0:00:08.033187
23300	4	4	0.188	1	0:00:08.030073
23400	6	-1	0.0	0	0:00:08.031824
23500	1	1	0.579	1	0:00:08.031967
23600	4	2	0.451	0	0:00:08.031765
23700	3	3	0.151	1	0:00:08.030514
23800	9	9	0.913	1	0:00:08.031715
23900	3	6	0.39	0	0:00:08.031793
24000	8	9	0.0311	0	0:00:08.030748
24100	7	7	0.953	1	0:00:08.033255
24200	4	4	0.407	1	0:00:08.024959
24300	8	8	0.953	1	0:00:08.027225
24400	3	6	0.475	0	0:00:08.025256
24500	3	5	0.473	0	0:00:08.030309
24600	4	4	0.354	1	0:00:08.031550
24700	6	6	0.0746	1	0:00:08.028624
24800	9	9	0.953	1	0:00:08.031752
24900	3	6	0.0336	0	0:00:08.029284
25000	7	7	0.953	1	0:00:08.030218
25100	3	3	0.953	1	0:00:08.027663
25200	3	3	0.953	1	0:00:08.029022
25300	9	9	0.953	1	0:00:08.036304
25400	9	9	0.935	1	0:00:08.024305
25500	8	8	0.547	1	0:00:08.023252
25600	6	-1	0.0	0	0:00:08.021890
25700	3	5	0.502	0	0:00:08.024580
25800	2	2	0.77	1	0:00:08.023214
25900	4	-1	0.0	0	0:00:08.019437
26000	8	8	0.616	1	0:00:08.023153
26100	1	1	0.618	1	0:00:08.024015
26200	3	3	0.862	1	0:00:08.023241
26300	1	1	0.953	1	0:00:08.023689
26400	0	0	0.592	1	0:00:08.018775
26500	7	6	0.574	0	0:00:08.018003
26600	7	7	0.953	1	0:00:08.023263
26700	6	6	0.953	1	0:00:08.020127
26800	6	6	0.372	1	0:00:08.020475
26900	3	3	0.886	1	0:00:08.024246
27000	2	0	0.013	0	0:00:08.018572
27100	9	2	0.222	0	0:00:08.023058
27200	4	6	0.49	0	0:00:08.017968
27300	3	4	0.309	0	0:00:08.019515
27400	3	3	0.248	1	0:00:08.020979
27500	6	6	0.953	1	0:00:08.023597
27600	8	9	0.741	0	0:00:08.016074
27700	6	6	0.953	1	0:00:08.016244
27800	0	0	0.953	1	0:00:08.014979
27900	0	2	0.178	0	0:00:08.018885
28000	9	9	0.953	1	0:00:08.016605
28100	6	2	0.898	0	0:00:08.016775
28200	3	6	0.0291	0	0:00:08.017554
28300	5	-1	0.0	0	0:00:08.014706
28400	0	0	0.533	1	0:00:08.015836
28500	4	4	0.953	1	0:00:08.014291
28600	3	5	0.498	0	0:00:08.017549
28700	3	3	0.807	1	0:00:08.015586
28800	0	0	0.953	1	0:00:08.015207
