idx	label	predict	radius	correct	time
0	3	3	0.781	1	0:00:08.046436
100	4	5	0.243	0	0:00:08.046208
200	5	5	0.953	1	0:00:08.050085
300	6	6	0.953	1	0:00:08.048250
400	9	9	0.953	1	0:00:08.053906
500	4	6	0.289	0	0:00:08.050267
600	8	8	0.554	1	0:00:08.051882
700	7	7	0.953	1	0:00:08.051703
800	7	7	0.953	1	0:00:08.051374
900	2	6	0.682	0	0:00:08.048764
1000	5	5	0.953	1	0:00:08.053925
1100	7	7	0.0567	1	0:00:08.054025
1200	8	8	0.58	1	0:00:08.053677
1300	4	3	0.675	0	0:00:08.047454
1400	5	5	0.438	1	0:00:08.049915
1500	1	1	0.953	1	0:00:08.058371
1600	8	9	0.142	0	0:00:08.053168
1700	5	5	0.665	1	0:00:08.053596
1800	4	4	0.435	1	0:00:08.053422
1900	8	8	0.953	1	0:00:08.054784
2000	1	1	0.481	1	0:00:08.054671
2100	2	2	0.32	1	0:00:08.056025
2200	0	0	0.953	1	0:00:08.053668
2300	3	-1	0.0	0	0:00:08.050317
2400	0	0	0.953	1	0:00:08.054775
2500	4	6	0.199	0	0:00:08.053113
2600	8	8	0.953	1	0:00:08.054140
2700	9	9	0.0516	1	0:00:08.058882
2800	4	4	0.225	1	0:00:08.055425
2900	3	5	0.336	0	0:00:08.062904
3000	5	5	0.953	1	0:00:08.058140
3100	0	0	0.953	1	0:00:08.050552
3200	5	5	0.913	1	0:00:08.055740
3300	4	4	0.229	1	0:00:08.055735
3400	6	-1	0.0	0	0:00:08.055574
3500	1	1	0.542	1	0:00:08.055637
3600	4	2	0.417	0	0:00:08.055164
3700	3	3	0.101	1	0:00:08.052470
3800	9	9	0.953	1	0:00:08.052710
3900	3	6	0.356	0	0:00:08.052295
4000	8	9	0.0269	0	0:00:08.050948
4100	7	7	0.953	1	0:00:08.057702
4200	4	4	0.429	1	0:00:08.047939
4300	8	8	0.953	1	0:00:08.046909
4400	3	6	0.353	0	0:00:08.048412
4500	3	5	0.427	0	0:00:08.050077
4600	4	4	0.424	1	0:00:08.049393
4700	6	6	0.13	1	0:00:08.047462
4800	9	9	0.953	1	0:00:08.047763
4900	3	-1	0.0	0	0:00:08.049785
5000	7	7	0.953	1	0:00:08.055264
5100	3	3	0.935	1	0:00:08.048209
5200	3	3	0.953	1	0:00:08.045577
5300	9	9	0.922	1	0:00:08.047561
5400	9	9	0.839	1	0:00:08.042684
5500	8	8	0.543	1	0:00:08.043329
5600	6	-1	0.0	0	0:00:08.042533
5700	3	5	0.483	0	0:00:08.044299
5800	2	2	0.799	1	0:00:08.041466
5900	4	-1	0.0	0	0:00:08.041116
6000	8	8	0.629	1	0:00:08.040844
6100	1	1	0.584	1	0:00:08.040055
6200	3	3	0.837	1	0:00:08.039613
6300	1	1	0.953	1	0:00:08.041361
6400	0	0	0.684	1	0:00:08.040481
6500	7	6	0.437	0	0:00:08.037302
6600	7	7	0.953	1	0:00:08.041360
6700	6	6	0.913	1	0:00:08.038581
6800	6	6	0.44	1	0:00:08.034676
6900	3	3	0.913	1	0:00:08.040456
7000	2	0	0.00917	0	0:00:08.034687
7100	9	2	0.302	0	0:00:08.037676
7200	4	6	0.477	0	0:00:08.033344
7300	3	4	0.268	0	0:00:08.037991
7400	3	3	0.175	1	0:00:08.039479
7500	6	6	0.953	1	0:00:08.039569
7600	8	9	0.608	0	0:00:08.034396
7700	6	6	0.953	1	0:00:08.034759
7800	0	0	0.935	1	0:00:08.035299
7900	0	2	0.0865	0	0:00:08.037813
8000	9	9	0.953	1	0:00:08.037224
8100	6	2	0.842	0	0:00:08.038815
8200	3	6	0.0652	0	0:00:08.040249
8300	5	-1	0.0	0	0:00:08.036214
8400	0	0	0.516	1	0:00:08.037225
8500	4	4	0.953	1	0:00:08.036277
8600	3	5	0.538	0	0:00:08.040092
8700	3	3	0.81	1	0:00:08.040687
8800	0	0	0.953	1	0:00:08.040715
8900	2	4	0.26	0	0:00:08.040193
9000	8	8	0.953	1	0:00:08.044420
9100	9	1	0.129	0	0:00:08.043097
9200	8	8	0.748	1	0:00:08.041191
9300	5	5	0.202	1	0:00:08.046389
9400	6	6	0.953	1	0:00:08.044029
9500	9	9	0.953	1	0:00:08.045915
9600	8	8	0.684	1	0:00:08.043788
9700	0	0	0.905	1	0:00:08.046176
9800	1	1	0.953	1	0:00:08.050640
9900	8	8	0.953	1	0:00:08.046015
10000	3	3	0.835	1	0:00:08.047414
10100	4	5	0.217	0	0:00:08.044967
10200	5	5	0.953	1	0:00:08.049321
10300	6	6	0.953	1	0:00:08.047415
10400	9	9	0.953	1	0:00:08.051011
