idx	label	predict	radius	correct	time
0	3	3	0.819	1	0:00:08.060576
100	4	5	0.256	0	0:00:08.056240
200	5	5	0.953	1	0:00:08.062946
300	6	6	0.953	1	0:00:08.059931
400	9	9	0.953	1	0:00:08.065553
500	4	6	0.366	0	0:00:08.063920
600	8	8	0.503	1	0:00:08.063296
700	7	7	0.953	1	0:00:08.064065
800	7	7	0.953	1	0:00:08.064731
900	2	6	0.724	0	0:00:08.066344
1000	5	5	0.953	1	0:00:08.067069
1100	7	7	0.121	1	0:00:08.066293
1200	8	8	0.579	1	0:00:08.065481
1300	4	3	0.671	0	0:00:08.060519
1400	5	5	0.429	1	0:00:08.062375
1500	1	1	0.953	1	0:00:08.068665
1600	8	9	0.099	0	0:00:08.066331
1700	5	5	0.686	1	0:00:08.065939
1800	4	4	0.442	1	0:00:08.065963
1900	8	8	0.953	1	0:00:08.066580
2000	1	1	0.462	1	0:00:08.065254
2100	2	2	0.276	1	0:00:08.064631
2200	0	0	0.953	1	0:00:08.064178
2300	3	-1	0.0	0	0:00:08.065141
2400	0	0	0.953	1	0:00:08.066185
2500	4	6	0.252	0	0:00:08.062392
2600	8	8	0.953	1	0:00:08.062651
2700	9	9	0.0868	1	0:00:08.066456
2800	4	4	0.254	1	0:00:08.062162
2900	3	5	0.316	0	0:00:08.062996
3000	5	5	0.953	1	0:00:08.061586
3100	0	0	0.953	1	0:00:08.055010
3200	5	5	0.905	1	0:00:08.061101
3300	4	4	0.258	1	0:00:08.057493
3400	6	6	0.0435	1	0:00:08.058323
3500	1	1	0.656	1	0:00:08.060265
3600	4	2	0.453	0	0:00:08.060293
3700	3	3	0.14	1	0:00:08.057450
3800	9	9	0.913	1	0:00:08.058286
3900	3	6	0.375	0	0:00:08.056833
4000	8	9	0.00321	0	0:00:08.054461
4100	7	7	0.953	1	0:00:08.057220
4200	4	4	0.488	1	0:00:08.050826
4300	8	8	0.953	1	0:00:08.052009
4400	3	6	0.429	0	0:00:08.050879
4500	3	5	0.426	0	0:00:08.054530
4600	4	4	0.407	1	0:00:08.055453
4700	6	6	0.069	1	0:00:08.053039
4800	9	9	0.953	1	0:00:08.055884
4900	3	-1	0.0	0	0:00:08.054162
5000	7	7	0.953	1	0:00:08.056611
5100	3	3	0.953	1	0:00:08.054344
5200	3	3	0.953	1	0:00:08.054751
5300	9	9	0.953	1	0:00:08.056037
5400	9	9	0.953	1	0:00:08.053671
5500	8	8	0.524	1	0:00:08.055965
5600	6	-1	0.0	0	0:00:08.056004
5700	3	5	0.483	0	0:00:08.057064
5800	2	2	0.74	1	0:00:08.055295
5900	4	-1	0.0	0	0:00:08.053059
6000	8	8	0.581	1	0:00:08.056634
6100	1	1	0.706	1	0:00:08.058722
6200	3	3	0.839	1	0:00:08.059159
6300	1	1	0.953	1	0:00:08.061019
6400	0	0	0.602	1	0:00:08.060971
6500	7	6	0.449	0	0:00:08.059056
6600	7	7	0.953	1	0:00:08.063474
6700	6	6	0.913	1	0:00:08.061394
6800	6	6	0.412	1	0:00:08.059804
6900	3	3	0.953	1	0:00:08.065358
7000	2	0	0.00162	0	0:00:08.061284
7100	9	2	0.232	0	0:00:08.066772
7200	4	6	0.441	0	0:00:08.059690
7300	3	4	0.183	0	0:00:08.063935
7400	3	3	0.186	1	0:00:08.064200
7500	6	6	0.953	1	0:00:08.066839
7600	8	9	0.632	0	0:00:08.062352
7700	6	6	0.953	1	0:00:08.061956
7800	0	0	0.935	1	0:00:08.060528
7900	0	2	0.219	0	0:00:08.064412
8000	9	9	0.953	1	0:00:08.064640
8100	6	2	0.839	0	0:00:08.065157
8200	3	6	0.0454	0	0:00:08.065934
8300	5	-1	0.0	0	0:00:08.064063
8400	0	0	0.545	1	0:00:08.064268
8500	4	4	0.922	1	0:00:08.061270
8600	3	5	0.553	0	0:00:08.065716
8700	3	3	0.81	1	0:00:08.063623
8800	0	0	0.953	1	0:00:08.063215
8900	2	4	0.279	0	0:00:08.062427
9000	8	8	0.953	1	0:00:08.062927
9100	9	1	0.116	0	0:00:08.062173
9200	8	8	0.753	1	0:00:08.059185
9300	5	5	0.184	1	0:00:08.062933
9400	6	6	0.953	1	0:00:08.062098
9500	9	9	0.953	1	0:00:08.064320
9600	8	8	0.697	1	0:00:08.060038
9700	0	0	0.898	1	0:00:08.061760
9800	1	1	0.953	1	0:00:08.065654
9900	8	8	0.953	1	0:00:08.060482
10000	3	3	0.75	1	0:00:08.060052
10100	4	5	0.195	0	0:00:08.055736
10200	5	5	0.953	1	0:00:08.058033
10300	6	6	0.953	1	0:00:08.055652
10400	9	9	0.953	1	0:00:08.061701
10500	4	6	0.371	0	0:00:08.055578
10600	8	8	0.527	1	0:00:08.057745
10700	7	7	0.953	1	0:00:08.055562
10800	7	7	0.953	1	0:00:08.053986
10900	2	6	0.754	0	0:00:08.051027
11000	5	5	0.953	1	0:00:08.054942
11100	7	-1	0.0	0	0:00:08.053696
11200	8	8	0.613	1	0:00:08.054694
11300	4	3	0.631	0	0:00:08.045964
11400	5	5	0.371	1	0:00:08.049715
11500	1	1	0.953	1	0:00:08.055045
11600	8	9	0.109	0	0:00:08.050344
11700	5	5	0.702	1	0:00:08.050052
11800	4	4	0.403	1	0:00:08.048530
11900	8	8	0.953	1	0:00:08.049702
12000	1	1	0.53	1	0:00:08.049491
12100	2	2	0.223	1	0:00:08.050316
12200	0	0	0.953	1	0:00:08.047063
12300	3	-1	0.0	0	0:00:08.045705
12400	0	0	0.953	1	0:00:08.049911
12500	4	6	0.335	0	0:00:08.047366
12600	8	8	0.953	1	0:00:08.048862
12700	9	9	0.0452	1	0:00:08.057609
12800	4	4	0.21	1	0:00:08.049569
12900	3	5	0.28	0	0:00:08.053589
13000	5	5	0.953	1	0:00:08.053888
13100	0	0	0.953	1	0:00:08.047712
13200	5	5	0.898	1	0:00:08.053524
13300	4	4	0.26	1	0:00:08.052645
13400	6	-1	0.0	0	0:00:08.052738
13500	1	1	0.614	1	0:00:08.057289
13600	4	2	0.486	0	0:00:08.056090
13700	3	3	0.07	1	0:00:08.055217
13800	9	9	0.881	1	0:00:08.058212
13900	3	6	0.296	0	0:00:08.056939
14000	8	-1	0.0	0	0:00:08.056324
14100	7	7	0.953	1	0:00:08.060554
14200	4	4	0.489	1	0:00:08.056001
14300	8	8	0.953	1	0:00:08.056984
14400	3	6	0.445	0	0:00:08.058198
14500	3	5	0.423	0	0:00:08.059665
14600	4	4	0.4	1	0:00:08.060134
14700	6	6	0.0622	1	0:00:08.060697
14800	9	9	0.953	1	0:00:08.064027
14900	3	-1	0.0	0	0:00:08.063246
15000	7	7	0.953	1	0:00:08.066717
15100	3	3	0.935	1	0:00:08.064656
15200	3	3	0.953	1	0:00:08.064714
15300	9	9	0.953	1	0:00:08.067573
15400	9	9	0.953	1	0:00:08.064151
15500	8	8	0.461	1	0:00:08.065099
15600	6	-1	0.0	0	0:00:08.067762
15700	3	5	0.47	0	0:00:08.068015
15800	2	2	0.773	1	0:00:08.067462
15900	4	-1	0.0	0	0:00:08.062719
16000	8	8	0.589	1	0:00:08.067081
16100	1	1	0.634	1	0:00:08.067556
16200	3	3	0.881	1	0:00:08.066411
16300	1	1	0.953	1	0:00:08.068278
16400	0	0	0.596	1	0:00:08.066298
16500	7	6	0.406	0	0:00:08.067147
16600	7	7	0.953	1	0:00:08.069991
16700	6	6	0.905	1	0:00:08.068802
16800	6	6	0.358	1	0:00:08.066251
16900	3	3	0.953	1	0:00:08.071843
17000	2	0	0.0949	0	0:00:08.065844
17100	9	2	0.215	0	0:00:08.069759
17200	4	6	0.506	0	0:00:08.064862
17300	3	4	0.174	0	0:00:08.068946
17400	3	3	0.146	1	0:00:08.066496
17500	6	6	0.953	1	0:00:08.071692
17600	8	9	0.658	0	0:00:08.063803
17700	6	6	0.953	1	0:00:08.060943
17800	0	0	0.935	1	0:00:08.059829
17900	0	2	0.21	0	0:00:08.071725
18000	9	9	0.953	1	0:00:08.062593
18100	6	2	0.795	0	0:00:08.063350
18200	3	6	0.0294	0	0:00:08.061362
18300	5	-1	0.0	0	0:00:08.065325
18400	0	0	0.484	1	0:00:08.058399
18500	4	4	0.953	1	0:00:08.055634
18600	3	5	0.559	0	0:00:08.059134
18700	3	3	0.858	1	0:00:08.058130
18800	0	0	0.953	1	0:00:08.058191
18900	2	4	0.295	0	0:00:08.053962
19000	8	8	0.953	1	0:00:08.056772
19100	9	1	0.145	0	0:00:08.055106
19200	8	8	0.813	1	0:00:08.051682
19300	5	5	0.115	1	0:00:08.062545
19400	6	6	0.953	1	0:00:08.053706
19500	9	9	0.953	1	0:00:08.053048
19600	8	8	0.587	1	0:00:08.051721
19700	0	0	0.935	1	0:00:08.054419
19800	1	1	0.953	1	0:00:08.056999
19900	8	8	0.953	1	0:00:08.052131
20000	3	3	0.771	1	0:00:08.052087
20100	4	5	0.115	0	0:00:08.048701
20200	5	5	0.953	1	0:00:08.055167
20300	6	6	0.953	1	0:00:08.053332
20400	9	9	0.953	1	0:00:08.055566
20500	4	6	0.464	0	0:00:08.053771
20600	8	8	0.461	1	0:00:08.054666
20700	7	7	0.953	1	0:00:08.056506
20800	7	7	0.953	1	0:00:08.054800
20900	2	6	0.658	0	0:00:08.050756
21000	5	5	0.953	1	0:00:08.054773
21100	7	-1	0.0	0	0:00:08.056682
