idx	label	predict	radius	correct	time
0	3	3	0.784	1	0:00:08.056461
100	4	5	0.182	0	0:00:08.053871
200	5	5	0.953	1	0:00:08.058084
300	6	6	0.953	1	0:00:08.055494
400	9	9	0.953	1	0:00:08.063353
500	4	6	0.385	0	0:00:08.057012
600	8	8	0.454	1	0:00:08.057112
700	7	7	0.953	1	0:00:08.058123
800	7	7	0.953	1	0:00:08.057445
900	2	6	0.532	0	0:00:08.053830
1000	5	5	0.953	1	0:00:08.057312
1100	7	8	0.149	0	0:00:08.055779
1200	8	8	0.793	1	0:00:08.057047
1300	4	3	0.552	0	0:00:08.047856
1400	5	5	0.715	1	0:00:08.050641
1500	1	1	0.935	1	0:00:08.056999
1600	8	1	0.0651	0	0:00:08.054339
1700	5	5	0.768	1	0:00:08.052254
1800	4	4	0.119	1	0:00:08.051004
1900	8	8	0.953	1	0:00:08.051062
2000	1	1	0.718	1	0:00:08.052832
2100	2	2	0.404	1	0:00:08.049162
2200	0	0	0.953	1	0:00:08.047181
2300	3	3	0.0503	1	0:00:08.043780
2400	0	0	0.953	1	0:00:08.050031
2500	4	6	0.21	0	0:00:08.047381
2600	8	8	0.953	1	0:00:08.046942
2700	9	1	0.0701	0	0:00:08.051044
2800	4	4	0.327	1	0:00:08.044499
2900	3	5	0.482	0	0:00:08.045310
3000	5	5	0.953	1	0:00:08.051156
3100	0	0	0.953	1	0:00:08.039544
3200	5	5	0.881	1	0:00:08.046018
3300	4	4	0.233	1	0:00:08.043121
3400	6	-1	0.0	0	0:00:08.044020
3500	1	1	0.46	1	0:00:08.046236
3600	4	2	0.562	0	0:00:08.043817
3700	3	5	0.0413	0	0:00:08.043746
3800	9	9	0.787	1	0:00:08.043843
3900	3	6	0.168	0	0:00:08.044679
4000	8	-1	0.0	0	0:00:08.043474
4100	7	7	0.953	1	0:00:08.047052
4200	4	4	0.331	1	0:00:08.042820
4300	8	8	0.953	1	0:00:08.046134
4400	3	6	0.14	0	0:00:08.044703
4500	3	5	0.0854	0	0:00:08.046780
4600	4	4	0.551	1	0:00:08.049926
4700	6	5	0.0434	0	0:00:08.048785
4800	9	9	0.953	1	0:00:08.051451
4900	3	6	0.0506	0	0:00:08.050019
5000	7	7	0.953	1	0:00:08.052411
5100	3	3	0.953	1	0:00:08.051481
5200	3	3	0.953	1	0:00:08.050337
5300	9	9	0.953	1	0:00:08.052117
5400	9	9	0.905	1	0:00:08.050562
5500	8	8	0.714	1	0:00:08.050546
5600	6	-1	0.0	0	0:00:08.052886
5700	3	5	0.528	0	0:00:08.054072
5800	2	2	0.844	1	0:00:08.053586
5900	4	5	0.163	0	0:00:08.052533
6000	8	8	0.654	1	0:00:08.055038
6100	1	1	0.615	1	0:00:08.056067
6200	3	3	0.953	1	0:00:08.057195
6300	1	1	0.953	1	0:00:08.057129
6400	0	0	0.356	1	0:00:08.057301
6500	7	6	0.466	0	0:00:08.058151
6600	7	7	0.953	1	0:00:08.062427
6700	6	6	0.935	1	0:00:08.060777
6800	6	6	0.599	1	0:00:08.057335
6900	3	3	0.755	1	0:00:08.064290
7000	2	8	0.0462	0	0:00:08.056765
7100	9	9	0.0103	1	0:00:08.061248
7200	4	6	0.262	0	0:00:08.055959
7300	3	4	0.272	0	0:00:08.059988
7400	3	3	0.631	1	0:00:08.060658
7500	6	6	0.953	1	0:00:08.062696
7600	8	9	0.614	0	0:00:08.058789
7700	6	6	0.953	1	0:00:08.057326
7800	0	0	0.935	1	0:00:08.055421
7900	0	2	0.0187	0	0:00:08.059613
8000	9	9	0.953	1	0:00:08.059680
