idx	label	predict	radius	correct	time
0	3	3	0.935	1	0:00:08.055210
100	4	5	0.204	0	0:00:08.057699
200	5	5	0.922	1	0:00:08.060950
300	6	6	0.953	1	0:00:08.060233
400	9	9	0.953	1	0:00:08.065068
500	4	6	0.206	0	0:00:08.063493
600	8	8	0.226	1	0:00:08.062925
700	7	7	0.953	1	0:00:08.063937
800	7	7	0.953	1	0:00:08.063282
900	2	6	0.704	0	0:00:08.060593
1000	5	5	0.953	1	0:00:08.065628
1100	7	7	0.0428	1	0:00:08.062750
1200	8	8	0.0316	1	0:00:08.063464
1300	4	3	0.579	0	0:00:08.057915
1400	5	5	0.443	1	0:00:08.059164
1500	1	1	0.953	1	0:00:08.063972
1600	8	1	0.00999	0	0:00:08.063399
1700	5	5	0.593	1	0:00:08.061542
1800	4	4	0.366	1	0:00:08.059120
1900	8	8	0.953	1	0:00:08.059597
2000	1	1	0.351	1	0:00:08.059824
2100	2	2	0.362	1	0:00:08.059325
2200	0	0	0.953	1	0:00:08.058567
2300	3	-1	0.0	0	0:00:08.054656
2400	0	0	0.953	1	0:00:08.060245
2500	4	4	0.107	1	0:00:08.056423
2600	8	8	0.953	1	0:00:08.057516
2700	9	9	0.143	1	0:00:08.057769
2800	4	4	0.171	1	0:00:08.052132
2900	3	5	0.368	0	0:00:08.056262
3000	5	5	0.953	1	0:00:08.054115
3100	0	0	0.953	1	0:00:08.048570
3200	5	5	0.953	1	0:00:08.053580
3300	4	4	0.151	1	0:00:08.053205
3400	6	6	0.0774	1	0:00:08.055834
3500	1	1	0.13	1	0:00:08.054170
3600	4	2	0.559	0	0:00:08.050428
3700	3	3	0.128	1	0:00:08.051171
3800	9	9	0.739	1	0:00:08.051158
3900	3	6	0.258	0	0:00:08.050856
4000	8	-1	0.0	0	0:00:08.050368
4100	7	7	0.953	1	0:00:08.050889
4200	4	4	0.435	1	0:00:08.047530
4300	8	8	0.953	1	0:00:08.049356
4400	3	6	0.247	0	0:00:08.047882
4500	3	5	0.373	0	0:00:08.049331
4600	4	4	0.653	1	0:00:08.051420
4700	6	6	0.0518	1	0:00:08.049311
4800	9	9	0.953	1	0:00:08.051783
4900	3	-1	0.0	0	0:00:08.048490
5000	7	7	0.953	1	0:00:08.052943
5100	3	3	0.953	1	0:00:08.048099
5200	3	3	0.953	1	0:00:08.045422
5300	9	9	0.898	1	0:00:08.046608
5400	9	9	0.892	1	0:00:08.045805
5500	8	8	0.594	1	0:00:08.045920
5600	6	-1	0.0	0	0:00:08.045574
5700	3	5	0.538	0	0:00:08.048056
5800	2	2	0.448	1	0:00:08.046801
5900	4	-1	0.0	0	0:00:08.044545
6000	8	8	0.79	1	0:00:08.047813
6100	1	1	0.334	1	0:00:08.050992
6200	3	3	0.881	1	0:00:08.057225
6300	1	1	0.898	1	0:00:08.053762
6400	0	8	0.137	0	0:00:08.049712
6500	7	6	0.575	0	0:00:08.049892
6600	7	7	0.953	1	0:00:08.054703
6700	6	6	0.741	1	0:00:08.056357
6800	6	6	0.449	1	0:00:08.051436
6900	3	3	0.855	1	0:00:08.056448
7000	2	0	0.049	0	0:00:08.051702
7100	9	2	0.483	0	0:00:08.057952
7200	4	6	0.439	0	0:00:08.052510
7300	3	4	0.13	0	0:00:08.055792
7400	3	3	0.314	1	0:00:08.055990
7500	6	6	0.953	1	0:00:08.058851
7600	8	9	0.63	0	0:00:08.062539
7700	6	6	0.953	1	0:00:08.054930
7800	0	0	0.953	1	0:00:08.057939
7900	0	2	0.273	0	0:00:08.061217
8000	9	9	0.953	1	0:00:08.062193
8100	6	2	0.862	0	0:00:08.061930
8200	3	6	0.0346	0	0:00:08.060995
8300	5	-1	0.0	0	0:00:08.058712
8400	0	0	0.42	1	0:00:08.060185
8500	4	4	0.953	1	0:00:08.059525
8600	3	5	0.537	0	0:00:08.063949
8700	3	3	0.818	1	0:00:08.061440
8800	0	0	0.953	1	0:00:08.061521
8900	2	4	0.175	0	0:00:08.060592
9000	8	8	0.953	1	0:00:08.063498
9100	9	1	0.113	0	0:00:08.062301
9200	8	8	0.7	1	0:00:08.058117
9300	5	5	0.39	1	0:00:08.063482
9400	6	6	0.953	1	0:00:08.063370
9500	9	9	0.953	1	0:00:08.066398
9600	8	8	0.818	1	0:00:08.059474
9700	0	0	0.862	1	0:00:08.059376
9800	1	1	0.953	1	0:00:08.063935
9900	8	8	0.953	1	0:00:08.060200
10000	3	3	0.935	1	0:00:08.059128
10100	4	5	0.19	0	0:00:08.055749
10200	5	5	0.922	1	0:00:08.061747
10300	6	6	0.953	1	0:00:08.059832
10400	9	9	0.953	1	0:00:08.061288
10500	4	6	0.117	0	0:00:08.055140
10600	8	8	0.147	1	0:00:08.054249
10700	7	7	0.953	1	0:00:08.054573
10800	7	7	0.953	1	0:00:08.053715
10900	2	6	0.772	0	0:00:08.051151
11000	5	5	0.953	1	0:00:08.051450
11100	7	-1	0.0	0	0:00:08.052372
11200	8	8	0.00734	1	0:00:08.050064
11300	4	3	0.577	0	0:00:08.045299
11400	5	5	0.437	1	0:00:08.047460
11500	1	1	0.953	1	0:00:08.052639
11600	8	1	0.00139	0	0:00:08.049342
11700	5	5	0.594	1	0:00:08.052084
11800	4	4	0.395	1	0:00:08.050049
11900	8	8	0.953	1	0:00:08.052998
12000	1	1	0.209	1	0:00:08.050187
12100	2	2	0.398	1	0:00:08.050129
12200	0	0	0.953	1	0:00:08.052747
12300	3	-1	0.0	0	0:00:08.049229
12400	0	0	0.953	1	0:00:08.054605
12500	4	4	0.129	1	0:00:08.051476
12600	8	8	0.953	1	0:00:08.053959
