idx	label	predict	radius	correct	time
0	3	3	0.427	1	0:00:08.125444
100	4	5	0.0148	0	0:00:08.124002
200	5	5	0.321	1	0:00:08.127366
300	6	6	0.913	1	0:00:08.127410
400	9	9	0.804	1	0:00:08.125936
500	4	3	0.0214	0	0:00:08.126114
600	8	8	0.634	1	0:00:08.127472
700	7	7	0.922	1	0:00:08.125745
800	7	7	0.953	1	0:00:08.128029
900	2	6	0.0547	0	0:00:08.124318
1000	5	5	0.953	1	0:00:08.127608
1100	7	0	0.0717	0	0:00:08.125926
1200	8	8	0.435	1	0:00:08.128188
1300	4	3	0.143	0	0:00:08.121116
1400	5	5	0.0134	1	0:00:08.124196
1500	1	1	0.61	1	0:00:08.131088
1600	8	-1	0.0	0	0:00:08.128506
1700	5	-1	0.0	0	0:00:08.128806
1800	4	4	0.439	1	0:00:08.129042
1900	8	8	0.922	1	0:00:08.126417
2000	1	1	0.713	1	0:00:08.132894
2100	2	2	0.606	1	0:00:08.133143
2200	0	0	0.225	1	0:00:08.132400
2300	3	3	0.00108	1	0:00:08.133394
2400	0	0	0.953	1	0:00:08.132075
2500	4	4	0.113	1	0:00:08.135539
2600	8	8	0.873	1	0:00:08.138069
2700	9	1	0.0335	0	0:00:08.143018
2800	4	4	0.394	1	0:00:08.139667
2900	3	7	0.0956	0	0:00:08.143865
3000	5	5	0.747	1	0:00:08.142970
3100	0	0	0.585	1	0:00:08.137470
3200	5	5	0.638	1	0:00:08.145008
3300	4	4	0.321	1	0:00:08.142142
3400	6	4	0.466	0	0:00:08.157727
3500	1	1	0.0353	1	0:00:08.160253
3600	4	2	0.481	0	0:00:08.161550
3700	3	3	0.672	1	0:00:08.158886
3800	9	9	0.695	1	0:00:08.162439
3900	3	3	0.0855	1	0:00:08.158399
4000	8	-1	0.0	0	0:00:08.161415
4100	7	7	0.953	1	0:00:08.164602
4200	4	4	0.152	1	0:00:08.158262
4300	8	8	0.623	1	0:00:08.160839
4400	3	-1	0.0	0	0:00:08.161625
4500	3	5	0.0654	0	0:00:08.163630
4600	4	4	0.538	1	0:00:08.165372
4700	6	5	0.246	0	0:00:08.163800
4800	9	9	0.953	1	0:00:08.167337
4900	3	3	0.633	1	0:00:08.165869
5000	7	7	0.953	1	0:00:08.169670
5100	3	3	0.654	1	0:00:08.164524
5200	3	3	0.522	1	0:00:08.161220
5300	9	9	0.753	1	0:00:08.167500
5400	9	9	0.729	1	0:00:08.160279
5500	8	8	0.361	1	0:00:08.161156
5600	6	6	0.143	1	0:00:08.160089
5700	3	3	0.592	1	0:00:08.161238
5800	2	2	0.542	1	0:00:08.159086
5900	4	3	0.159	0	0:00:08.154362
6000	8	8	0.474	1	0:00:08.156253
6100	1	1	0.922	1	0:00:08.156824
6200	3	3	0.0638	1	0:00:08.155577
6300	1	1	0.723	1	0:00:08.157809
6400	0	0	0.512	1	0:00:08.157046
6500	7	-1	0.0	0	0:00:08.153425
6600	7	7	0.953	1	0:00:08.156864
6700	6	6	0.816	1	0:00:08.155163
6800	6	-1	0.0	0	0:00:08.155119
6900	3	3	0.57	1	0:00:08.156230
7000	2	0	0.0372	0	0:00:08.151626
7100	9	3	0.00999	0	0:00:08.154508
7200	4	4	0.0939	1	0:00:08.149021
7300	3	-1	0.0	0	0:00:08.149646
7400	3	5	0.329	0	0:00:08.149689
7500	6	6	0.953	1	0:00:08.151554
7600	8	2	0.057	0	0:00:08.148900
7700	6	6	0.877	1	0:00:08.146936
7800	0	0	0.637	1	0:00:08.141999
7900	0	0	0.0574	1	0:00:08.147723
8000	9	9	0.706	1	0:00:08.143829
8100	6	-1	0.0	0	0:00:08.146537
8200	3	-1	0.0	0	0:00:08.145380
8300	5	-1	0.0	0	0:00:08.143356
8400	0	0	0.19	1	0:00:08.145327
8500	4	4	0.583	1	0:00:08.142737
8600	3	2	0.0234	0	0:00:08.145342
8700	3	3	0.572	1	0:00:08.144294
8800	0	0	0.935	1	0:00:08.139082
8900	2	4	0.134	0	0:00:08.145261
9000	8	8	0.953	1	0:00:08.142835
9100	9	1	0.256	0	0:00:08.141898
9200	8	8	0.855	1	0:00:08.139159
9300	5	5	0.032	1	0:00:08.147139
9400	6	6	0.953	1	0:00:08.147697
9500	9	9	0.594	1	0:00:08.142544
9600	8	8	0.393	1	0:00:08.134570
9700	0	0	0.682	1	0:00:08.135148
9800	1	1	0.953	1	0:00:08.141214
9900	8	8	0.935	1	0:00:08.138003
