idx	label	predict	radius	correct	time
0	3	3	0.869	1	0:00:08.073610
100	4	2	0.0417	0	0:00:08.070785
200	5	5	0.805	1	0:00:08.073168
300	6	6	0.953	1	0:00:08.070602
400	9	9	0.953	1	0:00:08.075163
500	4	6	0.101	0	0:00:08.073504
600	8	8	0.751	1	0:00:08.071707
700	7	7	0.953	1	0:00:08.074654
800	7	7	0.953	1	0:00:08.073036
900	2	-1	0.0	0	0:00:08.066784
1000	5	5	0.953	1	0:00:08.073063
1100	7	8	0.369	0	0:00:08.072969
1200	8	8	0.157	1	0:00:08.073582
1300	4	4	0.00599	1	0:00:08.063349
1400	5	5	0.355	1	0:00:08.072894
1500	1	1	0.881	1	0:00:08.073949
1600	8	9	0.577	0	0:00:08.071559
1700	5	3	0.195	0	0:00:08.073401
1800	4	0	0.295	0	0:00:08.067957
1900	8	8	0.953	1	0:00:08.066664
2000	1	1	0.433	1	0:00:08.066139
2100	2	2	0.922	1	0:00:08.065523
2200	0	0	0.0921	1	0:00:08.065813
2300	3	4	0.0413	0	0:00:08.061481
2400	0	0	0.953	1	0:00:08.064606
2500	4	4	0.513	1	0:00:08.064232
2600	8	8	0.953	1	0:00:08.064300
2700	9	9	0.225	1	0:00:08.069195
2800	4	4	0.303	1	0:00:08.062207
2900	3	5	0.638	0	0:00:08.069625
3000	5	5	0.953	1	0:00:08.066653
3100	0	0	0.953	1	0:00:08.058014
3200	5	5	0.886	1	0:00:08.062912
3300	4	4	0.261	1	0:00:08.060971
3400	6	4	0.248	0	0:00:08.059884
3500	1	1	0.479	1	0:00:08.062059
3600	4	2	0.57	0	0:00:08.060809
3700	3	3	0.606	1	0:00:08.061789
3800	9	9	0.762	1	0:00:08.062496
3900	3	3	0.315	1	0:00:08.061273
4000	8	0	0.252	0	0:00:08.061408
4100	7	7	0.953	1	0:00:08.065090
4200	4	4	0.768	1	0:00:08.059027
4300	8	8	0.886	1	0:00:08.060602
4400	3	3	0.0351	1	0:00:08.061572
4500	3	3	0.378	1	0:00:08.065376
4600	4	7	0.145	0	0:00:08.065695
4700	6	5	0.304	0	0:00:08.063008
4800	9	9	0.953	1	0:00:08.065008
4900	3	3	0.17	1	0:00:08.063091
5000	7	7	0.953	1	0:00:08.067140
5100	3	3	0.953	1	0:00:08.064682
5200	3	3	0.582	1	0:00:08.063158
5300	9	9	0.953	1	0:00:08.063451
5400	9	-1	0.0	0	0:00:08.062674
5500	8	8	0.953	1	0:00:08.060804
5600	6	0	0.324	0	0:00:08.059178
5700	3	3	0.213	1	0:00:08.061009
5800	2	2	0.953	1	0:00:08.059766
5900	4	3	0.0161	0	0:00:08.056166
6000	8	8	0.873	1	0:00:08.059322
6100	1	1	0.953	1	0:00:08.057809
6200	3	3	0.541	1	0:00:08.057863
6300	1	1	0.579	1	0:00:08.056621
6400	0	0	0.166	1	0:00:08.055518
6500	7	0	0.33	0	0:00:08.057043
6600	7	7	0.953	1	0:00:08.055571
6700	6	6	0.694	1	0:00:08.057068
6800	6	6	0.0909	1	0:00:08.053478
6900	3	3	0.721	1	0:00:08.055983
7000	2	0	0.194	0	0:00:08.052831
7100	9	9	0.675	1	0:00:08.054196
7200	4	3	0.626	0	0:00:08.053408
7300	3	5	0.178	0	0:00:08.057891
7400	3	3	0.488	1	0:00:08.057340
7500	6	6	0.953	1	0:00:08.060621
7600	8	9	0.215	0	0:00:08.056854
7700	6	6	0.922	1	0:00:08.056093
7800	0	0	0.935	1	0:00:08.056889
7900	0	8	0.263	0	0:00:08.059915
8000	9	9	0.881	1	0:00:08.060419
8100	6	2	0.706	0	0:00:08.061053
8200	3	0	0.455	0	0:00:08.063359
8300	5	-1	0.0	0	0:00:08.062075
8400	0	0	0.341	1	0:00:08.062073
8500	4	4	0.413	1	0:00:08.060852
8600	3	3	0.533	1	0:00:08.064577
8700	3	3	0.292	1	0:00:08.062911
8800	0	0	0.881	1	0:00:08.063532
8900	2	2	0.412	1	0:00:08.064289
9000	8	8	0.953	1	0:00:08.069267
9100	9	1	0.594	0	0:00:08.066987
9200	8	8	0.668	1	0:00:08.061790
9300	5	3	0.0228	0	0:00:08.067922
9400	6	6	0.758	1	0:00:08.070045
9500	9	9	0.953	1	0:00:08.069185
9600	8	8	0.393	1	0:00:08.066645
9700	0	0	0.953	1	0:00:08.066837
9800	1	1	0.953	1	0:00:08.074906
9900	8	8	0.935	1	0:00:08.070428
